ID,Size,Predicted,Actual
0,215,0.0013966480446927375,NO
1,273,0.9986033519553073,YES
2,460,0.0013966480446927375,YES
3,138,0.0013966480446927375,NO
4,358,0.9986033519553073,NO
5,1248,0.9986033519553073,YES
6,51,0.0013966480446927375,NO
7,157,0.0013966480446927375,NO
8,31,4.664179104477612E-4,NO
9,981,0.0013966480446927375,YES
10,180,6.993006993006993E-4,NO
11,262,0.9986033519553073,NO
12,553,0.0013966480446927375,YES
13,40,0.0013966480446927375,NO
14,369,0.9986033519553073,NO
15,390,0.9986033519553073,NO
16,51,0.0013966480446927375,NO
17,577,0.0013966480446927375,YES
18,32,6.993006993006993E-4,NO
19,66,4.664179104477612E-4,NO
20,188,0.0013966480446927375,YES
21,582,0.0013966480446927375,YES
22,160,0.0013966480446927375,YES
23,50,6.993006993006993E-4,NO
24,27,2.0E-4,NO
25,923,0.9986033519553073,YES
26,60,6.993006993006993E-4,NO
27,62,3.4989503149055286E-4,NO
28,87,0.0013966480446927375,NO
29,52,4.664179104477612E-4,NO
30,268,0.0013966480446927375,YES
31,163,0.0013966480446927375,NO
32,109,6.993006993006993E-4,NO
33,147,6.993006993006993E-4,NO
34,58,2.333177788147457E-4,NO
35,44,0.0013966480446927375,NO
36,106,0.9993006993006993,YES
37,139,0.0013966480446927375,NO
38,326,0.0013966480446927375,YES
39,648,0.0013966480446927375,YES
40,792,0.0013966480446927375,YES
41,319,0.0013966480446927375,YES
42,55,0.0013966480446927375,NO
43,191,6.993006993006993E-4,NO
44,90,0.33348880597014924,NO
45,273,0.0013966480446927375,YES
46,137,6.993006993006993E-4,NO
47,79,0.0013966480446927375,NO
48,82,4.664179104477612E-4,NO
49,147,6.993006993006993E-4,NO
50,422,0.0013966480446927375,YES
51,979,0.0013966480446927375,YES
52,495,0.9986033519553073,YES
53,189,6.993006993006993E-4,YES
54,167,0.0013966480446927375,YES
55,86,0.0013966480446927375,NO
56,182,6.993006993006993E-4,YES
57,361,0.0013966480446927375,YES
58,126,0.0013966480446927375,YES
59,106,0.9993006993006993,NO
60,109,6.993006993006993E-4,NO
61,85,6.993006993006993E-4,NO
62,236,0.0013966480446927375,NO
63,315,0.9986033519553073,YES
64,695,0.0013966480446927375,YES
65,27,2.0E-4,NO
66,89,0.0013966480446927375,NO
67,301,0.9986033519553073,YES
68,153,6.993006993006993E-4,YES
69,92,0.5,NO
70,466,0.0013966480446927375,YES
71,93,0.5,NO
72,244,0.0013966480446927375,NO
73,192,6.993006993006993E-4,YES
74,252,0.0013966480446927375,NO
75,109,6.993006993006993E-4,NO
76,601,0.0013966480446927375,YES
77,565,0.0013966480446927375,YES
78,69,0.9986033519553073,NO
79,77,4.664179104477612E-4,NO
80,94,0.5,YES
81,337,0.0013966480446927375,NO
82,214,0.0013966480446927375,NO
83,79,0.0013966480446927375,NO
84,25,2.0E-4,NO
85,84,4.664179104477612E-4,NO
86,34,4.664179104477612E-4,NO
87,33,6.993006993006993E-4,NO
88,104,0.9993006993006993,NO
89,172,6.993006993006993E-4,NO
90,70,0.0013966480446927375,NO
91,140,0.0013966480446927375,NO
92,156,0.0013966480446927375,NO
93,248,0.0013966480446927375,NO
94,277,0.9986033519553073,YES
95,189,0.9986033519553073,NO
96,194,0.0013966480446927375,NO
97,346,0.9986033519553073,NO
98,304,0.0013966480446927375,NO
99,356,0.0013966480446927375,YES
100,84,0.0013966480446927375,NO
101,53,0.0013966480446927375,NO
102,132,6.993006993006993E-4,NO
103,4088,0.0013966480446927375,NO
104,691,0.9986033519553073,YES
105,47,0.0013966480446927375,NO
106,101,0.0013966480446927375,NO
107,510,0.0013966480446927375,YES
108,328,0.9986033519553073,YES
109,273,0.0013966480446927375,YES
110,136,6.993006993006993E-4,NO
111,56,0.0013966480446927375,NO
112,74,2.0E-4,NO
113,359,0.9986033519553073,YES
114,174,6.993006993006993E-4,NO
115,148,0.33348880597014924,NO
116,92,0.5,NO
117,45,0.5,NO
118,168,0.0013966480446927375,NO
119,77,4.664179104477612E-4,NO
120,666,0.0013966480446927375,NO
121,88,0.0013966480446927375,NO
122,262,0.9986033519553073,NO
123,54,6.993006993006993E-4,NO
124,48,2.799552071668533E-4,YES
125,140,0.0013966480446927375,YES
126,152,6.993006993006993E-4,NO
127,39,2.799552071668533E-4,NO
128,131,6.993006993006993E-4,NO
129,47,4.664179104477612E-4,NO
130,129,6.993006993006993E-4,NO
131,43,4.664179104477612E-4,NO
132,243,0.0013966480446927375,YES
133,62,3.4989503149055286E-4,NO
134,45,0.5,NO
135,97,0.9986033519553073,NO
136,476,0.9986033519553073,NO
137,77,0.33348880597014924,NO
138,69,6.993006993006993E-4,NO
139,104,0.0013966480446927375,NO
140,115,6.993006993006993E-4,NO
141,421,0.0013966480446927375,NO
142,61,6.993006993006993E-4,NO
143,2009,0.0013966480446927375,NO
144,179,0.0013966480446927375,NO
145,106,0.0013966480446927375,NO
146,33,0.0013966480446927375,NO
147,657,0.9986033519553073,NO
148,295,0.0013966480446927375,NO
149,872,0.0013966480446927375,NO
150,444,0.9986033519553073,NO
151,168,0.0013966480446927375,NO
152,752,0.9986033519553073,NO
153,135,0.0013966480446927375,NO
154,1126,0.0013966480446927375,NO
155,163,0.0013966480446927375,NO
156,184,0.9986033519553073,NO
157,51,0.0013966480446927375,NO
158,25,0.0013966480446927375,NO
159,180,0.0013966480446927375,NO
160,64,0.9986033519553073,NO
161,101,0.0013966480446927375,NO
162,512,0.9986033519553073,NO
163,187,0.9986033519553073,NO
164,56,6.993006993006993E-4,NO
165,39,0.0013966480446927375,NO
166,261,0.9986033519553073,NO
167,73,6.993006993006993E-4,NO
168,65,0.9986033519553073,NO
169,329,0.0013966480446927375,NO
170,64,0.9986033519553073,NO
171,164,0.0013966480446927375,NO
172,624,0.0013966480446927375,NO
173,74,6.993006993006993E-4,NO
174,117,0.0013966480446927375,NO
175,84,6.993006993006993E-4,NO
176,226,0.0013966480446927375,NO
177,76,0.33348880597014924,NO
178,323,0.0013966480446927375,NO
179,72,4.664179104477612E-4,NO
180,42,3.4989503149055286E-4,NO
181,48,2.799552071668533E-4,NO
182,89,0.0013966480446927375,NO
183,380,0.0013966480446927375,NO
184,141,0.0013966480446927375,NO
185,148,0.0013966480446927375,NO
186,191,6.993006993006993E-4,NO
187,46,6.993006993006993E-4,NO
188,165,0.0013966480446927375,NO
189,171,6.993006993006993E-4,NO
190,56,0.0013966480446927375,NO
191,179,6.993006993006993E-4,NO
192,74,2.0E-4,NO
193,36,6.993006993006993E-4,NO
194,37,2.333177788147457E-4,NO
195,34,4.664179104477612E-4,NO
196,34,4.664179104477612E-4,NO
197,38,0.33348880597014924,NO
198,39,2.799552071668533E-4,NO
199,156,6.993006993006993E-4,NO
200,84,4.664179104477612E-4,NO
201,117,4.664179104477612E-4,NO
202,94,0.5,NO
203,71,0.0013966480446927375,NO
204,183,6.993006993006993E-4,NO
205,85,6.993006993006993E-4,NO
206,183,6.993006993006993E-4,NO
207,70,0.0013966480446927375,NO
208,54,6.993006993006993E-4,NO
209,160,0.9986033519553073,NO
210,125,0.0013966480446927375,NO
211,151,6.993006993006993E-4,NO
212,422,0.0013966480446927375,NO
213,221,0.0013966480446927375,NO
214,50,6.993006993006993E-4,NO
215,42,3.4989503149055286E-4,NO
216,624,0.0013966480446927375,NO
217,377,0.0013966480446927375,NO
218,383,0.0013966480446927375,YES
219,72,4.664179104477612E-4,NO
220,92,0.5,NO
221,282,0.9986033519553073,NO
222,371,0.0013966480446927375,NO
223,47,4.664179104477612E-4,NO
224,108,6.993006993006993E-4,NO
225,111,6.993006993006993E-4,NO
226,319,0.0013966480446927375,NO
227,129,6.993006993006993E-4,NO
228,49,6.993006993006993E-4,NO
229,358,0.0013966480446927375,NO
230,277,0.0013966480446927375,NO
231,49,6.993006993006993E-4,NO
232,89,0.0013966480446927375,NO
233,41,4.664179104477612E-4,NO
234,66,4.664179104477612E-4,NO
235,63,0.20016797312430012,NO
236,24,6.993006993006993E-4,NO
237,50,6.993006993006993E-4,NO
238,72,4.664179104477612E-4,NO
239,47,4.664179104477612E-4,NO
240,47,4.664179104477612E-4,NO
241,183,6.993006993006993E-4,NO
242,49,6.993006993006993E-4,NO
243,50,6.993006993006993E-4,NO
244,98,0.20016797312430012,NO
245,143,0.0013966480446927375,NO
246,43,4.664179104477612E-4,NO
247,42,3.4989503149055286E-4,NO
248,56,0.0013966480446927375,NO
249,44,0.0013966480446927375,NO
250,26,2.0E-4,NO
251,254,0.0013966480446927375,NO
252,16883,0.0013966480446927375,NO
253,74,2.0E-4,NO
254,153,6.993006993006993E-4,NO
255,68,0.5,NO
256,100,6.993006993006993E-4,NO
257,550,0.0013966480446927375,NO
258,437,0.0013966480446927375,NO
259,1038,0.9986033519553073,NO
260,104,0.0013966480446927375,NO
261,332,0.9986033519553073,NO
262,123,0.0013966480446927375,NO
263,106,0.9993006993006993,NO
264,106,0.9993006993006993,NO
265,94,0.0013966480446927375,NO
266,101,0.0013966480446927375,NO
267,38,0.33348880597014924,NO
268,628,0.0013966480446927375,NO
269,32,6.993006993006993E-4,NO
270,111,6.993006993006993E-4,NO
271,35,4.664179104477612E-4,NO
272,90,0.33348880597014924,NO
273,27,2.0E-4,NO
274,28,3.4989503149055286E-4,NO
275,92,0.5,NO
