ID,Size,Predicted,Actual
0,215,5.85480093676815E-4,NO
1,273,1.9531249999999998E-4,YES
2,460,2.9291154071470416E-4,YES
3,138,0.4615419296663661,NO
4,358,5.85480093676815E-4,NO
5,1154,0.9998046875,YES
6,51,5.85480093676815E-4,NO
7,157,2.9291154071470416E-4,NO
8,31,1.1720581340834505E-4,NO
9,1009,5.85480093676815E-4,YES
10,193,0.9998046875,NO
11,83,9.767532721234616E-5,YES
12,262,2.9291154071470416E-4,NO
13,638,2.9291154071470416E-4,YES
14,40,1.9531249999999998E-4,NO
15,374,0.9998827941865917,NO
16,390,5.85480093676815E-4,NO
17,51,5.85480093676815E-4,NO
18,579,0.99992673992674,YES
19,32,2.9291154071470416E-4,NO
20,66,9.767532721234616E-5,NO
21,260,2.9291154071470416E-4,YES
22,596,0.9998046875,NO
23,198,2.9291154071470416E-4,NO
24,50,9.767532721234616E-5,NO
25,27,5.328218243819266E-5,NO
26,926,5.85480093676815E-4,NO
27,60,5.8609776110655256E-5,NO
28,62,6.512112529304507E-5,NO
29,87,2.9291154071470416E-4,NO
30,52,1.1720581340834505E-4,NO
31,297,0.9998827941865917,NO
32,163,5.85480093676815E-4,NO
33,118,0.9999023246727876,NO
34,83,9.767532721234616E-5,NO
35,147,2.9291154071470416E-4,NO
36,58,0.16669922828953795,NO
37,44,0.28573222808339616,NO
38,106,5.85480093676815E-4,NO
39,192,1.9531249999999998E-4,NO
40,151,0.9998046875,NO
41,352,2.9291154071470416E-4,YES
42,752,0.9998535013184882,YES
43,877,0.9998827941865917,YES
44,319,0.9998046875,YES
45,27,2.9291154071470416E-4,NO
46,55,2.9291154071470416E-4,NO
47,94,0.8888382391247721,NO
48,191,2.9291154071470416E-4,NO
49,90,8.372404554588077E-5,NO
50,90,0.9999023246727876,NO
51,271,2.9291154071470416E-4,YES
52,138,5.85480093676815E-4,NO
53,79,5.85480093676815E-4,NO
54,82,1.9531249999999998E-4,NO
55,147,2.9291154071470416E-4,NO
56,422,5.85480093676815E-4,YES
57,1026,0.9997070884592852,YES
58,530,0.9998046875,NO
59,189,2.9291154071470416E-4,YES
60,167,2.9291154071470416E-4,YES
61,86,1.9531249999999998E-4,NO
62,195,0.9997070884592852,YES
63,374,2.9291154071470416E-4,YES
64,573,0.9998535013184882,NO
65,126,2.9291154071470416E-4,YES
66,106,2.9291154071470416E-4,YES
67,109,2.9291154071470416E-4,NO
68,85,1.1720581340834505E-4,NO
69,237,5.85480093676815E-4,NO
70,345,2.9291154071470416E-4,YES
71,47,1.4649868151186637E-4,NO
72,781,2.9291154071470416E-4,YES
73,27,5.328218243819266E-5,NO
74,89,1.1720581340834505E-4,NO
75,300,1.9531249999999998E-4,YES
76,166,0.9998827941865917,NO
77,92,0.33335504037509767,NO
78,497,0.9998827941865917,YES
79,93,5.85480093676815E-4,NO
80,244,1.9531249999999998E-4,NO
81,183,5.85480093676815E-4,YES
82,252,1.9531249999999998E-4,NO
83,109,2.9291154071470416E-4,YES
84,607,5.85480093676815E-4,YES
85,565,5.85480093676815E-4,YES
86,69,0.7499267506592441,NO
87,77,8.372404554588077E-5,NO
88,97,2.9291154071470416E-4,NO
89,343,0.9994145199063231,NO
90,214,1.9531249999999998E-4,NO
91,79,5.85480093676815E-4,NO
92,25,5.85480093676815E-4,NO
93,84,0.5,NO
94,34,8.372404554588077E-5,NO
95,33,6.512112529304507E-5,NO
96,104,0.9999413902238894,NO
97,172,2.9291154071470416E-4,NO
98,70,1.9531249999999998E-4,NO
99,140,2.9291154071470416E-4,NO
100,156,2.9291154071470416E-4,NO
101,142,0.9999023246727876,NO
102,152,0.9994145199063231,NO
103,31,2.9291154071470416E-4,NO
104,60,1.9531249999999998E-4,NO
105,60,1.9531249999999998E-4,NO
106,876,0.9998827941865917,NO
107,61,1.9531249999999998E-4,NO
108,185,5.85480093676815E-4,NO
109,264,2.9291154071470416E-4,NO
110,248,1.9531249999999998E-4,NO
111,286,0.9998046875,YES
112,185,0.9998046875,NO
113,194,2.9291154071470416E-4,NO
114,346,5.85480093676815E-4,NO
115,309,2.9291154071470416E-4,NO
116,363,0.9998535013184882,YES
117,84,0.5,NO
118,53,1.4649868151186637E-4,NO
119,132,9.767532721234616E-5,YES
120,4088,5.85480093676815E-4,NO
121,721,0.9998827941865917,YES
122,47,5.8609776110655256E-5,NO
123,101,0.7777415993748372,NO
124,517,0.9998046875,YES
125,327,5.85480093676815E-4,YES
126,274,2.9291154071470416E-4,YES
127,136,0.5999882780447778,YES
128,56,2.9291154071470416E-4,NO
129,74,4.8842434306925856E-5,YES
130,361,5.85480093676815E-4,YES
131,174,1.1720581340834505E-4,NO
132,148,0.45455029838022165,NO
133,92,0.33335504037509767,NO
134,45,0.44445168012503256,NO
135,168,5.85480093676815E-4,NO
136,77,8.372404554588077E-5,NO
137,666,0.9997070884592852,NO
138,88,2.9291154071470416E-4,NO
139,263,5.85480093676815E-4,NO
140,54,9.767532721234616E-5,NO
141,51,2.9291154071470416E-4,NO
142,132,2.9291154071470416E-4,NO
143,160,0.9998046875,YES
144,152,5.85480093676815E-4,NO
145,39,6.512112529304507E-5,NO
146,677,0.9999162759544541,NO
147,131,9.767532721234616E-5,NO
148,47,5.8609776110655256E-5,NO
149,129,5.85480093676815E-4,NO
150,43,1.1720581340834505E-4,NO
151,257,0.9994145199063231,NO
152,356,0.9998535013184882,NO
153,62,6.512112529304507E-5,NO
154,45,0.44445168012503256,NO
155,97,0.4000117219552221,NO
156,476,2.9291154071470416E-4,NO
157,77,8.372404554588077E-5,NO
158,69,0.7499267506592441,NO
159,104,0.9999413902238894,NO
160,115,9.767532721234616E-5,NO
161,421,5.85480093676815E-4,NO
162,61,3.0848963474827244E-5,NO
163,2009,0.9997070884592852,NO
164,179,2.9291154071470416E-4,NO
165,106,1.9531249999999998E-4,NO
166,33,6.512112529304507E-5,NO
167,657,0.9997070884592852,NO
168,295,2.9291154071470416E-4,NO
169,872,0.9997070884592852,NO
170,444,2.9291154071470416E-4,NO
171,168,5.85480093676815E-4,NO
172,752,0.9997070884592852,NO
173,135,0.5999882780447778,NO
174,1126,0.9997070884592852,NO
175,163,5.85480093676815E-4,NO
176,184,1.1720581340834505E-4,NO
177,51,5.85480093676815E-4,NO
178,25,5.85480093676815E-4,NO
179,180,5.85480093676815E-4,NO
180,64,0.5454497016197783,NO
181,101,0.7777415993748372,NO
182,512,2.9291154071470416E-4,NO
183,187,8.372404554588077E-5,NO
184,56,2.9291154071470416E-4,NO
185,39,6.512112529304507E-5,NO
186,261,2.9291154071470416E-4,NO
187,73,3.907471084713973E-5,NO
188,65,9.767532721234616E-5,NO
189,329,5.85480093676815E-4,NO
190,64,0.5454497016197783,NO
191,164,5.85480093676815E-4,NO
192,624,2.9291154071470416E-4,NO
193,74,4.8842434306925856E-5,NO
194,117,7.326007326007326E-5,NO
195,84,0.5,NO
196,226,5.85480093676815E-4,NO
197,76,1.1720581340834505E-4,NO
198,323,5.85480093676815E-4,NO
199,72,1.9531249999999998E-4,NO
200,42,5.8609776110655256E-5,NO
201,48,4.8842434306925856E-5,NO
202,89,1.1720581340834505E-4,NO
