ID,Size,Predicted,Actual
0,215,0.0028248587570621473,NO
1,271,0.0028248587570621473,NO
2,451,4.730368968779565E-4,NO
3,137,7.092198581560283E-4,NO
4,368,9.45179584120983E-4,YES
5,764,0.0014164305949008497,YES
6,51,0.0028248587570621473,NO
7,150,7.092198581560283E-4,NO
8,31,7.092198581560283E-4,NO
9,684,5.675368898978433E-4,YES
10,180,7.092198581560283E-4,NO
11,196,0.0028248587570621473,YES
12,482,9.45179584120983E-4,YES
13,40,9.45179584120983E-4,NO
14,259,7.092198581560283E-4,YES
15,379,0.0014164305949008497,YES
16,510,9.45179584120983E-4,YES
17,32,0.0028248587570621473,NO
18,66,7.092198581560283E-4,NO
19,187,0.0014164305949008497,YES
20,576,0.0028248587570621473,YES
21,158,7.092198581560283E-4,YES
22,46,0.0028248587570621473,YES
23,27,7.092198581560283E-4,NO
24,788,0.0014164305949008497,YES
25,60,0.0028248587570621473,NO
26,62,7.092198581560283E-4,YES
27,88,7.092198581560283E-4,YES
28,52,7.092198581560283E-4,YES
29,163,0.0014164305949008497,NO
30,91,5.675368898978433E-4,YES
31,147,7.092198581560283E-4,NO
32,58,0.0014164305949008497,NO
33,44,0.0028248587570621473,NO
34,139,7.092198581560283E-4,NO
35,282,7.092198581560283E-4,NO
36,582,0.0014164305949008497,YES
37,800,5.675368898978433E-4,YES
38,216,7.092198581560283E-4,YES
39,55,7.092198581560283E-4,NO
40,184,0.0014164305949008497,NO
41,65,7.092198581560283E-4,NO
42,150,7.092198581560283E-4,YES
43,81,7.092198581560283E-4,NO
44,84,7.092198581560283E-4,NO
45,905,9.45179584120983E-4,YES
46,312,0.0014164305949008497,YES
47,171,7.092198581560283E-4,NO
48,153,0.0014164305949008497,YES
49,84,7.092198581560283E-4,NO
50,169,0.0014164305949008497,YES
51,189,0.0014164305949008497,YES
52,127,9.45179584120983E-4,YES
53,79,7.092198581560283E-4,YES
54,90,7.092198581560283E-4,NO
55,85,7.092198581560283E-4,NO
56,123,0.0028248587570621473,YES
57,276,9.45179584120983E-4,YES
58,549,0.0014164305949008497,YES
59,27,7.092198581560283E-4,NO
60,88,7.092198581560283E-4,YES
61,283,0.0028248587570621473,YES
62,175,0.0014164305949008497,YES
63,507,0.0014164305949008497,YES
64,209,7.092198581560283E-4,NO
65,147,7.092198581560283E-4,NO
66,98,7.092198581560283E-4,NO
67,132,0.0014164305949008497,NO
68,236,0.0014164305949008497,YES
69,227,0.0014164305949008497,YES
70,172,0.0014164305949008497,NO
71,507,0.0014164305949008497,YES
72,90,5.675368898978433E-4,YES
73,58,0.0014164305949008497,NO
74,132,7.092198581560283E-4,NO
75,529,7.092198581560283E-4,YES
76,694,9.45179584120983E-4,YES
77,148,7.092198581560283E-4,YES
78,174,7.092198581560283E-4,NO
79,148,7.092198581560283E-4,NO
80,92,7.092198581560283E-4,NO
81,77,0.0014164305949008497,NO
82,664,5.675368898978433E-4,NO
83,55,0.0014164305949008497,NO
84,256,0.0014164305949008497,YES
85,54,7.092198581560283E-4,NO
86,38,7.092198581560283E-4,YES
87,98,7.092198581560283E-4,YES
88,39,7.092198581560283E-4,NO
89,47,9.45179584120983E-4,NO
90,69,7.092198581560283E-4,YES
91,43,7.092198581560283E-4,NO
92,94,7.092198581560283E-4,YES
93,72,7.092198581560283E-4,NO
94,42,7.092198581560283E-4,NO
95,48,7.092198581560283E-4,NO
96,63,7.092198581560283E-4,YES
97,318,0.0028248587570621473,YES
98,136,7.092198581560283E-4,YES
99,141,7.092198581560283E-4,YES
100,190,7.092198581560283E-4,YES
101,46,7.092198581560283E-4,NO
102,165,0.0014164305949008497,NO
103,162,7.092198581560283E-4,NO
104,58,7.092198581560283E-4,NO
105,148,7.092198581560283E-4,YES
106,74,7.092198581560283E-4,NO
107,36,9.45179584120983E-4,NO
108,37,7.092198581560283E-4,NO
109,38,7.092198581560283E-4,NO
110,39,7.092198581560283E-4,NO
111,96,7.092198581560283E-4,YES
112,88,7.092198581560283E-4,NO
113,71,7.092198581560283E-4,NO
114,114,7.092198581560283E-4,NO
115,342,7.092198581560283E-4,YES
116,84,7.092198581560283E-4,NO
117,58,7.092198581560283E-4,NO
118,129,7.092198581560283E-4,NO
119,363,7.092198581560283E-4,YES
120,242,7.092198581560283E-4,YES
121,682,7.092198581560283E-4,YES
122,366,7.092198581560283E-4,YES
123,103,7.092198581560283E-4,YES
124,41,7.092198581560283E-4,NO
125,66,7.092198581560283E-4,NO
126,63,7.092198581560283E-4,NO
127,47,7.092198581560283E-4,NO
128,183,7.092198581560283E-4,NO
129,49,7.092198581560283E-4,NO
130,50,7.092198581560283E-4,NO
131,98,7.092198581560283E-4,NO
132,143,7.092198581560283E-4,NO
133,43,7.092198581560283E-4,NO
134,42,7.092198581560283E-4,NO
135,56,7.092198581560283E-4,NO
136,162,7.092198581560283E-4,YES
137,6523,0.0028248587570621473,YES
138,153,7.092198581560283E-4,NO
139,43,7.092198581560283E-4,NO
140,41,7.092198581560283E-4,NO
141,400,7.092198581560283E-4,YES
142,425,0.0028248587570621473,YES
143,1041,5.675368898978433E-4,YES
144,92,5.675368898978433E-4,NO
145,355,0.0028248587570621473,YES
146,123,7.092198581560283E-4,NO
147,105,7.092198581560283E-4,YES
148,105,7.092198581560283E-4,YES
