ID,Size,Predicted,Actual
0,215,4.168403501458941E-4,NO
1,274,4.168403501458941E-4,YES
2,461,0.9995831596498539,YES
3,138,4.168403501458941E-4,NO
4,358,1.3902405116085083E-4,NO
5,1248,0.9995831596498539,YES
6,51,6.952169076751947E-5,NO
7,45,0.33337967468372026,NO
8,157,4.168403501458941E-4,NO
9,31,5.9591204338239674E-5,NO
10,1008,4.168403501458941E-4,YES
11,55,0.9995831596498539,NO
12,204,4.168403501458941E-4,NO
13,55,4.168403501458941E-4,NO
14,103,2.0850708924103421E-4,NO
15,83,0.9995831596498539,NO
16,262,4.168403501458941E-4,NO
17,83,2.0850708924103421E-4,NO
18,867,0.9995831596498539,YES
19,40,1.3902405116085083E-4,NO
20,387,4.168403501458941E-4,YES
21,390,0.9995831596498539,NO
22,51,6.952169076751947E-5,NO
23,637,0.9995831596498539,YES
24,32,6.952169076751947E-5,NO
25,68,4.168403501458941E-4,YES
26,547,4.168403501458941E-4,YES
27,566,0.9995831596498539,NO
28,314,4.168403501458941E-4,YES
29,839,0.9995831596498539,YES
30,211,4.168403501458941E-4,NO
31,31,2.0850708924103421E-4,NO
32,50,4.171533455698315E-5,NO
33,27,2.1956306949171146E-5,NO
34,175,0.9995831596498539,NO
35,50,4.168403501458941E-4,NO
36,62,3.476326218452339E-5,NO
37,87,4.168403501458941E-4,NO
38,52,2.0850708924103421E-4,NO
39,373,0.9995831596498539,NO
40,224,4.168403501458941E-4,NO
41,118,1.0427528675703858E-4,YES
42,83,0.2500521376433785,NO
43,147,6.952169076751947E-5,NO
44,58,4.168403501458941E-4,NO
45,44,8.342370901810294E-5,NO
46,106,0.16671301446051168,NO
47,189,4.168403501458941E-4,NO
48,151,2.0850708924103421E-4,NO
49,352,4.168403501458941E-4,YES
50,849,0.9995831596498539,YES
51,877,4.168403501458941E-4,YES
52,41,4.168403501458941E-4,NO
53,319,2.0850708924103421E-4,YES
54,27,2.1956306949171146E-5,NO
55,55,1.3902405116085083E-4,NO
56,94,0.42857994160061974,NO
57,191,1.0427528675703858E-4,NO
58,90,6.952169076751947E-5,NO
59,90,6.952169076751947E-5,NO
60,271,4.168403501458941E-4,YES
61,152,4.168403501458941E-4,NO
62,90,0.9995831596498539,YES
63,82,4.168403501458941E-4,NO
64,147,6.952169076751947E-5,NO
65,422,0.9995831596498539,YES
66,1059,0.9995831596498539,YES
67,530,4.168403501458941E-4,YES
68,205,4.168403501458941E-4,YES
69,190,4.168403501458941E-4,NO
70,86,4.168403501458941E-4,NO
71,207,0.9995831596498539,YES
72,397,4.168403501458941E-4,YES
73,573,4.168403501458941E-4,NO
74,126,2.0850708924103421E-4,YES
