ID,Size,Predicted,Actual
0,215,5.85480093676815E-4,NO
1,273,2.9291154071470416E-4,YES
2,460,5.85480093676815E-4,YES
3,138,0.20007032348804502,NO
4,358,5.85480093676815E-4,NO
5,1154,0.9994145199063231,YES
6,51,1.9531249999999998E-4,NO
7,157,5.85480093676815E-4,NO
8,31,1.1720581340834505E-4,NO
9,1009,5.85480093676815E-4,YES
10,193,0.9994145199063231,NO
11,83,1.9531249999999998E-4,YES
12,262,5.85480093676815E-4,NO
13,638,5.85480093676815E-4,YES
14,40,2.9291154071470416E-4,NO
15,374,0.9994145199063231,NO
16,390,5.85480093676815E-4,NO
17,51,1.9531249999999998E-4,NO
18,579,0.9994145199063231,YES
19,32,1.4649868151186637E-4,NO
20,66,1.1720581340834505E-4,NO
21,260,5.85480093676815E-4,YES
22,596,5.85480093676815E-4,NO
23,198,5.85480093676815E-4,NO
24,50,9.767532721234616E-5,NO
25,27,4.508566275924256E-5,NO
26,926,5.85480093676815E-4,NO
27,60,1.9531249999999998E-4,NO
28,62,7.326007326007326E-5,NO
29,87,5.85480093676815E-4,NO
30,52,5.85480093676815E-4,NO
31,297,0.9994145199063231,NO
32,163,2.9291154071470416E-4,NO
33,118,0.9994145199063231,NO
34,83,1.9531249999999998E-4,NO
35,147,1.4649868151186637E-4,NO
36,58,0.12505494505494505,NO
37,44,1.9531249999999998E-4,NO
38,106,5.85480093676815E-4,NO
39,192,5.85480093676815E-4,NO
40,151,5.85480093676815E-4,NO
41,352,5.85480093676815E-4,YES
42,752,0.9994145199063231,YES
43,877,0.9994145199063231,YES
44,319,0.9994145199063231,YES
45,27,5.85480093676815E-4,NO
46,55,2.9291154071470416E-4,NO
47,94,0.5,NO
48,191,2.9291154071470416E-4,NO
49,90,1.9531249999999998E-4,NO
50,90,0.9994145199063231,NO
51,271,5.85480093676815E-4,YES
52,138,5.85480093676815E-4,NO
53,79,1.9531249999999998E-4,NO
54,82,5.85480093676815E-4,NO
55,147,1.4649868151186637E-4,NO
56,422,5.85480093676815E-4,YES
57,1026,0.9994145199063231,YES
58,530,0.9994145199063231,NO
59,189,5.85480093676815E-4,YES
60,167,5.85480093676815E-4,YES
61,86,2.9291154071470416E-4,NO
62,195,0.9994145199063231,YES
63,374,5.85480093676815E-4,YES
64,573,0.9994145199063231,NO
65,126,5.85480093676815E-4,YES
66,106,5.85480093676815E-4,YES
67,109,1.9531249999999998E-4,NO
68,85,1.4649868151186637E-4,NO
69,237,5.85480093676815E-4,NO
70,345,5.85480093676815E-4,YES
