ID,Size,Predicted,Actual
0,215,0.00228310502283105,NO
1,273,0.00228310502283105,YES
2,460,0.00228310502283105,YES
3,138,0.5,NO
4,358,0.00228310502283105,NO
5,1154,0.9977168949771688,YES
6,51,5.72737686139748E-4,NO
7,157,0.0011441647597254007,NO
8,31,0.00228310502283105,NO
9,1009,0.00228310502283105,YES
10,193,0.9977168949771688,NO
11,83,0.0011441647597254007,YES
12,262,0.00228310502283105,NO
13,638,0.00228310502283105,YES
14,40,0.00228310502283105,NO
15,374,0.9977168949771688,NO
16,390,0.00228310502283105,NO
17,51,5.72737686139748E-4,NO
18,579,0.9977168949771688,YES
19,32,0.00228310502283105,NO
20,66,0.0011441647597254007,NO
21,260,0.00228310502283105,YES
22,596,0.9977168949771688,NO
23,198,0.00228310502283105,NO
24,50,7.633587786259543E-4,NO
25,27,0.0011441647597254007,NO
26,926,0.00228310502283105,NO
27,60,0.00228310502283105,NO
28,62,0.0011441647597254007,NO
29,87,0.00228310502283105,NO
30,52,0.00228310502283105,NO
31,297,0.9977168949771688,NO
32,163,0.9977168949771688,NO
33,118,0.9977168949771688,NO
34,83,0.0011441647597254007,NO
35,147,0.5,NO
36,58,0.333587786259542,NO
37,44,0.16692131398013751,NO
38,106,0.00228310502283105,NO
39,192,0.9977168949771688,NO
40,151,0.9977168949771688,NO
41,352,0.9977168949771688,YES
42,752,0.9977168949771688,YES
43,877,0.9977168949771688,YES
44,319,0.9977168949771688,YES
45,27,0.00228310502283105,NO
46,55,0.00228310502283105,NO
47,94,0.9977168949771688,NO
48,191,0.00228310502283105,NO
49,90,0.0011441647597254007,NO
50,90,0.9977168949771688,NO
51,271,0.00228310502283105,YES
52,138,0.9977168949771688,NO
53,79,0.00228310502283105,NO
54,82,0.00228310502283105,NO
55,147,0.5,NO
56,422,0.00228310502283105,YES
57,1026,0.9977168949771688,YES
58,530,0.9977168949771688,NO
59,189,0.00228310502283105,YES
60,167,0.00228310502283105,YES
61,86,7.633587786259543E-4,NO
62,195,0.9977168949771688,YES
63,374,0.00228310502283105,YES
64,573,0.9977168949771688,NO
65,126,0.00228310502283105,YES
66,106,0.00228310502283105,YES
67,109,0.00228310502283105,NO
68,85,0.0011441647597254007,NO
69,237,0.00228310502283105,NO
70,345,0.9977168949771688,YES
71,47,0.333587786259542,NO
72,781,0.00228310502283105,YES
73,27,0.0011441647597254007,NO
74,89,0.0011441647597254007,NO
75,300,0.00228310502283105,YES
76,166,0.9977168949771688,NO
77,92,0.333587786259542,NO
78,497,0.9977168949771688,YES
79,93,0.00228310502283105,NO
80,244,0.00228310502283105,NO
81,183,0.00228310502283105,YES
82,252,0.00228310502283105,NO
83,109,0.00228310502283105,YES
84,607,0.9977168949771688,YES
85,565,0.00228310502283105,YES
86,69,0.5,NO
87,77,0.5,NO
88,97,0.00228310502283105,NO
89,343,0.9977168949771688,NO
90,214,0.00228310502283105,NO
91,79,0.00228310502283105,NO
92,25,0.0011441647597254007,NO
93,84,0.333587786259542,NO
94,34,7.633587786259543E-4,NO
95,33,7.633587786259543E-4,NO
96,104,0.9988558352402747,NO
97,172,0.00228310502283105,NO
98,70,0.00228310502283105,NO
99,140,0.0011441647597254007,NO
100,156,0.0011441647597254007,NO
101,142,0.9977168949771688,NO
102,152,0.9977168949771688,NO
103,31,0.00228310502283105,NO
104,60,0.00228310502283105,NO
105,60,0.00228310502283105,NO
106,876,0.9977168949771688,NO
107,61,0.00228310502283105,NO
108,185,0.00228310502283105,NO
109,264,0.00228310502283105,NO
110,248,0.00228310502283105,NO
111,286,0.9977168949771688,YES
112,185,0.9977168949771688,NO
113,194,0.00228310502283105,NO
114,346,0.00228310502283105,NO
115,309,0.9977168949771688,NO
116,363,0.9977168949771688,YES
117,84,0.333587786259542,NO
118,53,0.00228310502283105,NO
119,132,0.0011441647597254007,YES
120,4088,0.9977168949771688,NO
121,721,0.9977168949771688,YES
122,47,0.0011441647597254007,NO
123,101,0.9977168949771688,NO
124,517,0.9977168949771688,YES
125,327,0.00228310502283105,YES
126,274,0.00228310502283105,YES
127,136,0.9977168949771688,YES
128,56,0.00228310502283105,NO
129,74,7.633587786259543E-4,YES
130,361,0.9977168949771688,YES
131,174,0.0011441647597254007,NO
132,148,0.5,NO
133,92,0.333587786259542,NO
134,45,0.2502863688430699,NO
135,168,0.00228310502283105,NO
136,77,0.5,NO
137,666,0.9977168949771688,NO
138,88,0.00228310502283105,NO
139,263,0.00228310502283105,NO
140,54,0.0011441647597254007,NO
141,51,0.9977168949771688,NO
142,132,0.00228310502283105,NO
143,160,0.9977168949771688,YES
144,152,0.0011441647597254007,NO
145,39,0.00228310502283105,NO
146,677,0.9977168949771688,NO
147,131,0.0011441647597254007,NO
148,47,0.0011441647597254007,NO
149,129,0.00228310502283105,NO
150,43,0.0011441647597254007,NO
151,257,0.9977168949771688,NO
152,356,0.9977168949771688,NO
153,62,0.0011441647597254007,NO
154,45,0.2502863688430699,NO
155,97,0.333587786259542,NO
156,476,0.00228310502283105,NO
157,77,0.5,NO
158,69,0.5,NO
159,104,0.9988558352402747,NO
160,115,7.633587786259543E-4,NO
161,421,0.00228310502283105,NO
162,61,7.633587786259543E-4,NO
163,2009,0.9977168949771688,NO
164,179,0.00228310502283105,NO
165,106,0.00228310502283105,NO
166,33,7.633587786259543E-4,NO
167,657,0.9977168949771688,NO
168,295,0.00228310502283105,NO
169,872,0.9977168949771688,NO
170,444,0.00228310502283105,NO
171,168,0.00228310502283105,NO
172,752,0.9977168949771688,NO
173,135,0.9977168949771688,NO
174,1126,0.9977168949771688,NO
175,163,0.9977168949771688,NO
176,184,0.0011441647597254007,NO
177,51,5.72737686139748E-4,NO
178,25,0.0011441647597254007,NO
179,180,0.00228310502283105,NO
180,64,0.9977168949771688,NO
181,101,0.9977168949771688,NO
182,512,0.00228310502283105,NO
183,187,7.633587786259543E-4,NO
184,56,0.00228310502283105,NO
185,39,0.00228310502283105,NO
186,261,0.00228310502283105,NO
187,73,7.633587786259543E-4,NO
188,65,0.0011441647597254007,NO
189,329,0.00228310502283105,NO
190,64,0.9977168949771688,NO
191,164,0.9977168949771688,NO
192,624,0.00228310502283105,NO
193,74,7.633587786259543E-4,NO
194,117,7.633587786259543E-4,NO
195,84,0.333587786259542,NO
196,226,0.00228310502283105,NO
197,76,0.00228310502283105,NO
198,323,0.00228310502283105,NO
199,72,0.00228310502283105,NO
200,42,0.0011441647597254007,NO
201,48,7.633587786259543E-4,NO
202,89,0.0011441647597254007,NO
203,380,0.00228310502283105,NO
204,141,0.0011441647597254007,NO
205,148,0.5,NO
206,191,0.00228310502283105,NO
207,46,0.00228310502283105,NO
208,165,0.9977168949771688,NO
209,171,0.00228310502283105,NO
210,56,0.00228310502283105,NO
211,179,0.00228310502283105,NO
212,74,7.633587786259543E-4,NO
213,36,0.00228310502283105,NO
214,37,0.00228310502283105,NO
215,34,7.633587786259543E-4,NO
216,34,7.633587786259543E-4,NO
217,38,0.5,NO
218,39,0.00228310502283105,NO
219,156,0.0011441647597254007,NO
220,84,0.333587786259542,NO
221,117,7.633587786259543E-4,NO
222,94,0.9977168949771688,NO
223,71,0.00228310502283105,NO
224,183,0.0011441647597254007,NO
225,85,0.0011441647597254007,NO
226,183,0.0011441647597254007,NO
227,70,0.00228310502283105,NO
228,54,0.0011441647597254007,NO
229,160,0.9977168949771688,NO
230,128,0.9977168949771688,NO
231,151,0.00228310502283105,NO
232,422,0.00228310502283105,NO
233,221,0.00228310502283105,NO
234,50,7.633587786259543E-4,NO
235,42,0.0011441647597254007,NO
236,624,0.00228310502283105,NO
237,377,0.00228310502283105,NO
238,382,0.9977168949771688,NO
239,72,0.00228310502283105,NO
240,92,0.333587786259542,NO
241,282,0.00228310502283105,NO
242,371,0.00228310502283105,NO
243,47,0.0011441647597254007,NO
244,108,0.00228310502283105,NO
245,111,7.633587786259543E-4,NO
246,319,0.00228310502283105,NO
247,129,0.00228310502283105,NO
248,49,7.633587786259543E-4,NO
249,358,0.00228310502283105,NO
250,277,0.00228310502283105,NO
251,49,7.633587786259543E-4,NO
252,89,0.0011441647597254007,NO
253,41,0.00228310502283105,NO
254,66,0.0011441647597254007,NO
255,63,0.9977168949771688,NO
256,24,0.0011441647597254007,NO
257,50,7.633587786259543E-4,NO
258,72,0.00228310502283105,NO
259,47,0.0011441647597254007,NO
260,47,0.0011441647597254007,NO
261,183,0.0011441647597254007,NO
262,49,7.633587786259543E-4,NO
263,50,7.633587786259543E-4,NO
264,98,0.333587786259542,NO
265,143,0.0011441647597254007,NO
266,43,0.0011441647597254007,NO
267,42,0.0011441647597254007,NO
268,56,0.00228310502283105,NO
269,44,0.16692131398013751,NO
270,26,0.0011441647597254007,NO
271,254,0.00228310502283105,NO
272,16883,0.9977168949771688,NO
273,74,7.633587786259543E-4,NO
274,153,0.0011441647597254007,NO
275,68,0.00228310502283105,NO
276,100,0.00228310502283105,NO
277,550,0.00228310502283105,NO
278,437,0.00228310502283105,NO
279,1038,0.9977168949771688,NO
280,104,0.9988558352402747,NO
281,332,0.00228310502283105,NO
282,123,0.00228310502283105,NO
283,106,0.00228310502283105,NO
284,106,0.00228310502283105,NO
285,94,0.9977168949771688,NO
286,101,0.9977168949771688,NO
287,38,0.5,NO
288,628,0.00228310502283105,NO
289,32,0.00228310502283105,NO
290,111,7.633587786259543E-4,NO
291,35,0.0011441647597254007,NO
292,90,0.0011441647597254007,NO
293,27,0.0011441647597254007,NO
294,28,7.633587786259543E-4,NO
295,92,0.333587786259542,NO
296,979,0.00228310502283105,NO
297,67,7.633587786259543E-4,NO
298,29,0.00228310502283105,NO
299,105,0.9988558352402747,NO
300,72,0.00228310502283105,NO
301,37,0.00228310502283105,NO
302,47,0.0011441647597254007,NO
303,31,0.00228310502283105,NO
304,90,0.0011441647597254007,NO
305,223,0.00228310502283105,NO
306,214,0.00228310502283105,NO
307,107,0.00228310502283105,NO
308,37,0.00228310502283105,NO
309,27,0.0011441647597254007,NO
310,48,7.633587786259543E-4,NO
311,167,0.9977168949771688,NO
312,213,0.00228310502283105,NO
313,867,0.9977168949771688,NO
314,159,0.9977168949771688,NO
315,100,0.00228310502283105,NO
316,96,0.5,NO
317,842,0.9977168949771688,NO
318,535,0.9977168949771688,NO
319,83,0.9977168949771688,NO
320,63,0.9977168949771688,NO
321,76,0.00228310502283105,NO
322,202,0.00228310502283105,NO
323,155,0.0011441647597254007,NO
324,1263,0.9977168949771688,NO
325,74,7.633587786259543E-4,NO
326,101,0.9977168949771688,NO
327,27,0.0011441647597254007,NO
328,22,0.0011441647597254007,NO
329,491,0.00228310502283105,NO
330,62,0.0011441647597254007,NO
331,59,0.2502863688430699,NO
332,99,0.00228310502283105,NO
333,27,0.0011441647597254007,NO
334,77,0.5,NO
335,863,0.00228310502283105,NO
336,64,0.9977168949771688,NO
337,45,0.2502863688430699,NO
338,63,0.9977168949771688,NO
339,54,0.0011441647597254007,NO
340,64,0.9977168949771688,NO
341,132,0.0011441647597254007,NO
342,182,0.00228310502283105,NO
343,70,0.00228310502283105,NO
344,36,0.00228310502283105,NO
345,58,0.333587786259542,NO
346,62,0.0011441647597254007,NO
347,132,0.0011441647597254007,NO
348,74,7.633587786259543E-4,NO
349,86,7.633587786259543E-4,NO
350,74,7.633587786259543E-4,NO
351,48,7.633587786259543E-4,NO
352,74,7.633587786259543E-4,NO
353,86,7.633587786259543E-4,NO
354,355,0.00228310502283105,NO
355,53,0.00228310502283105,NO
356,804,0.9977168949771688,NO
357,75,5.72737686139748E-4,NO
358,125,0.00228310502283105,NO
359,200,0.00228310502283105,NO
360,134,0.0011441647597254007,NO
361,57,0.333587786259542,NO
362,123,0.00228310502283105,NO
363,266,0.9977168949771688,NO
364,162,0.9977168949771688,NO
365,130,0.00228310502283105,NO
366,108,0.00228310502283105,NO
367,354,0.00228310502283105,NO
368,88,0.00228310502283105,NO
369,28,7.633587786259543E-4,NO
370,58,0.333587786259542,NO
371,308,0.00228310502283105,NO
372,343,0.00228310502283105,NO
373,103,0.00228310502283105,NO
374,35,0.0011441647597254007,NO
375,98,0.333587786259542,NO
376,117,7.633587786259543E-4,NO
