ID,Size,Predicted,Actual
0,215,4.6641791044776124E-4,NO
1,273,4.6641791044776124E-4,YES
2,460,9.319664492078286E-4,YES
3,138,0.2001120029867463,NO
4,358,9.319664492078286E-4,NO
5,1154,0.9990680335507922,YES
6,51,3.110419906687403E-4,NO
7,157,9.319664492078286E-4,NO
8,31,1.8667164457718873E-4,NO
9,1009,9.319664492078286E-4,YES
10,193,0.9990680335507922,NO
11,83,3.110419906687403E-4,YES
12,262,9.319664492078286E-4,NO
13,638,0.9990680335507922,YES
14,40,4.6641791044776124E-4,NO
15,374,0.9990680335507922,NO
16,390,9.319664492078286E-4,NO
17,51,3.110419906687403E-4,NO
18,579,9.319664492078286E-4,YES
19,32,2.333177788147457E-4,NO
20,66,1.8667164457718873E-4,NO
21,260,9.319664492078286E-4,YES
22,596,9.319664492078286E-4,NO
23,198,9.319664492078286E-4,NO
24,50,1.5556938394523958E-4,NO
25,27,7.181328545780969E-5,NO
26,926,9.319664492078286E-4,NO
27,60,3.110419906687403E-4,NO
28,62,1.1668611435239207E-4,NO
29,87,9.319664492078286E-4,NO
30,52,9.319664492078286E-4,NO
31,297,9.319664492078286E-4,NO
32,163,4.6641791044776124E-4,NO
33,118,9.319664492078286E-4,NO
34,83,3.110419906687403E-4,NO
35,147,2.333177788147457E-4,NO
36,58,0.12508751458576428,NO
37,44,3.110419906687403E-4,NO
38,106,9.319664492078286E-4,NO
39,192,9.319664492078286E-4,NO
40,151,9.319664492078286E-4,NO
41,352,9.319664492078286E-4,YES
42,752,0.9990680335507922,YES
43,877,9.319664492078286E-4,YES
44,319,0.9990680335507922,YES
45,27,9.319664492078286E-4,NO
46,55,4.6641791044776124E-4,NO
47,94,0.5,NO
48,191,4.6641791044776124E-4,NO
49,90,3.110419906687403E-4,NO
50,90,0.9990680335507922,NO
51,271,9.319664492078286E-4,YES
52,138,0.2001120029867463,NO
53,79,3.110419906687403E-4,NO
54,82,9.319664492078286E-4,NO
55,147,2.333177788147457E-4,NO
56,422,9.319664492078286E-4,YES
57,1026,0.9990680335507922,YES
58,530,9.319664492078286E-4,NO
59,189,9.319664492078286E-4,YES
60,167,9.319664492078286E-4,YES
61,86,4.6641791044776124E-4,NO
62,195,0.9990680335507922,YES
63,374,9.319664492078286E-4,YES
64,573,9.319664492078286E-4,NO
65,126,9.319664492078286E-4,YES
66,106,2.333177788147457E-4,YES
67,109,3.110419906687403E-4,NO
68,85,2.333177788147457E-4,NO
69,237,9.319664492078286E-4,NO
70,345,0.9990680335507922,YES
71,47,3.110419906687403E-4,NO
72,781,0.9990680335507922,YES
73,27,7.181328545780969E-5,NO
74,89,3.110419906687403E-4,NO
75,300,9.319664492078286E-4,YES
76,166,9.319664492078286E-4,NO
77,92,0.16677037958929683,NO
78,497,9.319664492078286E-4,YES
79,93,9.319664492078286E-4,NO
80,244,9.319664492078286E-4,NO
81,183,9.319664492078286E-4,YES
82,252,9.319664492078286E-4,NO
