ID,Size,Predicted,Actual
0,215,3.001200480192077E-4,NO
1,273,8.992805755395684E-4,YES
2,460,8.992805755395684E-4,YES
3,138,8.992805755395684E-4,NO
4,358,0.9995499549954997,NO
5,1248,0.9997748761819,YES
6,51,3.001200480192077E-4,NO
7,157,8.992805755395684E-4,NO
8,31,2.2512381809995495E-4,NO
9,981,0.9997748761819,YES
10,180,3.001200480192077E-4,NO
11,262,8.992805755395684E-4,NO
12,553,0.9991007194244604,YES
13,40,8.992805755395684E-4,NO
14,369,0.9995499549954997,NO
15,390,0.9995499549954997,NO
16,51,3.001200480192077E-4,NO
17,577,0.9991007194244604,YES
18,32,4.500450045004501E-4,NO
19,66,2.2512381809995495E-4,NO
20,188,4.500450045004501E-4,YES
21,582,0.9991007194244604,YES
22,160,8.992805755395684E-4,YES
23,50,3.001200480192077E-4,NO
24,27,1.2866700977869273E-4,NO
25,923,0.9997748761819,YES
26,60,2.2512381809995495E-4,NO
27,62,2.2512381809995495E-4,NO
28,87,8.992805755395684E-4,NO
29,52,4.500450045004501E-4,NO
30,268,8.992805755395684E-4,YES
31,163,8.992805755395684E-4,NO
32,109,3.001200480192077E-4,NO
33,147,3.001200480192077E-4,NO
34,58,3.001200480192077E-4,NO
35,44,0.6666166316421495,NO
36,106,0.9998874127448774,YES
37,139,8.992805755395684E-4,NO
38,326,0.9996998799519808,YES
39,648,0.9991007194244604,YES
40,792,0.9997748761819,YES
41,319,0.9996998799519808,YES
42,55,4.500450045004501E-4,NO
43,191,4.500450045004501E-4,NO
44,90,0.7142305712815235,NO
45,273,8.992805755395684E-4,YES
46,137,8.992805755395684E-4,NO
47,79,8.992805755395684E-4,NO
48,82,1.5010507355148604E-4,NO
49,147,3.001200480192077E-4,NO
50,422,3.001200480192077E-4,YES
51,979,0.9997748761819,YES
52,495,0.9991007194244604,YES
53,189,4.500450045004501E-4,YES
54,167,0.9995499549954997,YES
55,86,4.500450045004501E-4,NO
56,182,4.500450045004501E-4,YES
57,361,4.500450045004501E-4,YES
58,126,8.992805755395684E-4,YES
59,106,0.9998874127448774,NO
60,109,3.001200480192077E-4,NO
61,85,4.500450045004501E-4,NO
62,236,3.001200480192077E-4,NO
63,315,0.9996998799519808,YES
64,695,0.9997748761819,YES
65,27,1.2866700977869273E-4,NO
66,89,8.992805755395684E-4,NO
67,301,0.9996998799519808,YES
68,153,8.992805755395684E-4,YES
69,92,0.833233263284299,NO
70,466,8.992805755395684E-4,YES
71,93,0.8570509521358723,NO
72,244,3.001200480192077E-4,NO
73,192,4.500450045004501E-4,YES
74,252,8.992805755395684E-4,NO
75,109,3.001200480192077E-4,NO
76,601,0.9991007194244604,YES
77,565,0.9991007194244604,YES
78,69,0.9995499549954997,NO
79,77,2.2512381809995495E-4,NO
80,94,0.8570509521358723,YES
81,337,0.9995499549954997,NO
82,214,3.001200480192077E-4,NO
83,79,8.992805755395684E-4,NO
84,25,1.2866700977869273E-4,NO
85,84,1.8011527377521613E-4,NO
86,34,3.001200480192077E-4,NO
87,33,4.500450045004501E-4,NO
88,104,0.9998874127448774,NO
89,172,8.992805755395684E-4,NO
90,70,8.992805755395684E-4,NO
91,140,4.500450045004501E-4,NO
92,156,8.992805755395684E-4,NO
93,248,3.001200480192077E-4,NO
94,277,8.992805755395684E-4,YES
95,189,0.9996998799519808,NO
96,194,0.9996998799519808,NO
97,346,4.500450045004501E-4,NO
98,304,8.992805755395684E-4,NO
99,356,8.992805755395684E-4,YES
100,84,8.992805755395684E-4,NO
101,53,8.992805755395684E-4,NO
102,132,8.992805755395684E-4,NO
103,4088,8.992805755395684E-4,NO
104,691,0.9996998799519808,YES
105,47,0.9997748761819,NO
106,101,0.9991007194244604,NO
107,510,0.9998498949264485,YES
108,328,0.9996998799519808,YES
109,273,8.992805755395684E-4,YES
110,136,8.992805755395684E-4,NO
111,56,8.992805755395684E-4,NO
112,74,1.5010507355148604E-4,NO
113,359,0.9995499549954997,YES
114,174,3.001200480192077E-4,NO
115,148,0.6363413036357681,NO
116,92,0.833233263284299,NO
117,45,0.7998919308357348,NO
118,168,8.992805755395684E-4,NO
119,77,2.2512381809995495E-4,NO
120,666,0.9991007194244604,NO
121,88,8.992805755395684E-4,NO
122,262,8.992805755395684E-4,NO
123,54,4.500450045004501E-4,NO
124,48,8.188666885031116E-5,YES
125,140,4.500450045004501E-4,YES
126,152,8.992805755395684E-4,NO
127,39,1.8011527377521613E-4,NO
128,131,8.992805755395684E-4,NO
129,47,4.500450045004501E-4,NO
130,129,8.992805755395684E-4,NO
131,43,8.992805755395684E-4,NO
132,243,3.001200480192077E-4,YES
133,62,2.2512381809995495E-4,NO
134,45,0.7998919308357348,NO
135,97,3.001200480192077E-4,NO
136,476,0.9997748761819,NO
137,77,0.2001080691642651,NO
138,69,4.500450045004501E-4,NO
139,104,8.992805755395684E-4,NO
140,115,8.992805755395684E-4,NO
141,421,0.9996998799519808,NO
142,61,3.001200480192077E-4,NO
143,2009,0.9997748761819,NO
144,179,0.9996998799519808,NO
145,106,2.2512381809995495E-4,NO
146,33,8.992805755395684E-4,NO
147,657,8.992805755395684E-4,NO
148,295,0.9998198847262247,NO
149,872,0.9995499549954997,NO
150,444,0.9996998799519808,NO
151,168,8.992805755395684E-4,NO
152,752,0.9998198847262247,NO
153,135,4.500450045004501E-4,NO
154,1126,0.9997748761819,NO
155,163,8.992805755395684E-4,NO
156,184,0.9996998799519808,NO
157,51,3.001200480192077E-4,NO
158,25,3.001200480192077E-4,NO
159,180,0.9996998799519808,NO
160,64,0.9998198847262247,NO
161,101,4.500450045004501E-4,NO
162,512,0.9996998799519808,NO
163,187,0.9996998799519808,NO
164,56,4.500450045004501E-4,NO
165,39,4.500450045004501E-4,NO
166,261,0.9997748761819,NO
167,73,8.992805755395684E-4,NO
168,65,0.9998198847262247,NO
169,329,8.992805755395684E-4,NO
170,64,0.9998198847262247,NO
171,164,8.992805755395684E-4,NO
172,624,4.500450045004501E-4,NO
173,74,8.992805755395684E-4,NO
174,117,8.992805755395684E-4,NO
175,84,8.992805755395684E-4,NO
176,226,0.9998198847262247,NO
177,76,0.2001080691642651,NO
178,323,8.992805755395684E-4,NO
179,72,8.992805755395684E-4,NO
180,42,4.500450045004501E-4,NO
181,48,8.188666885031116E-5,NO
182,89,8.992805755395684E-4,NO
183,380,0.9995499549954997,NO
184,141,0.9998198847262247,NO
185,148,8.992805755395684E-4,NO
186,191,4.500450045004501E-4,NO
187,46,4.500450045004501E-4,NO
188,165,8.992805755395684E-4,NO
189,171,8.992805755395684E-4,NO
190,56,8.992805755395684E-4,NO
191,179,3.001200480192077E-4,NO
192,74,1.5010507355148604E-4,NO
193,36,8.992805755395684E-4,NO
194,37,1.5010507355148604E-4,NO
195,34,3.001200480192077E-4,NO
196,34,3.001200480192077E-4,NO
197,38,0.7998919308357348,NO
198,39,1.8011527377521613E-4,NO
199,156,8.992805755395684E-4,NO
200,84,1.8011527377521613E-4,NO
201,117,2.2512381809995495E-4,NO
202,94,0.8570509521358723,NO
203,71,8.992805755395684E-4,NO
204,183,4.500450045004501E-4,NO
205,85,4.500450045004501E-4,NO
206,183,4.500450045004501E-4,NO
207,70,8.992805755395684E-4,NO
208,54,4.500450045004501E-4,NO
209,160,0.9997748761819,NO
210,125,8.992805755395684E-4,NO
211,151,8.992805755395684E-4,NO
212,422,3.001200480192077E-4,NO
213,221,3.001200480192077E-4,NO
214,50,3.001200480192077E-4,NO
215,42,4.500450045004501E-4,NO
216,624,0.9991007194244604,NO
217,377,0.9995499549954997,NO
218,383,0.9995499549954997,YES
219,72,8.992805755395684E-4,NO
220,92,0.833233263284299,NO
221,282,8.992805755395684E-4,NO
222,371,0.9995499549954997,NO
223,47,4.500450045004501E-4,NO
224,108,3.001200480192077E-4,NO
225,111,3.001200480192077E-4,NO
226,319,0.9996998799519808,NO
227,129,8.992805755395684E-4,NO
228,49,2.2512381809995495E-4,NO
229,358,0.9995499549954997,NO
230,277,8.992805755395684E-4,NO
231,49,2.2512381809995495E-4,NO
232,89,8.992805755395684E-4,NO
233,41,4.500450045004501E-4,NO
234,66,2.2512381809995495E-4,NO
235,63,0.6665666266506604,NO
236,24,4.500450045004501E-4,NO
237,50,3.001200480192077E-4,NO
238,72,8.992805755395684E-4,NO
239,47,4.500450045004501E-4,NO
240,47,4.500450045004501E-4,NO
241,183,4.500450045004501E-4,NO
242,49,2.2512381809995495E-4,NO
243,50,3.001200480192077E-4,NO
244,98,2.2512381809995495E-4,NO
245,143,8.992805755395684E-4,NO
246,43,8.992805755395684E-4,NO
247,42,4.500450045004501E-4,NO
248,56,8.992805755395684E-4,NO
249,44,0.6666166316421495,NO
250,26,1.2866700977869273E-4,NO
251,254,8.992805755395684E-4,NO
252,16883,4.500450045004501E-4,NO
253,74,1.5010507355148604E-4,NO
254,153,8.992805755395684E-4,NO
255,68,0.5,NO
256,100,2.2512381809995495E-4,NO
257,550,0.9991007194244604,NO
258,437,3.001200480192077E-4,NO
259,1038,0.9997748761819,NO
260,104,8.992805755395684E-4,NO
261,332,0.9995499549954997,NO
262,123,8.992805755395684E-4,NO
263,106,0.9998874127448774,NO
264,106,0.9998874127448774,NO
265,94,8.992805755395684E-4,NO
266,101,4.500450045004501E-4,NO
267,38,0.7998919308357348,NO
268,628,4.500450045004501E-4,NO
269,32,4.500450045004501E-4,NO
270,111,3.001200480192077E-4,NO
271,35,3.001200480192077E-4,NO
272,90,0.7142305712815235,NO
273,27,1.2866700977869273E-4,NO
274,28,2.2512381809995495E-4,NO
275,92,0.833233263284299,NO
276,956,0.9996998799519808,YES
277,67,4.500450045004501E-4,NO
278,29,1.8011527377521613E-4,NO
279,105,0.9998874127448774,NO
280,72,8.992805755395684E-4,NO
281,37,1.5010507355148604E-4,NO
282,47,4.500450045004501E-4,NO
283,31,2.2512381809995495E-4,NO
284,90,0.7142305712815235,NO
285,223,3.001200480192077E-4,NO
286,214,3.001200480192077E-4,NO
287,107,0.9998874127448774,NO
288,37,1.5010507355148604E-4,NO
289,27,1.2866700977869273E-4,NO
290,48,8.188666885031116E-5,NO
291,167,8.992805755395684E-4,NO
292,213,3.001200480192077E-4,NO
293,867,0.9997748761819,NO
294,159,0.9997748761819,NO
295,100,2.2512381809995495E-4,NO
296,96,0.9998713329902212,NO
297,842,0.9997748761819,NO
298,525,0.9998498949264485,NO
299,83,1.8011527377521613E-4,NO
300,63,0.6665666266506604,NO
301,76,4.500450045004501E-4,NO
302,202,8.992805755395684E-4,NO
