ID,Size,Predicted,Actual
0,215,1.3896609227348526E-4,NO
1,274,0.7999749812359268,YES
2,461,4.1666666666666664E-4,YES
3,138,0.5,NO
4,358,1.3896609227348526E-4,NO
5,1248,0.9998957681884512,YES
6,51,5.212133847597206E-5,NO
7,45,0.8888528539659005,NO
8,157,2.0842017507294707E-4,NO
9,31,6.949270326615705E-5,NO
10,1008,0.9999404336430784,YES
11,55,4.1666666666666664E-4,NO
12,204,0.9998610339077265,NO
13,55,4.1666666666666664E-4,NO
14,103,2.0842017507294707E-4,NO
15,83,0.6666435024322446,NO
16,262,4.1666666666666664E-4,NO
17,83,1.3896609227348526E-4,NO
18,867,0.9999478786615239,YES
19,40,2.7799399532970085E-5,NO
20,387,4.1666666666666664E-4,YES
21,390,0.9999404336430784,NO
22,51,5.212133847597206E-5,NO
23,637,0.9998957681884512,YES
24,32,6.949270326615705E-5,NO
25,68,4.1666666666666664E-4,YES
26,547,0.9999166110740494,YES
27,566,0.9999166110740494,NO
28,314,0.9997915798249271,YES
29,839,0.9999478786615239,YES
30,211,0.9998957681884512,NO
31,31,4.1666666666666664E-4,NO
32,50,3.790750568612585E-5,NO
33,27,1.8130393792153167E-5,NO
34,175,4.1666666666666664E-4,NO
35,50,4.1666666666666664E-4,NO
36,62,2.6062027625749286E-5,NO
37,87,2.0842017507294707E-4,NO
38,52,4.1666666666666664E-4,NO
39,373,0.9999404336430784,NO
40,224,4.1666666666666664E-4,NO
41,118,4.1666666666666664E-4,YES
42,83,0.6666435024322446,NO
43,147,4.1697940121757986E-5,NO
44,58,4.1666666666666664E-4,NO
45,44,4.633061527057079E-5,NO
46,106,0.4285799380509888,NO
47,189,2.0842017507294707E-4,NO
48,151,4.1666666666666664E-4,NO
49,352,4.1666666666666664E-4,YES
50,849,0.9999404336430784,YES
51,877,4.1666666666666664E-4,YES
52,41,1.3896609227348526E-4,NO
53,319,4.1666666666666664E-4,YES
54,27,1.8130393792153167E-5,NO
55,55,6.949270326615705E-5,NO
56,94,0.7142729493060105,NO
57,191,5.9566356921610674E-5,NO
58,90,8.338892595063375E-5,NO
59,90,8.338892595063375E-5,NO
60,271,0.9999404336430784,YES
61,152,4.1666666666666664E-4,NO
62,90,4.1666666666666664E-4,YES
63,82,1.3896609227348526E-4,NO
64,147,4.1697940121757986E-5,NO
65,422,4.633061527057079E-5,YES
66,1059,4.1666666666666664E-4,YES
67,530,2.0842017507294707E-4,YES
68,205,4.1666666666666664E-4,YES
69,190,0.9999478786615239,NO
70,86,1.0423181154888472E-4,NO
71,207,4.1666666666666664E-4,YES
72,397,4.1666666666666664E-4,YES
73,573,0.9999478786615239,NO
74,126,1.0423181154888472E-4,YES
75,167,2.0842017507294707E-4,YES
76,109,1.0423181154888472E-4,YES
77,85,1.0423181154888472E-4,NO
78,237,0.9999166110740494,NO
79,424,2.0842017507294707E-4,YES
80,47,1.9857029388403494E-5,NO
81,1118,0.9998610339077265,YES
82,27,1.8130393792153167E-5,NO
83,89,1.3896609227348526E-4,NO
84,474,0.9998957681884512,YES
85,166,1.3896609227348526E-4,NO
86,92,0.5,NO
87,476,0.9999478786615239,YES
88,93,1.3896609227348526E-4,NO
89,244,4.1666666666666664E-4,NO
90,204,2.0842017507294707E-4,YES
91,252,4.1666666666666664E-4,NO
92,109,1.0423181154888472E-4,YES
93,618,4.1666666666666664E-4,YES
94,565,0.9999478786615239,YES
95,69,0.5,NO
96,77,2.4529042386185245E-5,NO
97,97,2.0842017507294707E-4,NO
98,343,1.3896609227348526E-4,NO
99,214,1.3896609227348526E-4,NO
100,79,1.0423181154888472E-4,NO
101,25,2.0842017507294707E-4,NO
102,84,0.2500130310138129,NO
103,34,8.338892595063375E-5,NO
104,33,3.790750568612585E-5,NO
105,104,8.338892595063375E-5,NO
106,172,1.3896609227348526E-4,NO
107,70,4.633061527057079E-5,NO
108,140,4.1666666666666664E-4,NO
109,156,2.0842017507294707E-4,NO
110,142,4.1666666666666664E-4,NO
111,152,4.1666666666666664E-4,NO
112,31,6.949270326615705E-5,NO
113,60,1.3896609227348526E-4,NO
114,60,1.3896609227348526E-4,NO
115,876,4.1666666666666664E-4,NO
116,61,4.1666666666666664E-4,NO
