ID,Size,Predicted,Actual
0,215,1.6750979932326043E-5,NO
1,271,1.6750979932326043E-5,YES
2,458,0.0013698630136986304,YES
3,137,1.6750979932326043E-5,YES
4,357,0.0013698630136986304,YES
5,1242,0.0013698630136986304,YES
6,51,1.6750979932326043E-5,NO
7,154,3.431708991077557E-4,YES
8,31,1.6750979932326043E-5,NO
9,928,0.0013698630136986304,NO
10,180,1.6750979932326043E-5,NO
11,260,0.0013698630136986304,YES
12,551,0.0013698630136986304,YES
13,40,1.6750979932326043E-5,NO
14,361,0.0013698630136986304,YES
15,388,0.0013698630136986304,YES
16,51,0.0013698630136986304,NO
17,577,0.0013698630136986304,NO
18,32,1.6750979932326043E-5,NO
19,66,1.6750979932326043E-5,NO
20,188,0.0013698630136986304,YES
21,582,0.0013698630136986304,NO
22,158,0.0013698630136986304,YES
23,50,0.0013698630136986304,NO
24,27,1.6750979932326043E-5,NO
25,928,0.0013698630136986304,YES
26,60,1.6750979932326043E-5,NO
27,62,0.0013698630136986304,NO
28,87,0.0013698630136986304,NO
29,52,0.0013698630136986304,NO
30,268,0.0013698630136986304,NO
31,163,1.6750979932326043E-5,NO
32,109,0.0013698630136986304,NO
33,147,1.6750979932326043E-5,NO
34,58,1.9615535504119265E-4,NO
35,44,1.6750979932326043E-5,NO
36,106,0.0013698630136986304,NO
37,139,1.6750979932326043E-5,NO
38,326,0.0013698630136986304,NO
39,648,0.0013698630136986304,NO
40,778,0.9986301369863013,YES
41,314,0.0013698630136986304,YES
42,55,1.6750979932326043E-5,NO
43,191,0.0013698630136986304,NO
44,90,0.0013698630136986304,NO
45,273,0.9986301369863013,NO
46,137,0.0013698630136986304,NO
47,79,0.0013698630136986304,NO
48,82,0.0013698630136986304,NO
49,147,0.0013698630136986304,NO
50,422,0.9986301369863013,NO
51,978,0.0013698630136986304,YES
52,467,0.0013698630136986304,YES
53,189,0.0013698630136986304,NO
54,153,0.0013698630136986304,NO
55,84,1.6750979932326043E-5,YES
56,182,0.0013698630136986304,NO
57,358,0.0013698630136986304,NO
58,126,0.0013698630136986304,NO
59,106,0.0013698630136986304,NO
60,109,0.0013698630136986304,NO
61,85,1.6750979932326043E-5,NO
62,236,0.0013698630136986304,NO
63,314,0.0013698630136986304,YES
64,694,0.0013698630136986304,YES
65,27,1.6750979932326043E-5,NO
66,89,0.0013698630136986304,NO
67,301,0.0013698630136986304,YES
68,153,0.0013698630136986304,NO
69,92,0.0013698630136986304,NO
70,466,0.0013698630136986304,NO
71,93,0.0013698630136986304,NO
72,244,0.0013698630136986304,NO
73,192,0.0013698630136986304,NO
74,250,0.0013698630136986304,YES
75,109,0.0013698630136986304,NO
76,601,0.0013698630136986304,NO
77,565,0.9986301369863013,YES
78,69,0.0013698630136986304,NO
79,77,6.858710562414267E-4,NO
80,94,0.0013698630136986304,NO
81,337,0.9986301369863013,NO
82,214,0.0013698630136986304,NO
83,79,0.9986301369863013,NO
84,25,4.574565416285453E-4,NO
85,84,0.0013698630136986304,NO
86,34,0.0013698630136986304,NO
87,33,6.858710562414267E-4,NO
88,104,0.0013698630136986304,NO
89,172,0.9986301369863013,NO
90,70,0.0013698630136986304,NO
91,140,0.0013698630136986304,NO
92,154,0.0013698630136986304,YES
93,248,0.0013698630136986304,NO
94,275,0.0013698630136986304,YES
95,176,3.431708991077557E-4,NO
96,624,0.0013698630136986304,YES
97,91,0.0013698630136986304,YES
98,58,1.6750979932326043E-5,YES
99,132,1.9615535504119265E-4,NO
100,4088,0.9986301369863013,NO
101,558,0.0013698630136986304,NO
102,727,0.0013698630136986304,YES
103,150,0.0013698630136986304,YES
104,503,0.9986301369863013,YES
105,325,0.9986301369863013,NO
106,273,0.0013698630136986304,YES
107,136,0.0013698630136986304,NO
108,56,0.0013698630136986304,NO
109,74,0.0013698630136986304,NO
110,357,0.9986301369863013,YES
111,174,1.6750979932326043E-5,NO
112,148,1.6750979932326043E-5,NO
113,92,1.6750979932326043E-5,NO
114,45,0.0013698630136986304,NO
115,168,0.0013698630136986304,NO
116,77,1.6750979932326043E-5,NO
117,664,1.6750979932326043E-5,YES
118,88,6.858710562414267E-4,NO
119,260,0.0013698630136986304,YES
120,54,1.6750979932326043E-5,NO
121,48,0.0013698630136986304,NO
122,140,0.0013698630136986304,NO
123,152,0.0013698630136986304,NO
124,39,1.6750979932326043E-5,NO
125,131,0.0013698630136986304,NO
126,47,1.6750979932326043E-5,NO
127,129,0.0013698630136986304,NO
128,43,1.6750979932326043E-5,NO
129,243,0.0013698630136986304,NO
130,62,0.0013698630136986304,NO
131,45,6.858710562414267E-4,NO
132,94,0.0013698630136986304,YES
133,72,1.6750979932326043E-5,NO
134,42,1.6750979932326043E-5,NO
135,48,1.6750979932326043E-5,NO
136,89,0.0013698630136986304,NO
137,380,0.0013698630136986304,NO
138,138,0.0013698630136986304,YES
139,142,0.0013698630136986304,YES
140,191,0.0013698630136986304,NO
141,46,1.6750979932326043E-5,NO
142,165,1.6750979932326043E-5,NO
143,171,0.0013698630136986304,NO
144,56,0.0013698630136986304,NO
145,179,0.0013698630136986304,NO
146,74,1.6750979932326043E-5,NO
147,36,1.6750979932326043E-5,NO
148,37,1.6750979932326043E-5,NO
149,34,0.0013698630136986304,NO
150,34,0.0013698630136986304,NO
151,38,1.6750979932326043E-5,NO
152,39,1.6750979932326043E-5,NO
153,156,0.0013698630136986304,NO
154,84,0.0013698630136986304,NO
155,117,0.0013698630136986304,NO
156,94,0.0013698630136986304,NO
157,71,0.0013698630136986304,NO
158,183,0.0013698630136986304,NO
159,85,0.0013698630136986304,NO
160,183,0.0013698630136986304,NO
161,70,0.0013698630136986304,NO
162,54,0.0013698630136986304,NO
163,160,0.0013698630136986304,NO
164,125,0.0013698630136986304,NO
165,151,0.0013698630136986304,NO
166,421,0.0013698630136986304,YES
167,219,0.0013698630136986304,YES
168,50,0.0013698630136986304,NO
169,42,0.0013698630136986304,NO
170,624,0.0013698630136986304,NO
171,377,0.0013698630136986304,NO
172,383,0.0013698630136986304,NO
173,72,0.0013698630136986304,NO
174,92,0.0013698630136986304,NO
175,284,0.0013698630136986304,YES
176,371,0.9986301369863013,NO
177,47,0.0013698630136986304,NO
178,108,0.0013698630136986304,NO
179,111,0.0013698630136986304,NO
180,319,0.0013698630136986304,NO
181,129,0.0013698630136986304,NO
182,49,0.0013698630136986304,NO
183,358,0.0013698630136986304,NO
184,277,0.9986301369863013,NO
185,49,0.0013698630136986304,NO
186,89,0.0013698630136986304,NO
187,41,1.6750979932326043E-5,NO
188,66,1.6750979932326043E-5,NO
189,63,1.6750979932326043E-5,NO
190,24,0.0013698630136986304,NO
191,50,0.0013698630136986304,NO
192,72,0.0013698630136986304,NO
193,47,0.0013698630136986304,NO
194,47,1.6750979932326043E-5,NO
195,183,1.6750979932326043E-5,NO
196,49,1.6750979932326043E-5,NO
197,50,1.6750979932326043E-5,NO
198,98,1.6750979932326043E-5,NO
199,143,1.6750979932326043E-5,NO
