ID,Size,Predicted,Actual
0,212,3.195909236177693E-4,NO
1,274,0.9999600287792789,NO
2,461,0.9996804090763822,YES
3,138,3.195909236177693E-4,NO
4,358,6.395088571976723E-5,NO
5,1272,3.195909236177693E-4,YES
6,51,3.5530289571860014E-5,NO
7,45,0.0909328759556964,NO
8,157,1.5984654731457802E-4,NO
9,31,3.197748784855462E-5,NO
10,1406,0.9996804090763822,YES
11,55,7.993605115907276E-5,NO
12,204,1.065757220505169E-4,NO
13,55,7.993605115907276E-5,NO
14,103,6.395088571976723E-5,NO
15,34,1.5984654731457802E-4,NO
16,83,0.16670219569388192,NO
17,285,0.9996804090763822,NO
18,83,0.16670219569388192,NO
19,129,3.195909236177693E-4,NO
20,867,1.5984654731457802E-4,YES
21,380,3.195909236177693E-4,NO
22,40,7.993605115907276E-5,NO
23,387,3.195909236177693E-4,YES
24,390,3.195909236177693E-4,NO
25,51,3.5530289571860014E-5,NO
26,637,0.9996804090763822,YES
27,32,3.9971220721080824E-5,NO
28,68,1.065757220505169E-4,YES
29,547,1.5984654731457802E-4,YES
30,566,3.195909236177693E-4,NO
31,314,3.195909236177693E-4,YES
32,907,0.9996804090763822,YES
33,275,3.195909236177693E-4,NO
34,31,3.197748784855462E-5,NO
35,50,2.2841480127912292E-5,NO
36,27,1.2299517858899933E-5,NO
37,175,7.993605115907276E-5,NO
38,50,2.2841480127912292E-5,NO
39,62,1.9986409241715634E-5,NO
40,87,1.5984654731457802E-4,NO
41,52,1.065757220505169E-4,NO
42,373,1.065757220505169E-4,NO
43,224,1.065757220505169E-4,NO
44,118,3.195909236177693E-4,YES
45,83,3.195909236177693E-4,NO
46,147,3.9971220721080824E-5,NO
47,58,0.07694389097975549,NO
48,44,4.5680873418299765E-5,NO
49,106,0.10002558199027885,NO
50,238,0.9996804090763822,NO
51,43,7.993605115907276E-5,NO
52,185,3.195909236177693E-4,YES
53,189,0.5,NO
54,151,7.993605115907276E-5,NO
55,364,0.9996804090763822,NO
56,910,0.9996804090763822,NO
57,889,3.195909236177693E-4,NO
58,43,0.9996804090763822,NO
59,325,0.9996804090763822,NO
60,27,1.2299517858899933E-5,NO
61,55,7.993605115907276E-5,NO
62,93,3.195909236177693E-4,NO
63,191,5.3293540822852274E-5,NO
64,90,3.197748784855462E-5,NO
65,89,3.195909236177693E-4,NO
66,272,0.5,NO
67,152,3.195909236177693E-4,NO
68,90,3.197748784855462E-5,YES
69,82,1.5984654731457802E-4,NO
70,148,0.9996804090763822,NO
71,421,0.9996804090763822,YES
72,1190,0.9996804090763822,YES
73,528,3.195909236177693E-4,YES
74,205,0.9996804090763822,YES
75,190,0.9996804090763822,NO
76,86,4.5680873418299765E-5,NO
77,212,3.195909236177693E-4,YES
78,404,0.9996804090763822,NO
79,572,3.195909236177693E-4,NO
80,132,3.195909236177693E-4,NO
81,168,3.195909236177693E-4,NO
82,109,4.5680873418299765E-5,YES
83,85,3.9971220721080824E-5,NO
84,107,3.195909236177693E-4,NO
85,237,3.195909236177693E-4,NO
86,511,0.9996804090763822,YES
87,47,1.5227885303567895E-5,NO
88,1328,0.9996804090763822,YES
89,27,1.2299517858899933E-5,NO
90,89,3.5530289571860014E-5,NO
91,482,0.9996804090763822,YES
92,226,3.195909236177693E-4,YES
93,166,3.195909236177693E-4,NO
94,92,3.195909236177693E-4,YES
95,476,1.5984654731457802E-4,NO
96,93,3.195909236177693E-4,YES
97,244,1.065757220505169E-4,NO
98,204,1.065757220505169E-4,NO
99,252,1.5984654731457802E-4,NO
100,119,3.195909236177693E-4,NO
101,733,3.195909236177693E-4,NO
102,630,0.9996804090763822,NO
103,69,0.16670219569388192,NO
104,77,2.4598430620126438E-5,NO
105,97,1.065757220505169E-4,NO
106,380,0.9996804090763822,NO
107,214,5.3293540822852274E-5,NO
108,38,1.065757220505169E-4,NO
109,79,5.3293540822852274E-5,NO
110,25,6.395088571976723E-5,NO
111,84,0.07694389097975549,NO
112,34,3.5530289571860014E-5,NO
113,33,6.395088571976723E-5,NO
114,104,4.5680873418299765E-5,NO
115,193,3.195909236177693E-4,NO
116,70,3.5530289571860014E-5,NO
117,140,7.993605115907276E-5,NO
118,22,3.195909236177693E-4,NO
119,156,6.395088571976723E-5,NO
120,142,3.195909236177693E-4,NO
121,100,1.5984654731457802E-4,YES
122,152,7.993605115907276E-5,NO
123,31,3.197748784855462E-5,NO
124,60,5.3293540822852274E-5,NO
125,60,5.3293540822852274E-5,NO
126,876,3.195909236177693E-4,NO
127,61,1.065757220505169E-4,NO
128,185,3.195909236177693E-4,NO
129,264,3.195909236177693E-4,NO
130,43,3.5530289571860014E-5,NO
131,248,1.065757220505169E-4,NO
132,361,0.9996804090763822,YES
133,199,3.195909236177693E-4,YES
134,194,3.195909236177693E-4,YES
135,346,1.5984654731457802E-4,YES
136,91,3.195909236177693E-4,NO
137,335,3.195909236177693E-4,YES
138,370,3.195909236177693E-4,NO
139,82,3.195909236177693E-4,NO
140,53,4.5680873418299765E-5,NO
141,148,3.195909236177693E-4,NO
142,4088,1.065757220505169E-4,NO
143,88,3.195909236177693E-4,NO
144,878,0.9996804090763822,YES
145,37,1.065757220505169E-4,NO
146,48,3.195909236177693E-4,NO
147,47,1.5227885303567895E-5,NO
148,101,0.0909328759556964,NO
149,556,0.9996804090763822,NO
150,360,0.9996804090763822,NO
151,284,0.9996804090763822,YES
152,135,3.195909236177693E-4,NO
153,56,2.6648190587859086E-5,NO
154,78,3.195909236177693E-4,NO
155,409,3.195909236177693E-4,YES
156,174,7.993605115907276E-5,NO
157,148,0.14288977205244166,NO
158,88,3.195909236177693E-4,NO
159,45,0.0909328759556964,YES
160,39,2.4598430620126438E-5,NO
161,182,0.5,NO
162,77,2.4598430620126438E-5,NO
163,666,1.5984654731457802E-4,NO
164,104,3.195909236177693E-4,YES
165,263,3.195909236177693E-4,YES
166,54,2.9070612517805754E-5,NO
167,76,4.5680873418299765E-5,NO
168,119,3.195909236177693E-4,NO
169,200,3.195909236177693E-4,NO
170,152,7.993605115907276E-5,NO
171,39,2.4598430620126438E-5,NO
172,677,3.195909236177693E-4,NO
