ID,Size,Predicted,Actual
0,215,7.294499457160056E-8,NO
1,273,2.8416931203204432E-8,YES
2,460,2.941190551107337E-8,YES
3,138,2.6832043915022554E-8,NO
4,358,2.8818261308564396E-8,NO
5,1154,0.9998269580104916,YES
6,51,2.5497354607909806E-8,NO
7,157,2.6832043915022554E-8,NO
8,31,2.5497354607909806E-8,NO
9,1009,7.803586614949319E-7,YES
10,193,6.629067113063508E-8,NO
11,83,8.838551292844922E-8,YES
12,262,2.794975291957666E-8,NO
13,638,5.210785156667984E-7,YES
14,40,2.5497354607909806E-8,NO
15,374,1.8326314886080673E-6,NO
16,390,2.9150752516270775E-8,NO
17,51,2.5497354607909806E-8,NO
18,579,4.643873115750319E-7,YES
19,32,2.5497354607909806E-8,NO
20,66,2.5497354607909806E-8,NO
21,260,8.051491714902419E-7,YES
22,596,0.002254653485088691,NO
23,198,7.89440268359667E-7,NO
24,50,2.5497354607909806E-8,NO
25,27,2.5497354607909806E-8,NO
26,926,8.66155409723869E-6,NO
27,60,2.5497354607909806E-8,NO
28,62,2.5497354607909806E-8,NO
29,87,2.618959255483722E-8,NO
30,52,2.5497354607909806E-8,NO
31,297,8.266823092006048E-7,NO
32,163,2.6832043915022554E-8,NO
33,118,6.439739592094055E-8,NO
34,83,8.838551292844922E-8,NO
35,147,2.6832043915022554E-8,NO
36,58,2.5497354607909806E-8,NO
37,44,2.5497354607909806E-8,NO
38,106,1.314685390297261E-7,NO
39,192,6.26573297290129E-5,NO
40,151,6.589767746584077E-8,NO
41,352,7.038141551988669E-8,YES
42,752,6.116679057242444E-6,YES
43,877,2.555066860416157E-6,YES
44,319,6.403789445819087E-6,YES
45,27,1.2480948510449798E-7,NO
46,55,2.5497354607909806E-8,NO
47,94,1.1178527439426627E-7,NO
48,191,2.7420171477423214E-8,NO
49,90,2.618959255483722E-8,NO
50,90,1.1178527439426627E-7,NO
51,271,1.5151817910604967E-7,YES
52,138,7.138041792513866E-8,NO
53,79,2.618959255483722E-8,NO
54,82,2.618959255483722E-8,NO
55,147,2.6832043915022554E-8,NO
56,422,2.941190551107337E-8,YES
57,1026,0.002085517851142289,YES
58,530,8.699632297062262E-6,NO
59,189,2.7420171477423214E-8,YES
60,167,7.138041792513866E-8,YES
61,86,2.618959255483722E-8,NO
62,195,2.4986985817603427E-7,YES
63,374,1.2477764349069684E-7,YES
64,573,0.7419092845439413,NO
65,126,2.6832043915022554E-8,YES
66,106,6.967132544087499E-8,YES
67,109,2.618959255483722E-8,NO
68,85,2.618959255483722E-8,NO
69,237,7.435382287387089E-8,NO
70,345,6.999349509705706E-8,YES
71,47,6.32211135716451E-8,NO
72,781,4.465062125681471E-7,YES
73,27,2.5497354607909806E-8,NO
74,89,2.618959255483722E-8,NO
75,300,2.6546657005942388E-6,YES
76,166,2.326514391552098E-6,NO
77,92,2.618959255483722E-8,NO
78,497,0.00764092318017511,YES
79,93,2.618959255483722E-8,NO
80,244,2.794975291957666E-8,NO
81,183,1.43537853185896E-7,YES
82,252,2.794975291957666E-8,NO
83,109,2.618959255483722E-8,YES
84,607,9.367796803465461E-6,YES
85,565,9.307700770889119E-7,YES
86,69,2.5497354607909806E-8,NO
87,77,2.618959255483722E-8,NO
88,97,1.3964208117163003E-7,NO
89,343,7.526651623555118E-8,NO
90,214,2.7420171477423214E-8,NO
91,79,2.618959255483722E-8,NO
92,25,2.5497354607909806E-8,NO
93,84,2.618959255483722E-8,NO
94,34,2.5497354607909806E-8,NO
95,33,2.5497354607909806E-8,NO
96,104,2.618959255483722E-8,NO
97,172,2.7420171477423214E-8,NO
98,70,2.5497354607909806E-8,NO
99,140,2.6832043915022554E-8,NO
100,156,2.6832043915022554E-8,NO
101,142,3.2362023665677065E-7,NO
102,152,4.503896229839917E-7,NO
103,31,6.19277115331808E-8,NO
104,60,7.177839847978393E-8,NO
105,60,7.177839847978393E-8,NO
106,876,1.0,NO
107,61,7.177839847978393E-8,NO
108,185,1.8608619308275404E-6,NO
109,264,1.132822584990134E-4,NO
110,248,2.794975291957666E-8,NO
111,286,4.435737266965913E-7,YES
112,185,4.2801482464954357E-7,NO
113,194,2.7420171477423214E-8,NO
114,346,2.8818261308564396E-8,NO
115,309,7.421833650034959E-8,NO
116,363,5.4927505229479E-4,YES
117,84,2.618959255483722E-8,NO
118,53,2.5497354607909806E-8,NO
119,132,2.6832043915022554E-8,YES
120,4088,3.9765048606403464E-11,NO
121,721,0.0016909931061583727,YES
122,47,2.5497354607909806E-8,NO
123,101,2.618959255483722E-8,NO
124,517,2.968906213349348E-7,YES
125,327,1.536580582773222E-7,YES
126,274,8.890534907636629E-7,YES
127,136,2.6832043915022554E-8,YES
128,56,2.5497354607909806E-8,NO
129,74,2.618959255483722E-8,YES
130,361,9.07431078219615E-6,YES
131,174,2.7420171477423214E-8,NO
132,148,2.6832043915022554E-8,NO
133,92,2.618959255483722E-8,NO
134,45,2.5497354607909806E-8,NO
135,168,2.6832043915022554E-8,NO
136,77,2.618959255483722E-8,NO
137,666,2.9597911313676347E-8,NO
138,88,2.618959255483722E-8,NO
139,263,7.435382287387089E-8,NO
140,54,2.5497354607909806E-8,NO
141,51,1.3595109068770232E-7,NO
142,132,2.6912034833690154E-7,NO
143,160,6.568669928805267E-8,YES
144,152,2.6832043915022554E-8,NO
145,39,2.5497354607909806E-8,NO
146,677,1.0,NO
147,131,2.6832043915022554E-8,NO
148,47,2.5497354607909806E-8,NO
149,129,2.6832043915022554E-8,NO
150,43,2.5497354607909806E-8,NO
151,257,3.543683489363342E-6,NO
152,356,0.1218189669468935,NO
153,62,2.5497354607909806E-8,NO
154,45,2.5497354607909806E-8,NO
155,97,2.618959255483722E-8,NO
156,476,2.959974366386978E-8,NO
157,77,2.618959255483722E-8,NO
158,69,2.5497354607909806E-8,NO
159,104,2.618959255483722E-8,NO
160,115,2.618959255483722E-8,NO
161,421,2.941190551107337E-8,NO
162,61,2.5497354607909806E-8,NO
163,2009,1.0165499805671593E-8,NO
164,179,2.7420171477423214E-8,NO
165,106,2.618959255483722E-8,NO
166,33,2.5497354607909806E-8,NO
167,657,2.9711918255560556E-8,NO
168,295,2.8416931203204432E-8,NO
169,872,2.8411654077056518E-8,NO
170,444,2.941190551107337E-8,NO
171,168,2.6832043915022554E-8,NO
172,752,2.9409174464714348E-8,NO
173,135,2.6832043915022554E-8,NO
174,1126,2.5488674250666423E-8,NO
175,163,2.6832043915022554E-8,NO
176,184,2.7420171477423214E-8,NO
177,51,2.5497354607909806E-8,NO
178,25,2.5497354607909806E-8,NO
179,180,2.7420171477423214E-8,NO
180,64,2.5497354607909806E-8,NO
181,101,2.618959255483722E-8,NO
182,512,2.959974366386978E-8,NO
183,187,2.7420171477423214E-8,NO
184,56,2.5497354607909806E-8,NO
185,39,2.5497354607909806E-8,NO
186,261,2.794975291957666E-8,NO
187,73,2.5497354607909806E-8,NO
188,65,2.5497354607909806E-8,NO
189,329,2.8818261308564396E-8,NO
190,64,2.5497354607909806E-8,NO
191,164,2.6832043915022554E-8,NO
192,624,2.9711918255560556E-8,NO
193,74,2.618959255483722E-8,NO
194,117,2.618959255483722E-8,NO
195,84,2.618959255483722E-8,NO
196,226,2.794975291957666E-8,NO
197,76,2.618959255483722E-8,NO
198,323,2.8818261308564396E-8,NO
199,72,2.5497354607909806E-8,NO
200,42,2.5497354607909806E-8,NO
201,48,2.5497354607909806E-8,NO
202,89,2.618959255483722E-8,NO
203,380,2.9150752516270775E-8,NO
204,141,2.6832043915022554E-8,NO
205,148,2.6832043915022554E-8,NO
206,191,2.7420171477423214E-8,NO
207,46,2.5497354607909806E-8,NO
208,165,2.6832043915022554E-8,NO
209,171,2.6832043915022554E-8,NO
210,56,2.5497354607909806E-8,NO
211,179,2.7420171477423214E-8,NO
212,74,2.618959255483722E-8,NO
213,36,2.5497354607909806E-8,NO
214,37,2.5497354607909806E-8,NO
215,34,2.5497354607909806E-8,NO
216,34,2.5497354607909806E-8,NO
217,38,2.5497354607909806E-8,NO
218,39,2.5497354607909806E-8,NO
219,156,2.6832043915022554E-8,NO
220,84,2.618959255483722E-8,NO
221,117,2.618959255483722E-8,NO
222,94,2.618959255483722E-8,NO
223,71,2.5497354607909806E-8,NO
224,183,2.7420171477423214E-8,NO
225,85,2.618959255483722E-8,NO
226,183,2.7420171477423214E-8,NO
227,70,2.5497354607909806E-8,NO
228,54,2.5497354607909806E-8,NO
229,160,2.6832043915022554E-8,NO
230,128,7.138041792513866E-8,NO
231,151,2.6832043915022554E-8,NO
232,422,2.941190551107337E-8,NO
233,221,2.794975291957666E-8,NO
234,50,2.5497354607909806E-8,NO
235,42,2.5497354607909806E-8,NO
236,624,2.9711918255560556E-8,NO
237,377,2.9150752516270775E-8,NO
238,382,1.5543089066203016E-7,NO
239,72,2.5497354607909806E-8,NO
240,92,2.618959255483722E-8,NO
241,282,2.8416931203204432E-8,NO
242,371,2.9150752516270775E-8,NO
243,47,2.5497354607909806E-8,NO
244,108,2.618959255483722E-8,NO
245,111,2.618959255483722E-8,NO
246,319,2.8818261308564396E-8,NO
247,129,2.6832043915022554E-8,NO
248,49,2.5497354607909806E-8,NO
249,358,2.8818261308564396E-8,NO
250,277,2.8416931203204432E-8,NO
251,49,2.5497354607909806E-8,NO
252,89,2.618959255483722E-8,NO
253,41,2.5497354607909806E-8,NO
254,66,2.5497354607909806E-8,NO
255,63,2.5497354607909806E-8,NO
256,24,2.4760128956889933E-8,NO
257,50,2.5497354607909806E-8,NO
258,72,2.5497354607909806E-8,NO
259,47,2.5497354607909806E-8,NO
260,47,2.5497354607909806E-8,NO
261,183,2.7420171477423214E-8,NO
262,49,2.5497354607909806E-8,NO
263,50,2.5497354607909806E-8,NO
264,98,2.618959255483722E-8,NO
265,143,2.6832043915022554E-8,NO
266,43,2.5497354607909806E-8,NO
267,42,2.5497354607909806E-8,NO
268,56,2.5497354607909806E-8,NO
269,44,2.5497354607909806E-8,NO
270,26,2.5497354607909806E-8,NO
271,254,2.794975291957666E-8,NO
272,16883,2.1372934284170204E-8,NO
273,74,2.618959255483722E-8,NO
274,153,2.6832043915022554E-8,NO
275,68,2.5497354607909806E-8,NO
276,100,2.618959255483722E-8,NO
277,550,2.971283794432687E-8,NO
278,437,2.941190551107337E-8,NO
279,1038,2.6824569920982932E-8,NO
280,104,2.618959255483722E-8,NO
281,332,2.8818261308564396E-8,NO
282,123,2.6832043915022554E-8,NO
283,106,2.618959255483722E-8,NO
284,106,6.967132544087499E-8,NO
285,94,2.618959255483722E-8,NO
286,101,2.618959255483722E-8,NO
287,38,2.5497354607909806E-8,NO
288,628,2.9711918255560556E-8,NO
289,32,2.5497354607909806E-8,NO
290,111,2.618959255483722E-8,NO
291,35,2.5497354607909806E-8,NO
292,90,2.618959255483722E-8,NO
293,27,2.5497354607909806E-8,NO
294,28,2.5497354607909806E-8,NO
295,92,2.618959255483722E-8,NO
296,979,1.3450813342170296E-7,NO
297,67,2.5497354607909806E-8,NO
298,29,2.5497354607909806E-8,NO
299,105,2.618959255483722E-8,NO
300,72,2.5497354607909806E-8,NO
301,37,2.5497354607909806E-8,NO
302,47,2.5497354607909806E-8,NO
303,31,2.5497354607909806E-8,NO
304,90,2.618959255483722E-8,NO
305,223,2.794975291957666E-8,NO
306,214,2.7420171477423214E-8,NO
307,107,2.618959255483722E-8,NO
308,37,2.5497354607909806E-8,NO
309,27,2.5497354607909806E-8,NO
310,48,2.5497354607909806E-8,NO
311,167,2.6832043915022554E-8,NO
312,213,2.7420171477423214E-8,NO
313,867,2.8411654077056518E-8,NO
314,159,2.6832043915022554E-8,NO
315,100,2.618959255483722E-8,NO
316,96,2.618959255483722E-8,NO
317,842,2.8813801546455122E-8,NO
318,535,7.306067764109045E-8,NO
319,83,2.618959255483722E-8,NO
320,63,2.5497354607909806E-8,NO
321,76,2.618959255483722E-8,NO
322,202,2.7420171477423214E-8,NO
323,155,2.6832043915022554E-8,NO
324,1263,2.3160846836074798E-8,NO
325,74,2.618959255483722E-8,NO
326,101,2.618959255483722E-8,NO
327,27,2.5497354607909806E-8,NO
328,22,2.4760128956889933E-8,NO
329,491,2.959974366386978E-8,NO
330,62,2.5497354607909806E-8,NO
331,59,2.5497354607909806E-8,NO
332,99,2.618959255483722E-8,NO
333,27,2.5497354607909806E-8,NO
334,77,2.618959255483722E-8,NO
335,863,8.099816151870005E-7,NO
336,64,2.5497354607909806E-8,NO
337,45,2.5497354607909806E-8,NO
338,63,2.5497354607909806E-8,NO
339,54,2.5497354607909806E-8,NO
340,64,2.5497354607909806E-8,NO
341,132,2.6832043915022554E-8,NO
342,182,7.161503479477192E-8,NO
343,70,2.5497354607909806E-8,NO
344,36,2.5497354607909806E-8,NO
345,58,2.5497354607909806E-8,NO
346,62,2.5497354607909806E-8,NO
347,132,2.6832043915022554E-8,NO
348,74,2.618959255483722E-8,NO
349,86,2.618959255483722E-8,NO
350,74,2.618959255483722E-8,NO
351,48,2.5497354607909806E-8,NO
352,74,2.618959255483722E-8,NO
353,86,2.618959255483722E-8,NO
354,355,2.8818261308564396E-8,NO
355,53,2.5497354607909806E-8,NO
356,804,2.9147143499687085E-8,NO
357,75,2.618959255483722E-8,NO
358,125,2.6832043915022554E-8,NO
359,200,2.7420171477423214E-8,NO
360,134,2.6832043915022554E-8,NO
361,57,2.5497354607909806E-8,NO
362,123,2.6832043915022554E-8,NO
363,266,2.794975291957666E-8,NO
364,162,2.6832043915022554E-8,NO
365,130,2.6832043915022554E-8,NO
366,108,2.618959255483722E-8,NO
367,354,2.8818261308564396E-8,NO
368,88,2.618959255483722E-8,NO
369,28,2.5497354607909806E-8,NO
370,58,2.5497354607909806E-8,NO
371,308,2.8416931203204432E-8,NO
372,343,2.8818261308564396E-8,NO
373,103,2.618959255483722E-8,NO
374,35,2.5497354607909806E-8,NO
375,98,2.618959255483722E-8,NO
376,117,2.618959255483722E-8,NO
