ID,Size,Predicted,Actual
0,215,2.4084041923174464E-5,NO
1,273,5.441643080810835E-5,YES
2,460,5.3885780055008925E-5,YES
3,138,5.0636779544250936E-5,NO
4,358,5.509747020572535E-5,NO
5,1248,5.760348253305367E-5,YES
6,51,2.1718187186304022E-5,NO
7,157,5.0636779544250936E-5,NO
8,31,2.014373161009434E-5,NO
9,981,2.0929886796488858E-5,YES
10,180,2.4084041923174464E-5,NO
11,262,5.441643080810835E-5,NO
12,553,5.204931950890193E-5,YES
13,40,2.1718187186304022E-5,NO
14,369,2.508908772176021E-4,NO
15,390,5.491778772557561E-5,NO
16,51,2.1718187186304022E-5,NO
17,577,2.2529730869673488E-5,YES
18,32,2.014373161009434E-5,NO
19,66,2.1718187186304022E-5,NO
20,188,5.290639897864937E-5,YES
21,582,2.2529730869673488E-5,YES
22,160,5.0636779544250936E-5,YES
23,50,2.1718187186304022E-5,NO
24,27,2.014373161009434E-5,NO
25,923,1.388806658967963E-4,YES
26,60,2.1718187186304022E-5,NO
27,62,2.1718187186304022E-5,NO
28,87,2.1718187186304022E-5,NO
29,52,2.1718187186304022E-5,NO
30,268,2.477145873409602E-5,YES
31,163,2.305083764861954E-5,NO
32,109,2.305083764861954E-5,NO
33,147,2.305083764861954E-5,NO
34,58,2.1718187186304022E-5,NO
35,44,2.1718187186304022E-5,NO
36,106,2.305083764861954E-5,YES
37,139,2.305083764861954E-5,NO
38,326,2.5081490933773237E-5,YES
39,648,2.1088975765882508E-5,YES
40,792,4.446978993411141E-5,YES
41,319,1.3736020422263907E-4,YES
42,55,2.1718187186304022E-5,NO
43,191,2.4084041923174464E-5,NO
44,90,2.1718187186304022E-5,NO
45,273,2.477145873409602E-5,YES
46,137,2.305083764861954E-5,NO
47,79,2.1718187186304022E-5,NO
48,82,2.1718187186304022E-5,NO
49,147,2.305083764861954E-5,NO
50,422,2.499969336086433E-5,YES
51,979,2.6304460996112314E-5,YES
52,495,2.132936295018068E-4,YES
53,189,2.4084041923174464E-5,YES
54,167,1.747266059048925E-4,YES
55,86,4.7709364291650644E-5,NO
56,182,2.4084041923174464E-5,YES
57,361,1.916929503651482E-4,YES
58,126,2.305083764861954E-5,YES
59,106,2.305083764861954E-5,NO
60,109,2.305083764861954E-5,NO
61,85,2.1718187186304022E-5,NO
62,236,2.477145873409602E-5,NO
63,315,2.517115918338022E-4,YES
64,695,0.009810080368082737,YES
65,27,2.014373161009434E-5,NO
66,89,2.1718187186304022E-5,NO
67,301,5.509747020572535E-5,YES
68,153,2.305083764861954E-5,YES
69,92,2.1718187186304022E-5,NO
70,466,5.3885780055008925E-5,YES
71,93,2.1718187186304022E-5,NO
