ID,Size,Predicted,Actual
0,215,1.2343770952434288E-6,NO
1,273,3.7381195472868775E-6,YES
2,460,3.7078851068185033E-6,YES
3,138,3.394010147100782E-6,NO
4,358,3.815203898472704E-6,NO
5,1248,1.0285542130919757E-5,YES
6,51,1.144898650667666E-6,NO
7,157,3.4959535195733063E-6,NO
8,31,1.1301056025467244E-6,NO
9,981,3.1120689964210203E-6,YES
10,180,1.2115313043063598E-6,NO
11,262,3.519152313406699E-6,NO
12,553,3.7334890585780642E-6,YES
13,40,1.144898650667666E-6,NO
14,369,1.18954472488484E-5,NO
15,390,3.8565885488512885E-6,NO
16,51,1.144898650667666E-6,NO
17,577,1.3207455925709308E-6,YES
18,32,1.1301056025467244E-6,NO
19,66,1.1592316420590984E-6,NO
20,188,3.6440567864275074E-6,YES
21,582,1.3215417302182547E-6,YES
22,160,3.572582597093804E-6,YES
23,50,1.144898650667666E-6,NO
24,27,1.1301056025467244E-6,NO
25,923,1.389899518792795E-5,YES
26,60,1.144898650667666E-6,NO
27,62,1.1592316420590984E-6,NO
28,87,1.1730825603684757E-6,NO
29,52,1.144898650667666E-6,NO
30,268,1.2548208915276576E-6,YES
31,163,1.2115313043063598E-6,NO
32,109,1.1730825603684757E-6,NO
33,147,1.1992529211130235E-6,NO
34,58,1.144898650667666E-6,NO
35,44,1.144898650667666E-6,NO
36,106,1.1730825603684757E-6,YES
37,139,1.1992529211130235E-6,NO
38,326,1.2727300516700134E-6,YES
39,648,1.320899598056636E-6,YES
40,792,4.31062771158513E-6,YES
41,319,1.0857836565222961E-5,YES
42,55,1.144898650667666E-6,NO
43,191,1.2232456030217558E-6,NO
44,90,1.1730825603684757E-6,NO
45,273,1.2548208915276576E-6,YES
46,137,1.1992529211130235E-6,NO
47,79,1.1592316420590984E-6,NO
48,82,1.1592316420590984E-6,NO
49,147,1.1992529211130235E-6,NO
50,422,1.300491239659866E-6,YES
51,979,3.4976265364433005E-6,YES
52,495,1.2115679877131193E-5,YES
53,189,1.2232456030217558E-6,YES
54,167,7.412463031269819E-6,YES
55,86,3.4533592084898392E-6,NO
56,182,1.2115313043063598E-6,YES
57,361,3.7854367569723465E-6,YES
58,126,1.1864299399494295E-6,YES
59,106,1.1730825603684757E-6,NO
60,109,1.1730825603684757E-6,NO
61,85,1.1592316420590984E-6,NO
62,236,1.2449078732413195E-6,NO
63,315,1.2256769522315717E-5,YES
64,695,6.735369092987952E-5,YES
65,27,1.1301056025467244E-6,NO
66,89,1.1730825603684757E-6,NO
67,301,3.765762040374936E-6,YES
68,153,1.1992529211130235E-6,YES
69,92,1.1730825603684757E-6,NO
70,466,3.902971709497866E-6,YES
71,93,1.1730825603684757E-6,NO
72,244,1.2449078732413195E-6,NO
73,192,1.2232456030217558E-6,YES
74,252,3.491351259804127E-6,NO
75,109,1.1730825603684757E-6,NO
76,601,1.3215417302182547E-6,YES
77,565,3.93450914452792E-6,YES
78,69,1.1592316420590984E-6,NO
79,77,1.1592316420590984E-6,NO
80,94,1.1730825603684757E-6,YES
81,337,1.280696816096302E-6,NO
82,214,1.2343770952434288E-6,NO
83,79,1.1592316420590984E-6,NO
84,25,1.1301056025467244E-6,NO
85,84,1.1592316420590984E-6,NO
86,34,1.1301056025467244E-6,NO
87,33,1.1301056025467244E-6,NO
88,104,1.1730825603684757E-6,NO
89,172,1.2115313043063598E-6,NO
90,70,1.1592316420590984E-6,NO
91,140,1.1992529211130235E-6,NO
92,156,3.572582597093804E-6,NO
93,248,1.2449078732413195E-6,NO
94,277,3.7381195472868775E-6,YES
95,189,3.130487992944251E-5,NO
96,194,2.2152953866197035E-5,NO
97,346,2.6055683943645073E-5,NO
98,304,6.965027118572415E-4,NO
99,356,1.0,YES
100,84,9.782573328830441E-6,NO
101,53,3.3375052197339797E-6,NO
102,132,1.1864299399494295E-6,NO
103,4088,5.0929098795510165E-9,NO
104,691,3.9816490405894425E-4,YES
105,47,7.752157918865869E-6,NO
106,101,3.1154027571075757E-4,NO
107,510,5.045247096295255E-6,YES
108,328,3.7101468749115432E-6,YES
109,273,1.2548208915276576E-6,YES
110,136,1.1992529211130235E-6,NO
111,56,1.144898650667666E-6,NO
112,74,1.1592316420590984E-6,NO
113,359,3.836921782574923E-6,YES
114,174,1.2115313043063598E-6,NO
115,148,1.1992529211130235E-6,NO
116,92,1.1730825603684757E-6,NO
117,45,1.144898650667666E-6,NO
118,168,1.2115313043063598E-6,NO
119,77,1.1592316420590984E-6,NO
120,666,4.233057731678288E-6,NO
121,88,1.1730825603684757E-6,NO
122,262,3.7381195472868775E-6,NO
123,54,1.144898650667666E-6,NO
124,48,1.144898650667666E-6,YES
125,140,1.1992529211130235E-6,YES
126,152,1.1992529211130235E-6,NO
127,39,1.144898650667666E-6,NO
128,131,1.1864299399494295E-6,NO
129,47,1.144898650667666E-6,NO
130,129,1.1864299399494295E-6,NO
131,43,1.144898650667666E-6,NO
132,243,1.2449078732413195E-6,YES
133,62,1.1592316420590984E-6,NO
134,45,1.144898650667666E-6,NO
135,97,3.419664225128497E-6,NO
136,476,0.9999999999954678,NO
137,77,3.9657453870622844E-6,NO
138,69,3.4796657016424977E-6,NO
139,104,7.710493721102686E-6,NO
140,115,1.058569795785353E-5,NO
141,421,0.9999999445313187,NO
142,61,3.069564720803939E-6,NO
143,2009,1.0,NO
144,179,1.795704199863965E-4,NO
145,106,7.710493721102686E-6,NO
146,33,2.5750600226795967E-6,NO
147,657,1.0,NO
148,295,0.6875417626695564,NO
149,872,1.0,NO
150,444,0.9999999990294894,NO
151,168,1.0052229305053655E-4,NO
152,752,1.0,NO
153,135,2.2843385727820075E-5,NO
