ID,Size,Predicted,Actual
0,215,2.7338477662768388E-9,NO
1,273,1.191484987491664E-9,YES
2,460,3.3550344783330067E-9,YES
3,138,9.416228419443386E-10,NO
4,358,1.6787669135030978E-9,NO
5,1154,1.0,YES
6,51,1.0555285132930817E-9,NO
7,157,9.416228419443386E-10,NO
8,31,1.1326949867922439E-9,NO
9,1009,0.001027667167607604,YES
10,193,2.5593738160907846E-9,NO
11,83,2.5093748363340977E-9,YES
12,262,1.0991335102482361E-9,NO
13,638,7.150235162309649E-7,YES
14,40,1.0555285132930817E-9,NO
15,374,3.5379389015176053E-7,NO
16,390,2.29481590898591E-9,NO
17,51,1.0555285132930817E-9,NO
18,579,2.926622012549619E-7,YES
19,32,1.1326949867922439E-9,NO
20,66,1.0002875586641645E-9,NO
21,260,2.391459335147049E-8,YES
22,596,0.05179175914388088,NO
23,198,5.2026911619466384E-8,NO
24,50,1.0555285132930817E-9,NO
25,27,1.1326949867922439E-9,NO
26,926,0.009337348217252834,NO
27,60,1.0555285132930817E-9,NO
28,62,1.0555285132930817E-9,NO
29,87,1.0002875586641645E-9,NO
30,52,1.0555285132930817E-9,NO
31,297,7.31005138105352E-8,NO
32,163,9.543847621805909E-10,NO
33,118,2.4580696677771117E-9,NO
34,83,2.5093748363340977E-9,NO
35,147,9.416228419443386E-10,NO
36,58,1.0555285132930817E-9,NO
37,44,1.0555285132930817E-9,NO
38,106,7.062860290225864E-9,NO
39,192,8.702047600797528E-6,NO
40,151,2.449868630768815E-9,NO
41,352,3.6198936838741945E-9,YES
42,752,1.02014376381169E-4,YES
43,877,7.004382703224097E-4,YES
44,319,2.3344113445221335E-5,YES
45,27,6.749276796187198E-9,NO
46,55,1.0555285132930817E-9,NO
47,94,2.744989163175895E-9,NO
48,191,9.83711867730438E-10,NO
49,90,9.640014113747655E-10,NO
50,90,2.744989163175895E-9,NO
51,271,8.72954322799463E-9,YES
52,138,2.4965546918473326E-9,NO
53,79,1.0002875586641645E-9,NO
54,82,1.0002875586641645E-9,NO
55,147,9.416228419443386E-10,NO
56,422,2.751524962580897E-9,YES
57,1026,0.9996226614553144,YES
58,530,1.364039582764465E-5,NO
59,189,9.83711867730438E-10,YES
60,167,2.5303907782009675E-9,YES
61,86,1.0002875586641645E-9,NO
62,195,1.6579741358677518E-8,YES
63,374,1.1871105440970924E-8,YES
64,573,0.9999849716180752,NO
65,126,9.447749635272441E-10,YES
66,106,2.5558877070745995E-9,YES
67,109,9.640014113747655E-10,NO
68,85,1.0002875586641645E-9,NO
69,237,2.7338477662768388E-9,NO
70,345,3.3589191747631992E-9,YES
71,47,2.1214180268855877E-9,NO
72,781,4.074594841307348E-6,YES
73,27,1.1326949867922439E-9,NO
74,89,9.640014113747655E-10,NO
75,300,8.486950051305413E-7,YES
76,166,5.418677228773054E-7,NO
77,92,9.640014113747655E-10,NO
78,497,0.35021005373722996,YES
79,93,9.640014113747655E-10,NO
80,244,1.0991335102482361E-9,NO
81,183,6.861643572441297E-9,YES
82,252,1.0991335102482361E-9,NO
83,109,9.640014113747655E-10,YES
84,607,4.181346917018769E-5,YES
85,565,8.087331757779092E-7,YES
86,69,1.0002875586641645E-9,NO
87,77,1.0002875586641645E-9,NO
88,97,7.062860290225864E-9,NO
89,343,4.450968288607247E-9,NO
90,214,1.0311224151874722E-9,NO
91,79,1.0002875586641645E-9,NO
92,25,1.1326949867922439E-9,NO
93,84,1.0002875586641645E-9,NO
94,34,1.1326949867922439E-9,NO
95,33,1.1326949867922439E-9,NO
96,104,9.640014113747655E-10,NO
97,172,9.543847621805909E-10,NO
98,70,1.0002875586641645E-9,NO
99,140,9.416228419443386E-10,NO
100,156,9.416228419443386E-10,NO
101,142,5.923369059765903E-9,NO
102,152,9.450398572958457E-9,NO
103,31,2.266324694495423E-9,NO
104,60,2.1655598551200847E-9,NO
105,60,2.1655598551200847E-9,NO
106,876,1.0,NO
107,61,2.1655598551200847E-9,NO
108,185,3.4214486873965426E-8,NO
109,264,2.3356326800470346E-6,NO
110,248,1.0991335102482361E-9,NO
111,286,2.996895713845875E-8,YES
112,185,2.4005267792247208E-8,NO
113,194,9.83711867730438E-10,NO
114,346,1.6787669135030978E-9,NO
115,309,3.4824806055256756E-9,NO
116,363,0.002108064982351947,YES
117,84,1.0002875586641645E-9,NO
118,53,1.0555285132930817E-9,NO
119,132,9.447749635272441E-10,YES
120,4088,1.0,NO
121,721,0.7153037343903479,YES
122,47,1.0555285132930817E-9,NO
123,101,9.640014113747655E-10,NO
124,517,8.627862802908412E-8,YES
125,327,1.078851061139283E-8,YES
126,274,8.281527646734746E-8,YES
127,136,9.447749635272441E-10,YES
128,56,1.0555285132930817E-9,NO
129,74,1.0002875586641645E-9,YES
130,361,4.473299080736782E-6,YES
131,174,9.543847621805909E-10,NO
132,148,9.416228419443386E-10,NO
133,92,9.640014113747655E-10,NO
134,45,1.0555285132930817E-9,NO
135,168,9.543847621805909E-10,NO
136,77,1.0002875586641645E-9,NO
137,666,4.2581039758840616E-8,NO
138,88,9.640014113747655E-10,NO
139,263,3.159022171147023E-9,NO
140,54,1.0555285132930817E-9,NO
141,51,7.733443467463689E-9,NO
142,132,5.505193240219775E-9,NO
143,160,2.0472721931167385E-9,YES
144,152,9.416228419443386E-10,NO
145,39,1.0555285132930817E-9,NO
146,677,1.0,NO
147,131,9.447749635272441E-10,NO
148,47,1.0555285132930817E-9,NO
149,129,9.447749635272441E-10,NO
150,43,1.0555285132930817E-9,NO
151,257,1.739624946368144E-6,NO
152,356,0.0025831414063044312,NO
153,62,1.0555285132930817E-9,NO
154,45,1.0555285132930817E-9,NO
155,97,9.640014113747655E-10,NO
156,476,4.160240597008649E-9,NO
157,77,1.0002875586641645E-9,NO
158,69,1.0002875586641645E-9,NO
159,104,9.640014113747655E-10,NO
160,115,9.447749635272441E-10,NO
161,421,2.751524962580897E-9,NO
162,61,1.0555285132930817E-9,NO
163,2009,1.0,NO
164,179,9.543847621805909E-10,NO
165,106,9.640014113747655E-10,NO
166,33,1.1326949867922439E-9,NO
167,657,3.002003247072359E-8,NO
168,295,1.3134834568267838E-9,NO
169,872,1.277570748459668E-6,NO
170,444,3.3550344783330067E-9,NO
171,168,9.543847621805909E-10,NO
172,752,1.344062664956025E-7,NO
173,135,9.447749635272441E-10,NO
174,1126,4.069090349967916E-4,NO
175,163,9.543847621805909E-10,NO
176,184,9.543847621805909E-10,NO
177,51,1.0555285132930817E-9,NO
178,25,1.1326949867922439E-9,NO
179,180,9.543847621805909E-10,NO
180,64,1.0002875586641645E-9,NO
181,101,9.640014113747655E-10,NO
182,512,5.2461154326160755E-9,NO
183,187,9.543847621805909E-10,NO
184,56,1.0555285132930817E-9,NO
185,39,1.0555285132930817E-9,NO
186,261,1.0991335102482361E-9,NO
187,73,1.0002875586641645E-9,NO
188,65,1.0002875586641645E-9,NO
189,329,1.4725110029240643E-9,NO
190,64,1.0002875586641645E-9,NO
191,164,9.543847621805909E-10,NO
192,624,2.15230607750178E-8,NO
193,74,1.0002875586641645E-9,NO
194,117,9.447749635272441E-10,NO
195,84,1.0002875586641645E-9,NO
196,226,1.0311224151874722E-9,NO
197,76,1.0002875586641645E-9,NO
198,323,1.4725110029240643E-9,NO
199,72,1.0002875586641645E-9,NO
200,42,1.0555285132930817E-9,NO
201,48,1.0555285132930817E-9,NO
202,89,9.640014113747655E-10,NO
203,380,1.9463465422805703E-9,NO
204,141,9.416228419443386E-10,NO
205,148,9.416228419443386E-10,NO
206,191,9.83711867730438E-10,NO
207,46,1.0555285132930817E-9,NO
208,165,9.543847621805909E-10,NO
209,171,9.543847621805909E-10,NO
210,56,1.0555285132930817E-9,NO
211,179,9.543847621805909E-10,NO
212,74,1.0002875586641645E-9,NO
213,36,1.1326949867922439E-9,NO
214,37,1.1326949867922439E-9,NO
215,34,1.1326949867922439E-9,NO
216,34,1.1326949867922439E-9,NO
217,38,1.0555285132930817E-9,NO
218,39,1.0555285132930817E-9,NO
219,156,9.416228419443386E-10,NO
220,84,1.0002875586641645E-9,NO
221,117,9.447749635272441E-10,NO
222,94,9.640014113747655E-10,NO
223,71,1.0002875586641645E-9,NO
224,183,9.543847621805909E-10,NO
225,85,1.0002875586641645E-9,NO
226,183,9.543847621805909E-10,NO
227,70,1.0002875586641645E-9,NO
228,54,1.0555285132930817E-9,NO
229,160,9.416228419443386E-10,NO
230,128,2.504912012384023E-9,NO
231,151,9.416228419443386E-10,NO
232,422,2.751524962580897E-9,NO
233,221,1.0311224151874722E-9,NO
234,50,1.0555285132930817E-9,NO
235,42,1.0555285132930817E-9,NO
236,624,2.15230607750178E-8,NO
237,377,1.9463465422805703E-9,NO
238,382,1.4260117731002643E-8,NO
239,72,1.0002875586641645E-9,NO
240,92,9.640014113747655E-10,NO
241,282,1.191484987491664E-9,NO
242,371,1.9463465422805703E-9,NO
243,47,1.0555285132930817E-9,NO
244,108,9.640014113747655E-10,NO
245,111,9.640014113747655E-10,NO
246,319,1.4725110029240643E-9,NO
247,129,9.447749635272441E-10,NO
248,49,1.0555285132930817E-9,NO
249,358,1.6787669135030978E-9,NO
250,277,1.191484987491664E-9,NO
251,49,1.0555285132930817E-9,NO
252,89,9.640014113747655E-10,NO
253,41,1.0555285132930817E-9,NO
254,66,1.0002875586641645E-9,NO
255,63,1.0002875586641645E-9,NO
256,24,1.1326949867922439E-9,NO
257,50,1.0555285132930817E-9,NO
258,72,1.0002875586641645E-9,NO
259,47,1.0555285132930817E-9,NO
260,47,1.0555285132930817E-9,NO
261,183,9.543847621805909E-10,NO
262,49,1.0555285132930817E-9,NO
263,50,1.0555285132930817E-9,NO
264,98,9.640014113747655E-10,NO
265,143,9.416228419443386E-10,NO
266,43,1.0555285132930817E-9,NO
267,42,1.0555285132930817E-9,NO
268,56,1.0555285132930817E-9,NO
269,44,1.0555285132930817E-9,NO
270,26,1.1326949867922439E-9,NO
271,254,1.0991335102482361E-9,NO
272,16883,3.4537575270676474E-9,NO
273,74,1.0002875586641645E-9,NO
274,153,9.416228419443386E-10,NO
275,68,1.0002875586641645E-9,NO
276,100,9.640014113747655E-10,NO
277,550,8.773451040310124E-9,NO
278,437,2.751524962580897E-9,NO
279,1038,6.0538374664733376E-5,NO
280,104,9.640014113747655E-10,NO
281,332,1.4725110029240643E-9,NO
282,123,9.447749635272441E-10,NO
283,106,9.640014113747655E-10,NO
284,106,2.5558877070745995E-9,NO
285,94,9.640014113747655E-10,NO
286,101,9.640014113747655E-10,NO
287,38,1.0555285132930817E-9,NO
288,628,2.15230607750178E-8,NO
289,32,1.1326949867922439E-9,NO
290,111,9.640014113747655E-10,NO
291,35,1.1326949867922439E-9,NO
292,90,9.640014113747655E-10,NO
293,27,1.1326949867922439E-9,NO
294,28,1.1326949867922439E-9,NO
295,92,9.640014113747655E-10,NO
296,979,6.240804645654975E-5,NO
297,67,1.0002875586641645E-9,NO
298,29,1.1326949867922439E-9,NO
299,105,9.640014113747655E-10,NO
300,72,1.0002875586641645E-9,NO
301,37,1.1326949867922439E-9,NO
302,47,1.0555285132930817E-9,NO
303,31,1.1326949867922439E-9,NO
304,90,9.640014113747655E-10,NO
305,223,1.0311224151874722E-9,NO
306,214,1.0311224151874722E-9,NO
307,107,9.640014113747655E-10,NO
308,37,1.1326949867922439E-9,NO
309,27,1.1326949867922439E-9,NO
310,48,1.0555285132930817E-9,NO
311,167,9.543847621805909E-10,NO
312,213,1.0311224151874722E-9,NO
313,867,1.277570748459668E-6,NO
314,159,9.416228419443386E-10,NO
315,100,9.640014113747655E-10,NO
316,96,9.640014113747655E-10,NO
317,842,7.874008748215723E-7,NO
318,535,1.663356306756745E-8,NO
319,83,1.0002875586641645E-9,NO
320,63,1.0002875586641645E-9,NO
321,76,1.0002875586641645E-9,NO
322,202,9.83711867730438E-10,NO
323,155,9.416228419443386E-10,NO
324,1263,0.028155093037985027,NO
