ID,Size,Predicted,Actual
0,212,9.275793479224904E-5,NO
1,274,9.978072572582583E-5,NO
2,461,1.038165431626561E-4,YES
3,138,9.114346800023055E-5,NO
4,358,1.02428128558594E-4,NO
5,1272,2.921955958301665E-4,YES
6,51,8.546275438117365E-5,NO
7,45,8.546275438117365E-5,NO
8,157,9.367589255915362E-5,NO
9,31,8.546275438117365E-5,NO
10,1406,0.13782000952201312,YES
11,55,8.546275438117365E-5,NO
12,204,9.59729362999117E-5,NO
13,55,8.546275438117365E-5,NO
14,103,8.839789053530728E-5,NO
15,34,8.357704830717855E-5,NO
16,83,8.839789053530728E-5,NO
17,285,9.463084622910206E-5,NO
18,83,8.839789053530728E-5,NO
19,129,4.096544378438278E-4,NO
20,867,9.175388017256461E-5,YES
21,380,0.9999152635795528,NO
22,40,8.546275438117365E-5,NO
23,387,1.02428128558594E-4,YES
24,390,1.02428128558594E-4,NO
25,51,8.546275438117365E-5,NO
26,637,1.0265628043192015E-4,YES
27,32,8.546275438117365E-5,NO
28,68,8.839789053530728E-5,YES
29,547,1.0389356739759313E-4,YES
30,566,1.0389356739759313E-4,NO
31,314,9.978072572582583E-5,YES
32,907,1.1562582959442921E-4,YES
33,275,2.2101175960461417E-4,NO
34,31,8.546275438117365E-5,NO
35,50,8.546275438117365E-5,NO
36,27,8.546275438117365E-5,NO
37,175,9.367589255915362E-5,NO
38,50,8.546275438117365E-5,NO
39,62,8.546275438117365E-5,NO
40,87,8.839789053530728E-5,NO
41,52,8.546275438117365E-5,NO
42,373,1.02428128558594E-4,NO
43,224,9.59729362999117E-5,NO
44,118,9.114346800023055E-5,YES
45,83,8.543662412826673E-5,NO
46,147,9.367589255915362E-5,NO
47,58,8.546275438117365E-5,NO
48,44,8.546275438117365E-5,NO
49,106,9.114346800023055E-5,NO
50,238,0.08648346070561017,NO
51,43,8.554701399104656E-5,NO
52,185,0.005188359640654786,YES
53,189,9.59729362999117E-5,NO
54,151,9.367589255915362E-5,NO
55,364,3.820334645996599E-4,NO
56,910,0.05866328259290477,NO
57,889,0.05647597295344949,NO
58,43,8.546275438117365E-5,NO
59,325,8.18095376665992E-4,NO
60,27,8.546275438117365E-5,NO
61,55,8.546275438117365E-5,NO
62,93,8.543662412826673E-5,NO
63,191,9.59729362999117E-5,NO
64,90,8.839789053530728E-5,NO
65,89,8.839789053530728E-5,NO
66,272,3.836260097344064E-4,NO
67,152,9.367589255915362E-5,NO
68,90,8.839789053530728E-5,YES
69,82,8.839789053530728E-5,NO
70,148,9.367589255915362E-5,NO
71,421,3.9070891262761207E-4,YES
72,1190,0.026236468040553948,YES
73,528,2.1715529033523704E-4,YES
74,205,3.756393015994993E-4,YES
75,190,9.59729362999117E-5,NO
76,86,8.839789053530728E-5,NO
77,212,3.756393015994993E-4,YES
78,404,4.892600932229302E-4,NO
79,572,2.1620200505378015E-4,NO
80,132,3.517345974278817E-4,NO
81,168,9.367589255915362E-5,NO
82,109,9.114346800023055E-5,YES
83,85,8.839789053530728E-5,NO
84,107,2.5663745057898004E-4,NO
85,237,9.801406148469594E-5,NO
86,511,1.8425503239906239E-4,YES
87,47,8.546275438117365E-5,NO
88,1328,0.021009237437851647,YES
89,27,8.546275438117365E-5,NO
90,89,8.839789053530728E-5,NO
91,482,9.893013175397825E-5,YES
92,226,0.13953104952507955,YES
93,166,9.367589255915362E-5,NO
94,92,8.839789053530728E-5,YES
95,476,1.038165431626561E-4,NO
96,93,8.839789053530728E-5,YES
97,244,9.801406148469594E-5,NO
98,204,9.59729362999117E-5,NO
99,252,9.801406148469594E-5,NO
100,119,3.399547380029365E-4,NO
101,733,4.0048778285439E-4,NO
102,630,0.030738234447048252,NO
103,69,8.839789053530728E-5,NO
104,77,8.839789053530728E-5,NO
105,97,8.839789053530728E-5,NO
106,380,1.0016812487925981E-4,NO
107,214,9.59729362999117E-5,NO
108,38,8.554701399104656E-5,NO
109,79,8.839789053530728E-5,NO
110,25,8.546275438117365E-5,NO
111,84,8.839789053530728E-5,NO
112,34,8.546275438117365E-5,NO
