ID,Size,Predicted,Actual
0,215,4.9465429228183597E-5,NO
1,273,5.2146632202189753E-5,YES
2,460,1.0438867286324836E-4,YES
3,138,4.4142700385925375E-5,NO
4,358,6.646927029502381E-5,NO
5,1154,0.9999999999909621,YES
6,51,4.60399965134835E-5,NO
7,157,4.464535515249133E-5,NO
8,31,4.60399965134835E-5,NO
9,1009,0.08392102134910284,YES
10,193,4.7629774062302775E-5,NO
11,83,5.484724324702053E-5,YES
12,262,5.2146632202189753E-5,NO
13,638,8.297226248853105E-4,YES
14,40,4.60399965134835E-5,NO
15,374,0.0019777800710310657,NO
16,390,7.806608505192855E-5,NO
17,51,4.60399965134835E-5,NO
18,579,4.7017468141764113E-4,YES
19,32,4.60399965134835E-5,NO
20,66,4.5057273023564415E-5,NO
21,260,1.1315194926057283E-4,YES
22,596,0.08341628248966719,NO
23,198,2.0731863615087198E-4,NO
24,50,4.60399965134835E-5,NO
25,27,4.735471183758707E-5,NO
26,926,0.35777457966786325,NO
27,60,4.5057273023564415E-5,NO
28,62,4.5057273023564415E-5,NO
29,87,4.4386619617516676E-5,NO
30,52,4.5057273023564415E-5,NO
31,297,2.4505356783786724E-4,NO
32,163,4.464535515249133E-5,NO
33,118,4.6039055191717066E-5,NO
34,83,5.484724324702053E-5,NO
35,147,4.4142700385925375E-5,NO
36,58,4.5057273023564415E-5,NO
37,44,4.60399965134835E-5,NO
38,106,1.011623572707814E-4,NO
39,192,0.024702874446280134,NO
40,151,4.625793367080702E-5,NO
41,352,6.882299498374818E-5,YES
42,752,0.007470972120777255,YES
43,877,0.21392556388407083,YES
44,319,0.01995997199210276,YES
45,27,1.061155389730823E-4,NO
46,55,4.5057273023564415E-5,NO
47,94,6.077848577417496E-5,NO
48,191,4.5451813579491824E-5,NO
49,90,4.4386619617516676E-5,NO
50,90,5.796785505427668E-5,NO
51,271,1.1985159809549411E-4,YES
52,138,4.687886093657368E-5,NO
53,79,4.4386619617516676E-5,NO
54,82,4.4386619617516676E-5,NO
55,147,4.4142700385925375E-5,NO
56,422,8.544152354068277E-5,YES
57,1026,0.9999070268666302,YES
58,530,0.013091858484226152,NO
59,189,4.5451813579491824E-5,YES
60,167,4.741267099992102E-5,YES
61,86,4.4386619617516676E-5,NO
62,195,2.047486582096447E-4,YES
63,374,1.4944820440423415E-4,YES
64,573,0.32459722614400294,NO
65,126,4.393383010794157E-5,YES
66,106,4.674282412050738E-5,YES
67,109,4.401460322919166E-5,NO
68,85,4.4386619617516676E-5,NO
69,237,5.1026026749718274E-5,NO
70,345,6.925700079576122E-5,YES
71,47,4.9383946337179746E-5,NO
72,781,0.0029398208162055325,YES
73,27,4.735471183758707E-5,NO
74,89,4.4386619617516676E-5,NO
75,300,0.004649792526843677,YES
76,166,0.0035765417315738136,NO
77,92,4.4386619617516676E-5,NO
78,497,0.9807132875033585,YES
79,93,4.401460322919166E-5,NO
80,244,4.989088795056372E-5,NO
81,183,1.0308181705647681E-4,YES
82,252,4.989088795056372E-5,NO
83,109,4.401460322919166E-5,YES
84,607,0.020392280643474085,YES
85,565,8.817323095773976E-4,YES
86,69,4.5057273023564415E-5,NO
87,77,4.4386619617516676E-5,NO
88,97,1.011623572707814E-4,NO
89,343,6.965427533751858E-5,NO
90,214,4.6578306467337585E-5,NO
91,79,4.4386619617516676E-5,NO
92,25,4.735471183758707E-5,NO
93,84,4.4386619617516676E-5,NO
94,34,4.60399965134835E-5,NO
95,33,4.60399965134835E-5,NO
96,104,4.401460322919166E-5,NO
97,172,4.464535515249133E-5,NO
98,70,4.5057273023564415E-5,NO
99,140,4.4142700385925375E-5,NO
100,156,4.464535515249133E-5,NO
101,142,1.0059921737063739E-4,NO
102,152,1.110226820875287E-4,NO
103,31,4.797096151664196E-5,NO
104,60,4.959827662144294E-5,NO
105,60,4.959827662144294E-5,NO
106,876,1.0,NO
107,61,4.959827662144294E-5,NO
108,185,1.869693758414431E-4,NO
109,264,0.0011730891952437966,NO
110,248,4.989088795056372E-5,NO
111,286,1.1573503347869616E-4,YES
112,185,9.588083666845077E-5,NO
113,194,4.5451813579491824E-5,NO
114,346,6.646927029502381E-5,NO
115,309,6.170587635932886E-5,NO
116,363,0.13103225759756462,YES
117,84,4.4386619617516676E-5,NO
118,53,4.5057273023564415E-5,NO
119,132,4.393383010794157E-5,YES
120,4088,1.0,NO
121,721,0.9758195415777023,YES
122,47,4.60399965134835E-5,NO
123,101,4.401460322919166E-5,NO
124,517,6.612837416435883E-4,YES
125,327,1.423633430570376E-4,YES
126,274,2.3805408836878188E-4,YES
127,136,4.4142700385925375E-5,YES
128,56,4.5057273023564415E-5,NO
129,74,4.4386619617516676E-5,YES
130,361,0.005315678831001081,YES
131,174,4.464535515249133E-5,NO
132,148,4.4142700385925375E-5,NO
133,92,4.4386619617516676E-5,NO
134,45,4.60399965134835E-5,NO
135,168,4.464535515249133E-5,NO
136,77,4.4386619617516676E-5,NO
137,666,4.2163794811105325E-4,NO
138,88,4.4386619617516676E-5,NO
139,263,5.537888450619308E-5,NO
140,54,4.5057273023564415E-5,NO
141,51,1.0581720578647607E-4,NO
142,132,9.019904103509917E-5,NO
143,160,4.622631502884302E-5,YES
144,152,4.4142700385925375E-5,NO
145,39,4.60399965134835E-5,NO
146,677,0.999999760054003,NO
147,131,4.393383010794157E-5,NO
148,47,4.60399965134835E-5,NO
149,129,4.393383010794157E-5,NO
150,43,4.60399965134835E-5,NO
151,257,0.008591669181725393,NO
152,356,0.027680207997886123,NO
153,62,4.5057273023564415E-5,NO
154,45,4.60399965134835E-5,NO
155,97,4.401460322919166E-5,NO
156,476,1.1652817343250412E-4,NO
157,77,4.4386619617516676E-5,NO
158,69,4.5057273023564415E-5,NO
159,104,4.401460322919166E-5,NO
160,115,4.393383010794157E-5,NO
161,421,8.544152354068277E-5,NO
162,61,4.5057273023564415E-5,NO
163,2009,0.9999999686439837,NO
164,179,4.5451813579491824E-5,NO
165,106,4.401460322919166E-5,NO
166,33,4.60399965134835E-5,NO
167,657,4.2163794811105325E-4,NO
168,295,5.486416562334107E-5,NO
169,872,0.0032801120900571605,NO
170,444,1.0438867286324836E-4,NO
171,168,4.464535515249133E-5,NO
172,752,8.85773787834586E-4,NO
173,135,4.4142700385925375E-5,NO
174,1126,0.1128237926483982,NO
175,163,4.464535515249133E-5,NO
176,184,4.5451813579491824E-5,NO
177,51,4.60399965134835E-5,NO
178,25,4.735471183758707E-5,NO
179,180,4.5451813579491824E-5,NO
180,64,4.5057273023564415E-5,NO
181,101,4.401460322919166E-5,NO
182,512,1.4810030280221513E-4,NO
183,187,4.5451813579491824E-5,NO
184,56,4.5057273023564415E-5,NO
185,39,4.60399965134835E-5,NO
186,261,5.2146632202189753E-5,NO
187,73,4.4386619617516676E-5,NO
188,65,4.5057273023564415E-5,NO
189,329,6.194213033686691E-5,NO
190,64,4.5057273023564415E-5,NO
191,164,4.464535515249133E-5,NO
192,624,3.025834095000613E-4,NO
193,74,4.4386619617516676E-5,NO
194,117,4.393383010794157E-5,NO
195,84,4.4386619617516676E-5,NO
196,226,4.804782178866686E-5,NO
197,76,4.4386619617516676E-5,NO
198,323,6.194213033686691E-5,NO
199,72,4.5057273023564415E-5,NO
200,42,4.60399965134835E-5,NO
201,48,4.60399965134835E-5,NO
202,89,4.4386619617516676E-5,NO
203,380,7.179811105795606E-5,NO
204,141,4.4142700385925375E-5,NO
205,148,4.4142700385925375E-5,NO
206,191,4.5451813579491824E-5,NO
207,46,4.60399965134835E-5,NO
208,165,4.464535515249133E-5,NO
209,171,4.464535515249133E-5,NO
210,56,4.5057273023564415E-5,NO
211,179,4.5451813579491824E-5,NO
212,74,4.4386619617516676E-5,NO
213,36,4.60399965134835E-5,NO
214,37,4.60399965134835E-5,NO
215,34,4.60399965134835E-5,NO
216,34,4.60399965134835E-5,NO
217,38,4.60399965134835E-5,NO
218,39,4.60399965134835E-5,NO
219,156,4.464535515249133E-5,NO
220,84,4.4386619617516676E-5,NO
221,117,4.393383010794157E-5,NO
222,94,4.401460322919166E-5,NO
223,71,4.5057273023564415E-5,NO
224,183,4.5451813579491824E-5,NO
225,85,4.4386619617516676E-5,NO
226,183,4.5451813579491824E-5,NO
227,70,4.5057273023564415E-5,NO
228,54,4.5057273023564415E-5,NO
229,160,4.464535515249133E-5,NO
230,128,4.6657044555519014E-5,NO
231,151,4.4142700385925375E-5,NO
232,422,8.544152354068277E-5,NO
233,221,4.804782178866686E-5,NO
234,50,4.60399965134835E-5,NO
235,42,4.60399965134835E-5,NO
236,624,3.025834095000613E-4,NO
237,377,7.179811105795606E-5,NO
238,382,1.794177261924371E-4,NO
239,72,4.5057273023564415E-5,NO
240,92,4.4386619617516676E-5,NO
241,282,5.486416562334107E-5,NO
242,371,7.179811105795606E-5,NO
243,47,4.60399965134835E-5,NO
244,108,4.401460322919166E-5,NO
245,111,4.401460322919166E-5,NO
246,319,5.810436335511829E-5,NO
247,129,4.393383010794157E-5,NO
248,49,4.60399965134835E-5,NO
249,358,6.646927029502381E-5,NO
250,277,5.2146632202189753E-5,NO
251,49,4.60399965134835E-5,NO
252,89,4.4386619617516676E-5,NO
253,41,4.60399965134835E-5,NO
254,66,4.5057273023564415E-5,NO
255,63,4.5057273023564415E-5,NO
256,24,4.735471183758707E-5,NO
257,50,4.60399965134835E-5,NO
258,72,4.5057273023564415E-5,NO
259,47,4.60399965134835E-5,NO
260,47,4.60399965134835E-5,NO
261,183,4.5451813579491824E-5,NO
262,49,4.60399965134835E-5,NO
263,50,4.60399965134835E-5,NO
264,98,4.401460322919166E-5,NO
265,143,4.4142700385925375E-5,NO
266,43,4.60399965134835E-5,NO
267,42,4.60399965134835E-5,NO
268,56,4.5057273023564415E-5,NO
269,44,4.60399965134835E-5,NO
270,26,4.735471183758707E-5,NO
271,254,4.989088795056372E-5,NO
272,16883,1.167329395848739E-4,NO
273,74,4.4386619617516676E-5,NO
274,153,4.4142700385925375E-5,NO
275,68,4.5057273023564415E-5,NO
276,100,4.401460322919166E-5,NO
277,550,1.9324389982111796E-4,NO
278,437,9.413100146200598E-5,NO
279,1038,0.026613900111504923,NO
280,104,4.401460322919166E-5,NO
281,332,6.194213033686691E-5,NO
282,123,4.393383010794157E-5,NO
283,106,4.401460322919166E-5,NO
284,106,4.674282412050738E-5,NO
285,94,4.401460322919166E-5,NO
286,101,4.401460322919166E-5,NO
287,38,4.60399965134835E-5,NO
288,628,3.025834095000613E-4,NO
289,32,4.60399965134835E-5,NO
290,111,4.401460322919166E-5,NO
291,35,4.60399965134835E-5,NO
292,90,4.4386619617516676E-5,NO
293,27,4.735471183758707E-5,NO
294,28,4.735471183758707E-5,NO
295,92,4.4386619617516676E-5,NO
296,979,0.025687096732817463,NO
297,67,4.5057273023564415E-5,NO
298,29,4.735471183758707E-5,NO
299,105,4.401460322919166E-5,NO
300,72,4.5057273023564415E-5,NO
301,37,4.60399965134835E-5,NO
302,47,4.60399965134835E-5,NO
303,31,4.60399965134835E-5,NO
304,90,4.4386619617516676E-5,NO
305,223,4.804782178866686E-5,NO
306,214,4.6578306467337585E-5,NO
307,107,4.401460322919166E-5,NO
308,37,4.60399965134835E-5,NO
309,27,4.735471183758707E-5,NO
310,48,4.60399965134835E-5,NO
311,167,4.464535515249133E-5,NO
312,213,4.6578306467337585E-5,NO
313,867,0.0032801120900571605,NO
314,159,4.464535515249133E-5,NO
315,100,4.401460322919166E-5,NO
316,96,4.401460322919166E-5,NO
317,842,0.0025948264079312558,NO
318,535,1.7669638392837076E-4,NO
319,83,4.4386619617516676E-5,NO
320,63,4.5057273023564415E-5,NO
321,76,4.4386619617516676E-5,NO
322,202,4.6578306467337585E-5,NO
323,155,4.464535515249133E-5,NO
324,1263,0.4998709005694572,NO
325,74,4.4386619617516676E-5,NO
326,101,4.401460322919166E-5,NO
327,27,4.735471183758707E-5,NO
328,22,4.735471183758707E-5,NO
329,491,1.309378479936015E-4,NO
330,62,4.5057273023564415E-5,NO
331,59,4.5057273023564415E-5,NO
332,99,4.401460322919166E-5,NO
333,27,4.735471183758707E-5,NO
334,77,4.4386619617516676E-5,NO
335,863,0.014488785842832273,NO
336,64,4.5057273023564415E-5,NO
337,45,4.60399965134835E-5,NO
338,63,4.5057273023564415E-5,NO
339,54,4.5057273023564415E-5,NO
340,64,4.5057273023564415E-5,NO
341,132,4.393383010794157E-5,NO
342,182,4.826911486100531E-5,NO
343,70,4.5057273023564415E-5,NO
344,36,4.60399965134835E-5,NO
345,58,4.5057273023564415E-5,NO
346,62,4.5057273023564415E-5,NO
347,132,4.393383010794157E-5,NO
348,74,4.4386619617516676E-5,NO
349,86,4.4386619617516676E-5,NO
350,74,4.4386619617516676E-5,NO
351,48,4.60399965134835E-5,NO
352,74,4.4386619617516676E-5,NO
353,86,4.4386619617516676E-5,NO
354,355,6.646927029502381E-5,NO
355,53,4.5057273023564415E-5,NO
356,804,0.0016555124362882367,NO
357,75,4.4386619617516676E-5,NO
358,125,4.393383010794157E-5,NO
359,200,4.6578306467337585E-5,NO
360,134,4.393383010794157E-5,NO
361,57,4.5057273023564415E-5,NO
362,123,4.393383010794157E-5,NO
363,266,5.2146632202189753E-5,NO
364,162,4.464535515249133E-5,NO
365,130,4.393383010794157E-5,NO
366,108,4.401460322919166E-5,NO
367,354,6.646927029502381E-5,NO
368,88,4.4386619617516676E-5,NO
369,28,4.735471183758707E-5,NO
370,58,4.5057273023564415E-5,NO
