ID,Size,Predicted,Actual
0,212,4.734886970042746E-4,NO
1,274,8.75854780397608E-5,NO
2,461,9.070345650247296E-5,YES
3,138,7.869223492624848E-5,NO
4,358,9.0235532827513E-5,NO
5,1272,0.04249846430263905,YES
6,51,7.173547960351496E-5,NO
7,45,7.079660961065237E-5,NO
8,157,8.024775479771033E-5,NO
9,31,6.984511968528919E-5,NO
10,1406,0.9416013219030588,YES
11,55,7.173547960351496E-5,NO
12,204,8.374823146556663E-5,NO
13,55,7.173547960351496E-5,NO
14,103,7.621123947624235E-5,NO
15,34,2.470857530078639E-4,NO
16,83,7.446797740210065E-5,NO
17,285,0.0020068077968818277,NO
18,83,7.446797740210065E-5,NO
19,129,0.0013908459125986502,NO
20,867,6.583139246417662E-5,YES
21,380,0.999900039081079,NO
22,40,7.079660961065237E-5,NO
23,387,9.07146187226512E-5,YES
24,390,9.07146187226512E-5,NO
25,51,7.173547960351496E-5,NO
26,637,8.431534958761344E-5,YES
27,32,6.984511968528919E-5,NO
28,68,7.357199876901173E-5,YES
29,547,8.877125682336042E-5,YES
30,566,8.798043351200304E-5,NO
31,314,3.1427552264186976E-4,YES
32,907,3.719842773574608E-4,YES
33,275,9.625557178527278E-4,NO
34,31,6.984511968528919E-5,NO
35,50,7.173547960351496E-5,NO
36,27,6.984511968528919E-5,NO
37,175,8.171739679712389E-5,NO
38,50,7.173547960351496E-5,NO
39,62,7.26608885357001E-5,NO
40,87,7.446797740210065E-5,NO
41,52,7.173547960351496E-5,NO
42,373,9.04271807713047E-5,NO
43,224,8.497845754961527E-5,NO
44,118,7.70568921075695E-5,YES
45,83,3.07633272805163E-4,NO
46,147,7.948035669452235E-5,NO
47,58,7.26608885357001E-5,NO
48,44,7.079660961065237E-5,NO
49,106,7.621123947624235E-5,NO
50,238,0.1487648453643652,NO
51,43,2.629751978518456E-4,NO
52,185,0.01132391722883022,YES
53,189,8.241819020932867E-5,NO
54,151,8.024775479771033E-5,NO
55,364,0.0018036905178610931,NO
56,910,0.919059895535788,NO
57,889,0.8785569683992249,NO
58,43,2.497920594820122E-4,NO
59,325,0.020049785102204502,NO
60,27,6.984511968528919E-5,NO
61,55,7.173547960351496E-5,NO
62,93,4.2214079799118354E-4,NO
63,191,8.309536136722105E-5,NO
64,90,7.534799752463002E-5,NO
65,89,3.0902147263803644E-4,NO
66,272,0.01161073883803237,NO
67,152,2.838339389674839E-4,NO
68,90,7.534799752463002E-5,YES
69,82,7.446797740210065E-5,NO
70,148,2.8127600482913135E-4,NO
71,421,0.014313819671431133,YES
72,1190,0.5607950657246218,YES
73,528,0.007537693351263182,YES
74,205,0.001736383911786983,YES
75,190,8.241819020932867E-5,NO
76,86,7.446797740210065E-5,NO
77,212,0.011024423776176413,YES
78,404,0.028799159348668266,NO
79,572,0.002986646894528614,NO
80,132,0.0015862840689695513,NO
81,168,2.866304578665632E-4,NO
82,109,7.70568921075695E-5,YES
83,85,7.446797740210065E-5,NO
84,107,7.598564349225358E-4,NO
85,237,8.555456349321322E-5,NO
86,511,6.14278537125108E-4,YES
87,47,7.173547960351496E-5,NO
88,1328,0.4123221495602715,YES
89,27,6.984511968528919E-5,NO
90,89,7.534799752463002E-5,NO
91,482,3.124924635850538E-4,YES
92,226,0.32992794698678973,YES
93,166,8.099367944063392E-5,NO
94,92,2.6650695527572334E-4,YES
95,476,9.057260186982907E-5,NO
96,93,2.6650695527572334E-4,YES
97,244,8.610387040719037E-5,NO
98,204,8.374823146556663E-5,NO
99,252,8.610387040719037E-5,NO
100,119,0.0015678899344758427,NO
101,733,0.0010378464803209096,NO
102,630,0.2736051136973932,NO
103,69,7.357199876901173E-5,NO
104,77,7.357199876901173E-5,NO
105,97,7.534799752463002E-5,NO
106,380,3.2551809962828165E-4,NO
107,214,8.437614233573079E-5,NO
108,38,2.5601194287628806E-4,NO
109,79,7.446797740210065E-5,NO
110,25,6.888185320864191E-5,NO
111,84,7.446797740210065E-5,NO
112,34,6.984511968528919E-5,NO
113,33,6.984511968528919E-5,NO
114,104,7.621123947624235E-5,NO
115,193,2.833789785207327E-4,NO
116,70,7.357199876901173E-5,NO
117,140,7.948035669452235E-5,NO
118,22,2.349148938666733E-4,NO
119,156,8.024775479771033E-5,NO
120,142,7.948035669452235E-5,NO
121,100,6.386064100347379E-4,YES
122,152,8.024775479771033E-5,NO
123,31,6.984511968528919E-5,NO
124,60,7.26608885357001E-5,NO
125,60,7.26608885357001E-5,NO
126,876,6.48286726951194E-5,NO
127,61,7.26608885357001E-5,NO
128,185,8.241819020932867E-5,NO
129,264,8.711985337553085E-5,NO
130,43,7.079660961065237E-5,NO
131,248,8.610387040719037E-5,NO
132,361,0.8882971646652661,YES
133,199,2.9390371589556536E-4,YES
134,194,8.309536136722105E-5,YES
135,346,9.001219308255634E-5,YES
136,91,2.6650695527572334E-4,NO
137,335,0.0018548354756083845,YES
138,370,0.002072742672365897,NO
139,82,2.662235335822641E-4,NO
140,53,7.173547960351496E-5,NO
141,148,2.811202218855335E-4,NO
142,4088,1.447133886157006E-14,NO
143,88,4.8729511975334694E-4,NO
144,878,0.9993117396952217,YES
145,37,2.544159524576689E-4,NO
146,48,2.7504711198428366E-4,NO
147,47,7.173547960351496E-5,NO
148,101,7.621123947624235E-5,NO
149,556,1.0,NO
150,360,0.2789737491778036,NO
151,284,0.999995712708896,YES
152,135,2.784874485432841E-4,NO
153,56,7.173547960351496E-5,NO
154,78,0.0015181900790861682,NO
155,409,0.01181574112516691,YES
156,174,8.171739679712389E-5,NO
157,148,7.948035669452235E-5,NO
158,88,3.0988892632281427E-4,NO
159,45,7.079660961065237E-5,YES
160,39,7.079660961065237E-5,NO
161,182,8.241819020932867E-5,NO
162,77,7.357199876901173E-5,NO
163,666,8.23501215593179E-5,NO
164,104,2.589787970150146E-4,YES
165,263,8.711985337553085E-5,YES
166,54,7.173547960351496E-5,NO
167,76,7.357199876901173E-5,NO
168,119,0.0026141924826385866,NO
169,200,0.002981786601644543,NO
170,152,8.024775479771033E-5,NO
171,39,7.079660961065237E-5,NO
172,677,8.164703620580418E-5,NO
173,131,7.869223492624848E-5,NO
174,47,7.173547960351496E-5,NO
175,100,0.0026962911585029017,NO
176,43,7.079660961065237E-5,NO
177,73,7.357199876901173E-5,NO
178,257,8.662581339205769E-5,NO
179,356,9.0235532827513E-5,NO
180,62,7.26608885357001E-5,NO
181,45,7.079660961065237E-5,NO
182,97,7.534799752463002E-5,NO
183,131,7.869223492624848E-5,YES
184,68,7.357199876901173E-5,YES
185,99,7.621123947624235E-5,NO
186,53,7.173547960351496E-5,NO
187,81,7.446797740210065E-5,NO
188,78,7.446797740210065E-5,YES
189,69,7.357199876901173E-5,NO
190,69,7.357199876901173E-5,NO
191,77,7.357199876901173E-5,NO
192,72,7.357199876901173E-5,NO
193,72,7.357199876901173E-5,NO
194,63,7.26608885357001E-5,NO
195,50,7.173547960351496E-5,NO
196,28,6.984511968528919E-5,NO
197,96,7.534799752463002E-5,NO
198,40,7.079660961065237E-5,NO
199,76,7.357199876901173E-5,NO
200,49,7.173547960351496E-5,NO
201,63,7.26608885357001E-5,NO
202,55,7.173547960351496E-5,NO
203,45,7.079660961065237E-5,NO
204,476,9.057260186982907E-5,NO
205,77,7.357199876901173E-5,NO
206,69,7.357199876901173E-5,NO
207,104,7.621123947624235E-5,NO
208,115,7.70568921075695E-5,NO
209,421,9.090408796789807E-5,NO
210,61,7.26608885357001E-5,NO
211,2009,1.3586710601864468E-6,NO
212,179,8.171739679712389E-5,NO
213,106,7.621123947624235E-5,NO
214,33,6.984511968528919E-5,NO
215,657,8.302965267268557E-5,NO
216,295,8.842957117607808E-5,NO
217,872,6.48286726951194E-5,NO
218,444,9.086848870189677E-5,NO
219,168,8.099367944063392E-5,NO
220,752,7.612688125466173E-5,NO
221,135,7.869223492624848E-5,NO
222,1126,4.030225322925273E-5,NO
223,163,8.099367944063392E-5,NO
224,184,8.241819020932867E-5,NO
225,51,7.173547960351496E-5,NO
226,25,6.888185320864191E-5,NO
227,180,8.171739679712389E-5,NO
228,64,7.26608885357001E-5,NO
229,101,7.621123947624235E-5,NO
230,512,8.973057911335376E-5,NO
231,187,8.241819020932867E-5,NO
232,56,7.173547960351496E-5,NO
233,39,7.079660961065237E-5,NO
234,261,8.662581339205769E-5,NO
235,73,7.357199876901173E-5,NO
236,65,7.26608885357001E-5,NO
237,329,8.947142094232617E-5,NO
238,64,7.26608885357001E-5,NO
239,164,8.099367944063392E-5,NO
240,624,8.49202165157453E-5,NO
241,74,7.357199876901173E-5,NO
242,117,7.70568921075695E-5,NO
243,84,7.446797740210065E-5,NO
244,226,8.497845754961527E-5,NO
245,76,7.357199876901173E-5,NO
246,323,8.91545618435562E-5,NO
247,72,7.357199876901173E-5,NO
248,42,7.079660961065237E-5,NO
249,48,7.173547960351496E-5,NO
250,89,7.534799752463002E-5,NO
251,380,9.05869328452717E-5,NO
252,141,7.948035669452235E-5,NO
253,148,7.948035669452235E-5,NO
254,191,8.309536136722105E-5,NO
255,46,7.079660961065237E-5,NO
256,165,8.099367944063392E-5,NO
257,171,8.171739679712389E-5,NO
258,56,7.173547960351496E-5,NO
259,179,8.171739679712389E-5,NO
260,74,7.357199876901173E-5,NO
261,36,6.984511968528919E-5,NO
262,37,7.079660961065237E-5,NO
263,34,6.984511968528919E-5,NO
264,34,6.984511968528919E-5,NO
265,38,7.079660961065237E-5,NO
266,39,7.079660961065237E-5,NO
267,156,8.024775479771033E-5,NO
268,84,7.446797740210065E-5,NO
269,117,7.70568921075695E-5,NO
270,94,7.534799752463002E-5,NO
271,71,7.357199876901173E-5,NO
272,183,8.241819020932867E-5,NO
273,85,7.446797740210065E-5,NO
274,183,8.241819020932867E-5,NO
275,70,7.357199876901173E-5,NO
276,54,7.173547960351496E-5,NO
277,160,8.099367944063392E-5,NO
278,128,7.788415404069313E-5,NO
279,151,8.024775479771033E-5,NO
280,422,9.090408796789807E-5,NO
281,221,8.437614233573079E-5,NO
282,50,7.173547960351496E-5,NO
283,42,7.079660961065237E-5,NO
284,624,8.49202165157453E-5,NO
285,377,9.05869328452717E-5,NO
286,382,9.05869328452717E-5,NO
287,72,7.357199876901173E-5,NO
288,92,7.534799752463002E-5,NO
289,282,8.75854780397608E-5,NO
290,371,9.04271807713047E-5,NO
291,47,7.173547960351496E-5,NO
292,108,7.621123947624235E-5,NO
293,111,7.70568921075695E-5,NO
294,319,8.91545618435562E-5,NO
295,129,7.869223492624848E-5,NO
296,49,7.173547960351496E-5,NO
297,358,9.0235532827513E-5,NO
298,277,8.75854780397608E-5,NO
299,49,7.173547960351496E-5,NO
300,89,7.534799752463002E-5,NO
301,41,7.079660961065237E-5,NO
302,66,7.26608885357001E-5,NO
303,63,7.26608885357001E-5,NO
304,24,6.888185320864191E-5,NO
305,50,7.173547960351496E-5,NO
306,72,7.357199876901173E-5,NO
307,47,7.173547960351496E-5,NO
308,47,7.173547960351496E-5,NO
309,183,8.241819020932867E-5,NO
310,49,7.173547960351496E-5,NO
311,50,7.173547960351496E-5,NO
312,98,7.621123947624235E-5,NO
313,143,7.948035669452235E-5,NO
314,43,7.079660961065237E-5,NO
315,42,7.079660961065237E-5,NO
316,56,7.173547960351496E-5,NO
317,44,7.079660961065237E-5,NO
318,26,6.984511968528919E-5,NO
319,254,8.662581339205769E-5,NO
320,16883,4.6567590291396224E-5,NO
321,74,7.357199876901173E-5,NO
322,153,8.024775479771033E-5,NO
323,68,7.357199876901173E-5,NO
324,100,7.621123947624235E-5,NO
325,550,8.877125682336042E-5,NO
326,437,9.090248995051568E-5,NO
327,1038,4.831173573744896E-5,NO
328,104,7.621123947624235E-5,NO
329,332,8.947142094232617E-5,NO
330,123,7.788415404069313E-5,NO
331,106,7.621123947624235E-5,NO
332,105,2.697090425100019E-4,NO
333,94,7.534799752463002E-5,NO
334,101,7.621123947624235E-5,NO
335,38,7.079660961065237E-5,NO
336,666,0.0036099806071060716,NO
337,32,6.984511968528919E-5,NO
338,111,7.70568921075695E-5,NO
339,35,6.984511968528919E-5,NO
340,90,7.534799752463002E-5,NO
341,27,6.984511968528919E-5,NO
342,28,6.984511968528919E-5,NO
343,92,7.534799752463002E-5,NO
344,979,5.452443563030116E-5,NO
345,67,7.26608885357001E-5,NO
346,29,6.984511968528919E-5,NO
347,105,7.621123947624235E-5,NO
348,72,7.357199876901173E-5,NO
349,37,7.079660961065237E-5,NO
350,47,7.173547960351496E-5,NO
351,31,6.984511968528919E-5,NO
352,90,7.534799752463002E-5,NO
353,223,8.497845754961527E-5,NO
354,214,8.437614233573079E-5,NO
355,107,7.621123947624235E-5,NO
356,37,7.079660961065237E-5,NO
357,27,6.984511968528919E-5,NO
358,48,7.173547960351496E-5,NO
359,167,8.099367944063392E-5,NO
360,213,8.437614233573079E-5,NO
361,867,6.583139246417662E-5,NO
362,159,8.024775479771033E-5,NO
363,100,7.621123947624235E-5,NO
364,96,7.534799752463002E-5,NO
365,842,6.781102580808648E-5,NO
366,535,8.912165506464901E-5,NO
367,83,7.446797740210065E-5,NO
368,63,7.26608885357001E-5,NO
369,76,7.357199876901173E-5,NO
370,202,8.374823146556663E-5,NO
371,155,8.024775479771033E-5,NO
372,1263,2.85934024641262E-5,NO
373,74,7.357199876901173E-5,NO
374,101,7.621123947624235E-5,NO
375,27,6.984511968528919E-5,NO
376,22,6.888185320864191E-5,NO
377,491,9.021491354676107E-5,NO
378,62,7.26608885357001E-5,NO
379,59,7.26608885357001E-5,NO
380,99,7.621123947624235E-5,NO
381,27,6.984511968528919E-5,NO
382,77,7.357199876901173E-5,NO
383,863,6.583139246417662E-5,NO
384,64,7.26608885357001E-5,NO
385,45,7.079660961065237E-5,NO
386,63,7.26608885357001E-5,NO
387,54,7.173547960351496E-5,NO
388,64,7.26608885357001E-5,NO
389,132,7.869223492624848E-5,NO
390,182,8.241819020932867E-5,NO
391,70,7.357199876901173E-5,NO
392,36,6.984511968528919E-5,NO
393,58,7.26608885357001E-5,NO
394,62,7.26608885357001E-5,NO
395,132,7.869223492624848E-5,NO
396,74,7.357199876901173E-5,NO
397,86,7.446797740210065E-5,NO
398,74,7.357199876901173E-5,NO
399,48,7.173547960351496E-5,NO
400,74,7.357199876901173E-5,NO
401,86,7.446797740210065E-5,NO
402,355,9.001219308255634E-5,NO
403,53,7.173547960351496E-5,NO
404,804,7.164347946321175E-5,NO
405,75,7.357199876901173E-5,NO
406,125,7.788415404069313E-5,NO
407,200,8.309536136722105E-5,NO
408,134,7.869223492624848E-5,NO
409,57,7.26608885357001E-5,NO
410,123,7.788415404069313E-5,NO
411,314,4.3343761735392905E-4,NO
412,162,8.099367944063392E-5,NO
413,137,2.705728854336383E-4,NO
414,124,2.646625842941767E-4,NO
415,359,3.107043466068196E-4,NO
416,151,0.0028379761566468403,NO
417,107,2.596918682182466E-4,NO
418,28,6.984511968528919E-5,NO
419,58,7.26608885357001E-5,NO
420,470,0.007164033775984085,NO
