ID,Size,Predicted,Actual
0,212,9.172372761313006E-4,NO
1,274,9.400315030958973E-4,NO
2,461,9.759535938932488E-4,YES
3,138,8.895801556306534E-4,NO
4,358,9.695200582215606E-4,NO
5,1272,4.730042594072602E-4,YES
6,51,8.216433020499281E-4,NO
7,45,8.216433020499281E-4,NO
8,157,8.895801556306534E-4,NO
9,31,8.216433020499281E-4,NO
10,1406,0.9055904057866482,YES
11,55,8.216433020499281E-4,NO
12,204,9.172372761313006E-4,NO
13,55,8.216433020499281E-4,NO
14,103,8.57536021849476E-4,NO
15,34,8.100056642082761E-4,NO
16,83,8.57536021849476E-4,NO
17,285,9.267185869914649E-4,NO
18,83,8.57536021849476E-4,NO
19,129,0.006385066685489378,NO
20,867,8.250124728178727E-4,YES
21,380,0.9999235779027498,NO
22,40,8.216433020499281E-4,NO
23,387,9.695200582215606E-4,YES
24,390,9.695200582215606E-4,NO
25,51,8.216433020499281E-4,NO
26,637,9.418281561759069E-4,YES
27,32,8.216433020499281E-4,NO
28,68,8.216433020499281E-4,YES
29,547,9.703137509261755E-4,YES
30,566,9.58869967949025E-4,NO
31,314,9.575630893357012E-4,YES
32,907,9.546928934158203E-4,YES
33,275,0.0011415629099187617,NO
34,31,8.216433020499281E-4,NO
35,50,8.216433020499281E-4,NO
36,27,8.216433020499281E-4,NO
37,175,8.895801556306534E-4,NO
38,50,8.216433020499281E-4,NO
39,62,8.216433020499281E-4,NO
40,87,8.57536021849476E-4,NO
41,52,8.216433020499281E-4,NO
42,373,9.695200582215606E-4,NO
43,224,9.172372761313006E-4,NO
44,118,8.57536021849476E-4,YES
45,83,8.57536021849476E-4,NO
46,147,8.895801556306534E-4,NO
47,58,8.216433020499281E-4,NO
48,44,8.216433020499281E-4,NO
49,106,8.57536021849476E-4,NO
50,238,0.24789937823783922,NO
51,43,9.554520300437355E-4,NO
52,185,0.019006448619331012,YES
53,189,9.172372761313006E-4,NO
54,151,8.895801556306534E-4,NO
55,364,9.695200582215606E-4,NO
56,910,0.013410629217844241,NO
57,889,0.0010631115846233088,NO
58,43,8.216433020499281E-4,NO
59,325,9.35180361361908E-4,NO
60,27,8.216433020499281E-4,NO
61,55,8.216433020499281E-4,NO
62,93,8.37489434263799E-4,NO
63,191,9.172372761313006E-4,NO
64,90,8.57536021849476E-4,NO
65,89,8.57536021849476E-4,NO
66,272,9.400315030958973E-4,NO
67,152,8.895801556306534E-4,NO
68,90,8.57536021849476E-4,YES
69,82,8.57536021849476E-4,NO
70,148,8.895801556306534E-4,NO
71,421,9.756874208740972E-4,YES
72,1190,6.846731766758995E-4,YES
73,528,0.009646887896466717,YES
74,205,9.172372761313006E-4,YES
75,190,9.172372761313006E-4,NO
76,86,8.57536021849476E-4,NO
77,212,9.172372761313006E-4,YES
78,404,9.528814465792721E-4,NO
79,572,0.009534090046147584,NO
80,132,8.57536021849476E-4,NO
81,168,8.895801556306534E-4,NO
82,109,8.57536021849476E-4,YES
83,85,8.57536021849476E-4,NO
84,107,0.002756133981265015,NO
85,237,9.172372761313006E-4,NO
86,511,0.0018133680905348182,YES
87,47,8.216433020499281E-4,NO
88,1328,4.4202812186335157E-4,YES
89,27,8.216433020499281E-4,NO
90,89,8.57536021849476E-4,NO
91,482,9.759535938932488E-4,YES
92,226,0.24789937823783922,YES
93,166,8.895801556306534E-4,NO
94,92,8.57536021849476E-4,YES
95,476,9.759535938932488E-4,NO
96,93,8.57536021849476E-4,YES
97,244,9.400315030958973E-4,NO
98,204,9.172372761313006E-4,NO
99,252,9.400315030958973E-4,NO
100,119,8.57536021849476E-4,NO
101,733,0.0028674959935943278,NO
102,630,9.696624377804656E-4,NO
103,69,8.216433020499281E-4,NO
104,77,8.216433020499281E-4,NO
105,97,8.57536021849476E-4,NO
106,380,9.557899187758272E-4,NO
107,214,9.172372761313006E-4,NO
108,38,8.100056642082761E-4,NO
109,79,8.216433020499281E-4,NO
110,25,7.824879758010909E-4,NO
111,84,8.57536021849476E-4,NO
112,34,8.216433020499281E-4,NO
113,33,8.216433020499281E-4,NO
114,104,8.57536021849476E-4,NO
115,193,9.042468842948754E-4,NO
116,70,8.216433020499281E-4,NO
117,140,8.895801556306534E-4,NO
118,22,7.714045002171118E-4,NO
119,156,8.895801556306534E-4,NO
120,142,8.895801556306534E-4,NO
121,100,0.0016027609543200743,YES
122,152,8.895801556306534E-4,NO
123,31,8.216433020499281E-4,NO
124,60,8.216433020499281E-4,NO
125,60,8.216433020499281E-4,NO
126,876,8.250124728178727E-4,NO
127,61,8.216433020499281E-4,NO
128,185,8.895801556306534E-4,NO
129,264,9.400315030958973E-4,NO
130,43,8.216433020499281E-4,NO
131,248,9.400315030958973E-4,NO
132,361,0.01649057728172786,YES
133,199,9.172372761313006E-4,YES
134,194,9.172372761313006E-4,YES
135,346,9.695200582215606E-4,YES
136,91,8.57536021849476E-4,NO
137,335,9.575630893357012E-4,YES
138,370,9.695200582215606E-4,NO
139,82,8.57536021849476E-4,NO
140,53,8.216433020499281E-4,NO
141,148,8.895801556306534E-4,NO
142,4088,6.443500463669904E-10,NO
143,88,0.0016027609543200743,NO
144,878,0.010911948309230536,YES
145,37,8.100056642082761E-4,NO
146,48,9.554520300437355E-4,NO
147,47,8.216433020499281E-4,NO
148,101,8.57536021849476E-4,NO
149,556,0.0013244847825796841,NO
150,360,9.557899187758272E-4,NO
151,284,9.400315030958973E-4,YES
152,135,8.895801556306534E-4,NO
153,56,8.216433020499281E-4,NO
154,78,8.216433020499281E-4,NO
155,409,9.618700246258665E-4,YES
156,174,8.895801556306534E-4,NO
157,148,8.895801556306534E-4,NO
158,88,8.57536021849476E-4,NO
159,45,8.216433020499281E-4,YES
160,39,8.216433020499281E-4,NO
161,182,8.895801556306534E-4,NO
162,77,8.216433020499281E-4,NO
163,666,9.194919108700797E-4,NO
164,104,8.37489434263799E-4,YES
165,263,9.400315030958973E-4,YES
