ID,Size,Predicted,Actual
0,215,3.798372185852253E-8,NO
1,274,7.41699153250642E-7,YES
2,461,7.759169517178343E-7,YES
3,138,3.633059548947925E-8,NO
4,358,1.396252892488722E-8,NO
5,1248,0.016737053668928244,YES
6,51,1.2064143938716775E-8,NO
7,45,3.3799778550601195E-8,NO
8,157,1.3057058470224598E-8,NO
9,31,1.2064143938716775E-8,NO
10,1008,2.7360500493284147E-7,YES
11,55,6.726475001071037E-8,NO
12,204,3.113490863985964E-5,NO
13,55,3.633419596950816E-8,NO
14,103,9.547275776852953E-8,NO
15,83,8.580705118785589E-8,NO
16,262,3.8678792293505597E-8,NO
17,83,6.097059815836391E-8,NO
18,867,0.0011291204737113583,YES
19,40,1.2064143938716775E-8,NO
20,387,6.716644737051657E-7,YES
21,390,4.017451298031178E-8,NO
22,51,1.2064143938716775E-8,NO
23,637,0.0014879632267833123,YES
24,32,1.2064143938716775E-8,NO
25,68,3.361707522188201E-8,YES
26,547,1.0,YES
27,566,0.9985659166329116,NO
28,314,1.570666668562416E-5,YES
29,839,2.9418087208761105E-5,YES
30,211,2.7794214448551707E-7,NO
31,31,3.274841311987544E-8,NO
32,50,1.2064143938716775E-8,NO
33,27,1.2064143938716775E-8,NO
34,175,1.0,NO
35,50,3.386357493863536E-8,NO
36,62,1.2064143938716775E-8,NO
37,87,3.5385301775487974E-8,NO
38,52,1.2064143938716775E-8,NO
39,373,1.6675914214209935E-5,NO
40,224,3.4893474859246245E-6,NO
41,118,1.2752259572617515E-8,YES
42,83,1.2420455732696858E-8,NO
43,147,1.2752259572617515E-8,NO
44,58,3.437018603849285E-8,NO
45,44,1.2064143938716775E-8,NO
46,106,1.2420455732696858E-8,NO
47,189,2.941614089071605E-7,NO
48,151,1.2752259572617515E-8,NO
49,352,1.396252892488722E-8,YES
50,849,8.048258240024869E-8,YES
51,877,3.7379241347537004E-8,YES
52,41,3.3799778550601195E-8,NO
53,319,1.3787055182433072E-8,YES
54,27,1.2064143938716775E-8,NO
55,55,1.2064143938716775E-8,NO
56,94,1.2420455732696858E-8,NO
57,191,1.3057058470224598E-8,NO
58,90,1.2420455732696858E-8,NO
