ID,Size,Predicted,Actual
0,215,0.0,NO
1,271,0.0,NO
2,451,0.0,NO
3,137,1.4012558165773797E-57,NO
4,368,0.0,YES
5,764,0.0,YES
6,51,0.0,NO
7,150,0.0,NO
8,31,0.0,NO
9,684,0.0,YES
10,180,1.3787342419948614E-57,NO
11,196,0.0,YES
12,482,0.0,YES
13,40,0.0,NO
14,259,0.0,YES
15,379,0.0,YES
16,510,0.0,YES
17,32,0.0,NO
18,66,0.0,NO
19,187,0.0,YES
20,576,0.0,YES
21,158,0.0,YES
22,46,0.0,YES
23,27,0.0,NO
24,788,0.0,YES
25,60,0.0,NO
26,62,0.0,YES
27,88,0.0,YES
28,52,0.0,YES
29,163,6.916050450991971E-230,NO
30,91,0.0,YES
31,147,1.3907455093265064E-57,NO
32,58,0.0,NO
33,44,0.0,NO
34,139,0.0,NO
35,282,0.0,NO
36,582,0.0,YES
37,800,0.0,YES
38,216,0.0,YES
39,55,1.8928176079213792E-225,NO
40,184,3.737626038253857E-224,NO
41,65,0.0,NO
42,150,0.0,YES
43,81,1.5684807944191672E-57,NO
44,84,1.5335257845853955E-57,NO
45,905,0.0,YES
46,312,0.0,YES
47,171,1.5021971027368164E-73,NO
48,153,0.0,YES
49,84,0.0,NO
50,169,2.480006715680968E-218,YES
51,189,0.0,YES
52,127,0.0,YES
53,79,1.024264961062294E-67,YES
54,90,0.0,NO
55,85,1.5335257845853955E-57,NO
56,123,0.0,YES
57,276,0.0,YES
58,549,0.0,YES
59,27,0.0,NO
60,88,0.0,YES
61,283,0.0,YES
62,175,0.0,YES
63,507,0.0,YES
64,209,1.9946218746701033E-76,NO
65,147,1.9547629543110237E-76,NO
66,98,7.612516011106033E-65,NO
67,132,0.0,NO
68,236,0.0,YES
69,227,0.0,YES
70,172,0.0,NO
71,507,0.0,YES
72,90,0.0,YES
73,58,0.0,NO
74,132,1.4148760159909283E-57,NO
75,529,8.439892894896745E-151,YES
76,694,0.0,YES
77,148,1.3907455093265064E-57,YES
78,174,1.3772904823814916E-57,NO
79,148,1.3907455093265064E-57,NO
80,92,1.2599714712922995E-70,NO
81,77,0.0,NO
82,664,0.0,NO
83,55,0.0,NO
84,256,0.0,YES
85,54,1.6999288307760934E-57,NO
86,38,1.8129579635439298E-57,YES
87,98,1.50256806496719E-57,YES
88,39,1.8129579635439298E-57,NO
89,47,0.0,NO
90,69,1.607675977139376E-57,YES
91,43,0.0,NO
92,94,1.50256806496719E-57,YES
93,72,1.607675977139376E-57,NO
94,42,1.7536529081939197E-57,NO
95,48,1.6999288307760934E-57,NO
96,63,1.651387655281798E-57,YES
97,318,0.0,YES
98,136,1.1792220714890377E-70,YES
99,141,1.9950107104776272E-76,YES
100,190,0.0,YES
101,46,1.7536529081939197E-57,NO
102,165,0.0,NO
103,162,0.0,NO
104,58,1.651387655281798E-57,NO
105,148,1.599618555473753E-225,YES
106,74,1.5684807944191672E-57,NO
107,36,0.0,NO
108,37,1.8129579635439298E-57,NO
109,38,1.8129579635439298E-57,NO
110,39,1.8129579635439298E-57,NO
111,96,1.50256806496719E-57,YES
112,88,1.5335257845853955E-57,NO
113,71,1.607675977139376E-57,NO
114,114,8.271178940607935E-297,NO
115,342,0.0,YES
116,84,1.5335257845853955E-57,NO
117,58,1.651387655281798E-57,NO
118,129,9.456427677754447E-154,NO
119,363,1.676503833668538E-159,YES
120,242,0.0,YES
121,682,0.0,YES
122,366,1.1717523996073294E-64,YES
123,103,2.1005654772039198E-76,YES
124,41,1.7536529081939197E-57,NO
125,66,1.607675977139376E-57,NO
126,63,3.316359946827248E-225,NO
127,47,1.7536529081939197E-57,NO
128,183,1.3787342419948614E-57,NO
129,49,1.6999288307760934E-57,NO
130,50,1.6999288307760934E-57,NO
131,98,1.50256806496719E-57,NO
132,143,1.9950107104776272E-76,NO
133,43,1.7536529081939197E-57,NO
