ID,Size,Predicted,Actual
0,215,0.0,NO
1,271,0.0,NO
2,451,0.0,NO
3,137,2.9131431975048026E-60,NO
4,368,0.0,YES
5,764,0.0,YES
6,51,3.539379091785321E-159,NO
7,150,1.2702663861046146E-229,NO
8,31,2.00711701877211E-153,NO
9,684,0.0,YES
10,180,2.9023128014833347E-60,NO
11,196,0.0,YES
12,482,0.0,YES
13,40,2.8014221382810615E-82,NO
14,259,1.488038243134374E-224,YES
15,379,0.0,YES
16,510,0.0,YES
17,32,1.588203943379029E-11,NO
18,66,1.2478578075428199E-86,NO
19,187,0.0,YES
20,576,0.0,YES
21,158,0.0,YES
22,46,0.0,YES
23,27,0.0,NO
24,788,0.0,YES
25,60,3.706106756578829E-85,NO
26,62,3.4053320343428226E-233,YES
27,88,0.0,YES
28,52,1.2478578075428199E-86,YES
29,163,2.45074538020029E-212,NO
30,91,0.0,YES
31,147,2.9131431975048026E-60,NO
32,58,3.706106756578829E-85,NO
33,44,2.801422138281062E-82,NO
34,139,1.454845082799414E-67,NO
35,282,1.484297869172602E-67,NO
36,582,0.0,YES
37,800,2.5250142414269347E-229,YES
38,216,7.976831348075543E-140,YES
39,55,0.99975337116493,NO
40,184,2.262519809662487E-212,NO
41,65,0.99975337116493,NO
42,150,1.1281388805476585E-142,YES
43,81,2.954598701019184E-60,NO
44,84,2.954598701019184E-60,NO
45,905,0.0,YES
46,312,2.853155241800247E-226,YES
47,171,1.454845082799414E-67,NO
48,153,2.8781575655071836E-220,YES
49,84,3.38600707789575E-76,NO
50,169,2.45074538020029E-212,YES
51,189,2.262519809662487E-212,YES
52,127,4.96501575715607E-218,YES
53,79,1.4755482653599317E-67,YES
54,90,2.5679986643255074E-73,NO
55,85,2.954598701019184E-60,NO
56,123,5.762769682676544E-212,YES
57,276,8.85677114340465E-227,YES
58,549,0.0,YES
59,27,1.588203943379029E-11,NO
60,88,0.0,YES
61,283,7.582220547690377E-215,YES
62,175,2.45074538020029E-212,YES
63,507,3.600678366507627E-215,YES
64,209,1.4494363035776786E-67,NO
65,147,1.454845082799414E-67,NO
66,98,1.4755482653599316E-67,NO
67,132,0.0,NO
68,236,0.0,YES
69,227,8.85677114340465E-227,YES
70,172,2.270962726474395E-212,NO
71,507,0.0,YES
72,90,0.0,YES
73,58,3.706106756578829E-85,NO
74,132,2.9131431975048026E-60,NO
75,529,1.0400173977133753E-139,YES
76,694,0.0,YES
77,148,2.9131431975048026E-60,YES
78,174,2.9131431975048026E-60,NO
79,148,2.9131431975048026E-60,NO
80,92,1.4755482653599316E-67,NO
81,77,0.0,NO
82,664,0.0,NO
83,55,3.706106756578829E-85,NO
84,256,2.9738576970156316E-215,YES
85,54,0.9999999999876802,NO
86,38,0.9999999999876802,YES
87,98,2.954598701019184E-60,YES
88,39,0.9999999999876802,NO
89,47,2.801422138281062E-82,NO
90,69,0.9999999999876802,YES
91,43,2.801422138281062E-82,NO
92,94,2.954598701019184E-60,YES
93,72,0.9999999999876802,NO
94,42,0.9999999999876802,NO
95,48,0.9999999999876802,NO
96,63,0.9999999999876802,YES
97,318,0.0,YES
98,136,1.454845082799414E-67,YES
99,141,1.454845082799414E-67,YES
100,190,1.9111386820608496E-70,YES
101,46,0.9999999999876802,NO
102,165,1.3301041550264178E-155,NO
103,162,1.9182703698541455E-70,NO
104,58,0.9999999999876802,NO
105,148,1.454845082799414E-67,YES
106,74,0.9999999999876802,NO
107,36,1.588203943379029E-11,NO
108,37,0.9999999999876802,NO
109,38,0.9999999999876802,NO
110,39,0.9999999999876802,NO
111,96,2.954598701019184E-60,YES
112,88,2.954598701019184E-60,NO
113,71,0.9999999999876802,NO
114,114,1.4755482653599316E-67,NO
115,342,3.6054170081651706E-76,YES
116,84,2.954598701019184E-60,NO
117,58,0.9999999999876802,NO
118,129,1.454845082799414E-67,NO
119,363,1.5256700088339705E-67,YES
