ID,Size,Predicted,Actual
0,215,1.1190332673470283E-10,NO
1,273,4.661536194765609E-10,YES
2,460,4.037693843142581E-9,YES
3,138,2.92487552306725E-10,NO
4,358,1.102133212736096E-9,NO
5,1248,0.9993333737283545,YES
6,51,1.0362824327242642E-10,NO
7,157,3.0550240703769274E-10,NO
8,31,1.1480667671661596E-10,NO
9,981,9.728386809367093E-4,YES
10,180,1.0204780468098114E-10,NO
11,262,4.661536194765609E-10,NO
12,553,2.2920944727971623E-8,YES
13,40,1.1480667671661596E-10,NO
14,369,9.307317868215988E-9,NO
15,390,1.6183318794738313E-9,NO
16,51,1.0362824327242642E-10,NO
17,577,7.65634597976678E-9,YES
18,32,1.1480667671661596E-10,NO
19,66,1.0362824327242642E-10,NO
20,188,3.35007066336987E-10,YES
21,582,7.65634597976678E-9,YES
22,160,3.0550240703769274E-10,YES
23,50,1.1480667671661596E-10,NO
24,27,1.1480667671661596E-10,NO
25,923,0.004253290644839655,YES
26,60,1.0362824327242642E-10,NO
27,62,1.0362824327242642E-10,NO
28,87,9.820220469686101E-11,NO
29,52,1.0362824327242642E-10,NO
30,268,1.5571056862703135E-10,YES
31,163,1.0204780468098114E-10,NO
32,109,9.820220469686101E-11,NO
33,147,9.77004171540738E-11,NO
34,58,1.0362824327242642E-10,NO
35,44,1.1480667671661596E-10,NO
36,106,9.820220469686101E-11,YES
37,139,9.77004171540738E-11,NO
38,326,2.6322207071678097E-10,YES
39,648,3.107595378357464E-8,YES
40,792,9.560601370536937E-6,YES
41,319,2.3025807148070292E-9,YES
42,55,1.0362824327242642E-10,NO
43,191,1.1190332673470283E-10,NO
44,90,9.820220469686101E-11,NO
45,273,1.5571056862703135E-10,YES
46,137,9.77004171540738E-11,NO
47,79,1.0362824327242642E-10,NO
48,82,1.0362824327242642E-10,NO
49,147,9.77004171540738E-11,NO
50,422,8.333414481147321E-10,YES
51,979,0.0018966072514479955,YES
52,495,2.4969187056473285E-8,YES
53,189,1.1190332673470283E-10,YES
54,167,1.66225727284645E-10,YES
55,86,2.939897629872347E-10,NO
56,182,1.0204780468098114E-10,YES
57,361,7.985715355815833E-10,YES
58,126,9.77004171540738E-11,YES
59,106,9.820220469686101E-11,NO
60,109,9.820220469686101E-11,NO
61,85,9.820220469686101E-11,NO
62,236,1.2882924194706041E-10,NO
63,315,4.995229329945726E-9,YES
64,695,9.912649539075503E-5,YES
65,27,1.1480667671661596E-10,NO
66,89,9.820220469686101E-11,NO
67,301,5.915139255787864E-10,YES
68,153,1.0204780468098114E-10,YES
69,92,9.820220469686101E-11,NO
70,466,4.037693843142581E-9,YES
71,93,9.820220469686101E-11,NO
72,244,1.2882924194706041E-10,NO
73,192,1.1190332673470283E-10,YES
74,252,4.661536194765609E-10,NO
75,109,9.820220469686101E-11,NO
76,601,1.5054134366143197E-8,YES
77,565,2.2920944727971623E-8,YES
78,69,1.0362824327242642E-10,NO
79,77,1.0362824327242642E-10,NO
80,94,9.820220469686101E-11,YES
81,337,2.6322207071678097E-10,NO
82,214,1.1190332673470283E-10,NO
83,79,1.0362824327242642E-10,NO
84,25,1.1480667671661596E-10,NO
85,84,9.820220469686101E-11,NO
86,34,1.1480667671661596E-10,NO
87,33,1.1480667671661596E-10,NO
88,104,9.820220469686101E-11,NO
89,172,1.0204780468098114E-10,NO
90,70,1.0362824327242642E-10,NO
91,140,9.77004171540738E-11,NO
92,156,3.0550240703769274E-10,NO
93,248,1.2882924194706041E-10,NO
94,277,4.661536194765609E-10,YES
95,189,1.232281616892479E-7,NO
96,194,3.5840493860121946E-8,NO
97,346,9.9830947588764E-8,NO
98,304,0.06009173105962508,NO
99,356,0.9999999999999979,YES
100,84,8.590408181193828E-10,NO
101,53,3.1023379538329644E-10,NO
102,132,9.77004171540738E-11,NO
103,4088,1.0,NO
104,691,5.145594446785459E-4,YES
105,47,3.19723843980732E-10,NO
106,101,1.7407554189722515E-8,NO
107,510,2.619727543315436E-8,YES
108,328,7.880127986581684E-10,YES
109,273,1.5571056862703135E-10,YES
110,136,9.77004171540738E-11,NO
111,56,1.0362824327242642E-10,NO
112,74,1.0362824327242642E-10,NO
113,359,1.102133212736096E-9,YES
114,174,1.0204780468098114E-10,NO
115,148,9.77004171540738E-11,NO
116,92,9.820220469686101E-11,NO
117,45,1.1480667671661596E-10,NO
118,168,1.0204780468098114E-10,NO
119,77,1.0362824327242642E-10,NO
120,666,2.0162242534015558E-7,NO
121,88,9.820220469686101E-11,NO
122,262,4.661536194765609E-10,NO
123,54,1.0362824327242642E-10,NO
124,48,1.1480667671661596E-10,YES
125,140,9.77004171540738E-11,YES
126,152,1.0204780468098114E-10,NO
127,39,1.1480667671661596E-10,NO
128,131,9.77004171540738E-11,NO
129,47,1.1480667671661596E-10,NO
130,129,9.77004171540738E-11,NO
131,43,1.1480667671661596E-10,NO
132,243,1.2882924194706041E-10,YES
133,62,1.0362824327242642E-10,NO
134,45,1.1480667671661596E-10,NO
135,97,2.939897629872347E-10,NO
136,476,1.0,NO
137,77,2.2797757987180903E-10,NO
138,69,2.2797757987180903E-10,NO
139,104,2.2991584542730733E-9,NO
140,115,5.979983864087636E-9,NO
141,421,1.0,NO
142,61,1.7188968073510883E-10,NO
143,2009,1.0,NO
144,179,6.587962914980494E-5,NO
145,106,2.956680842550598E-9,NO
146,33,1.2688164317931456E-10,NO
147,657,1.0,NO
148,295,0.9999999999451934,NO
149,872,1.0,NO
150,444,1.0,NO
151,168,1.2804150739724754E-5,NO
152,752,1.0,NO
153,135,9.5294983979861E-8,NO
154,1126,1.0,NO
155,163,4.150837745715287E-6,NO
156,184,6.587962914980494E-5,NO
157,51,1.139364546405489E-10,NO
158,25,1.2673800955326728E-10,NO
159,180,6.587962914980494E-5,NO
160,64,2.2797757987180903E-10,NO
161,101,2.2991584542730733E-9,NO
162,512,1.0,NO
163,187,2.5648157250888896E-4,NO
164,56,1.6291633759812891E-10,NO
165,39,1.0954318037639703E-10,NO
166,261,0.999996455124312,NO
167,73,2.2797757987180903E-10,NO
168,65,2.2797757987180903E-10,NO
169,329,0.9999999999999999,NO
170,64,2.2797757987180903E-10,NO
171,164,4.150837745715287E-6,NO
172,624,1.0,NO
173,74,2.2797757987180903E-10,NO
174,117,5.979983864087636E-9,NO
175,84,3.2980459344667163E-10,NO
176,226,2.269327052153707E-6,NO
177,76,2.2797757987180903E-10,NO
178,323,0.9999999999998513,NO
179,72,1.0362824327242642E-10,NO
180,42,1.1480667671661596E-10,NO
181,48,1.1480667671661596E-10,NO
182,89,9.820220469686101E-11,NO
183,380,3.681485719734695E-10,NO
184,141,2.92487552306725E-10,NO
185,148,2.92487552306725E-10,NO
186,191,1.1190332673470283E-10,NO
187,46,1.1480667671661596E-10,NO
188,165,1.0204780468098114E-10,NO
189,171,1.0204780468098114E-10,NO
190,56,1.0362824327242642E-10,NO
191,179,1.0204780468098114E-10,NO
192,74,1.0362824327242642E-10,NO
193,36,1.1480667671661596E-10,NO
194,37,1.1480667671661596E-10,NO
195,34,1.1480667671661596E-10,NO
196,34,1.1480667671661596E-10,NO
197,38,1.1480667671661596E-10,NO
198,39,1.1480667671661596E-10,NO
199,156,1.0204780468098114E-10,NO
200,84,9.820220469686101E-11,NO
201,117,9.820220469686101E-11,NO
202,94,9.820220469686101E-11,NO
203,71,1.0362824327242642E-10,NO
204,183,1.0204780468098114E-10,NO
205,85,9.820220469686101E-11,NO
206,183,1.0204780468098114E-10,NO
207,70,1.0362824327242642E-10,NO
208,54,1.0362824327242642E-10,NO
209,160,1.0204780468098114E-10,NO
210,125,9.77004171540738E-11,NO
