ID,Size,Predicted,Actual
0,215,9.902349912618484E-4,NO
1,273,0.0010081659831552652,YES
2,460,0.0010615832927633082,YES
3,138,9.5426951659889E-4,NO
4,358,0.001026043862632377,NO
5,1248,0.0012778871912498444,YES
6,51,9.362624206026873E-4,NO
7,157,9.722649005503695E-4,NO
8,31,9.362624206026873E-4,NO
9,981,0.001123310435650883,YES
10,180,9.722649005503695E-4,NO
11,262,0.0010081659831552652,NO
12,553,0.0010967376763004306,YES
13,40,9.362624206026873E-4,NO
14,369,0.001026043862632377,NO
15,390,0.0010438544251187543,NO
16,51,9.362624206026873E-4,NO
17,577,0.0010967376763004306,YES
18,32,9.362624206026873E-4,NO
19,66,9.362624206026873E-4,NO
20,188,9.722649005503695E-4,YES
21,582,0.0010967376763004306,YES
22,160,9.722649005503695E-4,YES
23,50,9.362624206026873E-4,NO
24,27,9.182569537165764E-4,NO
25,923,0.001144936706079314,YES
26,60,9.362624206026873E-4,NO
27,62,9.362624206026873E-4,NO
28,87,9.362624206026873E-4,NO
29,52,9.362624206026873E-4,NO
30,268,0.0010081659831552652,YES
31,163,9.722649005503695E-4,NO
32,109,9.5426951659889E-4,NO
33,147,9.722649005503695E-4,NO
34,58,9.362624206026873E-4,NO
35,44,9.362624206026873E-4,NO
36,106,9.5426951659889E-4,YES
37,139,9.5426951659889E-4,NO
38,326,0.001026043862632377,YES
39,648,0.0011141337380089161,YES
40,792,0.0011131410815031335,YES
41,319,0.0010081659831552652,YES
42,55,9.362624206026873E-4,NO
43,191,9.722649005503695E-4,NO
44,90,9.5426951659889E-4,NO
45,273,0.0010081659831552652,YES
46,137,9.5426951659889E-4,NO
47,79,9.362624206026873E-4,NO
48,82,9.362624206026873E-4,NO
49,147,9.722649005503695E-4,NO
50,422,0.0010438544251187543,YES
51,979,0.0012150332715093152,YES
52,495,0.0010064373580595351,YES
53,189,9.722649005503695E-4,YES
54,167,0.0051748859622054,YES
55,86,9.362624206026873E-4,NO
56,182,9.722649005503695E-4,YES
57,361,0.0010017923579253287,YES
58,126,9.5426951659889E-4,YES
59,106,9.5426951659889E-4,NO
60,109,9.5426951659889E-4,NO
61,85,9.362624206026873E-4,NO
62,236,9.902349912618484E-4,NO
63,315,0.0010081659831552652,YES
64,695,0.001131389236019856,YES
65,27,9.182569537165764E-4,NO
66,89,9.5426951659889E-4,NO
67,301,0.0010081659831552652,YES
68,153,9.722649005503695E-4,YES
69,92,9.5426951659889E-4,NO
70,466,0.0010615832927633082,YES
71,93,9.5426951659889E-4,NO
72,244,9.902349912618484E-4,NO
73,192,9.722649005503695E-4,YES
74,252,9.902349912618484E-4,NO
75,109,9.5426951659889E-4,NO
76,601,0.0010967376763004306,YES
77,565,0.0010967376763004306,YES
78,69,9.362624206026873E-4,NO
79,77,9.362624206026873E-4,NO
80,94,9.5426951659889E-4,YES
81,337,0.001026043862632377,NO
82,214,9.902349912618484E-4,NO
83,79,9.362624206026873E-4,NO
84,25,9.182569537165764E-4,NO
85,84,9.362624206026873E-4,NO
86,34,9.362624206026873E-4,NO
87,33,9.362624206026873E-4,NO
88,104,9.5426951659889E-4,NO
89,172,9.722649005503695E-4,NO
90,70,9.362624206026873E-4,NO
91,140,9.5426951659889E-4,NO
92,156,9.722649005503695E-4,NO
93,248,9.902349912618484E-4,NO
94,277,0.0010081659831552652,YES
95,189,0.0014694390287991572,NO
96,194,0.0012425970406967583,NO
97,346,0.001305370841031651,NO
98,304,0.006368073008445243,NO
99,356,0.9999998496503117,YES
100,84,9.362624206026873E-4,NO
101,53,9.362624206026873E-4,NO
102,132,9.5426951659889E-4,NO
103,4088,0.0014703903706151482,NO
104,691,0.006018037426655631,YES
105,47,8.493324468996834E-4,NO
106,101,0.005198172084349211,NO
107,510,0.001079215932765539,YES
108,328,0.001026043862632377,YES
109,273,0.0010081659831552652,YES
110,136,9.5426951659889E-4,NO
111,56,9.362624206026873E-4,NO
112,74,9.362624206026873E-4,NO
113,359,0.001026043862632377,YES
114,174,9.722649005503695E-4,NO
115,148,9.722649005503695E-4,NO
116,92,9.5426951659889E-4,NO
117,45,9.362624206026873E-4,NO
118,168,9.722649005503695E-4,NO
119,77,9.362624206026873E-4,NO
120,666,0.0011141337380089161,NO
121,88,9.5426951659889E-4,NO
122,262,0.0010081659831552652,NO
123,54,9.362624206026873E-4,NO
124,48,9.362624206026873E-4,YES
125,140,9.5426951659889E-4,YES
126,152,9.722649005503695E-4,NO
127,39,9.362624206026873E-4,NO
128,131,9.5426951659889E-4,NO
129,47,9.362624206026873E-4,NO
130,129,9.5426951659889E-4,NO
131,43,9.362624206026873E-4,NO
132,243,9.902349912618484E-4,YES
133,62,9.362624206026873E-4,NO
134,45,9.362624206026873E-4,NO
135,97,9.5426951659889E-4,NO
136,476,0.999992131502191,NO
137,77,9.73370743009943E-4,NO
138,69,9.656022411250921E-4,NO
139,104,0.0013732455134999265,NO
140,115,0.0015747321488365326,NO
141,421,0.999490795519412,NO
142,61,9.058960091317053E-4,NO
143,2009,1.0,NO
144,179,0.005879660475411761,NO
145,106,0.0013732455134999265,NO
146,33,8.414470236638257E-4,NO
147,657,1.0,NO
148,295,0.4543047148506988,NO
149,872,1.0,NO
150,444,0.9999031554000729,NO
151,168,0.004599013527081296,NO
152,752,1.0,NO
153,135,0.00227619532991934,NO
154,1126,1.0,NO
155,163,0.004599013527081296,NO
156,184,0.00821814765533117,NO
157,51,8.655657528820601E-4,NO
158,25,8.329973554199609E-4,NO
159,180,0.006315525712441861,NO
160,64,9.058960091317053E-4,NO
161,101,0.0013732455134999265,NO
162,512,0.999999775917756,NO
163,187,0.00821814765533117,NO
164,56,8.655657528820601E-4,NO
165,39,8.490224615613889E-4,NO
166,261,0.0985304120042748,NO
167,73,9.73370743009943E-4,NO
168,65,9.058960091317053E-4,NO
169,329,0.8169546564846,NO
170,64,9.058960091317053E-4,NO
171,164,0.004599013527081296,NO
172,624,0.950320468715705,NO
173,74,9.73370743009943E-4,NO
174,117,0.0015747321488365326,NO
175,84,0.0010566666777523225,NO
176,226,0.002109432349591816,NO
177,76,9.73370743009943E-4,NO
178,323,0.7259788388646041,NO
179,72,9.362624206026873E-4,NO
180,42,9.362624206026873E-4,NO
181,48,9.362624206026873E-4,NO
182,89,9.5426951659889E-4,NO
183,380,0.0010438544251187543,NO
184,141,9.5426951659889E-4,NO
185,148,9.28643634401665E-4,NO
186,191,9.722649005503695E-4,NO
187,46,9.362624206026873E-4,NO
188,165,9.722649005503695E-4,NO
189,171,9.722649005503695E-4,NO
190,56,9.362624206026873E-4,NO
191,179,9.722649005503695E-4,NO
192,74,9.362624206026873E-4,NO
193,36,9.362624206026873E-4,NO
194,37,9.362624206026873E-4,NO
195,34,9.362624206026873E-4,NO
196,34,9.362624206026873E-4,NO
197,38,9.362624206026873E-4,NO
198,39,9.362624206026873E-4,NO
199,156,9.722649005503695E-4,NO
200,84,9.362624206026873E-4,NO
201,117,9.5426951659889E-4,NO
202,94,9.5426951659889E-4,NO
203,71,9.362624206026873E-4,NO
