ID,Size,Predicted,Actual
0,215,0.0,NO
1,271,0.0,YES
2,458,0.0,YES
3,137,0.0,YES
4,357,0.0,YES
5,1242,0.0,YES
6,51,0.0,NO
7,154,0.0,YES
8,31,0.0,NO
9,928,0.0,NO
10,180,0.0,NO
11,260,0.0,YES
12,551,0.0,YES
13,40,0.0,NO
14,361,0.0,YES
15,388,0.0,YES
16,51,0.0,NO
17,577,0.0,NO
18,32,0.0,NO
19,66,0.0,NO
20,188,0.0,YES
21,582,0.0,NO
22,158,0.0,YES
23,50,0.0,NO
24,27,0.0,NO
25,928,0.0,YES
26,60,0.0,NO
27,62,0.0,NO
28,87,0.0,NO
29,52,0.0,NO
30,268,0.0,NO
31,163,0.0,NO
32,109,0.0,NO
33,147,0.0,NO
34,58,0.0,NO
35,44,0.0,NO
36,106,1.0,NO
37,139,0.0,NO
38,326,1.0,NO
39,648,0.0,NO
40,778,0.0,YES
41,314,0.0,YES
42,55,0.0,NO
43,191,0.0,NO
44,90,0.0,NO
45,273,1.0,NO
46,137,0.0,NO
47,79,1.0,NO
48,82,0.0,NO
49,147,0.0,NO
50,422,1.0,NO
51,978,0.0,YES
52,467,0.0,YES
53,189,1.0,NO
54,153,0.0,NO
55,84,0.0,YES
56,182,0.0,NO
57,358,1.0,NO
58,126,0.0,NO
59,106,0.0,NO
60,109,0.0,NO
61,85,0.0,NO
62,236,0.0,NO
63,314,0.0,YES
64,694,0.0,YES
65,27,0.0,NO
66,89,0.0,NO
67,301,1.0,YES
68,153,0.0,NO
69,92,1.0,NO
70,466,0.0,NO
71,93,1.0,NO
72,244,1.0,NO
73,192,1.0,NO
74,250,1.0,YES
75,109,1.0,NO
76,601,0.0,NO
77,565,1.0,YES
78,69,0.0,NO
79,77,0.0,NO
80,94,1.0,NO
81,337,1.0,NO
82,214,1.0,NO
83,79,0.0,NO
84,25,0.0,NO
85,84,1.0,NO
86,34,0.0,NO
87,33,0.0,NO
88,104,1.0,NO
89,172,1.0,NO
90,70,0.0,NO
91,140,1.0,NO
92,154,1.0,YES
93,248,0.0,NO
94,275,0.0,YES
95,176,0.0,NO
96,624,0.0,YES
97,91,0.0,YES
98,58,0.0,YES
99,132,0.0,NO
100,4088,0.0,NO
101,558,0.0,NO
102,727,0.0,YES
103,150,0.0,YES
104,503,1.0,YES
105,325,1.0,NO
106,273,0.0,YES
107,136,0.0,NO
108,56,0.0,NO
109,74,1.0,NO
110,357,1.0,YES
111,174,0.0,NO
112,148,0.0,NO
113,92,0.0,NO
114,45,0.0,NO
115,168,0.0,NO
116,77,0.0,NO
117,664,0.0,YES
118,88,0.0,NO
119,260,0.0,YES
120,54,0.0,NO
121,48,0.0,NO
122,140,0.0,NO
123,152,1.0,NO
124,39,0.0,NO
125,131,1.0,NO
126,47,0.0,NO
127,129,0.0,NO
128,43,0.0,NO
129,243,0.0,NO
130,62,0.0,NO
131,45,0.0,NO
132,94,0.0,YES
133,72,0.0,NO
134,42,0.0,NO
135,48,0.0,NO
136,89,0.0,NO
137,380,0.0,NO
138,138,0.0,YES
139,142,0.0,YES
140,191,0.0,NO
141,46,0.0,NO
142,165,0.0,NO
143,171,0.0,NO
144,56,0.0,NO
145,179,0.0,NO
146,74,0.0,NO
147,36,0.0,NO
148,37,0.0,NO
149,34,0.0,NO
150,34,0.0,NO
