ID,Size,Predicted,Actual
0,215,0.04605180618279223,NO
1,274,0.04685113247978222,YES
2,461,0.04922617564427208,YES
3,138,0.0442345029587683,NO
4,358,0.048210127097927526,NO
5,1248,0.1427457267189532,YES
6,51,0.042157576782268225,NO
7,45,0.042595665899913385,NO
8,157,0.0442345029587683,NO
9,31,0.042157576782268225,NO
10,1008,0.048108760530844445,YES
11,55,0.04149718303812615,NO
12,204,0.05909456375722951,NO
13,55,0.04441202972846096,NO
14,103,0.0705257170931279,NO
15,83,0.04322595455569777,NO
16,262,0.04685113247978222,NO
17,83,0.0566041265681636,NO
18,867,0.06948820211341421,YES
19,40,0.042157576782268225,NO
20,387,0.06430271825040616,YES
21,390,0.048210127097927526,NO
22,51,0.042157576782268225,NO
23,637,0.06537929070152745,YES
24,32,0.042157576782268225,NO
25,68,0.042157576782268225,YES
26,547,0.9920425236212428,YES
27,566,0.344816798810563,NO
28,314,0.04659043104252484,YES
29,839,0.07347214560856459,YES
30,211,0.04424375027515465,NO
31,31,0.04149718303812615,NO
32,50,0.042157576782268225,NO
33,27,0.042157576782268225,NO
34,175,1.0,NO
35,50,0.04128301602410768,NO
36,62,0.042157576782268225,NO
37,87,0.04322595455569777,NO
38,52,0.042157576782268225,NO
39,373,0.06299897124001831,NO
40,224,0.06841694145590158,NO
41,118,0.04322595455569777,YES
42,83,0.04322595455569777,NO
43,147,0.0442345029587683,NO
44,58,0.042157576782268225,NO
45,44,0.042157576782268225,NO
46,106,0.04322595455569777,NO
47,189,0.04517807709289407,NO
48,151,0.0442345029587683,NO
49,352,0.04757184776243262,YES
50,849,0.07167741233246483,YES
51,877,0.049542373288823494,YES
52,41,0.042595665899913385,NO
53,319,0.04757184776243262,YES
54,27,0.042157576782268225,NO
55,55,0.042157576782268225,NO
56,94,0.04322595455569777,NO
57,191,0.04517807709289407,NO
58,90,0.04322595455569777,NO
59,90,0.04322595455569777,NO
60,271,0.04685113247978222,YES
61,152,0.04331880485507173,NO
62,90,0.042330209734240086,YES
63,82,0.04322595455569777,NO
64,147,0.0442345029587683,NO
65,422,0.04876255956128588,YES
66,1059,0.04647722459637357,YES
67,530,0.049598471120979024,YES
68,205,0.04424375027515465,YES
69,190,0.04401206519452916,NO
70,86,0.04322595455569777,NO
71,207,0.04517807709289407,YES
72,397,0.047216195337088804,YES
73,573,0.04987742717214265,NO
74,126,0.0442345029587683,YES
75,167,0.05038225586218435,YES
76,109,0.04322595455569777,YES
77,85,0.04322595455569777,NO
78,237,0.04605180618279223,NO
79,424,0.0584208659849182,YES
80,47,0.042157576782268225,NO
81,1118,0.06561095850084378,YES
82,27,0.042157576782268225,NO
83,89,0.04322595455569777,NO
84,474,0.06433650715689145,YES
85,166,0.0442345029587683,NO
86,92,0.04322595455569777,NO
87,476,0.047960933365750205,YES
88,93,0.04322595455569777,NO
89,244,0.04605180618279223,NO
90,204,0.04401206519452916,YES
91,252,0.04605180618279223,NO
92,109,0.04322595455569777,YES
93,618,0.04903139147955878,YES
94,565,0.04987742717214265,YES
95,69,0.042157576782268225,NO
96,77,0.04322595455569777,NO
97,97,0.04322595455569777,NO
98,343,0.04757184776243262,NO
99,214,0.04517807709289407,NO
100,79,0.04322595455569777,NO
101,25,0.042157576782268225,NO
102,84,0.04322595455569777,NO
103,34,0.042157576782268225,NO
104,33,0.042157576782268225,NO
105,104,0.04322595455569777,NO
106,172,0.04517807709289407,NO
107,70,0.042157576782268225,NO
108,140,0.0442345029587683,NO
109,156,0.0442345029587683,NO
110,142,0.0442345029587683,NO
111,152,0.0442345029587683,NO
112,31,0.042157576782268225,NO
113,60,0.042157576782268225,NO
114,60,0.042157576782268225,NO
115,876,0.049542373288823494,NO
116,61,0.042157576782268225,NO
117,185,0.04517807709289407,NO
118,264,0.04685113247978222,NO
119,43,0.042595665899913385,NO
120,248,0.04605180618279223,NO
121,310,0.04659043104252484,YES
122,199,0.04517807709289407,NO
123,194,0.04517807709289407,NO
124,346,0.04757184776243262,NO
125,90,0.9460737649139188,NO
