ID,Size,Predicted,Actual
0,215,0.0023895165858560867,NO
1,274,0.05237647352485155,YES
2,461,0.05447352784844009,YES
3,138,0.002271330345750507,NO
4,358,7.610303405750823E-4,NO
5,1248,0.9998839573757783,YES
6,51,6.329081362295716E-4,NO
7,45,0.0021501602850919417,NO
8,157,6.901844638068355E-4,NO
9,31,6.169149893377691E-4,NO
10,1008,0.03308501198487621,YES
11,55,0.0034686334812477075,NO
12,204,0.19272125252563008,NO
13,55,0.002225677856174952,NO
14,103,0.003125824649396229,NO
15,83,0.0062292956330489285,NO
16,262,0.0024523563148491144,NO
17,83,0.00260939067804003,NO
18,867,0.6821151279874714,YES
19,40,6.249833784288867E-4,NO
20,387,0.08180397294169987,YES
21,390,0.0025458063990949666,NO
22,51,6.329081362295716E-4,NO
23,637,0.9971429595831998,YES
24,32,6.249833784288867E-4,NO
25,68,0.0021498064709640254,YES
26,547,0.9999493498108585,YES
27,566,0.8100093972073247,NO
28,314,0.7289017969402539,YES
29,839,0.16161847852093167,YES
30,211,0.018053972810853705,NO
31,31,0.002039130760254612,NO
32,50,6.329081362295716E-4,NO
33,27,6.169149893377691E-4,NO
34,175,1.0,NO
35,50,0.0020617754381406107,NO
36,62,6.406811701859782E-4,NO
37,87,0.0021786122815283084,NO
38,52,6.329081362295716E-4,NO
39,373,0.5675803435563481,NO
40,224,0.0039823123954872055,NO
41,118,6.700972808261441E-4,YES
42,83,6.482944671149856E-4,NO
43,147,6.901844638068355E-4,NO
44,58,0.002128655391775943,NO
45,44,6.249833784288867E-4,NO
46,106,6.630102758582439E-4,NO
47,189,0.017738957466756265,NO
48,151,6.901844638068355E-4,NO
49,352,7.610303405750823E-4,YES
50,849,0.002893104250543151,YES
51,877,0.002051001682900896,YES
52,41,0.002095693129759302,NO
53,319,7.529692176281937E-4,YES
54,27,6.169149893377691E-4,NO
55,55,6.329081362295716E-4,NO
56,94,6.557401068485887E-4,NO
57,191,7.083605561831317E-4,NO
58,90,6.557401068485887E-4,NO
59,90,6.557401068485887E-4,NO
60,271,0.0024523563148491144,YES
61,152,0.002244742454318735,NO
62,90,0.0021506946001105787,YES
63,82,0.002153912368738661,NO
64,147,6.901844638068355E-4,NO
65,422,0.0025528591314787088,YES
66,1059,0.7317229333099956,YES
67,530,7.650193741053033E-4,YES
68,205,0.05332061477940016,YES
69,190,0.007713792671506553,NO
70,86,0.0021786122815283084,NO
71,207,0.11714914821262783,YES
72,397,0.01900521907222099,YES
73,573,7.560692975159698E-4,NO
74,126,6.769935621312524E-4,YES
75,167,0.007333355042706903,YES
76,109,6.700972808261441E-4,YES
77,85,6.557401068485887E-4,NO
78,237,7.293132600582436E-4,NO
79,424,0.00878127980635185,YES
80,47,6.329081362295716E-4,NO
81,1118,0.9406432075296746,YES
82,27,6.169149893377691E-4,NO
83,89,6.557401068485887E-4,NO
84,474,0.015152070837184558,YES
85,166,6.964647529382362E-4,NO
86,92,6.557401068485887E-4,NO
87,476,0.007747196956051221,YES
88,93,6.557401068485887E-4,NO
89,244,7.293132600582436E-4,NO
90,204,0.00675723846572619,YES
91,252,7.339252462115195E-4,NO
92,109,6.700972808261441E-4,YES
93,618,0.011656273811821882,YES
94,565,7.587446011425898E-4,YES
95,69,6.406811701859782E-4,NO
96,77,6.482944671149856E-4,NO
97,97,6.630102758582439E-4,NO
98,343,7.586321760709036E-4,NO
99,214,7.193264320232778E-4,NO
100,79,6.482944671149856E-4,NO
101,25,6.169149893377691E-4,NO
102,84,6.557401068485887E-4,NO
103,34,6.249833784288867E-4,NO
104,33,6.249833784288867E-4,NO
105,104,6.630102758582439E-4,NO
106,172,6.964647529382362E-4,NO
107,70,6.406811701859782E-4,NO
108,140,6.836917072168428E-4,NO
109,156,6.901844638068355E-4,NO
110,142,6.836917072168428E-4,NO
111,152,6.901844638068355E-4,NO
112,31,6.169149893377691E-4,NO
113,60,6.406811701859782E-4,NO
114,60,6.406811701859782E-4,NO
115,876,6.172754345454412E-4,NO
116,61,6.406811701859782E-4,NO
117,185,7.025256817766736E-4,NO
118,264,7.382758501324318E-4,NO
119,43,0.002108705238887434,NO
120,248,7.293132600582436E-4,NO
121,310,0.46043618478305764,YES
122,199,0.04503758484392246,NO
123,194,0.0023531492123635947,NO
124,346,7.586321760709036E-4,NO
125,90,0.9999122327189877,NO
126,335,0.2649173015178064,YES
127,372,0.7961270462080394,NO
128,84,6.557401068485887E-4,NO
129,53,6.329081362295716E-4,NO
130,148,0.006530094694642054,YES
131,4088,9.284400332405422E-11,NO
132,860,0.9989460122948894,YES
133,47,6.329081362295716E-4,NO
134,101,6.630102758582439E-4,NO
135,517,7.665190853012844E-4,YES
136,327,7.559440897633745E-4,YES
137,275,0.0024658996845981296,YES
138,136,0.0065674160956235945,YES
139,56,6.329081362295716E-4,NO
140,74,6.482944671149856E-4,YES
141,362,0.019242738143458532,YES
142,174,0.0023337976034322524,NO
143,148,0.0022928657008504058,NO
144,92,0.0021786122815283084,NO
145,45,6.329081362295716E-4,YES
146,39,0.002095693129759302,NO
147,182,0.0026450945305453075,NO
148,77,0.002153912368738661,NO
149,666,7.295230835162437E-4,NO
150,88,6.557401068485887E-4,YES
151,263,7.382758501324318E-4,YES
152,54,6.329081362295716E-4,NO
153,76,0.0021253920175916883,NO
154,132,0.0022491130713930955,NO
155,160,6.964647529382362E-4,YES
156,152,6.901844638068355E-4,NO
157,39,6.249833784288867E-4,NO
158,677,7.246662052297917E-4,NO
159,131,6.769935621312524E-4,NO
160,47,6.329081362295716E-4,NO
161,129,6.769935621312524E-4,NO
162,43,6.249833784288867E-4,NO
163,73,0.0024875041615955392,NO
164,257,7.339252462115195E-4,NO
165,356,7.610303405750823E-4,NO
166,62,6.406811701859782E-4,NO
167,45,6.329081362295716E-4,NO
168,97,6.630102758582439E-4,NO
169,131,0.05282953841462455,YES
170,68,0.002389487309735522,YES
171,99,0.002992112123765167,NO
172,53,0.0022042472372538952,NO
173,81,0.00260939067804003,NO
174,78,0.002525727341065924,YES
175,69,0.002389487309735522,NO
176,69,0.002389487309735522,NO
177,77,0.002525727341065924,NO
178,72,0.0024515664328166697,NO
179,72,0.0024515664328166697,NO
180,63,0.0023290398960050143,NO
181,50,0.002184545266300702,NO
182,28,0.002032208296566613,NO
183,96,0.0029304712069820544,NO
184,40,0.002095693129759302,NO
185,76,0.002525727341065924,NO
186,49,0.0021665292303827007,NO
187,63,0.0023290398960050143,NO
188,55,0.002225677856174952,NO
189,45,0.0021501602850919417,NO
190,476,7.69217926359797E-4,NO
191,77,6.482944671149856E-4,NO
192,69,6.406811701859782E-4,NO
193,104,6.630102758582439E-4,NO
194,115,6.700972808261441E-4,NO
195,421,7.685860997891837E-4,NO
196,61,6.406811701859782E-4,NO
197,2009,4.2157090668676475E-5,NO
198,179,7.025256817766736E-4,NO
199,106,6.630102758582439E-4,NO
200,33,6.249833784288867E-4,NO
201,657,7.341235969059715E-4,NO
202,295,7.461732823226749E-4,NO
203,872,6.253376315342388E-4,NO
204,444,7.695072038924228E-4,NO
205,168,6.964647529382362E-4,NO
206,752,6.904672983863916E-4,NO
207,135,6.836917072168428E-4,NO
208,1126,4.476319653611912E-4,NO
209,163,6.964647529382362E-4,NO
210,184,7.025256817766736E-4,NO
211,51,6.329081362295716E-4,NO
212,25,6.169149893377691E-4,NO
213,180,7.025256817766736E-4,NO
214,64,6.406811701859782E-4,NO
215,101,6.630102758582439E-4,NO
216,512,7.665190853012844E-4,NO
217,187,7.083605561831317E-4,NO
