ID,Size,Predicted,Actual
0,215,0.0,False
1,273,0.0,True
2,460,0.0,True
3,138,0.0,False
4,358,1.0,False
5,1248,0.0,True
6,51,0.0,False
7,157,0.0,False
8,31,0.0,False
9,981,0.0,True
10,180,0.0,False
11,262,0.0,False
12,553,1.0,True
13,40,0.0,False
14,369,1.0,False
15,390,0.0,False
16,51,0.0,False
17,577,1.0,True
18,32,0.0,False
19,66,0.0,False
20,188,0.0,True
21,582,1.0,True
22,160,0.0,True
23,50,0.0,False
24,27,0.0,False
25,923,1.0,True
26,60,0.0,False
27,62,0.0,False
28,87,0.0,False
29,52,0.0,False
30,268,0.0,True
31,163,0.0,False
32,109,0.0,False
33,147,0.0,False
34,58,0.0,False
35,44,0.0,False
36,106,1.0,True
37,139,0.0,False
38,326,1.0,True
39,648,0.0,True
40,792,1.0,True
41,319,1.0,True
42,55,0.0,False
43,191,0.0,False
44,90,1.0,False
45,273,0.0,True
46,137,0.0,False
47,79,0.0,False
48,82,0.0,False
49,147,0.0,False
50,422,0.0,True
51,979,0.0,True
52,495,0.0,True
53,189,0.0,True
54,167,0.0,True
55,86,0.0,False
56,182,0.0,True
57,361,0.0,True
58,126,0.0,True
59,106,1.0,False
60,109,0.0,False
61,85,0.0,False
62,236,0.0,False
63,315,1.0,True
64,695,0.0,True
65,27,0.0,False
66,89,0.0,False
67,301,0.0,True
68,153,0.0,True
69,92,1.0,False
70,466,0.0,True
71,93,1.0,False
72,244,0.0,False
73,192,0.0,True
74,252,0.0,False
75,109,0.0,False
76,601,0.0,True
77,565,1.0,True
78,69,1.0,False
79,77,0.0,False
80,94,1.0,True
81,337,1.0,False
82,214,0.0,False
83,79,0.0,False
84,25,0.0,False
85,84,0.0,False
86,34,0.0,False
87,33,0.0,False
88,104,1.0,False
89,172,0.0,False
90,70,0.0,False
91,140,0.0,False
92,156,0.0,False
93,248,0.0,False
94,277,0.0,True
95,189,1.0,False
96,194,0.0,False
97,346,0.0,False
98,304,0.0,False
99,356,0.0,True
100,84,0.0,False
101,53,0.0,False
102,132,0.0,False
103,4088,0.0,False
104,691,0.0,True
