ID,Size,Predicted,Actual
0,215,0.0,NO
1,273,0.0,YES
2,460,1.0,YES
3,138,0.0,NO
4,358,1.0,NO
5,1248,1.0,YES
6,51,0.0,NO
7,157,0.0,NO
8,31,0.0,NO
9,981,1.0,YES
10,180,1.0,NO
11,262,0.0,NO
12,553,1.0,YES
13,40,0.0,NO
14,369,1.0,NO
15,390,1.0,NO
16,51,0.0,NO
17,577,1.0,YES
18,32,0.0,NO
19,66,0.0,NO
20,188,0.0,YES
21,582,1.0,YES
22,160,1.0,YES
23,50,0.0,NO
24,27,0.0,NO
25,923,1.0,YES
26,60,0.0,NO
27,62,0.0,NO
28,87,0.0,NO
29,52,0.0,NO
30,268,0.0,YES
31,163,1.0,NO
32,109,1.0,NO
33,147,0.0,NO
34,58,0.0,NO
35,44,1.0,NO
36,106,1.0,YES
37,139,0.0,NO
38,326,1.0,YES
39,648,1.0,YES
40,792,1.0,YES
41,319,1.0,YES
42,55,0.0,NO
43,191,0.0,NO
44,90,1.0,NO
45,273,0.0,YES
46,137,0.0,NO
47,79,1.0,NO
48,82,0.0,NO
49,147,0.0,NO
50,422,1.0,YES
51,979,1.0,YES
52,495,1.0,YES
53,189,0.0,YES
54,167,1.0,YES
55,86,1.0,NO
56,182,1.0,YES
57,361,1.0,YES
58,126,0.0,YES
59,106,1.0,NO
60,109,1.0,NO
61,85,0.0,NO
62,236,0.0,NO
63,315,1.0,YES
64,695,1.0,YES
65,27,0.0,NO
66,89,0.0,NO
67,301,1.0,YES
68,153,1.0,YES
69,92,1.0,NO
70,466,1.0,YES
71,93,1.0,NO
72,244,0.0,NO
73,192,0.0,YES
74,252,0.0,NO
75,109,1.0,NO
76,601,1.0,YES
77,565,1.0,YES
78,69,1.0,NO
79,77,0.0,NO
80,94,1.0,YES
81,337,1.0,NO
82,214,0.0,NO
83,79,1.0,NO
84,25,0.0,NO
85,84,0.0,NO
86,34,0.0,NO
87,33,0.0,NO
88,104,1.0,NO
89,172,1.0,NO
90,70,1.0,NO
91,140,0.0,NO
92,156,1.0,NO
93,248,0.0,NO
94,277,0.0,YES
95,189,1.0,NO
96,194,1.0,NO
97,346,0.0,NO
98,304,1.0,NO
99,356,0.0,YES
100,84,0.0,NO
101,53,0.0,NO
102,132,0.0,NO
103,4088,0.0,NO
104,691,0.0,YES
105,47,0.0,NO
106,101,0.0,NO
107,510,1.0,YES
108,328,1.0,YES
109,273,0.0,YES
110,136,0.0,NO
111,56,0.0,NO
112,74,0.0,NO
113,359,1.0,YES
114,174,1.0,NO
115,148,1.0,NO
116,92,1.0,NO
117,45,1.0,NO
118,168,1.0,NO
119,77,0.0,NO
120,666,1.0,NO
121,88,0.0,NO
122,262,0.0,NO
123,54,0.0,NO
124,48,0.0,YES
125,140,0.0,YES
126,152,1.0,NO
127,39,0.0,NO
128,131,0.0,NO
129,47,0.0,NO
130,129,0.0,NO
131,43,0.0,NO
132,243,0.0,YES
133,62,0.0,NO
134,45,1.0,NO
135,97,1.0,NO
136,476,1.0,NO
137,77,1.0,NO
138,69,0.0,NO
139,104,0.0,NO
140,115,0.0,NO
141,421,1.0,NO
142,61,1.0,NO
143,2009,1.0,NO
144,179,0.0,NO
145,106,0.0,NO
146,33,0.0,NO
147,657,1.0,NO
148,295,1.0,NO
149,872,1.0,NO
150,444,1.0,NO
151,168,0.0,NO
152,752,1.0,NO
153,135,1.0,NO
154,1126,1.0,NO
155,163,0.0,NO
156,184,1.0,NO
157,51,0.0,NO
158,25,0.0,NO
159,180,0.0,NO
160,64,1.0,NO
161,101,0.0,NO
162,512,1.0,NO
163,187,1.0,NO
164,56,0.0,NO
165,39,0.0,NO
166,261,1.0,NO
167,73,0.0,NO
168,65,1.0,NO
169,329,1.0,NO
170,64,1.0,NO
171,164,0.0,NO
172,624,0.0,NO
173,74,1.0,NO
174,117,0.0,NO
175,84,1.0,NO
176,226,1.0,NO
177,76,1.0,NO
178,323,1.0,NO
179,72,0.0,NO
180,42,0.0,NO
181,48,0.0,NO
182,89,0.0,NO
183,380,1.0,NO
184,141,1.0,NO
185,148,0.0,NO
186,191,0.0,NO
187,46,1.0,NO
188,165,1.0,NO
189,171,1.0,NO
190,56,0.0,NO
191,179,1.0,NO
192,74,0.0,NO
193,36,0.0,NO
194,37,0.0,NO
195,34,0.0,NO
196,34,0.0,NO
197,38,1.0,NO
198,39,0.0,NO
199,156,1.0,NO
200,84,0.0,NO
201,117,1.0,NO
202,94,1.0,NO
203,71,0.0,NO
204,183,0.0,NO
205,85,0.0,NO
206,183,0.0,NO
207,70,1.0,NO
208,54,0.0,NO
209,160,1.0,NO
210,125,0.0,NO
211,151,1.0,NO
212,422,1.0,NO
213,221,0.0,NO
214,50,0.0,NO
215,42,0.0,NO
216,624,1.0,NO
217,377,1.0,NO
218,383,1.0,YES
219,72,0.0,NO
220,92,1.0,NO
221,282,0.0,NO
222,371,1.0,NO
223,47,0.0,NO
224,108,1.0,NO
225,111,1.0,NO
226,319,1.0,NO
227,129,0.0,NO
228,49,0.0,NO
229,358,1.0,NO
230,277,0.0,NO
231,49,0.0,NO
232,89,0.0,NO
233,41,0.0,NO
234,66,0.0,NO
235,63,1.0,NO
236,24,0.0,NO
237,50,0.0,NO
238,72,0.0,NO
239,47,0.0,NO
240,47,0.0,NO
241,183,0.0,NO
242,49,0.0,NO
243,50,0.0,NO
244,98,1.0,NO
245,143,0.0,NO
246,43,0.0,NO
247,42,0.0,NO
248,56,0.0,NO
249,44,1.0,NO
250,26,0.0,NO
251,254,0.0,NO
252,16883,0.0,NO
253,74,0.0,NO
254,153,1.0,NO
255,68,1.0,NO
256,100,0.0,NO
257,550,1.0,NO
258,437,1.0,NO
259,1038,1.0,NO
260,104,1.0,NO
261,332,1.0,NO
262,123,0.0,NO
263,106,1.0,NO
264,106,1.0,NO
265,94,1.0,NO
266,101,0.0,NO
267,38,1.0,NO
268,628,1.0,NO
269,32,0.0,NO
270,111,1.0,NO
271,35,0.0,NO
272,90,1.0,NO
273,27,0.0,NO
274,28,0.0,NO
275,92,1.0,NO
276,956,0.0,YES
277,67,0.0,NO
278,29,0.0,NO
279,105,1.0,NO
280,72,0.0,NO
281,37,0.0,NO
282,47,0.0,NO
283,31,0.0,NO
284,90,1.0,NO
285,223,0.0,NO
286,214,0.0,NO
287,107,1.0,NO
288,37,0.0,NO
289,27,0.0,NO
290,48,0.0,NO
291,167,1.0,NO
292,213,0.0,NO
293,867,1.0,NO
294,159,1.0,NO
295,100,0.0,NO
296,96,1.0,NO
297,842,1.0,NO
298,525,1.0,NO
299,83,0.0,NO
300,63,1.0,NO
301,76,0.0,NO
302,202,0.0,NO
303,155,1.0,NO
304,1263,1.0,NO
305,74,0.0,NO
306,101,0.0,NO
307,27,0.0,NO
308,22,0.0,NO
309,491,1.0,NO
310,62,0.0,NO
311,59,0.0,NO
312,99,1.0,NO
313,27,0.0,NO
314,77,0.0,NO
315,846,1.0,YES
316,64,0.0,NO
317,45,1.0,NO
318,63,1.0,NO
319,54,0.0,NO
320,64,0.0,NO
321,132,0.0,NO
322,177,1.0,NO
323,70,1.0,NO
324,36,0.0,NO
325,58,0.0,NO
326,62,0.0,NO
327,132,0.0,NO
328,74,0.0,NO
329,86,1.0,NO
330,74,0.0,NO
331,48,0.0,NO
332,74,0.0,NO
333,86,0.0,NO
334,355,1.0,NO
335,53,0.0,NO
336,804,1.0,NO
337,75,0.0,NO
338,125,0.0,NO
339,200,0.0,NO
340,134,0.0,NO
341,57,0.0,NO
342,123,0.0,NO
343,266,0.0,NO
344,162,1.0,NO
345,130,0.0,NO
346,108,1.0,NO
347,354,1.0,NO
348,88,1.0,NO
349,28,0.0,NO
350,58,0.0,NO
351,308,1.0,NO
352,343,1.0,NO
353,103,0.0,NO
354,35,0.0,NO
355,98,1.0,NO
356,117,1.0,NO
