ID,Size,Predicted,Actual
0,215,5.85480093676815E-4,False
1,273,1.9531249999999998E-4,True
2,460,2.9291154071470416E-4,True
3,138,0.4615419296663661,False
4,358,5.85480093676815E-4,False
5,1154,0.9998046875,True
6,51,5.85480093676815E-4,False
7,157,2.9291154071470416E-4,False
8,31,1.1720581340834505E-4,False
9,1009,5.85480093676815E-4,True
10,193,0.9998046875,False
11,83,9.767532721234616E-5,True
12,262,2.9291154071470416E-4,False
13,638,2.9291154071470416E-4,True
14,40,1.9531249999999998E-4,False
15,374,0.9998827941865917,False
16,390,5.85480093676815E-4,False
17,51,5.85480093676815E-4,False
18,579,0.99992673992674,True
19,32,2.9291154071470416E-4,False
20,66,9.767532721234616E-5,False
21,260,2.9291154071470416E-4,True
22,596,0.9998046875,False
23,198,2.9291154071470416E-4,False
24,50,9.767532721234616E-5,False
25,27,5.328218243819266E-5,False
26,926,5.85480093676815E-4,False
27,60,5.8609776110655256E-5,False
28,62,6.512112529304507E-5,False
29,87,2.9291154071470416E-4,False
30,52,1.1720581340834505E-4,False
31,297,0.9998827941865917,False
32,163,5.85480093676815E-4,False
33,118,0.9999023246727876,False
34,83,9.767532721234616E-5,False
35,147,2.9291154071470416E-4,False
36,58,0.16669922828953795,False
37,44,0.28573222808339616,False
38,106,5.85480093676815E-4,False
39,192,1.9531249999999998E-4,False
40,151,0.9998046875,False
41,352,2.9291154071470416E-4,True
42,752,0.9998535013184882,True
43,877,0.9998827941865917,True
44,319,0.9998046875,True
45,27,2.9291154071470416E-4,False
46,55,2.9291154071470416E-4,False
47,94,0.8888382391247721,False
48,191,2.9291154071470416E-4,False
49,90,8.372404554588077E-5,False
50,90,0.9999023246727876,False
51,271,2.9291154071470416E-4,True
52,138,5.85480093676815E-4,False
53,79,5.85480093676815E-4,False
54,82,1.9531249999999998E-4,False
55,147,2.9291154071470416E-4,False
56,422,5.85480093676815E-4,True
57,1026,0.9997070884592852,True
58,530,0.9998046875,False
59,189,2.9291154071470416E-4,True
60,167,2.9291154071470416E-4,True
61,86,1.9531249999999998E-4,False
62,195,0.9997070884592852,True
63,374,2.9291154071470416E-4,True
64,573,0.9998535013184882,False
65,126,2.9291154071470416E-4,True
66,106,2.9291154071470416E-4,True
67,109,2.9291154071470416E-4,False
68,85,1.1720581340834505E-4,False
69,237,5.85480093676815E-4,False
70,345,2.9291154071470416E-4,True
71,47,1.4649868151186637E-4,False
72,781,2.9291154071470416E-4,True
73,27,5.328218243819266E-5,False
74,89,1.1720581340834505E-4,False
75,300,1.9531249999999998E-4,True
76,166,0.9998827941865917,False
77,92,0.33335504037509767,False
78,497,0.9998827941865917,True
79,93,5.85480093676815E-4,False
80,244,1.9531249999999998E-4,False
81,183,5.85480093676815E-4,True
82,252,1.9531249999999998E-4,False
83,109,2.9291154071470416E-4,True
84,607,5.85480093676815E-4,True
85,565,5.85480093676815E-4,True
86,69,0.7499267506592441,False
87,77,8.372404554588077E-5,False
88,97,2.9291154071470416E-4,False
89,343,0.9994145199063231,False
90,214,1.9531249999999998E-4,False
91,79,5.85480093676815E-4,False
92,25,5.85480093676815E-4,False
93,84,0.5,False
94,34,8.372404554588077E-5,False
95,33,6.512112529304507E-5,False
96,104,0.9999413902238894,False
97,172,2.9291154071470416E-4,False
98,70,1.9531249999999998E-4,False
99,140,2.9291154071470416E-4,False
100,156,2.9291154071470416E-4,False
101,142,0.9999023246727876,False
102,152,0.9994145199063231,False
103,31,2.9291154071470416E-4,False
104,60,1.9531249999999998E-4,False
105,60,1.9531249999999998E-4,False
106,876,0.9998827941865917,False
107,61,1.9531249999999998E-4,False
108,185,5.85480093676815E-4,False
109,264,2.9291154071470416E-4,False
110,248,1.9531249999999998E-4,False
111,286,0.9998046875,True
