ID,Size,Predicted,Actual
0,215,0.0,False
1,274,0.0,True
2,461,1.0,True
3,138,0.0,False
4,358,0.0,False
5,1248,1.0,True
6,51,0.0,False
7,45,1.0,False
8,157,0.0,False
9,31,0.0,False
10,1008,0.0,True
11,55,1.0,False
12,204,0.0,False
13,55,0.0,False
14,103,0.0,False
15,83,1.0,False
16,262,0.0,False
17,83,0.0,False
18,867,1.0,True
19,40,0.0,False
20,387,0.0,True
21,390,1.0,False
22,51,0.0,False
23,637,1.0,True
24,32,0.0,False
25,68,0.0,True
26,547,0.0,True
27,566,1.0,False
28,314,0.0,True
29,839,1.0,True
30,211,0.0,False
31,31,0.0,False
32,50,0.0,False
33,27,0.0,False
34,175,1.0,False
35,50,0.0,False
36,62,0.0,False
37,87,0.0,False
38,52,0.0,False
39,373,1.0,False
40,224,0.0,False
41,118,0.0,True
42,83,1.0,False
43,147,0.0,False
44,58,0.0,False
45,44,0.0,False
46,106,1.0,False
47,189,0.0,False
48,151,0.0,False
49,352,0.0,True
50,849,1.0,True
51,877,0.0,True
52,41,0.0,False
53,319,0.0,True
54,27,0.0,False
55,55,0.0,False
56,94,1.0,False
57,191,0.0,False
58,90,0.0,False
59,90,0.0,False
60,271,0.0,True
61,152,0.0,False
62,90,1.0,True
63,82,0.0,False
64,147,0.0,False
65,422,1.0,True
66,1059,1.0,True
67,530,0.0,True
68,205,0.0,True
69,190,0.0,False
70,86,0.0,False
71,207,1.0,True
72,397,0.0,True
73,573,0.0,False
74,126,0.0,True
75,167,0.0,True
76,109,0.0,True
77,85,0.0,False
78,237,0.0,False
79,424,1.0,True
80,47,0.0,False
81,1118,0.0,True
82,27,0.0,False
83,89,0.0,False
84,474,1.0,True
85,166,0.0,False
86,92,1.0,False
87,476,0.0,True
88,93,0.0,False
89,244,0.0,False
90,204,0.0,True
91,252,0.0,False
92,109,0.0,True
93,618,1.0,True
94,565,0.0,True
95,69,1.0,False
96,77,0.0,False
97,97,0.0,False
98,343,0.0,False
99,214,0.0,False
100,79,0.0,False
101,25,0.0,False
102,84,1.0,False
103,34,0.0,False
104,33,0.0,False
105,104,0.0,False
106,172,0.0,False
107,70,0.0,False
108,140,0.0,False
109,156,0.0,False
110,142,1.0,False
111,152,0.0,False
112,31,0.0,False
113,60,0.0,False
114,60,0.0,False
115,876,0.0,False
116,61,0.0,False
117,185,0.0,False
118,264,0.0,False
119,43,0.0,False
120,248,0.0,False
121,310,1.0,True
122,199,0.0,False
123,194,0.0,False
124,346,0.0,False
125,90,1.0,False
126,335,0.0,True
127,372,1.0,False
128,84,1.0,False
129,53,0.0,False
130,148,0.0,True
131,4088,0.0,False
132,860,1.0,True
133,47,0.0,False
134,101,1.0,False
135,517,0.0,True
136,327,0.0,True
137,275,0.0,True
138,136,1.0,True
139,56,0.0,False
140,74,0.0,True
141,362,0.0,True
142,174,0.0,False
143,148,0.0,False
144,92,0.0,False
145,45,1.0,True
146,39,0.0,False
147,182,0.0,False
148,77,0.0,False
149,666,0.0,False
150,88,0.0,True
151,263,0.0,True
152,54,0.0,False
153,76,1.0,False
154,132,0.0,False
155,160,0.0,True
156,152,0.0,False
157,39,0.0,False
158,677,0.0,False
159,131,0.0,False
160,47,0.0,False
161,129,0.0,False
162,43,0.0,False
163,73,0.0,False
164,257,0.0,False
165,356,0.0,False
166,62,0.0,False
167,45,1.0,False
168,97,0.0,False
169,131,0.0,True
170,68,0.0,True
171,99,0.0,False
172,53,0.0,False
173,81,1.0,False
174,78,1.0,True
175,69,0.0,False
176,69,0.0,False
177,77,1.0,False
178,72,0.0,False
179,72,0.0,False
180,63,0.0,False
181,50,0.0,False
182,28,0.0,False
183,96,1.0,False
184,40,0.0,False
185,76,0.0,False
186,49,0.0,False
187,63,0.0,False
188,55,0.0,False
189,45,1.0,False
190,476,0.0,False
191,77,0.0,False
192,69,1.0,False
193,104,0.0,False
194,115,0.0,False
195,421,0.0,False
196,61,0.0,False
197,2009,0.0,False
198,179,0.0,False
199,106,1.0,False
200,33,0.0,False
201,657,0.0,False
202,295,0.0,False
203,872,0.0,False
204,444,0.0,False
205,168,0.0,False
206,752,0.0,False
207,135,0.0,False
208,1126,0.0,False
209,163,0.0,False
210,184,0.0,False
211,51,0.0,False
212,25,0.0,False
213,180,0.0,False
214,64,0.0,False
215,101,1.0,False
216,512,0.0,False
217,187,0.0,False
218,56,0.0,False
219,39,0.0,False
220,261,0.0,False
221,73,0.0,False
222,65,0.0,False
223,329,0.0,False
224,64,0.0,False
225,164,0.0,False
226,624,0.0,False
227,74,0.0,False
228,117,0.0,False
229,84,1.0,False
