ID,Size,Predicted,Actual
0,215,0.0,False
1,273,0.0,True
2,460,0.0,True
3,138,1.0,False
4,358,0.0,False
5,1154,1.0,True
6,51,0.0,False
7,157,0.0,False
8,31,0.0,False
9,1009,0.0,True
10,193,1.0,False
11,83,0.0,True
12,262,0.0,False
13,638,0.0,True
14,40,0.0,False
15,374,1.0,False
16,390,0.0,False
17,51,0.0,False
18,579,1.0,True
19,32,0.0,False
20,66,0.0,False
21,260,0.0,True
22,596,1.0,False
23,198,0.0,False
24,50,0.0,False
25,27,0.0,False
26,926,0.0,False
27,60,0.0,False
28,62,0.0,False
29,87,0.0,False
30,52,0.0,False
31,297,1.0,False
32,163,1.0,False
33,118,1.0,False
34,83,0.0,False
35,147,1.0,False
36,58,1.0,False
37,44,1.0,False
38,106,0.0,False
39,192,1.0,False
40,151,1.0,False
41,352,1.0,True
42,752,1.0,True
43,877,1.0,True
44,319,1.0,True
45,27,0.0,False
46,55,0.0,False
47,94,1.0,False
48,191,0.0,False
49,90,0.0,False
50,90,1.0,False
51,271,0.0,True
52,138,1.0,False
53,79,0.0,False
54,82,0.0,False
55,147,1.0,False
56,422,0.0,True
57,1026,1.0,True
58,530,1.0,False
59,189,0.0,True
60,167,0.0,True
61,86,0.0,False
62,195,1.0,True
63,374,0.0,True
64,573,1.0,False
65,126,0.0,True
66,106,0.0,True
67,109,0.0,False
68,85,0.0,False
69,237,0.0,False
70,345,1.0,True
71,47,1.0,False
72,781,0.0,True
73,27,0.0,False
74,89,0.0,False
75,300,0.0,True
76,166,1.0,False
77,92,1.0,False
78,497,1.0,True
79,93,0.0,False
80,244,0.0,False
81,183,0.0,True
82,252,0.0,False
83,109,0.0,True
84,607,1.0,True
85,565,0.0,True
86,69,1.0,False
87,77,1.0,False
88,97,0.0,False
89,343,1.0,False
90,214,0.0,False
91,79,0.0,False
92,25,0.0,False
93,84,1.0,False
94,34,0.0,False
95,33,0.0,False
96,104,1.0,False
97,172,0.0,False
98,70,0.0,False
99,140,0.0,False
100,156,0.0,False
101,142,1.0,False
102,152,1.0,False
103,31,0.0,False
104,60,0.0,False
