ID,Size,Predicted,Actual
0,215,0.0,NO
1,271,0.0,NO
2,451,0.0,NO
3,137,0.0,NO
4,368,0.0,YES
5,764,0.0,YES
6,51,0.0,NO
7,150,0.0,NO
8,31,0.0,NO
9,684,0.0,YES
10,180,0.0,NO
11,196,0.0,YES
12,482,0.0,YES
13,40,0.0,NO
14,259,0.0,YES
15,379,0.0,YES
16,510,0.0,YES
17,32,0.0,NO
18,66,0.0,NO
19,187,0.0,YES
20,576,0.0,YES
21,158,0.0,YES
22,46,0.0,YES
23,27,0.0,NO
24,788,0.0,YES
25,60,0.0,NO
26,62,0.0,YES
27,88,0.0,YES
28,52,0.0,YES
29,163,0.0,NO
30,91,0.0,YES
31,147,0.0,NO
32,58,0.0,NO
33,44,0.0,NO
34,139,0.0,NO
35,282,0.0,NO
36,582,0.0,YES
37,800,0.0,YES
38,216,0.0,YES
39,55,0.0,NO
40,184,0.0,NO
41,65,0.0,NO
42,150,0.0,YES
43,81,0.0,NO
44,84,0.0,NO
45,905,0.0,YES
46,312,0.0,YES
47,171,0.0,NO
48,153,0.0,YES
49,84,0.0,NO
50,169,0.0,YES
51,189,0.0,YES
52,127,0.0,YES
53,79,0.0,YES
54,90,0.0,NO
55,85,0.0,NO
56,123,0.0,YES
57,276,0.0,YES
58,549,0.0,YES
59,27,0.0,NO
60,88,0.0,YES
61,283,0.0,YES
62,175,0.0,YES
63,507,0.0,YES
64,209,0.0,NO
65,147,0.0,NO
66,98,0.0,NO
67,132,0.0,NO
68,236,0.0,YES
69,227,0.0,YES
70,172,0.0,NO
71,507,0.0,YES
72,90,0.0,YES
73,58,0.0,NO
74,132,0.0,NO
75,529,0.0,YES
76,694,0.0,YES
77,148,0.0,YES
78,174,0.0,NO
79,148,0.0,NO
80,92,0.0,NO
81,77,0.0,NO
82,664,0.0,NO
83,55,0.0,NO
84,256,0.0,YES
85,54,0.0,NO
86,38,0.0,YES
87,98,0.0,YES
88,39,0.0,NO
89,47,0.0,NO
90,69,0.0,YES
91,43,0.0,NO
92,94,0.0,YES
93,72,0.0,NO
94,42,0.0,NO
95,48,0.0,NO
96,63,0.0,YES
97,318,0.0,YES
98,136,0.0,YES
99,141,0.0,YES
100,190,0.0,YES
101,46,0.0,NO
102,165,0.0,NO
103,162,0.0,NO
104,58,0.0,NO
105,148,0.0,YES
106,74,0.0,NO
107,36,0.0,NO
108,37,0.0,NO
109,38,0.0,NO
110,39,0.0,NO
111,96,0.0,YES
112,88,0.0,NO
113,71,0.0,NO
114,114,0.0,NO
115,342,0.0,YES
116,84,0.0,NO
117,58,0.0,NO
118,129,0.0,NO
119,363,0.0,YES
120,242,0.0,YES
121,682,0.0,YES
122,366,0.0,YES
123,103,0.0,YES
124,41,0.0,NO
125,66,0.0,NO
126,63,0.0,NO
127,47,0.0,NO
128,183,0.0,NO
129,49,0.0,NO
130,50,0.0,NO
131,98,0.0,NO
132,143,0.0,NO
133,43,0.0,NO
134,42,0.0,NO
135,56,0.0,NO
136,162,0.0,YES
137,6523,0.0,YES
138,153,0.0,NO
139,43,0.0,NO
140,41,0.0,NO
141,400,0.0,YES
142,425,0.0,YES
143,1041,0.0,YES
144,92,0.0,NO
145,355,0.0,YES
146,123,0.0,NO
147,105,0.0,YES
148,105,0.0,YES
149,92,0.0,YES
150,101,0.0,NO
151,45,0.0,YES
152,299,0.0,YES
153,32,0.0,NO
154,111,0.0,NO
155,35,0.0,NO
156,85,0.0,YES
157,27,0.0,NO
158,28,0.0,NO
159,36,0.0,YES
160,574,0.0,YES
161,67,0.0,NO
162,29,0.0,NO
163,72,0.0,NO
164,37,0.0,NO
165,51,0.0,NO
166,31,0.0,NO
167,77,0.0,YES
168,168,0.0,YES
169,81,0.0,YES
170,37,0.0,NO
171,27,0.0,NO
172,48,0.0,NO
173,436,0.0,YES
174,77,0.0,YES
175,63,0.0,NO
176,76,0.0,NO
177,191,0.0,YES
178,160,0.0,NO
179,906,0.0,YES
180,74,0.0,NO
181,94,0.0,NO
182,22,1.0,NO
183,481,0.0,NO
184,62,0.0,NO
185,58,0.0,NO
186,94,0.0,NO
187,27,0.0,NO
188,77,0.0,NO
189,744,0.0,YES
190,64,0.0,YES
191,45,0.0,NO
192,63,0.0,NO
193,37,0.0,NO
194,64,0.0,NO
195,124,0.0,NO
196,172,0.0,NO
197,36,0.0,NO
198,58,0.0,NO
199,62,0.0,NO
200,132,0.0,NO
201,74,0.0,NO
202,83,0.0,NO
203,74,0.0,NO
204,48,0.0,NO
205,60,0.0,NO
206,86,0.0,NO
207,355,0.0,NO
208,53,0.0,NO
209,612,0.0,YES
210,39,0.0,NO
211,78,0.0,YES
212,85,0.0,YES
213,31,0.0,NO
214,57,0.0,NO
215,108,0.0,NO
216,32,0.0,NO
217,227,0.0,NO
218,201,0.0,NO
219,80,0.0,NO
220,28,0.0,NO
221,57,0.0,NO
222,446,0.0,NO
223,103,0.0,NO
224,35,0.0,NO
225,98,0.0,NO
226,79,0.0,NO
