ID,Size,Predicted,Actual
0,215,5.790272576664532E-8,False
1,273,1.489730591410257E-7,True
2,460,1.5687472978676748E-7,True
3,138,1.4100136622010237E-7,False
4,358,1.5161752198674665E-7,False
5,1248,8.322677849858607E-7,True
6,51,5.4743791245960064E-8,False
7,157,1.4366292326879277E-7,False
8,31,5.4743791245960064E-8,False
9,981,1.3514351809223986E-7,True
10,180,5.685092510580204E-8,False
11,262,1.489730591410257E-7,False
12,553,1.620753471367556E-7,True
13,40,5.4743791245960064E-8,False
14,369,6.680778382255155E-7,False
15,390,1.5425212153351385E-7,False
16,51,5.4743791245960064E-8,False
17,577,6.41371713343676E-8,True
18,32,5.4743791245960064E-8,False
19,66,5.4743791245960064E-8,False
20,188,1.4366292326879277E-7,True
21,582,6.41371713343676E-8,True
22,160,1.4366292326879277E-7,True
23,50,5.4743791245960064E-8,False
24,27,5.3690033888909165E-8,False
25,923,7.455800422040851E-7,True
26,60,5.4743791245960064E-8,False
27,62,5.4743791245960064E-8,False
28,87,5.4743791245960064E-8,False
29,52,5.4743791245960064E-8,False
30,268,5.895227566362936E-8,True
31,163,5.685092510580204E-8,False
32,109,5.57976819315061E-8,False
33,147,5.685092510580204E-8,False
34,58,5.4743791245960064E-8,False
35,44,5.4743791245960064E-8,False
36,106,5.57976819315061E-8,True
37,139,5.57976819315061E-8,False
38,326,5.999875425408835E-8,True
39,648,6.51556268915191E-8,True
40,792,2.0362455725007441E-7,True
41,319,3.965720146012456E-7,True
42,55,5.4743791245960064E-8,False
43,191,5.685092510580204E-8,False
44,90,5.57976819315061E-8,False
45,273,5.895227566362936E-8,True
46,137,5.57976819315061E-8,False
47,79,5.4743791245960064E-8,False
48,82,5.4743791245960064E-8,False
49,147,5.685092510580204E-8,False
50,422,6.104132969937443E-8,True
51,979,1.7957827473254846E-7,True
52,495,5.885104710555629E-7,True
53,189,5.685092510580204E-8,True
54,167,6.727541692007909E-7,True
55,86,1.3833817289481478E-7,False
56,182,5.685092510580204E-8,True
57,361,1.3518107100679685E-7,True
58,126,5.57976819315061E-8,True
59,106,5.57976819315061E-8,False
60,109,5.57976819315061E-8,False
61,85,5.4743791245960064E-8,False
62,236,5.790272576664532E-8,False
63,315,6.564254506810766E-7,True
64,695,2.023830371781793E-5,True
65,27,5.3690033888909165E-8,False
66,89,5.57976819315061E-8,False
67,301,1.489730591410257E-7,True
68,153,5.685092510580204E-8,True
69,92,5.57976819315061E-8,False
70,466,1.5687472978676748E-7,True
71,93,5.57976819315061E-8,False
72,244,5.790272576664532E-8,False
73,192,5.685092510580204E-8,True
74,252,1.4632083506162958E-7,False
75,109,5.57976819315061E-8,False
76,601,6.41371713343676E-8,True
77,565,1.620753471367556E-7,True
78,69,5.4743791245960064E-8,False
79,77,5.4743791245960064E-8,False
80,94,5.57976819315061E-8,True
81,337,5.999875425408835E-8,False
82,214,5.790272576664532E-8,False
83,79,5.4743791245960064E-8,False
84,25,5.3690033888909165E-8,False
85,84,5.4743791245960064E-8,False
86,34,5.4743791245960064E-8,False
87,33,5.4743791245960064E-8,False
88,104,5.57976819315061E-8,False
89,172,5.685092510580204E-8,False
90,70,5.4743791245960064E-8,False
91,140,5.57976819315061E-8,False
92,156,1.4366292326879277E-7,False
93,248,5.790272576664532E-8,False
94,277,1.489730591410257E-7,True
95,189,7.950898647390594E-7,False
96,194,7.200513132775694E-7,False
97,346,6.28919100608178E-7,False
98,304,2.1855701929374237E-5,False
99,356,0.9999999351605833,True
100,84,3.6826154478655996E-7,False
101,53,1.3833817289481478E-7,False
102,132,5.57976819315061E-8,False
103,4088,8.602053976740173E-8,False
104,691,1.551027816716178E-5,True
105,47,2.549275617071179E-7,False
106,101,9.845099930838876E-7,False
107,510,3.267660643611515E-7,True
108,328,1.5161752198674665E-7,True
109,273,5.895227566362936E-8,True
110,136,5.57976819315061E-8,False
111,56,5.4743791245960064E-8,False
112,74,5.4743791245960064E-8,False
113,359,1.5161752198674665E-7,True
114,174,5.685092510580204E-8,False
115,148,5.685092510580204E-8,False
116,92,5.57976819315061E-8,False
117,45,5.4743791245960064E-8,False
118,168,5.685092510580204E-8,False
119,77,5.4743791245960064E-8,False
120,666,1.64648995430116E-7,False
121,88,5.57976819315061E-8,False
122,262,1.489730591410257E-7,False
123,54,5.4743791245960064E-8,False
124,48,5.4743791245960064E-8,True
125,140,5.57976819315061E-8,True
126,152,5.685092510580204E-8,False
127,39,5.4743791245960064E-8,False
128,131,5.57976819315061E-8,False
129,47,5.4743791245960064E-8,False
130,129,5.57976819315061E-8,False
131,43,5.4743791245960064E-8,False
132,243,5.790272576664532E-8,True
133,62,5.4743791245960064E-8,False
134,45,5.4743791245960064E-8,False
135,97,1.4100136622010237E-7,False
136,476,0.999999999918152,False
137,77,1.4123233822456862E-7,False
138,69,1.1937566362640727E-7,False
139,104,2.608035469643221E-7,False
140,115,3.047097514929915E-7,False
141,421,0.9999996311455916,False
142,61,1.0896305394528979E-7,False
143,2009,1.0,False
144,179,4.972619501793336E-6,False
145,106,2.6566860245548226E-7,False
146,33,9.509613610079839E-8,False
147,657,1.0,False
148,295,0.1500714766077,False
149,872,1.0,False
150,444,0.9999999893666905,False
151,168,3.826640713381458E-6,False
152,752,1.0,False
153,135,6.457506725382626E-7,False
154,1126,1.0,False
155,163,3.480032894185754E-6,False
156,184,1.2266591098758001E-5,False
157,51,9.67469900657376E-8,False
158,25,9.4966495367908E-8,False
159,180,5.343585741966963E-6,False
160,64,1.1085885175721448E-7,False
161,101,2.608035469643221E-7,False
162,512,0.9999999999999557,False
163,187,1.2266591098758001E-5,False
164,56,1.0410784494129145E-7,False
165,39,9.489632359651355E-8,False
166,261,0.0023195034219784857,False
167,73,1.209059429021733E-7,False
168,65,1.119875978513543E-7,False
169,329,0.7825571638094709,False
170,64,1.1085885175721448E-7,False
171,164,3.480032894185754E-6,False
172,624,0.9997276470184223,False
173,74,1.209059429021733E-7,False
174,117,3.2114662552586937E-7,False
175,84,1.5333103932800853E-7,False
176,226,2.2160320781007933E-6,False
177,76,1.4123233822456862E-7,False
178,323,0.6811576113709178,False
179,72,5.4743791245960064E-8,False
180,42,5.4743791245960064E-8,False
181,48,5.4743791245960064E-8,False
182,89,5.57976819315061E-8,False
183,380,6.104132969937443E-8,False
184,141,1.4100136622010237E-7,False
185,148,1.3721140707991744E-7,False
186,191,5.685092510580204E-8,False
187,46,5.4743791245960064E-8,False
188,165,5.685092510580204E-8,False
189,171,5.685092510580204E-8,False
190,56,5.4743791245960064E-8,False
191,179,5.685092510580204E-8,False
192,74,5.4743791245960064E-8,False
193,36,5.4743791245960064E-8,False
194,37,5.4743791245960064E-8,False
195,34,5.4743791245960064E-8,False
196,34,5.4743791245960064E-8,False
197,38,5.4743791245960064E-8,False
198,39,5.4743791245960064E-8,False
199,156,5.685092510580204E-8,False
200,84,5.4743791245960064E-8,False
201,117,5.57976819315061E-8,False
202,94,5.57976819315061E-8,False
203,71,5.4743791245960064E-8,False
204,183,5.685092510580204E-8,False
205,85,5.4743791245960064E-8,False
206,183,5.685092510580204E-8,False
207,70,5.4743791245960064E-8,False
208,54,5.4743791245960064E-8,False
209,160,5.685092510580204E-8,False
210,125,5.57976819315061E-8,False
211,151,5.685092510580204E-8,False
212,422,1.5425212153351385E-7,False
213,221,1.4632083506162958E-7,False
214,50,5.4743791245960064E-8,False
215,42,5.4743791245960064E-8,False
216,624,6.51556268915191E-8,False
217,377,5.999875425408835E-8,False
218,383,6.104132969937443E-8,True
219,72,5.4743791245960064E-8,False
220,92,5.57976819315061E-8,False
221,282,1.489730591410257E-7,False
222,371,5.999875425408835E-8,False
223,47,5.4743791245960064E-8,False
224,108,5.57976819315061E-8,False
225,111,5.57976819315061E-8,False
226,319,5.895227566362936E-8,False
227,129,5.57976819315061E-8,False
228,49,5.4743791245960064E-8,False
229,358,5.999875425408835E-8,False
230,277,5.895227566362936E-8,False
231,49,5.4743791245960064E-8,False
232,89,5.57976819315061E-8,False
233,41,5.4743791245960064E-8,False
234,66,5.4743791245960064E-8,False
235,63,5.4743791245960064E-8,False
236,24,5.3690033888909165E-8,False
237,50,5.4743791245960064E-8,False
238,72,5.4743791245960064E-8,False
239,47,5.4743791245960064E-8,False
240,47,5.4743791245960064E-8,False
241,183,5.685092510580204E-8,False
242,49,5.4743791245960064E-8,False
243,50,5.4743791245960064E-8,False
244,98,5.57976819315061E-8,False
245,143,5.57976819315061E-8,False
246,43,5.4743791245960064E-8,False
247,42,5.4743791245960064E-8,False
248,56,5.4743791245960064E-8,False
249,44,5.4743791245960064E-8,False
250,26,5.3690033888909165E-8,False
251,254,5.790272576664532E-8,False
252,16883,5.686974361031117E-8,False
253,74,5.4743791245960064E-8,False
254,153,5.685092510580204E-8,False
255,68,5.4743791245960064E-8,False
256,100,5.57976819315061E-8,False
257,550,1.5948319553249784E-7,False
258,437,6.20791598999786E-8,False
259,1038,8.017781180076633E-7,False
260,104,1.4100136622010237E-7,False
261,332,1.5161752198674665E-7,False
262,123,5.57976819315061E-8,False
263,106,5.57976819315061E-8,False
264,106,5.57976819315061E-8,False
265,94,1.4100136622010237E-7,False
266,101,1.4100136622010237E-7,False
267,38,5.4743791245960064E-8,False
268,628,3.6705824928620577E-7,False
269,32,5.4743791245960064E-8,False
270,111,5.57976819315061E-8,False
271,35,5.4743791245960064E-8,False
272,90,5.57976819315061E-8,False
273,27,5.3690033888909165E-8,False
274,28,5.3690033888909165E-8,False
275,92,5.57976819315061E-8,False
276,956,5.987066330237397E-6,True
277,67,5.4743791245960064E-8,False
278,29,5.3690033888909165E-8,False
279,105,5.57976819315061E-8,False
280,72,5.4743791245960064E-8,False
281,37,5.4743791245960064E-8,False
282,47,5.4743791245960064E-8,False
283,31,5.4743791245960064E-8,False
284,90,5.57976819315061E-8,False
285,223,5.790272576664532E-8,False
286,214,5.790272576664532E-8,False
287,107,5.57976819315061E-8,False
288,37,5.4743791245960064E-8,False
289,27,5.3690033888909165E-8,False
290,48,5.4743791245960064E-8,False
291,167,1.4366292326879277E-7,False
292,213,5.790272576664532E-8,False
293,867,1.7471432641721042E-7,False
294,159,5.685092510580204E-8,False
295,100,5.57976819315061E-8,False
296,96,5.57976819315061E-8,False
297,842,7.58933390082378E-7,False
298,525,1.3703369119700213E-7,False
299,83,5.4743791245960064E-8,False
300,63,5.4743791245960064E-8,False
301,76,5.4743791245960064E-8,False
302,202,5.685092510580204E-8,False
303,155,1.4366292326879277E-7,False
304,1263,1.9110349089931168E-7,False
305,74,5.4743791245960064E-8,False
306,101,5.57976819315061E-8,False
307,27,5.3690033888909165E-8,False
