ID,Size,Predicted,Actual
0,212,4.24332519397084E-6,False
1,274,1.038579496836832E-6,False
2,461,1.0783062006641958E-6,True
3,138,9.827895186946026E-7,False
4,358,1.0711910607523465E-6,False
5,1272,0.17633817111062186,True
6,51,9.076726550347473E-7,False
7,45,9.076726550347473E-7,False
8,157,9.827895186946026E-7,False
9,31,9.076726550347473E-7,False
10,1406,0.9989533216086991,True
11,55,9.076726550347473E-7,False
12,204,1.0133725469200902E-6,False
13,55,9.076726550347473E-7,False
14,103,9.473574803261025E-7,False
15,34,3.9391578420061085E-6,False
16,83,9.473574803261025E-7,False
17,285,8.538917943139E-5,False
18,83,9.473574803261025E-7,False
19,129,1.7058244391713245E-4,False
20,867,9.113976612952647E-7,True
21,380,0.999999999676159,False
22,40,9.076726550347473E-7,False
23,387,1.0711910607523465E-6,True
24,390,1.0711910607523465E-6,False
25,51,9.076726550347473E-7,False
26,637,1.040566370871628E-6,True
27,32,9.076726550347473E-7,False
28,68,9.076726550347473E-7,True
29,547,1.0720688366882133E-6,True
30,566,1.0594128423861113E-6,False
31,314,4.430058546170327E-6,True
32,907,1.3390811653119266E-5,True
33,275,1.748325735104883E-5,False
34,31,9.076726550347473E-7,False
35,50,9.076726550347473E-7,False
36,27,9.076726550347473E-7,False
37,175,9.827895186946026E-7,False
38,50,9.076726550347473E-7,False
39,62,9.076726550347473E-7,False
40,87,9.473574803261025E-7,False
41,52,9.076726550347473E-7,False
42,373,1.0711910607523465E-6,False
43,224,1.0133725469200902E-6,False
44,118,9.473574803261025E-7,True
45,83,3.966899164603626E-6,False
46,147,9.827895186946026E-7,False
47,58,9.076726550347473E-7,False
48,44,9.076726550347473E-7,False
49,106,9.473574803261025E-7,False
50,238,0.5772292639198968,False
51,43,4.991405689155193E-6,False
52,185,0.004065061198642824,True
53,189,1.0133725469200902E-6,False
54,151,9.827895186946026E-7,False
55,364,1.7973841669254172E-5,False
56,910,0.5189772601305397,False
57,889,0.07194763824097951,False
58,43,3.8007261537565052E-6,False
59,325,3.5138521934977696E-4,False
60,27,9.076726550347473E-7,False
61,55,9.076726550347473E-7,False
62,93,3.874087741522583E-6,False
63,191,1.0133725469200902E-6,False
64,90,9.473574803261025E-7,False
65,89,3.966899164603626E-6,False
66,272,3.467568710073081E-4,False
67,152,4.115264365741191E-6,False
68,90,9.473574803261025E-7,True
69,82,9.473574803261025E-7,False
70,148,4.115264365741191E-6,False
71,421,3.5991765893133166E-4,True
72,1190,0.24020799791204753,True
73,528,5.00625233029863E-5,True
74,205,1.747298994988193E-5,True
75,190,1.0133725469200902E-6,False
76,86,9.473574803261025E-7,False
77,212,3.38343711873316E-4,True
78,404,3.908565125994468E-4,False
79,572,4.474754046933321E-5,False
80,132,1.6334748293770663E-5,False
81,168,4.115264365741191E-6,False
82,109,9.473574803261025E-7,True
83,85,9.473574803261025E-7,False
84,107,4.79779250464612E-5,False
85,237,1.0133725469200902E-6,False
86,511,1.7289219798800075E-5,True
87,47,9.076726550347473E-7,False
88,1328,0.9847335762803862,True
89,27,9.076726550347473E-7,False
90,89,9.473574803261025E-7,False
91,482,4.3939521025454815E-6,True
92,226,0.7017477715109665,True
93,166,9.827895186946026E-7,False
94,92,3.966899164603626E-6,True
95,476,1.0783062006641958E-6,False
96,93,3.966899164603626E-6,True
97,244,1.038579496836832E-6,False
98,204,1.0133725469200902E-6,False
99,252,1.038579496836832E-6,False
100,119,1.589603129797837E-5,False
101,733,4.9921958129184646E-5,False
102,630,0.009499062619987482,False
103,69,9.076726550347473E-7,False
104,77,9.076726550347473E-7,False
105,97,9.473574803261025E-7,False
106,380,4.993172543771866E-6,False
107,214,1.0133725469200902E-6,False
108,38,4.230962205805006E-6,False
109,79,9.076726550347473E-7,False
110,25,8.643837732612393E-7,False
111,84,9.473574803261025E-7,False
112,34,9.076726550347473E-7,False
113,33,9.076726550347473E-7,False
114,104,9.473574803261025E-7,False
115,193,4.094520864401083E-6,False
116,70,9.076726550347473E-7,False
117,140,9.827895186946026E-7,False
118,22,3.5706452106288623E-6,False
119,156,9.827895186946026E-7,False
120,142,9.827895186946026E-7,False
121,100,2.027371252665529E-5,True
122,152,9.827895186946026E-7,False
123,31,9.076726550347473E-7,False
124,60,9.076726550347473E-7,False
125,60,9.076726550347473E-7,False
126,876,9.113976612952647E-7,False
127,61,9.076726550347473E-7,False
128,185,9.827895186946026E-7,False
129,264,1.038579496836832E-6,False
130,43,9.076726550347473E-7,False
131,248,1.038579496836832E-6,False
132,361,0.010835852734080588,True
133,199,4.24332519397084E-6,True
134,194,1.0133725469200902E-6,True
135,346,1.0711910607523465E-6,True
136,91,3.966899164603626E-6,False
137,335,5.069197291698091E-5,True
138,370,8.68757400592053E-5,False
139,82,3.966899164603626E-6,False
140,53,9.076726550347473E-7,False
141,148,4.115264365741191E-6,False
142,4088,7.112318706773395E-13,False
143,88,1.4677104087715508E-5,False
144,878,0.9910137027073915,True
145,37,4.230962205805006E-6,False
146,48,4.991405689155193E-6,False
147,47,9.076726550347473E-7,False
148,101,9.473574803261025E-7,False
149,556,1.0,False
150,360,0.00895519150531665,False
151,284,0.9999894041982251,True
152,135,4.115264365741191E-6,False
153,56,9.076726550347473E-7,False
154,78,1.5650495423277422E-5,False
155,409,3.7302189688156524E-4,True
156,174,9.827895186946026E-7,False
157,148,9.827895186946026E-7,False
158,88,3.966899164603626E-6,False
159,45,9.076726550347473E-7,True
160,39,9.076726550347473E-7,False
161,182,9.827895186946026E-7,False
162,77,9.076726550347473E-7,False
163,666,1.01586577899724E-6,False
164,104,3.7700366282248023E-6,True
165,263,1.038579496836832E-6,True
166,54,9.076726550347473E-7,False
167,76,9.076726550347473E-7,False
168,119,3.871466544050113E-5,False
169,200,2.294677499921678E-5,False
170,152,9.827895186946026E-7,False
171,39,9.076726550347473E-7,False
172,677,1.01586577899724E-6,False
173,131,9.473574803261025E-7,False
174,47,9.076726550347473E-7,False
175,100,4.244129416997871E-5,False
176,43,9.076726550347473E-7,False
177,73,9.076726550347473E-7,False
178,257,1.038579496836832E-6,False
179,356,1.0711910607523465E-6,False
180,62,9.076726550347473E-7,False
181,45,9.076726550347473E-7,False
182,97,9.473574803261025E-7,False
183,131,9.473574803261025E-7,True
184,68,9.076726550347473E-7,True
185,99,9.473574803261025E-7,False
186,53,9.076726550347473E-7,False
187,81,9.473574803261025E-7,False
188,78,9.076726550347473E-7,True
189,69,9.076726550347473E-7,False
190,69,9.076726550347473E-7,False
191,77,9.076726550347473E-7,False
192,72,9.076726550347473E-7,False
193,72,9.076726550347473E-7,False
194,63,9.076726550347473E-7,False
195,50,9.076726550347473E-7,False
196,28,9.076726550347473E-7,False
197,96,9.473574803261025E-7,False
198,40,9.076726550347473E-7,False
199,76,9.076726550347473E-7,False
200,49,9.076726550347473E-7,False
201,63,9.076726550347473E-7,False
202,55,9.076726550347473E-7,False
203,45,9.076726550347473E-7,False
204,476,1.0783062006641958E-6,False
205,77,9.076726550347473E-7,False
206,69,9.076726550347473E-7,False
207,104,9.473574803261025E-7,False
208,115,9.473574803261025E-7,False
209,421,1.078011825992586E-6,False
210,61,9.076726550347473E-7,False
211,2009,7.738304516227784E-8,False
212,179,9.827895186946026E-7,False
213,106,9.473574803261025E-7,False
214,33,9.076726550347473E-7,False
215,657,1.040566370871628E-6,False
216,295,1.0579675478140406E-6,False
217,872,9.113976612952647E-7,False
218,444,1.078011825992586E-6,False
219,168,9.827895186946026E-7,False
220,752,9.857456434485834E-7,False
221,135,9.827895186946026E-7,False
222,1126,6.7359729466214E-7,False
223,163,9.827895186946026E-7,False
224,184,9.827895186946026E-7,False
225,51,9.076726550347473E-7,False
226,25,8.643837732612393E-7,False
227,180,9.827895186946026E-7,False
228,64,9.076726550347473E-7,False
229,101,9.473574803261025E-7,False
230,512,1.0720688366882133E-6,False
231,187,1.0133725469200902E-6,False
232,56,9.076726550347473E-7,False
233,39,9.076726550347473E-7,False
234,261,1.038579496836832E-6,False
235,73,9.076726550347473E-7,False
236,65,9.076726550347473E-7,False
