ID,Size,Predicted,Actual
0,215,0.0,False
1,273,0.5,True
2,460,0.74,True
3,138,0.17,False
4,358,0.75,False
5,1248,0.88,True
6,51,0.0,False
7,157,0.33,False
8,31,0.0,False
9,981,0.61,True
10,180,0.0,False
11,262,0.62,False
12,553,0.8,True
13,40,0.0,False
14,369,0.74,False
15,390,0.84,False
16,51,0.0,False
17,577,0.46,True
18,32,0.0,False
19,66,0.0,False
20,188,0.12,True
21,582,0.46,True
22,160,0.21,True
23,50,0.0,False
24,27,0.0,False
25,923,0.44,True
26,60,0.0,False
27,62,0.0,False
28,87,0.037142857142857144,False
29,52,0.0,False
30,268,0.05,True
31,163,0.31,False
32,109,0.02,False
33,147,0.04661363636363637,False
34,58,0.0,False
35,44,0.5815494227994227,False
36,106,0.53,True
37,139,0.09,False
38,326,0.36,True
39,648,0.46,True
40,792,0.63,True
41,319,0.8,True
42,55,0.0,False
43,191,0.0,False
44,90,0.6750671550671551,False
45,273,0.05,True
46,137,0.05,False
47,79,0.3,False
48,82,0.01,False
49,147,0.04661363636363637,False
50,422,0.43,True
51,979,0.73,True
52,495,0.64,True
53,189,0.01,True
54,167,0.25,True
55,86,0.22,False
56,182,0.0,True
57,361,0.36,True
58,126,0.02,True
59,106,0.53,False
60,109,0.02,False
61,85,0.037142857142857144,False
62,236,0.04,False
63,315,0.51,True
64,695,0.76,True
65,27,0.0,False
66,89,0.24545604395604392,False
67,301,0.62,True
68,153,0.24035619037824923,True
69,92,0.8257219169719169,False
70,466,0.83,True
71,93,0.8283001443001443,False
72,244,0.04,False
73,192,0.0,True
74,252,0.49,False
75,109,0.02,False
76,601,0.46,True
77,565,0.85,True
78,69,0.93,False
79,77,0.04,False
80,94,0.8331176046176046,True
81,337,0.36,False
82,214,0.0,False
83,79,0.3,False
84,25,0.0,False
85,84,0.0,False
86,34,0.0,False
87,33,0.0,False
88,104,0.96,False
89,172,0.05,False
90,70,0.22,False
91,140,0.13,False
92,156,0.16,False
93,248,0.02,False
94,277,0.53,True
95,189,1.0,False
96,194,0.82,False
97,346,0.57,False
98,304,0.45,False
99,356,0.22,True
100,84,0.18,False
101,53,0.13,False
102,132,0.05,False
103,4088,0.48,False
104,691,0.34,True
105,47,0.12,False
106,101,0.47,False
107,510,0.75,True
108,328,0.46,True
109,273,0.05,True
110,136,0.07,False
111,56,0.0,False
112,74,0.0,False
113,359,0.48,True
114,174,0.03,False
115,148,0.6695043813685455,False
116,92,0.8257219169719169,False
117,45,0.8347824675324675,False
118,168,0.25,False
119,77,0.04,False
120,666,0.85,False
121,88,0.037142857142857144,False
122,262,0.49,False
123,54,0.0,False
124,48,0.0,True
125,140,0.13,True
126,152,0.248133968156027,False
127,39,0.01,False
128,131,0.05,False
129,47,0.0,False
130,129,0.02,False
131,43,0.03888888888888889,False
132,243,0.04,True
133,62,0.0,False
134,45,0.8347824675324675,False
135,97,0.07,False
136,476,0.97,False
137,77,0.21856598956598958,False
138,69,0.14,False
139,104,0.05,False
140,115,0.11,False
141,421,0.74,False
142,61,0.04,False
143,2009,0.85,False
144,179,0.39,False
145,106,0.03,False
146,33,0.0,False
147,657,0.51,False
148,295,0.5,False
149,872,0.78,False
150,444,0.77,False
151,168,0.01,False
152,752,0.78,False
153,135,0.11,False
154,1126,0.78,False
155,163,0.31,False
156,184,0.82,False
157,51,0.0,False
158,25,0.0,False
159,180,0.41,False
160,64,1.0,False
161,101,0.03,False
162,512,0.94,False
163,187,0.85,False
164,56,0.0,False
165,39,0.0,False
166,261,0.23,False
167,73,0.31,False
168,65,0.5821486291486291,False
169,329,0.0,False
170,64,1.0,False
171,164,0.23,False
172,624,0.7,False
173,74,0.1506807081807082,False
174,117,0.14,False
175,84,0.24,False
176,226,0.84,False
177,76,0.19006598956598958,False
178,323,0.0,False
179,72,0.0,False
180,42,0.0,False
181,48,0.0,False
182,89,0.24545604395604392,False
183,380,0.45,False
184,141,0.58,False
185,148,0.26,False
186,191,0.0,False
187,46,0.0876031746031746,False
188,165,0.08,False
189,171,0.09,False
190,56,0.0,False
191,179,0.0,False
192,74,0.0,False
193,36,0.07,False
194,37,0.0,False
195,34,0.0,False
196,34,0.0,False
197,38,0.795780303030303,False
198,39,0.01,False
199,156,0.288125,False
200,84,0.0,False
201,117,0.0,False
202,94,0.8331176046176046,False
203,71,0.06,False
204,183,0.01,False
205,85,0.037142857142857144,False
206,183,0.01,False
207,70,0.22,False
208,54,0.0,False
209,160,0.664375,False
210,125,0.02,False
211,151,0.254383968156027,False
212,422,0.49,False
213,221,0.08,False
214,50,0.0,False
215,42,0.0,False
216,624,0.46,False
217,377,0.45,False
218,383,0.45,True
219,72,0.0,False
220,92,0.8257219169719169,False
221,282,0.56,False
222,371,0.47,False
223,47,0.0,False
224,108,0.02,False
225,111,0.02,False
226,319,0.36,False
227,129,0.02,False
228,49,0.0,False
229,358,0.38,False
230,277,0.12,False
231,49,0.0,False
232,89,0.24545604395604392,False
233,41,0.0,False
234,66,0.0,False
235,63,0.6641904761904763,False
236,24,0.0,False
237,50,0.0,False
238,72,0.0,False
239,47,0.0,False
240,47,0.0,False
241,183,0.01,False
242,49,0.0,False
243,50,0.0,False
244,98,0.0,False
245,143,0.06,False
246,43,0.03888888888888889,False
247,42,0.0,False
248,56,0.0,False
249,44,0.5815494227994227,False
250,26,0.0,False
251,254,0.02,False
252,16883,0.48,False
253,74,0.0,False
254,153,0.24035619037824923,False
255,68,0.94,False
256,100,0.0,False
257,550,0.76,False
258,437,0.42,False
259,1038,0.85,False
260,104,0.49,False
261,332,0.73,False
262,123,0.0,False
263,106,0.53,False
264,106,0.53,False
265,94,0.11180952380952382,False
266,101,0.0,False
267,38,0.795780303030303,False
268,628,0.41,False
269,32,0.0,False
270,111,0.02,False
271,35,0.0,False
272,90,0.6750671550671551,False
273,27,0.0,False
274,28,0.0,False
275,92,0.8257219169719169,False
276,956,0.63,True
277,67,0.0,False
278,29,0.0,False
279,105,1.0,False
280,72,0.0,False
281,37,0.0,False
282,47,0.0,False
283,31,0.0,False
284,90,0.6750671550671551,False
285,223,0.0,False
286,214,0.0,False
287,107,0.41,False
288,37,0.0,False
289,27,0.0,False
290,48,0.0,False
291,167,0.1,False
292,213,0.0,False
293,867,0.74,False
294,159,0.654375,False
295,100,0.0,False
296,96,1.0,False
297,842,0.75,False
298,525,0.85,False
299,83,0.0,False
300,63,0.6641904761904763,False
301,76,0.0,False
302,202,0.0,False
303,155,0.0,False
304,1263,0.83,False
305,74,0.0,False
306,101,0.0,False
307,27,0.0,False
308,22,0.0,False
309,491,0.8,False
310,62,0.0,False
311,59,0.0,False
312,99,0.0,False
313,27,0.0,False
314,77,0.04,False
315,846,0.48,True
316,64,0.2353333333333333,False
317,45,0.8347824675324675,False
318,63,0.6641904761904763,False
319,54,0.0,False
320,64,0.2353333333333333,False
321,132,0.05,False
322,177,0.0,False
323,70,0.22,False
324,36,0.07,False
325,58,0.0,False
326,62,0.0,False
327,132,0.05,False
328,74,0.0,False
329,86,0.17,False
330,74,0.0,False
331,48,0.0,False
332,74,0.0,False
333,86,0.037142857142857144,False
334,355,0.38,False
335,53,0.0,False
336,804,0.9,False
337,75,0.0,False
338,125,0.02,False
339,200,0.0,False
340,134,0.07,False
341,57,0.0,False
342,123,0.0,False
343,266,0.65,False
344,162,0.99,False
345,130,0.05,False
346,108,0.02,False
347,354,0.75,False
348,88,0.36,False
349,28,0.0,False
350,58,0.01,False
351,308,0.61,False
352,343,0.71,False
353,103,0.01,False
354,35,0.0,False
355,98,0.0,False
356,117,0.01,False
