ID,Size,Predicted,Actual
0,215,0.1,False
1,273,0.51,True
2,460,0.77,True
3,138,0.18,False
4,358,0.76,False
5,1248,0.66,True
6,51,0.01,False
7,157,0.7,False
8,31,0.0,False
9,981,0.66,True
10,180,0.5,False
11,262,0.45,False
12,553,0.74,True
13,40,0.02,False
14,369,0.91,False
15,390,0.78,False
16,51,0.01,False
17,577,0.49,True
18,32,0.01,False
19,66,0.084,False
20,188,0.36,True
21,582,0.5,True
22,160,0.61,True
23,50,0.01,False
24,27,0.0,False
25,923,0.69,True
26,60,0.022000000000000002,False
27,62,0.10116666666666667,False
28,87,0.03,False
29,52,0.0,False
30,268,0.24,True
31,163,0.7,False
32,109,0.57,False
33,147,0.2,False
34,58,0.0,False
35,44,0.52,False
36,106,0.57,True
37,139,0.02,False
38,326,0.46,True
39,648,0.48,True
40,792,0.77,True
41,319,0.66,True
42,55,0.0,False
43,191,0.19,False
44,90,0.32404761904761903,False
45,273,0.27,True
46,137,0.04,False
47,79,0.48,False
48,82,0.01,False
49,147,0.2,False
50,422,0.54,True
51,979,0.71,True
52,495,0.75,True
53,189,0.19,True
54,167,0.52,True
55,86,0.38,False
56,182,0.41,True
57,361,0.81,True
58,126,0.06,True
59,106,0.57,False
60,109,0.57,False
61,85,0.03,False
62,236,0.24,False
63,315,0.72,True
64,695,0.66,True
65,27,0.0,False
66,89,0.1573809523809524,False
67,301,0.58,True
68,153,0.71,True
69,92,0.5457142857142857,False
70,466,0.76,True
71,93,0.4696666666666667,False
72,244,0.24,False
73,192,0.14,True
74,252,0.42,False
75,109,0.57,False
76,601,0.5,True
77,565,0.73,True
78,69,0.634,False
79,77,0.02,False
80,94,0.5121666666666667,True
81,337,0.46,False
82,214,0.1,False
83,79,0.48,False
84,25,0.0,False
85,84,0.0,False
86,34,0.01,False
87,33,0.01,False
88,104,0.9,False
89,172,0.55,False
90,70,0.61,False
91,140,0.04,False
92,156,0.64,False
93,248,0.24,False
94,277,0.51,True
95,189,0.93,False
96,194,0.87,False
97,346,0.57,False
98,304,0.87,False
99,356,0.46,True
100,84,0.4,False
101,53,0.01,False
102,132,0.04,False
103,4088,0.46,False
104,691,0.48,True
105,47,0.14,False
106,101,0.33,False
107,510,0.92,True
108,328,0.64,True
109,273,0.27,True
110,136,0.06,False
111,56,0.0,False
112,74,0.01,False
113,359,0.58,True
114,174,0.51,False
115,148,0.69,False
116,92,0.5457142857142857,False
117,45,0.61,False
118,168,0.7,False
119,77,0.02,False
120,666,0.64,False
121,88,0.04,False
122,262,0.45,False
123,54,0.0,False
124,48,0.05,True
125,140,0.04,True
126,152,0.68,False
127,39,0.02,False
128,131,0.04,False
129,47,0.05,False
130,129,0.06,False
131,43,0.14,False
132,243,0.24,True
133,62,0.10116666666666667,False
134,45,0.61,False
135,97,0.8125,False
136,476,0.87,False
137,77,0.94,False
138,69,0.43,False
139,104,0.09,False
140,115,0.06,False
141,421,0.88,False
142,61,0.59,False
143,2009,0.98,False
144,179,0.19,False
145,106,0.07,False
146,33,0.04,False
147,657,0.79,False
148,295,0.77,False
149,872,0.87,False
150,444,0.86,False
151,168,0.08,False
152,752,0.87,False
153,135,0.7,False
154,1126,0.87,False
155,163,0.1,False
156,184,0.3,False
157,51,0.13,False
158,25,0.01,False
159,180,0.17,False
160,64,0.84,False
161,101,0.095,False
162,512,0.85,False
163,187,0.38,False
164,56,0.02,False
165,39,0.0,False
166,261,0.76,False
167,73,0.37,False
168,65,0.82,False
169,329,0.62,False
170,64,0.84,False
171,164,0.11,False
172,624,0.59,False
173,74,0.71,False
174,117,0.09,False
175,84,0.98,False
176,226,0.86,False
177,76,0.84,False
178,323,0.63,False
179,72,0.08,False
180,42,0.14,False
181,48,0.05,False
182,89,0.1573809523809524,False
183,380,0.52,False
184,141,0.66,False
185,148,0.36,False
186,191,0.19,False
187,46,0.47,False
188,165,0.7,False
189,171,0.55,False
190,56,0.0,False
191,179,0.5,False
192,74,0.01,False
193,36,0.12,False
194,37,0.07,False
195,34,0.01,False
196,34,0.01,False
197,38,0.53,False
198,39,0.02,False
199,156,0.76,False
200,84,0.0,False
201,117,0.55,False
202,94,0.5121666666666667,False
203,71,0.2,False
204,183,0.41,False
205,85,0.03,False
206,183,0.41,False
207,70,0.61,False
208,54,0.0,False
209,160,0.76,False
210,125,0.06,False
211,151,0.69,False
212,422,0.59,False
213,221,0.27,False
214,50,0.01,False
215,42,0.14,False
216,624,0.48,False
217,377,0.51,False
218,383,0.52,True
219,72,0.08,False
220,92,0.5457142857142857,False
221,282,0.48,False
222,371,0.51,False
223,47,0.05,False
224,108,0.57,False
225,111,0.57,False
226,319,0.46,False
227,129,0.06,False
228,49,0.03,False
229,358,0.49,False
230,277,0.29,False
231,49,0.03,False
232,89,0.1573809523809524,False
233,41,0.01,False
234,66,0.084,False
235,63,0.4421666666666666,False
236,24,0.0,False
237,50,0.01,False
238,72,0.08,False
239,47,0.05,False
240,47,0.05,False
241,183,0.41,False
242,49,0.03,False
243,50,0.01,False
244,98,0.7885,False
245,143,0.02,False
246,43,0.14,False
247,42,0.14,False
248,56,0.0,False
249,44,0.52,False
250,26,0.0,False
251,254,0.24,False
252,16883,0.46,False
253,74,0.01,False
254,153,0.71,False
255,68,0.644,False
256,100,0.36,False
257,550,0.81,False
258,437,0.54,False
259,1038,0.64,False
260,104,0.43,False
261,332,0.73,False
262,123,0.08,False
263,106,0.57,False
264,106,0.57,False
265,94,0.405,False
266,101,0.12,False
267,38,0.53,False
268,628,0.76,False
269,32,0.01,False
270,111,0.57,False
271,35,0.07,False
272,90,0.32404761904761903,False
273,27,0.0,False
274,28,0.0,False
275,92,0.5457142857142857,False
276,956,0.69,True
277,67,0.23399999999999999,False
278,29,0.03,False
279,105,0.91,False
280,72,0.08,False
281,37,0.07,False
282,47,0.05,False
283,31,0.0,False
284,90,0.32404761904761903,False
285,223,0.15,False
286,214,0.1,False
287,107,0.57,False
288,37,0.07,False
289,27,0.0,False
290,48,0.05,False
291,167,0.52,False
292,213,0.1,False
293,867,0.7,False
294,159,0.78,False
295,100,0.36,False
296,96,0.8991666666666667,False
