ID,Size,Predicted,Actual
0,215,0.0,False
1,273,0.26,True
2,460,0.32,True
3,138,0.03,False
4,358,0.42,False
5,1248,0.63,True
6,51,0.0,False
7,157,0.25,False
8,31,0.0,False
9,981,0.41,True
10,180,0.0,False
11,262,0.35,False
12,553,0.49,True
13,40,0.0,False
14,369,0.57,False
15,390,0.45,False
16,51,0.0,False
17,577,0.19,True
18,32,0.0,False
19,66,0.0,False
20,188,0.17,True
21,582,0.17,True
22,160,0.31,True
23,50,0.0,False
24,27,0.0,False
25,923,0.47,True
26,60,0.0,False
27,62,0.002,False
28,87,0.0,False
29,52,0.0,False
30,268,0.03,True
31,163,0.16,False
32,109,0.08,False
33,147,0.0275,False
34,58,0.0,False
35,44,0.15033333333333335,False
36,106,0.58,True
37,139,0.0,False
38,326,0.11,True
39,648,0.14,True
40,792,0.51,True
41,319,0.45,True
42,55,0.0,False
43,191,0.0,False
44,90,0.36128571428571427,False
45,273,0.03,True
46,137,0.01,False
47,79,0.11,False
48,82,0.0,False
49,147,0.0275,False
50,422,0.13,True
51,979,0.56,True
52,495,0.38,True
53,189,0.0,True
54,167,0.24,True
55,86,0.2,False
56,182,0.0,True
57,361,0.22,True
58,126,0.0,True
59,106,0.58,False
60,109,0.08,False
61,85,0.01,False
62,236,0.03,False
63,315,0.32,True
64,695,0.47,True
65,27,0.0,False
66,89,0.13699999999999998,False
67,301,0.47,True
68,153,0.04761111111111111,True
69,92,0.5007857142857142,False
70,466,0.47,True
71,93,0.4168333333333333,False
72,244,0.04,False
73,192,0.0,True
74,252,0.22,False
75,109,0.08,False
76,601,0.16,True
77,565,0.56,True
78,69,0.7,False
79,77,0.04,False
80,94,0.4618333333333332,True
81,337,0.11,False
82,214,0.0,False
83,79,0.11,False
84,25,0.0,False
85,84,0.0,False
86,34,0.0,False
87,33,0.0,False
88,104,0.89,False
89,172,0.03,False
90,70,0.21,False
91,140,0.02,False
92,156,0.26,False
93,248,0.03,False
94,277,0.4,True
95,189,0.81,False
96,194,0.32,False
97,346,0.37,False
98,304,0.25,False
99,356,0.14,True
100,84,0.23,False
101,53,0.03,False
102,132,0.0,False
103,4088,0.21,False
104,691,0.38,True
105,47,0.1,False
106,101,0.30166666666666664,False
107,510,0.6,True
108,328,0.31,True
109,273,0.03,True
110,136,0.02,False
111,56,0.0,False
112,74,0.0,False
113,359,0.22,True
114,174,0.01,False
115,148,0.29927777777777775,False
116,92,0.5007857142857142,False
117,45,0.48966666666666664,False
118,168,0.15,False
119,77,0.04,False
120,666,0.49,False
121,88,0.023333333333333338,False
122,262,0.22,False
123,54,0.0,False
124,48,0.0,True
125,140,0.02,True
126,152,0.04761111111111111,False
127,39,0.0,False
128,131,0.0,False
129,47,0.0,False
130,129,0.0,False
131,43,0.0,False
132,243,0.04,True
133,62,0.002,False
134,45,0.48966666666666664,False
135,97,0.14400000000000002,False
136,476,0.67,False
137,77,0.31835714285714284,False
138,69,0.06,False
139,104,0.0,False
140,115,0.01,False
141,421,0.49,False
142,61,0.11,False
143,2009,0.51,False
144,179,0.34,False
145,106,0.02,False
146,33,0.0,False
147,657,0.52,False
148,295,0.33,False
149,872,0.35,False
150,444,0.52,False
151,168,0.12,False
152,752,0.73,False
153,135,0.04,False
154,1126,0.49,False
