ID,Size,Predicted,Actual
0,212,0.57,False
1,274,1.0,False
2,461,1.0,True
3,138,0.018571428571428572,False
4,358,0.0,False
5,1272,0.7,True
6,51,0.0,False
7,45,0.3221472667425454,False
8,157,0.0,False
9,31,0.0,False
10,1406,0.57,True
11,55,0.0,False
12,204,0.0,False
13,55,0.0,False
14,103,0.0,False
15,34,0.0,False
16,83,0.5187424722272985,False
17,285,0.45,False
18,83,0.5187424722272985,False
19,129,0.0,False
20,867,0.0,True
21,380,0.99,False
22,40,0.0,False
23,387,0.98,True
24,390,0.98,False
25,51,0.0,False
26,637,0.0,True
27,32,0.0,False
28,68,0.7497927072927072,True
29,547,0.04,True
30,566,0.14,False
31,314,0.22,True
32,907,0.89,True
33,275,0.89,False
34,31,0.0,False
35,50,0.0,False
36,27,0.0,False
37,175,0.0,False
38,50,0.0,False
39,62,0.0,False
40,87,0.0,False
41,52,0.0,False
42,373,0.0,False
43,224,0.0,False
44,118,0.0,True
45,83,0.28,False
46,147,0.0,False
47,58,0.05980739822838728,False
48,44,0.0,False
49,106,0.22213003426741815,False
50,238,1.0,False
51,43,0.0,False
52,185,0.0,True
53,189,0.3303571428571429,False
54,151,0.0,False
55,364,0.14,False
56,910,0.9,False
57,889,0.8,False
58,43,0.24,False
59,325,0.63,False
60,27,0.0,False
61,55,0.0,False
62,93,0.32,False
63,191,0.0,False
64,90,0.0,False
65,89,0.35,False
66,272,0.59,False
67,152,0.92,False
68,90,0.0,True
69,82,0.15951064453187888,False
70,148,0.26,False
71,421,0.27,True
72,1190,0.96,True
73,528,0.53,True
74,205,0.825,True
75,190,0.0,False
76,86,0.0,False
77,212,0.5272727272727272,True
78,404,0.7,False
79,572,0.38,False
80,132,0.17,False
81,168,0.5,False
82,109,0.0,True
83,85,0.0,False
84,107,0.0,False
85,237,0.1,False
86,511,0.3666666666666667,True
87,47,0.0,False
88,1328,0.89,True
89,27,0.0,False
90,89,0.0,False
91,482,0.64,True
92,226,0.91,True
93,166,0.0,False
94,92,0.02,True
95,476,0.02,False
96,93,0.03,True
97,244,0.0,False
98,204,0.0,False
99,252,0.0,False
100,119,0.21,False
101,733,0.28,False
102,630,0.82,False
103,69,0.7497927072927072,False
104,77,0.0,False
105,97,0.009893939393939396,False
106,380,0.86,False
107,214,0.0,False
108,38,0.13028571428571428,False
109,79,0.0,False
110,25,0.0,False
111,84,0.44107790487868226,False
112,34,0.0,False
113,33,0.0,False
114,104,0.007857142857142856,False
115,193,0.92,False
116,70,0.0,False
117,140,0.0,False
118,22,0.2,False
119,156,0.0,False
120,142,0.0,False
121,100,0.0,True
122,152,0.0,False
123,31,0.0,False
124,60,0.0,False
125,60,0.0,False
126,876,0.0,False
127,61,0.0,False
128,185,0.0,False
129,264,0.01,False
130,43,0.0,False
131,248,0.0,False
132,361,0.74,True
133,199,0.08,True
134,194,0.96,True
135,346,0.0,True
136,91,0.52,False
137,335,0.8,True
138,370,0.36,False
139,82,0.06,False
140,53,0.0,False
141,148,0.88,False
142,4088,0.0,False
143,88,0.177,False
144,878,0.87,True
145,37,0.0,False
146,48,0.004545454545454545,False
147,47,0.0,False
148,101,0.4091254228730856,False
149,556,0.78,False
150,360,0.68,False
151,284,0.96,True
152,135,0.24,False
153,56,0.0,False
154,78,0.78,False
155,409,0.52,True
156,174,0.0,False
157,148,0.3951264617735206,False
158,88,0.31,False
159,45,0.3221472667425454,True
160,39,0.0,False
161,182,0.5079163059163059,False
162,77,0.0,False
163,666,0.08,False
164,104,0.26,True
165,263,0.01,True
166,54,0.0,False
167,76,0.0,False
168,119,0.49,False
169,200,0.67,False
170,152,0.0,False
171,39,0.0,False
172,677,0.08,False
173,131,0.10465282674841497,False
174,47,0.0,False
175,100,0.36,False
176,43,0.0,False
177,73,0.0,False
178,257,0.0,False
179,356,0.0,False
180,62,0.0,False
181,45,0.3221472667425454,False
182,97,0.009893939393939396,False
183,131,0.10465282674841497,True
184,68,0.7497927072927072,True
185,99,0.0021428571428571425,False
186,53,0.0,False
187,81,0.03532759993629559,False
188,78,0.99,True
189,69,0.7497927072927072,False
190,69,0.7497927072927072,False
191,77,0.0,False
192,72,0.0,False
193,72,0.0,False
194,63,0.4670135719254745,False
195,50,0.0,False
196,28,0.0,False
197,96,0.8989063297813298,False
198,40,0.0,False
199,76,0.0,False
200,49,0.0,False
201,63,0.4670135719254745,False
202,55,0.0,False
203,45,0.3221472667425454,False
204,476,0.02,False
205,77,0.0,False
206,69,0.7497927072927072,False
207,104,0.007857142857142856,False
208,115,0.0,False
209,421,0.0,False
210,61,0.0,False
211,2009,0.0,False
212,179,0.0,False
213,106,0.22213003426741815,False
214,33,0.0,False
215,657,0.0,False
216,295,0.0,False
217,872,0.0,False
218,444,0.0,False
219,168,0.0,False
220,752,0.0,False
221,135,0.10316666666666667,False
222,1126,0.0,False
223,163,0.0,False
224,184,0.0,False
225,51,0.0,False
226,25,0.0,False
227,180,0.0,False
228,64,0.0,False
229,101,0.4091254228730856,False
230,512,0.0,False
231,187,0.04671428571428571,False
232,56,0.0,False
233,39,0.0,False
234,261,0.0,False
235,73,0.0,False
236,65,0.0,False
237,329,0.0,False
238,64,0.0,False
239,164,0.0,False
240,624,0.0,False
241,74,0.0,False
242,117,0.0,False
243,84,0.44107790487868226,False
244,226,0.0,False
245,76,0.0,False
246,323,0.0,False
247,72,0.0,False
248,42,0.0,False
249,48,0.3136949440652227,False
250,89,0.0,False
251,380,0.02,False
252,141,0.0,False
253,148,0.3951264617735206,False
254,191,0.0,False
255,46,0.0,False
256,165,0.0,False
257,171,0.0,False
258,56,0.0,False
259,179,0.0,False
260,74,0.0,False
261,36,0.0,False
262,37,0.0,False
263,34,0.0,False
264,34,0.0,False
265,38,0.44828331757681594,False
266,39,0.0,False
267,156,0.0,False
268,84,0.44107790487868226,False
269,117,0.0,False
270,94,0.48504437550180596,False
271,71,0.0,False
272,183,0.0,False
273,85,0.0,False
274,183,0.0,False
275,70,0.0,False
276,54,0.0,False
277,160,0.0,False
278,128,0.0,False
279,151,0.0,False
280,422,0.0,False
281,221,0.0,False
282,50,0.0,False
283,42,0.0,False
284,624,0.0,False
285,377,0.0,False
286,382,0.98,False
287,72,0.0,False
288,92,0.4453177415306946,False
289,282,0.0,False
290,371,0.0,False
291,47,0.0,False
292,108,0.0,False
293,111,0.0,False
294,319,0.0,False
295,129,0.0,False
296,49,0.0,False
297,358,0.0,False
298,277,0.03,False
299,49,0.0,False
300,89,0.0,False
301,41,0.0,False
302,66,0.0,False
303,63,0.4670135719254745,False
304,24,0.0,False
305,50,0.0,False
306,72,0.0,False
307,47,0.0,False
308,47,0.0,False
309,183,0.0,False
310,49,0.0,False
311,50,0.0,False
312,98,0.223873737297785,False
313,143,0.0,False
314,43,0.0,False
315,42,0.0,False
316,56,0.0,False
317,44,0.0,False
318,26,0.0,False
319,254,0.0,False
320,16883,0.0,False
321,74,0.0,False
322,153,0.6493292818292817,False
323,68,0.7497927072927072,False
324,100,0.008881578947368421,False
325,550,0.04,False
326,437,0.0,False
327,1038,0.0,False
328,104,0.007857142857142856,False
329,332,0.0,False
330,123,0.0,False
331,106,0.22213003426741815,False
332,105,0.12,False
333,94,0.48504437550180596,False
334,101,0.4091254228730856,False
335,38,0.44828331757681594,False
336,666,0.79,False
337,32,0.0,False
338,111,0.0,False
339,35,0.0,False
340,90,0.0,False
341,27,0.0,False
342,28,0.0,False
343,92,0.4453177415306946,False
344,979,0.0,False
345,67,0.007142857142857144,False
346,29,0.0,False
347,105,0.7990497310025343,False
348,72,0.0,False
349,37,0.0,False
350,47,0.0,False
351,31,0.0,False
352,90,0.0,False
353,223,0.0,False
354,214,0.0,False
355,107,0.0,False
356,37,0.0,False
357,27,0.0,False
358,48,0.3136949440652227,False
359,167,0.0,False
360,213,0.0,False
361,867,0.0,False
362,159,0.0,False
363,100,0.008881578947368421,False
364,96,0.8989063297813298,False
365,842,0.1,False
366,535,0.0,False
367,83,0.5187424722272985,False
368,63,0.4670135719254745,False
369,76,0.0,False
370,202,0.01,False
371,155,0.0,False
372,1263,0.0,False
373,74,0.0,False
374,101,0.4091254228730856,False
375,27,0.0,False
376,22,0.0,False
377,491,0.0,False
378,62,0.0,False
379,59,0.0,False
380,99,0.0021428571428571425,False
381,27,0.0,False
382,77,0.0,False
383,863,0.0,False
384,64,0.0,False
385,45,0.3221472667425454,False
