ID,Size,Predicted,Actual
0,215,1.0,False
1,273,1.0,True
2,460,1.0,True
3,138,1.0,False
4,358,1.0,False
5,1248,1.0,True
6,51,0.0,False
7,157,1.0,False
8,31,0.0,False
9,981,1.0,True
10,180,1.0,False
11,262,1.0,False
12,553,1.0,True
13,40,0.0,False
14,369,1.0,False
15,390,1.0,False
16,51,0.0,False
17,577,1.0,True
18,32,0.0,False
19,66,0.0,False
20,188,1.0,True
21,582,1.0,True
22,160,1.0,True
23,50,0.0,False
24,27,0.0,False
25,923,1.0,True
26,60,0.0,False
27,62,1.0,False
28,87,0.0,False
29,52,0.0,False
30,268,1.0,True
31,163,1.0,False
32,109,1.0,False
33,147,1.0,False
34,58,0.0,False
35,44,1.0,False
36,106,1.0,True
37,139,0.0,False
38,326,1.0,True
39,648,1.0,True
40,792,1.0,True
41,319,1.0,True
42,55,0.0,False
43,191,1.0,False
44,90,1.0,False
45,273,1.0,True
46,137,0.0,False
47,79,1.0,False
48,82,0.0,False
49,147,1.0,False
50,422,1.0,True
51,979,1.0,True
52,495,1.0,True
53,189,1.0,True
54,167,1.0,True
55,86,1.0,False
56,182,1.0,True
57,361,1.0,True
58,126,0.0,True
59,106,1.0,False
60,109,1.0,False
61,85,0.0,False
62,236,1.0,False
63,315,1.0,True
64,695,1.0,True
65,27,0.0,False
66,89,1.0,False
67,301,1.0,True
68,153,1.0,True
69,92,1.0,False
70,466,1.0,True
71,93,1.0,False
72,244,1.0,False
73,192,1.0,True
74,252,1.0,False
75,109,1.0,False
76,601,1.0,True
77,565,1.0,True
78,69,1.0,False
79,77,0.0,False
80,94,1.0,True
81,337,1.0,False
82,214,1.0,False
83,79,1.0,False
84,25,0.0,False
85,84,0.0,False
86,34,0.0,False
87,33,0.0,False
88,104,1.0,False
89,172,1.0,False
90,70,1.0,False
91,140,0.0,False
92,156,1.0,False
93,248,1.0,False
94,277,1.0,True
95,189,1.0,False
96,194,1.0,False
97,346,1.0,False
98,304,1.0,False
99,356,1.0,True
100,84,1.0,False
101,53,0.0,False
102,132,0.0,False
103,4088,1.0,False
104,691,1.0,True
105,47,1.0,False
106,101,1.0,False
107,510,1.0,True
108,328,1.0,True
109,273,1.0,True
110,136,0.0,False
111,56,0.0,False
112,74,0.0,False
113,359,1.0,True
114,174,1.0,False
115,148,1.0,False
116,92,1.0,False
117,45,1.0,False
118,168,1.0,False
119,77,0.0,False
120,666,1.0,False
121,88,0.0,False
122,262,1.0,False
123,54,0.0,False
124,48,0.0,True
125,140,0.0,True
126,152,1.0,False
127,39,0.0,False
128,131,0.0,False
129,47,0.0,False
130,129,0.0,False
131,43,1.0,False
132,243,1.0,True
133,62,1.0,False
134,45,1.0,False
135,97,1.0,False
136,476,1.0,False
137,77,1.0,False
138,69,1.0,False
139,104,0.0,False
140,115,0.0,False
141,421,1.0,False
142,61,1.0,False
143,2009,1.0,False
144,179,1.0,False
145,106,0.0,False
146,33,0.0,False
147,657,1.0,False
148,295,1.0,False
149,872,1.0,False
150,444,1.0,False
151,168,1.0,False
152,752,1.0,False
153,135,1.0,False
154,1126,1.0,False
155,163,1.0,False
156,184,1.0,False
157,51,0.0,False
158,25,0.0,False
159,180,1.0,False
160,64,1.0,False
161,101,0.0,False
162,512,1.0,False
163,187,1.0,False
164,56,0.0,False
165,39,0.0,False
166,261,1.0,False
167,73,1.0,False
168,65,1.0,False
169,329,1.0,False
170,64,1.0,False
171,164,1.0,False
172,624,1.0,False
173,74,1.0,False
174,117,0.0,False
175,84,1.0,False
176,226,1.0,False
177,76,1.0,False
178,323,1.0,False
179,72,0.0,False
180,42,1.0,False
181,48,0.0,False
182,89,1.0,False
183,380,1.0,False
184,141,1.0,False
185,148,1.0,False
186,191,1.0,False
187,46,1.0,False
188,165,1.0,False
189,171,1.0,False
190,56,0.0,False
191,179,1.0,False
192,74,0.0,False
193,36,1.0,False
194,37,1.0,False
195,34,0.0,False
196,34,0.0,False
197,38,1.0,False
198,39,0.0,False
199,156,1.0,False
200,84,0.0,False
201,117,1.0,False
202,94,1.0,False
203,71,1.0,False
204,183,1.0,False
205,85,0.0,False
206,183,1.0,False
207,70,1.0,False
208,54,0.0,False
209,160,1.0,False
210,125,0.0,False
211,151,1.0,False
212,422,1.0,False
213,221,1.0,False
214,50,0.0,False
215,42,1.0,False
216,624,1.0,False
217,377,1.0,False
218,383,1.0,True
219,72,0.0,False
220,92,1.0,False
221,282,1.0,False
222,371,1.0,False
223,47,0.0,False
224,108,1.0,False
225,111,1.0,False
226,319,1.0,False
227,129,0.0,False
228,49,0.0,False
229,358,1.0,False
230,277,1.0,False
231,49,0.0,False
232,89,1.0,False
233,41,0.0,False
234,66,0.0,False
235,63,1.0,False
236,24,0.0,False
237,50,0.0,False
238,72,0.0,False
239,47,0.0,False
240,47,0.0,False
241,183,1.0,False
242,49,0.0,False
243,50,0.0,False
244,98,1.0,False
245,143,0.0,False
246,43,1.0,False
247,42,1.0,False
248,56,0.0,False
249,44,1.0,False
250,26,0.0,False
251,254,1.0,False
252,16883,1.0,False
253,74,0.0,False
254,153,1.0,False
255,68,1.0,False
256,100,1.0,False
257,550,1.0,False
258,437,1.0,False
259,1038,1.0,False
260,104,1.0,False
261,332,1.0,False
262,123,0.0,False
263,106,1.0,False
264,106,1.0,False
265,94,1.0,False
266,101,1.0,False
267,38,1.0,False
268,628,1.0,False
269,32,0.0,False
270,111,1.0,False
271,35,1.0,False
272,90,1.0,False
273,27,0.0,False
274,28,0.0,False
275,92,1.0,False
276,956,1.0,True
277,67,1.0,False
278,29,0.0,False
279,105,1.0,False
280,72,0.0,False
281,37,1.0,False
282,47,0.0,False
283,31,0.0,False
284,90,1.0,False
285,223,1.0,False
286,214,1.0,False
287,107,1.0,False
288,37,1.0,False
289,27,0.0,False
290,48,0.0,False
291,167,1.0,False
292,213,1.0,False
293,867,1.0,False
294,159,1.0,False
295,100,1.0,False
296,96,1.0,False
297,842,1.0,False
298,525,1.0,False
299,83,0.0,False
300,63,1.0,False
301,76,0.0,False
302,202,1.0,False
303,155,1.0,False
304,1263,1.0,False
305,74,0.0,False
306,101,1.0,False
307,27,0.0,False
308,22,0.0,False
309,491,1.0,False
310,62,1.0,False
311,59,0.0,False
312,99,1.0,False
313,27,0.0,False
314,77,0.0,False
315,846,1.0,True
316,64,1.0,False
317,45,1.0,False
318,63,1.0,False
319,54,0.0,False
320,64,1.0,False
321,132,0.0,False
322,177,1.0,False
323,70,1.0,False
324,36,1.0,False
325,58,0.0,False
326,62,1.0,False
327,132,0.0,False
328,74,0.0,False
329,86,1.0,False
330,74,0.0,False
331,48,0.0,False
332,74,0.0,False
333,86,0.0,False
334,355,1.0,False
335,53,0.0,False
336,804,1.0,False
337,75,0.0,False
338,125,0.0,False
339,200,1.0,False
340,134,0.0,False
341,57,0.0,False
342,123,0.0,False
343,266,1.0,False
344,162,1.0,False
345,130,0.0,False
346,108,1.0,False
347,354,1.0,False
348,88,1.0,False
349,28,0.0,False
350,58,1.0,False
351,308,1.0,False
352,343,1.0,False
353,103,1.0,False
354,35,1.0,False
355,98,1.0,False
356,117,1.0,False
