@relation BOOKKEEPER_TR1.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
137,235,137,24.5,94,0,58.75,139,137,34.75,0,4,2,False
244,340,252,19.2,64,0,68.0,262,252,52.4,0,5,2,False
1026,1246,545,15.714285714285714,81,0,89.0,1026,545,73.28571428571429,0,14,3,False
92,121,81,9.666666666666666,29,0,40.333333333333336,92,81,30.666666666666668,0,3,3,False
180,195,168,3.75,12,0,48.75,180,168,45.0,0,4,2,False
471,633,487,18.0,104,0,70.33333333333333,551,487,61.22222222222222,0,9,3,False
204,210,124,1.2,2,0,42.0,204,124,40.8,0,5,3,False
551,621,536,10.0,26,0,88.71428571428571,557,536,79.57142857142857,0,7,3,False
149,168,133,3.8,14,0,33.6,149,133,29.8,0,5,3,False
157,164,151,2.3333333333333335,6,0,54.666666666666664,157,151,52.333333333333336,0,3,3,False
147,147,147,0.0,0,0,147.0,147,147,147.0,0,1,1,False
137,269,126,26.4,113,0,53.8,141,126,28.2,0,5,3,False
271,280,249,2.25,8,0,70.0,271,249,67.75,0,4,3,False
548,1040,410,54.666666666666664,401,0,115.55555555555556,548,410,60.888888888888886,0,9,3,False
728,931,714,33.833333333333336,121,0,155.16666666666666,882,714,147.0,0,6,2,False
205,212,204,1.75,4,0,53.0,205,204,51.25,0,4,2,False
50,53,50,1.5,3,0,26.5,50,50,25.0,0,2,2,False
185,207,184,4.4,16,0,41.4,185,184,37.0,0,5,3,False
61,66,61,1.6666666666666667,4,0,22.0,61,61,20.333333333333332,0,3,3,False
157,210,167,6.625,26,0,26.25,181,167,22.625,0,8,3,False
81,92,80,2.75,7,0,23.0,81,80,20.25,0,4,3,False
84,133,83,16.333333333333332,46,0,44.333333333333336,84,83,28.0,0,3,2,False
762,1462,547,58.333333333333336,520,0,121.83333333333333,770,547,64.16666666666667,0,12,3,False
248,288,198,5.714285714285714,16,0,41.142857142857146,252,198,36.0,0,7,3,False
169,232,140,7.0,17,0,25.77777777777778,171,140,19.0,0,9,3,False
196,224,178,4.666666666666667,9,0,37.333333333333336,196,178,32.666666666666664,0,6,3,False
67,76,67,2.25,7,0,19.0,67,67,16.75,0,4,3,False
165,182,138,4.25,11,0,45.5,165,138,41.25,0,4,3,False
173,193,170,5.0,17,0,48.25,173,170,43.25,0,4,3,False
103,127,101,4.0,10,0,21.166666666666668,107,101,17.833333333333332,0,6,2,False
78,78,78,0.0,0,0,78.0,78,78,78.0,0,1,1,False
87,88,87,0.5,1,0,44.0,87,87,43.5,0,2,2,False
85,86,85,0.5,1,0,43.0,85,85,42.5,0,2,2,False
105,106,61,0.5,1,0,53.0,105,61,52.5,0,2,1,False
216,224,216,2.0,6,0,56.0,216,216,54.0,0,4,2,False
