ID,Size,Predicted,Actual
0,137,1.6943409013893594E-4,NO
1,252,1.1296882060551288E-4,YES
2,536,6.770480704129994E-4,YES
3,81,0.07696720029201648,NO
4,168,6.770480704129994E-4,NO
5,487,0.999322951929587,NO
6,124,6.770480704129994E-4,NO
7,536,0.999322951929587,NO
8,133,1.3555645926528398E-4,NO
9,151,6.778741865509762E-5,NO
10,147,0.16674197921373698,NO
11,114,6.770480704129994E-4,NO
12,227,6.770480704129994E-4,NO
13,401,6.770480704129994E-4,NO
14,204,3.3875338753387534E-4,NO
15,50,1.3555645926528398E-4,NO
16,162,0.33340862886830813,NO
17,61,6.770480704129994E-4,NO
18,163,3.3875338753387534E-4,NO
19,80,3.3875338753387534E-4,NO
20,78,0.1428917296145652,NO
21,448,3.3875338753387534E-4,YES
22,179,6.770480704129994E-4,NO
23,136,1.6943409013893594E-4,NO
24,167,0.33340862886830813,NO
25,67,1.3555645926528398E-4,NO
26,137,1.6943409013893594E-4,NO
27,145,2.25886604924328E-4,YES
28,87,0.05558903284121724,NO
29,85,0.5,NO
30,178,3.3875338753387534E-4,NO
31,75,1.6943409013893594E-4,NO
32,208,3.3875338753387534E-4,YES
33,57,1.1296882060551288E-4,NO
34,517,3.3875338753387534E-4,YES
35,570,0.999322951929587,NO
36,148,0.33340862886830813,NO
37,173,6.770480704129994E-4,NO
38,147,0.16674197921373698,NO
39,208,3.3875338753387534E-4,YES
40,54,6.770480704129994E-4,NO
41,38,3.228201568905963E-5,NO
42,98,9.683354313934346E-5,NO
43,38,3.228201568905963E-5,NO
44,94,0.33340862886830813,NO
45,126,1.3555645926528398E-4,NO
46,78,0.1428917296145652,NO
47,110,2.25886604924328E-4,NO
48,80,1.1296882060551288E-4,NO
49,76,6.778741865509762E-5,NO
50,41,6.162568558575214E-5,NO
51,63,9.683354313934346E-5,NO
52,106,6.162568558575214E-5,NO
53,72,3.389600705036947E-5,NO
54,86,0.16674197921373698,NO
55,55,6.770480704129994E-4,NO
56,63,9.683354313934346E-5,NO
57,409,0.999322951929587,NO
58,66,7.531821947729157E-5,NO
59,50,1.3555645926528398E-4,NO
60,39,4.236929073807305E-5,NO
61,37,7.531821947729157E-5,NO
62,80,1.1296882060551288E-4,NO
63,321,0.999322951929587,NO
64,118,7.531821947729157E-5,NO
65,605,3.3875338753387534E-4,NO
66,140,6.770480704129994E-4,NO
67,361,3.3875338753387534E-4,NO
68,362,3.3875338753387534E-4,NO
69,187,0.999322951929587,NO
70,146,2.25886604924328E-4,NO
71,186,6.770480704129994E-4,NO
72,138,1.6943409013893594E-4,NO
73,38,3.228201568905963E-5,NO
74,37,7.531821947729157E-5,NO
75,120,0.999322951929587,NO
76,139,1.3555645926528398E-4,NO
77,852,3.3875338753387534E-4,NO
78,33,2.71171733058546E-5,NO
79,43,9.683354313934346E-5,NO
80,99,6.778741865509762E-5,NO
81,288,0.999322951929587,NO
82,131,1.6943409013893594E-4,NO
83,146,2.25886604924328E-4,NO
84,208,3.3875338753387534E-4,NO
85,150,2.25886604924328E-4,NO
86,38,3.228201568905963E-5,NO
87,43,9.683354313934346E-5,NO
88,47,6.162568558575214E-5,NO
89,32,9.683354313934346E-5,NO
90,93,2.25886604924328E-4,NO
91,113,1.1296882060551288E-4,NO
92,282,3.3875338753387534E-4,NO
93,251,8.47314014573801E-5,NO
94,251,8.47314014573801E-5,NO
95,130,6.770480704129994E-4,NO
96,53,6.770480704129994E-4,NO
97,125,1.1296882060551288E-4,NO
98,50,0.999322951929587,NO
99,106,3.3875338753387534E-4,NO
100,34,3.3875338753387534E-4,NO
101,66,6.770480704129994E-4,NO
102,40,6.770480704129994E-4,NO
103,140,6.770480704129994E-4,NO
104,84,0.999322951929587,NO
105,39,6.770480704129994E-4,NO
106,34,3.3875338753387534E-4,NO
107,38,6.770480704129994E-4,NO
108,149,6.770480704129994E-4,NO
109,762,6.770480704129994E-4,NO
