ID,Size,Predicted,Actual
0,126,0.1351368222466777,NO
1,22,6.580159503066355E-6,NO
2,75,2.311967669444111E-6,NO
3,131,0.6438352793389049,NO
4,223,4.0734524953969995E-6,NO
5,40,1.2397534378362832E-6,NO
6,391,2.1384885163166675E-5,NO
7,46,1.9893688130629915E-6,NO
8,26,3.564274563198153E-6,NO
9,66,1.449880529844341E-6,NO
10,95,5.346392788785407E-6,NO
11,33,7.249413160004698E-7,NO
12,103,0.28571515860051894,NO
13,219,4.752354791799337E-6,NO
14,329,9.504619244953049E-6,NO
15,59,0.14706059950385192,NO
16,376,0.227274848162002,NO
17,33,7.249413160004698E-7,NO
18,36,1.2397534378362832E-6,NO
19,44,1.584128301719413E-6,NO
20,70,2.444079461911466E-6,NO
21,69,0.7032963210853249,NO
22,31,2.444079461911466E-6,NO
23,27,1.4023435966186693E-6,NO
24,33,7.249413160004698E-7,NO
25,27,1.4023435966186693E-6,NO
26,27,1.4023435966186693E-6,NO
27,40,1.2397534378362832E-6,NO
28,60,0.3508776405755689,NO
29,69,0.7032963210853249,NO
30,85,0.178572410569441,NO
31,85,0.178572410569441,NO
32,87,3.1682465656207234E-6,NO
33,53,0.2121219583638998,NO
34,125,0.19047745131186072,NO
35,151,3.1682465656207234E-6,NO
36,242,0.1739154690707846,NO
37,47,1.584128301719413E-6,NO
38,72,0.11236029572899965,NO
39,51,2.515963790249131E-6,NO
40,51,2.515963790249131E-6,NO
41,110,0.3333346911508318,NO
42,87,3.1682465656207234E-6,NO
43,80,2.0367345442399114E-6,NO
44,76,3.0550955939411347E-6,NO
45,41,0.08772053570892588,NO
46,63,2.0864107892474735E-6,NO
47,55,1.745773482399112E-6,NO
48,106,0.18072354968503676,NO
49,72,0.11236029572899965,NO
50,86,0.363636893860744,NO
51,55,1.745773482399112E-6,NO
52,135,5.346392788785407E-6,NO
53,63,2.0864107892474735E-6,NO
54,412,6.110153853674036E-6,NO
55,533,4.27712337790096E-6,NO
56,71,0.9558812059547981,NO
57,50,0.18840656970141775,NO
58,39,1.0828229627768778E-6,NO
59,106,0.18072354968503676,NO
60,37,0.25225263410995136,NO
61,92,0.13636646421600268,NO
62,79,0.4634146850345511,NO
63,321,7.776533532412592E-6,NO
64,631,1.0692671243129961E-5,NO
65,140,0.5384614372272495,NO
66,258,0.9999942971850906,NO
67,384,0.8076902830145225,NO
68,74,0.21052892234548334,NO
69,79,0.4634146850345511,NO
70,187,0.1250026732059224,NO
71,143,1.710805447204544E-5,NO
72,186,5.346392788785407E-6,NO
73,138,2.8514237158613297E-6,NO
74,36,1.2397534378362832E-6,NO
75,37,0.25225263410995136,NO
76,86,0.363636893860744,NO
77,120,0.46341478681054554,NO
78,139,1.9893688130629915E-6,NO
79,875,0.9999928715016895,YES
80,33,7.249413160004698E-7,NO
81,43,1.5553260585549157E-6,NO
82,99,3.0550955939411347E-6,NO
83,288,8.554173581290314E-6,NO
84,130,0.2812511695296753,NO
85,146,0.5238094268221646,NO
86,204,3.564274563198153E-6,NO
87,150,2.949748091512985E-6,NO
88,38,6.898635587853434E-7,NO
89,43,1.5553260585549157E-6,NO
90,47,1.584128301719413E-6,NO
91,32,2.376188688391368E-6,NO
92,93,1.6140174184759804E-6,NO
93,93,1.6140174184759804E-6,NO
94,282,0.3703711917676281,NO
95,251,2.515963790249131E-6,NO
96,251,2.515963790249131E-6,NO
97,130,0.2812511695296753,YES
98,53,0.2121219583638998,NO
99,125,0.19047745131186072,YES
100,50,0.18840656970141775,NO
101,106,0.18072354968503676,NO
102,34,8.146958088788808E-7,NO
103,66,1.449880529844341E-6,NO
104,40,1.2397534378362832E-6,NO
105,140,0.5384614372272495,NO
106,84,1.4748783962762272E-6,NO
107,39,1.0828229627768778E-6,NO
108,34,8.146958088788808E-7,NO
109,38,6.898635587853434E-7,NO
110,149,2.6732106864270402E-6,NO
111,761,0.48148159882394687,YES
112,46,1.9893688130629915E-6,NO
113,204,3.564274563198153E-6,NO
114,153,5.346392788785407E-6,NO
115,57,1.64505611286401E-6,NO
116,320,1.2220158373252519E-5,NO
117,1595,0.9999914458264187,YES
118,241,8.552856654122478E-5,YES
119,432,8.552856654122478E-5,NO
120,443,4.276794115131298E-5,YES
121,40,1.2397534378362832E-6,NO
122,135,5.346392788785407E-6,NO
123,112,0.31428662208665725,NO
124,86,0.363636893860744,NO
125,798,0.7333306720197089,YES
126,422,0.9999938898461463,NO
127,177,3.719241869737273E-6,NO
128,157,0.35714460290110106,NO
129,355,0.6428553970988989,NO
130,205,1.710805447204544E-5,NO
131,68,0.08247496322530803,NO
132,277,1.2220158373252519E-5,NO
133,479,4.276794115131298E-5,NO
134,101,3.564274563198153E-6,NO
135,29,2.6732106864270402E-6,NO
136,68,0.08247496322530803,NO
137,79,0.4634146850345511,YES
138,70,2.444079461911466E-6,NO
139,79,0.4634146850345511,NO
140,186,5.346392788785407E-6,NO
141,123,0.3666674270463242,NO
142,134,0.20000342168894567,NO
143,2942,8.552856654122478E-5,YES
144,663,0.9999893073287569,YES
145,47,1.584128301719413E-6,NO
146,81,0.12500100245668716,NO
147,69,8.552856654122478E-5,NO
148,118,0.9999786151148368,YES
149,57,0.9999786151148368,NO
150,31,4.276794115131298E-5,NO
151,60,0.9999893073287569,NO
152,46,8.552856654122478E-5,NO
153,26,8.552856654122478E-5,NO
154,105,8.552856654122478E-5,NO
155,159,0.9999828919455279,NO
156,80,8.552856654122478E-5,NO
