ID,Size,Predicted,Actual
0,126,0.041669933638884334,NO
1,22,5.345935485250564E-6,NO
2,75,2.375985439961224E-6,NO
3,131,0.6376808180681087,NO
4,223,5.031471856462171E-6,NO
5,40,1.1717216692346898E-6,NO
6,391,2.8510334996436207E-5,NO
7,46,1.781991196963487E-6,NO
8,26,3.8879644173496525E-6,NO
9,66,1.5839928023367061E-6,NO
10,95,5.702327119697549E-6,NO
11,33,6.842861219247326E-7,NO
12,103,0.18919062623535204,NO
13,219,6.109631222659401E-6,NO
14,329,2.138305606637301E-5,NO
15,59,0.031252505920655205,NO
16,376,0.07143380825533371,NO
17,33,6.842861219247326E-7,NO
18,36,1.0827303427599446E-6,NO
19,44,1.710711792962816E-6,NO
20,70,2.375985439961224E-6,NO
21,69,0.6444441698853441,NO
22,31,2.1932181308956445E-6,NO
23,27,1.2959948574924053E-6,NO
24,33,6.842861219247326E-7,NO
25,27,1.2959948574924053E-6,NO
26,27,1.2959948574924053E-6,NO
27,40,1.1717216692346898E-6,NO
28,60,0.2432444303683343,NO
29,69,0.6444441698853441,NO
30,85,0.11363786581027437,NO
31,85,0.11363786581027437,NO
32,87,2.8511798182087747E-6,NO
33,53,0.16071532217908105,NO
34,125,0.027029213836405292,NO
35,151,2.9494957836957774E-6,NO
36,242,0.07143380825533371,NO
37,47,1.2959948574924053E-6,NO
38,72,0.06329208491637531,NO
39,51,1.8594687869569423E-6,NO
40,51,1.8594687869569423E-6,NO
41,110,0.03703997034774868,NO
42,87,2.8511798182087747E-6,NO
43,80,2.0365603310632474E-6,NO
44,76,2.759206783233956E-6,NO
45,41,0.019609454534476715,NO
46,63,1.5551930227820226E-6,NO
47,55,2.1383879121208105E-6,NO
48,106,0.06756856725416581,NO
49,72,0.06329208491637531,NO
50,86,0.21428687803447488,NO
51,55,2.1383879121208105E-6,NO
52,135,4.276757533508395E-6,NO
53,63,1.5551930227820226E-6,NO
54,412,5.702327119697549E-6,NO
55,533,7.127888576845767E-6,NO
56,71,0.9420278895870858,NO
57,50,0.04285826005777323,NO
58,39,1.2766517000532364E-6,NO
59,106,0.06756856725416581,NO
60,37,0.19148992316343874,NO
61,92,0.055559779509598936,NO
62,79,0.4871795059249961,NO
63,321,5.345935485250564E-6,NO
64,631,7.775868370100232E-6,NO
65,140,0.41379335771590375,NO
66,258,0.9999144787479689,NO
67,384,0.6399990420046736,NO
68,74,0.04348165640863534,NO
69,79,0.4871795059249961,NO
70,187,0.055559779509598936,NO
71,143,6.579596670724085E-6,NO
72,186,4.073104071882141E-6,NO
73,138,3.5639696920017392E-6,NO
74,36,1.0827303427599446E-6,NO
75,37,0.19148992316343874,NO
76,86,0.21428687803447488,NO
77,120,0.3653850582464544,NO
78,139,2.5919829965915425E-6,NO
79,875,0.9999144787479689,YES
80,33,6.842861219247326E-7,NO
81,43,1.710711792962816E-6,NO
82,99,2.9494957836957774E-6,NO
83,288,5.345935485250564E-6,NO
84,130,0.04545807996765214,NO
85,146,0.2500013364910161,NO
86,204,2.6729820322147793E-6,NO
87,150,4.073104071882141E-6,NO
88,38,6.5796745956132E-7,NO
89,43,1.710711792962816E-6,NO
90,47,1.2959948574924053E-6,NO
91,32,3.4214118798263293E-6,NO
92,93,1.644915402000875E-6,NO
93,93,1.644915402000875E-6,NO
94,282,0.2000025660545201,NO
95,251,2.0862323270044E-6,NO
96,251,2.0862323270044E-6,NO
97,130,0.04545807996765214,YES
98,53,0.16071532217908105,NO
99,125,0.027029213836405292,YES
100,50,0.04285826005777323,NO
101,106,0.06756856725416581,NO
102,34,8.385856749440663E-7,NO
103,66,1.5839928023367061E-6,NO
104,40,1.1717216692346898E-6,NO
105,140,0.41379335771590375,NO
106,84,1.8199057652794738E-6,NO
107,39,1.2766517000532364E-6,NO
108,34,8.385856749440663E-7,NO
109,38,6.5796745956132E-7,NO
110,149,2.9494957836957774E-6,NO
111,761,0.28571690412766687,YES
112,46,1.781991196963487E-6,NO
113,204,2.6729820322147793E-6,NO
114,153,4.276757533508395E-6,NO
115,57,1.357708730745993E-6,NO
116,320,2.138305606637301E-5,NO
117,1595,0.9999714896650035,YES
118,241,8.552125203112973E-5,YES
119,432,8.552125203112973E-5,NO
120,443,4.276428327061238E-5,YES
121,40,1.1717216692346898E-6,NO
122,135,4.276757533508395E-6,NO
123,112,0.12000260027302866,NO
124,86,0.21428687803447488,NO
125,798,0.20001026395470176,YES
126,422,0.9999857444260706,NO
127,177,3.7189237434686404E-6,NO
128,157,0.22222486219349932,NO
129,355,0.20001026395470176,NO
130,205,1.710659116957764E-5,NO
131,68,0.013158990588823185,NO
132,277,6.579596670724085E-6,NO
133,479,4.276428327061238E-5,NO
134,101,2.759206783233956E-6,NO
135,29,2.759206783233956E-6,NO
136,68,0.013158990588823185,NO
137,79,0.4871795059249961,YES
138,70,2.375985439961224E-6,NO
139,79,0.4871795059249961,NO
140,186,4.073104071882141E-6,NO
141,123,0.12000260027302866,NO
142,134,0.06667160868350375,NO
143,2942,4.276428327061238E-5,YES
144,663,0.9999144787479689,YES
145,47,1.2959948574924053E-6,NO
146,81,0.018869477506556386,NO
147,69,8.552125203112973E-5,NO
148,118,0.9999144787479689,YES
149,57,0.9999144787479689,NO
150,31,8.552125203112973E-5,NO
151,60,0.9999144787479689,NO
152,46,8.552125203112973E-5,NO
153,26,8.552125203112973E-5,NO
154,105,8.552125203112973E-5,NO
155,159,0.9999144787479689,NO
156,80,8.552125203112973E-5,NO
157,96,8.552125203112973E-5,YES
158,104,8.552125203112973E-5,NO
159,96,8.552125203112973E-5,NO
160,84,8.552125203112973E-5,NO
161,80,8.552125203112973E-5,NO
162,70,8.552125203112973E-5,NO
163,130,8.552125203112973E-5,NO
164,25,8.552125203112973E-5,NO
165,161,0.9999144787479689,YES
166,87,8.552125203112973E-5,NO
167,83,8.552125203112973E-5,NO
168,79,8.552125203112973E-5,NO
169,211,0.9999144787479689,NO
170,93,8.552125203112973E-5,NO
171,49,5.702327119697549E-6,NO
172,69,8.552125203112973E-5,NO
173,90,0.8490554771030866,NO
174,144,5.345935485250564E-6,NO
175,72,0.06329208491637531,YES
176,346,2.8510334996436207E-5,YES
177,101,2.759206783233956E-6,NO
178,629,0.9999714896650035,NO
179,115,0.33333452132323066,NO
180,89,5.345935485250564E-6,NO
181,123,0.12000260027302866,NO
182,293,4.751948298802509E-6,NO
183,120,0.3653850582464544,NO
184,63,1.5551930227820226E-6,NO
185,52,9.503806274412903E-6,NO
186,67,5.031471856462171E-6,NO
187,202,4.276428327061238E-5,NO
188,226,1.710659116957764E-5,YES
189,29,2.759206783233956E-6,NO
190,223,5.031471856462171E-6,NO
191,120,0.3653850582464544,NO
192,36,1.0827303427599446E-6,NO
193,82,0.02985194670234482,NO
194,51,1.8594687869569423E-6,NO
195,173,0.8857133430762538,NO
196,98,2.5919829965915425E-6,NO
197,158,0.5,YES
198,184,0.25001069152803324,YES
199,1415,0.9999144787479689,YES
200,61,0.03846457521844405,NO
201,47,1.2959948574924053E-6,NO
202,192,0.3000011404719273,YES
