ID,Size,Predicted,Actual
0,126,1.6619025460347004E-5,NO
1,22,4.569966182250251E-5,NO
2,75,1.828086724434207E-5,NO
3,131,1.6619025460347004E-5,NO
4,223,6.093102607847916E-5,NO
5,40,7.312507312507313E-6,NO
6,381,6.093102607847916E-5,NO
7,46,1.523414886810274E-5,NO
8,26,1.828086724434207E-5,NO
9,66,1.3057898722937505E-5,NO
10,95,6.093102607847916E-5,NO
11,33,3.264538622756446E-6,NO
12,103,1.3057898722937505E-5,NO
13,219,9.139097057210747E-5,NO
14,328,1.8274853801169592E-4,NO
15,59,0.2000219362386663,NO
16,376,0.5,NO
17,33,3.264538622756446E-6,NO
18,36,7.031260986345291E-6,NO
19,44,1.3057898722937505E-5,NO
20,70,1.4062324220947238E-5,NO
21,69,0.9036126798410614,NO
22,31,1.2187393360308097E-5,NO
23,27,1.2187393360308097E-5,NO
24,33,3.264538622756446E-6,NO
25,27,1.2187393360308097E-5,NO
26,27,1.2187393360308097E-5,NO
27,40,7.312507312507313E-6,NO
28,60,1.828086724434207E-5,NO
29,69,0.9036126798410614,NO
30,85,0.2666723541169015,NO
31,85,0.2666723541169015,NO
32,86,0.08334602845739009,NO
33,50,7.031260986345291E-6,NO
34,125,0.07693497581280234,NO
35,151,1.0753613214039917E-5,NO
36,242,0.5,NO
37,47,7.6171904754650295E-6,NO
38,72,0.10811198071070005,NO
39,51,2.6115115428810197E-5,NO
40,51,2.6115115428810197E-5,NO
41,106,6.529034616941539E-6,NO
42,87,2.0311992200194993E-5,NO
43,80,1.0156202392801283E-5,NO
44,76,9.621675711041834E-6,NO
45,41,7.948367405334945E-6,NO
46,63,9.621675711041834E-6,NO
47,55,1.1425698681474372E-5,NO
48,106,6.529034616941539E-6,NO
49,72,0.10811198071070005,NO
50,86,0.08334602845739009,NO
51,55,1.1425698681474372E-5,NO
52,135,1.8274853801169592E-4,NO
53,63,9.621675711041834E-6,NO
54,412,6.093102607847916E-5,NO
55,533,0.9998172514619884,NO
56,67,2.285087518851972E-5,NO
57,50,7.031260986345291E-6,NO
58,39,6.093770947337631E-6,NO
59,88,1.0753613214039917E-5,NO
60,37,5.712914614778168E-6,NO
61,74,0.1428757965110206,NO
62,79,1.3057898722937505E-5,NO
63,321,3.6560397777127814E-5,NO
64,631,0.9998172514619884,NO
65,140,1.6619025460347004E-5,NO
66,318,0.9998172514619884,NO
67,356,1.8274853801169592E-4,NO
68,187,0.1428757965110206,NO
69,142,3.6560397777127814E-5,NO
70,186,3.046736944732192E-5,NO
71,138,1.4062324220947238E-5,NO
72,36,7.031260986345291E-6,NO
73,37,5.712914614778168E-6,NO
74,120,0.08334602845739009,NO
75,139,2.6115115428810197E-5,NO
76,852,3.6560397777127814E-5,NO
77,33,3.264538622756446E-6,NO
78,43,1.0156202392801283E-5,NO
79,99,1.0753613214039917E-5,NO
80,288,3.6560397777127814E-5,NO
81,131,1.6619025460347004E-5,YES
82,146,0.4782612151464089,NO
83,204,2.285087518851972E-5,NO
84,150,2.0311992200194993E-5,NO
85,38,3.323893475861886E-6,NO
86,43,1.0156202392801283E-5,NO
87,47,7.6171904754650295E-6,NO
88,32,1.4062324220947238E-5,NO
89,93,1.828086724434207E-5,NO
90,93,1.828086724434207E-5,NO
91,282,2.6115115428810197E-5,NO
92,251,1.0753613214039917E-5,NO
93,251,1.0753613214039917E-5,NO
94,130,3.046736944732192E-5,NO
95,53,7.6171904754650295E-6,NO
96,125,0.07693497581280234,NO
97,50,7.031260986345291E-6,NO
98,106,6.529034616941539E-6,NO
99,34,4.687529297058107E-6,NO
100,66,1.3057898722937505E-5,NO
101,40,7.312507312507313E-6,NO
102,140,1.6619025460347004E-5,NO
103,84,1.4062324220947238E-5,NO
104,39,6.093770947337631E-6,NO
105,34,4.687529297058107E-6,NO
106,38,3.323893475861886E-6,NO
107,149,2.0311992200194993E-5,NO
108,761,1.8274853801169592E-4,NO
109,46,1.523414886810274E-5,NO
110,204,2.285087518851972E-5,NO
111,153,3.046736944732192E-5,NO
112,57,7.031260986345291E-6,NO
113,57,7.031260986345291E-6,NO
114,1307,1.8274853801169592E-4,YES
115,170,0.5555532986675333,YES
116,339,1.8274853801169592E-4,YES
117,40,7.312507312507313E-6,NO
118,90,1.8274853801169592E-4,YES
119,100,1.828086724434207E-5,NO
120,84,1.4062324220947238E-5,NO
121,699,1.8274853801169592E-4,YES
122,389,1.8274853801169592E-4,YES
123,165,6.093102607847916E-5,NO
124,159,0.3333536436753595,NO
125,305,0.5,YES
