ID,Size,Predicted,Actual
0,126,0.5,NO
1,22,0.0015527950310559007,NO
2,75,0.0015527950310559007,NO
3,131,5.186721991701245E-4,NO
4,223,0.9992223950233282,NO
5,40,5.186721991701245E-4,NO
6,381,0.0015527950310559007,NO
7,46,3.8910505836575873E-4,NO
8,26,0.0015527950310559007,NO
9,66,0.0015527950310559007,NO
10,95,0.5,NO
11,33,2.594706798131811E-4,NO
12,103,0.0015527950310559007,NO
13,219,0.9992223950233282,NO
14,328,0.9984472049689441,NO
15,59,0.9984472049689441,NO
16,376,0.9984472049689441,NO
17,33,2.594706798131811E-4,NO
18,36,7.776049766718507E-4,NO
19,44,7.776049766718507E-4,NO
20,70,0.9998269896193772,NO
21,69,0.9998269896193772,NO
22,31,5.186721991701245E-4,NO
23,27,0.0015527950310559007,NO
24,33,2.594706798131811E-4,NO
25,27,0.0015527950310559007,NO
26,27,0.0015527950310559007,NO
27,40,5.186721991701245E-4,NO
28,60,0.33350622406639,NO
29,69,0.9998269896193772,NO
30,85,0.9992223950233282,NO
31,85,0.9992223950233282,NO
32,86,0.33350622406639,NO
33,50,7.776049766718507E-4,NO
34,125,0.5,NO
35,151,3.8910505836575873E-4,NO
36,242,0.9984472049689441,NO
37,47,3.8910505836575873E-4,NO
38,72,0.3334198235599377,NO
39,51,7.776049766718507E-4,NO
40,51,7.776049766718507E-4,NO
41,106,3.1133250311332503E-4,NO
42,87,7.776049766718507E-4,NO
43,80,7.776049766718507E-4,NO
44,76,0.0015527950310559007,NO
45,41,7.776049766718507E-4,NO
46,63,0.0015527950310559007,NO
47,55,1.5571473061351602E-4,NO
48,106,3.1133250311332503E-4,NO
49,72,0.3334198235599377,NO
50,86,0.33350622406639,NO
51,55,1.5571473061351602E-4,NO
52,135,0.0015527950310559007,NO
53,63,0.0015527950310559007,NO
54,412,0.0015527950310559007,NO
55,533,0.9984472049689441,NO
56,67,0.9984472049689441,NO
57,50,7.776049766718507E-4,NO
58,39,0.0015527950310559007,NO
59,88,0.0015527950310559007,NO
60,37,3.1133250311332503E-4,NO
61,74,0.0015527950310559007,NO
62,79,0.9984472049689441,NO
63,321,0.9984472049689441,NO
64,631,0.9984472049689441,NO
65,140,0.0015527950310559007,NO
