ID,Size,Predicted,Actual
0,126,0.0015290519877675841,NO
1,22,7.65696784073507E-4,NO
2,75,0.5000000000000001,NO
3,131,0.0015290519877675841,NO
4,223,0.9992343032159265,NO
5,40,7.65696784073507E-4,NO
6,381,0.9984709480122326,NO
7,46,0.0015290519877675841,NO
8,26,7.65696784073507E-4,NO
9,66,3.065603923973023E-4,NO
10,95,0.5000000000000001,NO
11,33,1.9164430816404754E-4,NO
12,103,0.0015290519877675841,NO
13,219,0.9992343032159265,NO
14,328,0.0015290519877675841,NO
15,59,0.9984709480122326,NO
16,376,0.9984709480122326,NO
17,33,1.9164430816404754E-4,NO
18,36,5.107252298263534E-4,NO
19,44,3.065603923973023E-4,NO
20,70,0.0015290519877675841,NO
21,69,0.8998773382398038,NO
22,31,0.0015290519877675841,NO
23,27,7.65696784073507E-4,NO
24,33,1.9164430816404754E-4,NO
25,27,7.65696784073507E-4,NO
26,27,7.65696784073507E-4,NO
27,40,7.65696784073507E-4,NO
28,60,5.107252298263534E-4,NO
29,69,0.8998773382398038,NO
30,85,0.6664964249233912,NO
31,85,0.6664964249233912,NO
32,86,0.5000000000000001,NO
33,50,7.65696784073507E-4,NO
34,125,0.5000000000000001,NO
35,151,3.831417624521073E-4,NO
36,242,0.5000000000000001,NO
37,47,7.65696784073507E-4,NO
38,72,0.40006131207847945,NO
39,51,7.65696784073507E-4,NO
40,51,7.65696784073507E-4,NO
41,106,2.554931016862545E-4,NO
42,87,0.2501915708812261,NO
43,80,5.107252298263534E-4,NO
44,76,0.0015290519877675841,NO
45,41,0.0015290519877675841,NO
46,63,7.65696784073507E-4,NO
47,55,7.65696784073507E-4,NO
48,106,2.554931016862545E-4,NO
49,72,0.40006131207847945,NO
50,86,0.5000000000000001,NO
51,55,7.65696784073507E-4,NO
52,135,0.0015290519877675841,NO
53,63,7.65696784073507E-4,NO
54,412,0.0015290519877675841,NO
55,533,0.9984709480122326,NO
56,67,0.0015290519877675841,NO
57,50,7.65696784073507E-4,NO
58,39,0.0015290519877675841,NO
59,88,7.65696784073507E-4,NO
60,37,2.554931016862545E-4,NO
61,74,0.9984709480122326,NO
62,79,7.65696784073507E-4,NO
63,321,0.9984709480122326,NO
64,631,0.9984709480122326,NO
65,140,0.0015290519877675841,NO
66,318,0.9984709480122326,NO
67,356,0.0015290519877675841,NO
68,187,0.3335035750766088,NO
69,142,7.65696784073507E-4,NO
70,186,0.2501915708812261,NO
71,138,3.065603923973023E-4,NO
72,36,5.107252298263534E-4,NO
73,37,2.554931016862545E-4,NO
74,120,0.5000000000000001,NO
75,139,0.0015290519877675841,NO
76,852,3.831417624521073E-4,NO
77,33,1.9164430816404754E-4,NO
78,43,3.065603923973023E-4,NO
79,99,2.554931016862545E-4,NO
80,288,0.0015290519877675841,NO
81,131,0.0015290519877675841,YES
82,146,0.749808429118774,NO
83,204,0.0015290519877675841,NO
84,150,2.1901007446342534E-4,NO
85,38,5.107252298263534E-4,NO
86,43,3.065603923973023E-4,NO
87,47,7.65696784073507E-4,NO
