ID,Size,Predicted,Actual
0,137,0.0,NO
1,252,0.0,YES
2,536,1.0,YES
3,81,1.0,NO
4,168,0.0,NO
5,487,1.0,NO
6,124,0.0,NO
7,536,1.0,NO
8,133,0.0,NO
9,151,0.0,NO
10,147,1.0,NO
11,114,1.0,NO
12,227,1.0,NO
13,401,1.0,NO
14,204,0.0,NO
15,50,0.0,NO
16,162,1.0,NO
17,61,1.0,NO
18,163,0.0,NO
19,80,0.0,NO
20,78,1.0,NO
21,448,0.0,YES
22,179,0.0,NO
23,136,0.0,NO
24,167,1.0,NO
25,67,1.0,NO
26,137,0.0,NO
27,145,1.0,YES
28,87,1.0,NO
29,85,1.0,NO
30,178,0.0,NO
31,75,0.0,NO
32,208,1.0,YES
33,57,0.0,NO
34,517,0.0,YES
35,570,1.0,NO
36,148,1.0,NO
37,173,1.0,NO
38,147,1.0,NO
39,208,1.0,YES
40,54,0.0,NO
41,38,0.0,NO
42,98,0.0,NO
43,38,0.0,NO
44,94,1.0,NO
45,126,0.0,NO
46,78,1.0,NO
47,110,0.0,NO
48,80,1.0,NO
49,76,0.0,NO
50,41,0.0,NO
51,63,0.0,NO
52,106,0.0,NO
53,72,0.0,NO
54,86,1.0,NO
55,55,1.0,NO
56,63,0.0,NO
57,409,1.0,NO
58,66,0.0,NO
59,50,0.0,NO
60,39,0.0,NO
61,37,0.0,NO
62,80,1.0,NO
63,321,1.0,NO
64,118,0.0,NO
65,605,1.0,NO
66,140,0.0,NO
67,361,0.0,NO
68,362,0.0,NO
69,187,1.0,NO
70,146,1.0,NO
71,186,1.0,NO
72,138,0.0,NO
73,38,0.0,NO
74,37,0.0,NO
75,120,1.0,NO
76,139,0.0,NO
77,852,0.0,NO
78,33,0.0,NO
79,43,0.0,NO
80,99,0.0,NO
81,288,1.0,NO
82,131,0.0,NO
83,146,1.0,NO
84,208,1.0,NO
85,150,0.0,NO
86,38,0.0,NO
87,43,0.0,NO
88,47,0.0,NO
89,32,0.0,NO
90,93,0.0,NO
91,113,0.0,NO
92,282,1.0,NO
93,251,0.0,NO
94,251,0.0,NO
95,130,0.0,NO
96,53,0.0,NO
97,125,0.0,NO
98,50,1.0,NO
99,106,0.0,NO
100,34,0.0,NO
101,66,1.0,NO
102,40,0.0,NO
103,140,0.0,NO
104,84,1.0,NO
105,39,0.0,NO
106,34,0.0,NO
107,38,0.0,NO
108,149,0.0,NO
109,762,1.0,NO
110,46,0.0,NO
111,204,0.0,NO
112,153,0.0,NO
113,57,0.0,NO
114,210,1.0,NO
115,525,0.0,NO
116,88,0.0,NO
117,833,0.0,NO
118,457,0.0,NO
119,99,0.0,NO
120,151,0.0,NO
121,57,0.0,NO
122,1320,0.0,YES
123,39,0.0,NO
124,89,0.0,NO
125,100,0.0,NO
126,84,1.0,NO
127,662,1.0,NO
128,68,1.0,NO
129,312,0.0,NO
130,101,0.0,NO
131,78,1.0,YES
132,79,1.0,NO
133,125,0.0,YES
134,113,0.0,NO
135,1635,1.0,YES
136,837,1.0,YES
137,283,1.0,NO
138,103,0.0,NO
139,29,0.0,NO
140,194,0.0,YES
141,72,0.0,NO
142,36,0.0,NO
143,72,0.0,NO
144,173,1.0,NO
145,98,0.0,NO
146,170,1.0,NO
147,1185,0.0,NO
148,70,0.0,NO
149,47,0.0,NO
150,381,0.0,NO
151,107,0.0,NO
152,1817,1.0,YES
153,45,0.0,NO
154,512,1.0,YES
155,132,0.0,NO
156,232,1.0,NO
157,37,0.0,NO
158,108,0.0,NO
159,111,1.0,NO
160,132,0.0,NO
161,74,0.0,NO
162,257,0.0,YES
163,183,0.0,YES
164,121,1.0,NO
165,166,1.0,NO
166,461,0.0,YES
167,702,1.0,YES
168,143,0.0,NO
169,106,0.0,NO
170,127,1.0,NO
171,92,0.0,NO
172,82,0.0,NO
173,138,0.0,NO
174,117,0.0,NO
175,76,0.0,NO
176,249,1.0,NO
177,604,1.0,YES
178,296,0.0,YES
179,66,0.0,NO
180,120,1.0,NO
181,325,0.0,NO
182,53,0.0,NO
183,968,1.0,YES
184,189,1.0,YES
185,27,0.0,NO
186,837,1.0,YES
187,169,1.0,YES
188,50,0.0,NO
189,41,0.0,NO
190,109,0.0,YES
191,162,1.0,NO
192,718,1.0,YES
193,53,0.0,NO
194,274,1.0,NO
195,42,0.0,NO
196,31,0.0,NO
197,36,0.0,NO
198,176,0.0,NO
199,375,1.0,YES
200,506,1.0,YES
201,92,0.0,NO
202,34,0.0,NO
203,142,0.0,NO
204,85,1.0,NO
205,77,0.0,NO
206,146,1.0,NO
207,37,0.0,NO
208,123,0.0,YES
209,116,0.0,NO
210,82,0.0,NO
211,44,0.0,NO
212,668,1.0,YES
213,34,0.0,NO
214,957,1.0,YES
215,344,1.0,YES
216,150,1.0,NO
217,68,1.0,NO
218,62,1.0,NO
219,45,0.0,NO
220,33,0.0,NO
221,79,1.0,NO
222,38,0.0,NO
223,33,0.0,NO
224,69,0.0,YES
225,272,0.0,NO
226,57,0.0,NO
227,33,0.0,NO
228,129,0.0,NO
229,583,1.0,NO
230,180,0.0,NO
231,33,0.0,NO
232,333,1.0,NO
233,40,0.0,NO
234,107,0.0,NO
235,146,1.0,YES
236,38,0.0,NO
237,192,0.0,NO
238,294,0.0,NO
239,109,0.0,NO
240,38,0.0,NO
241,312,0.0,NO
