ID,Size,Predicted,Actual
0,126,0.04000573916732168,NO
1,22,9.173806946406619E-6,NO
2,75,4.215034183927232E-6,NO
3,131,0.2187527414151063,NO
4,223,9.747158703238006E-6,NO
5,40,2.1965759773664814E-6,NO
6,391,7.79666302822392E-5,NO
7,46,0.020836447049496717,NO
8,26,7.08888038223243E-6,NO
9,66,2.8880866425992783E-6,NO
10,95,1.0396955771350148E-5,NO
11,33,1.2280094212882802E-6,NO
12,103,0.05882757671666439,NO
13,219,1.1139578923916675E-5,NO
14,329,3.898635477582846E-5,NO
15,59,0.030307469824856572,NO
16,376,0.07693322776458168,NO
17,33,1.2280094212882802E-6,NO
18,36,1.9741387819563716E-6,NO
19,44,3.182787485279608E-6,NO
20,70,3.8038144651456483E-6,NO
21,69,0.21951432896909023,NO
22,31,3.8038144651456483E-6,NO
23,27,2.2934832965611514E-6,NO
24,33,1.2280094212882802E-6,NO
25,27,2.2934832965611514E-6,NO
26,27,2.2934832965611514E-6,NO
27,40,2.1965759773664814E-6,NO
28,60,0.15625335061846327,NO
29,69,0.21951432896909023,NO
30,85,0.045457767695743105,NO
31,85,0.045457767695743105,NO
32,87,4.8736268556334256E-6,NO
33,53,0.06000274483627677,NO
34,125,0.027781869222038354,NO
35,151,5.377789728421619E-6,NO
36,242,0.07693322776458168,NO
37,47,2.3629824619441676E-6,NO
38,72,0.025642922553375275,NO
39,51,3.5444653174068693E-6,NO
40,51,3.5444653174068693E-6,NO
41,110,0.07143334558700666,NO
42,87,4.8736268556334256E-6,NO
43,80,0.022730656080530254,NO
44,76,4.8736268556334256E-6,NO
45,41,0.03703971119133575,NO
46,63,2.688909324599756E-6,NO
47,55,3.898909085237951E-6,NO
48,106,0.028171086909725127,NO
49,72,0.025642922553375275,NO
50,86,0.08333694343121033,NO
51,55,3.898909085237951E-6,NO
52,135,8.664159836420662E-6,NO
53,63,2.688909324599756E-6,NO
54,412,1.1139578923916675E-5,NO
55,533,1.2996127154108075E-5,NO
56,71,0.7692243096043571,NO
57,50,0.028171086909725127,NO
58,39,2.2934832965611514E-6,NO
59,106,0.028171086909725127,NO
60,37,0.04762072742800914,NO
61,92,0.05556325703096571,NO
62,79,0.16418066786776722,NO
63,321,9.747158703238006E-6,NO
64,631,1.5595271513677053E-5,NO
65,140,0.12500292418181394,NO
66,258,1.5590894917368256E-4,NO
67,384,0.3076969217111735,NO
68,74,0.035719457719257205,NO
69,79,0.16418066786776722,NO
70,187,0.14286244745792923,NO
71,143,1.1996449051080879E-5,NO
72,186,7.79775736498183E-6,NO
73,138,5.998296483798601E-6,NO
74,36,1.9741387819563716E-6,NO
75,37,0.04762072742800914,NO
76,86,0.08333694343121033,NO
77,120,0.10811141178354958,NO
78,139,5.0308390433356474E-6,NO
79,875,1.5590894917368256E-4,NO
80,33,1.2280094212882802E-6,NO
81,43,3.1191321326754046E-6,NO
82,99,5.377789728421619E-6,NO
83,288,9.747158703238006E-6,NO
84,130,0.045460989891256576,NO
85,146,0.13793492874428612,NO
86,204,5.0308390433356474E-6,NO
87,150,7.79775736498183E-6,NO
