ID,Size,Predicted,Actual
0,137,9.663703131039815E-5,NO
1,252,1.6909029421711196E-4,NO
2,362,0.9999033629686896,NO
3,81,1.352813852813853E-4,NO
4,165,0.9999323501555948,NO
5,81,1.352813852813853E-4,NO
6,107,1.352813852813853E-4,NO
7,163,0.9999323501555948,NO
8,616,0.9998647186147186,NO
9,371,3.380662609871535E-4,NO
10,138,9.663703131039815E-5,NO
11,58,0.8332957492389221,NO
12,844,6.764984440535788E-5,NO
13,1272,0.9998647186147186,NO
14,245,0.99991544055471,NO
15,65,1.6909029421711196E-4,NO
16,299,0.9997745716862037,NO
17,472,3.380662609871535E-4,NO
18,441,2.2542831379621282E-4,NO
19,76,1.352813852813853E-4,NO
20,199,0.9999577167019027,NO
21,527,1.352813852813853E-4,NO
22,35,6.764984440535788E-5,NO
23,133,6.756756756756757E-4,NO
24,32,1.6909029421711196E-4,NO
25,164,0.9999323501555948,NO
26,148,2.2542831379621282E-4,NO
27,343,0.6249894291754757,NO
28,164,0.9999323501555948,YES
29,55,9.663703131039815E-5,NO
30,126,1.6909029421711196E-4,NO
31,78,0.7222055175524318,NO
32,110,0.6249894291754757,NO
33,80,1.352813852813853E-4,NO
34,76,1.352813852813853E-4,NO
35,41,2.2542831379621282E-4,NO
36,63,6.756756756756757E-4,NO
37,106,3.380662609871535E-4,NO
38,72,6.150061500615007E-5,NO
39,86,0.9998872604284104,NO
40,48,6.756756756756757E-4,NO
41,63,6.756756756756757E-4,NO
42,375,3.380662609871535E-4,NO
43,131,6.756756756756757E-4,NO
44,146,2.2542831379621282E-4,NO
45,208,6.150061500615007E-5,NO
46,150,4.5101930362619526E-5,NO
47,38,1.6909029421711196E-4,NO
48,43,1.6909029421711196E-4,NO
49,47,7.51653638003608E-5,NO
50,32,1.6909029421711196E-4,NO
51,93,3.380662609871535E-4,NO
52,113,3.380662609871535E-4,NO
53,282,6.756756756756757E-4,NO
54,251,3.380662609871535E-4,NO
55,251,3.380662609871535E-4,NO
56,91,2.2542831379621282E-4,NO
57,86,0.9998872604284104,NO
58,42,6.756756756756757E-4,NO
59,106,3.380662609871535E-4,NO
60,34,6.764984440535788E-5,NO
61,53,1.1273957158962797E-4,NO
62,40,8.45594452900389E-5,NO
63,98,1.1273957158962797E-4,NO
64,80,1.352813852813853E-4,NO
65,39,1.6909029421711196E-4,NO
66,34,6.764984440535788E-5,NO
67,38,1.6909029421711196E-4,NO
68,103,6.756756756756757E-4,NO
69,518,1.352813852813853E-4,NO
70,46,6.756756756756757E-4,NO
71,141,6.756756756756757E-4,NO
72,106,3.380662609871535E-4,NO
73,57,0.8332957492389221,NO
74,210,6.150061500615007E-5,NO
75,525,1.352813852813853E-4,NO
76,88,9.663703131039815E-5,NO
77,833,6.764984440535788E-5,NO
78,457,2.2542831379621282E-4,NO
79,99,7.51653638003608E-5,NO
