ID,Size,Predicted,Actual
0,126,2.0217540738344587E-5,NO
1,22,2.0217540738344587E-5,NO
2,75,1.1232168931820733E-5,NO
3,131,1.1232168931820733E-5,NO
4,223,2.021018593371059E-4,NO
5,40,6.52196598142544E-6,NO
6,381,1.0107135637760258E-4,NO
7,46,0.44444569246321464,NO
8,26,2.246383322850211E-5,NO
9,66,1.1232168931820733E-5,NO
10,95,6.73854447439353E-5,NO
11,33,3.6103950494263078E-6,NO
12,103,1.347854216087988E-5,NO
13,219,6.73854447439353E-5,NO
14,328,5.054078641463661E-5,NO
15,59,0.5333328840425389,NO
16,376,0.9999893589852727,NO
17,33,3.6103950494263078E-6,NO
18,36,6.126700159294204E-6,NO
19,44,1.684806415742831E-5,NO
20,70,9.62760426695421E-6,NO
21,69,0.8749984204474136,NO
22,31,1.347854216087988E-5,NO
23,27,1.2636154565442643E-5,NO
24,33,3.6103950494263078E-6,NO
25,27,1.2636154565442643E-5,NO
26,27,1.2636154565442643E-5,NO
27,40,6.52196598142544E-6,NO
28,60,5.054078641463661E-5,NO
29,69,0.8749984204474136,NO
30,85,0.4615388603185136,NO
31,85,0.4615388603185136,NO
32,86,0.540540097484208,NO
33,50,7.77617070249926E-6,NO
34,125,0.6956487341772152,NO
35,151,7.77617070249926E-6,NO
36,242,0.9999494592135855,NO
37,47,6.3181571199312576E-6,NO
38,72,0.33333473737416286,NO
39,51,1.837965005146302E-5,NO
40,51,1.837965005146302E-5,NO
41,106,4.9312582598575844E-6,NO
42,87,1.4441267365624006E-5,NO
43,80,0.439024991616861,NO
44,76,8.424174009738345E-6,NO
45,41,6.739361917213678E-6,NO
46,63,8.087212499595639E-6,NO
47,55,1.4441267365624006E-5,NO
48,106,4.9312582598575844E-6,NO
49,72,0.33333473737416286,NO
50,86,0.540540097484208,NO
51,55,1.4441267365624006E-5,NO
52,135,2.021018593371059E-4,NO
53,63,8.087212499595639E-6,NO
54,412,6.73854447439353E-5,NO
55,533,0.8420979824636077,NO
56,67,2.246383322850211E-5,NO
57,50,7.77617070249926E-6,NO
58,39,5.616147547428366E-6,NO
59,88,8.790436005625878E-6,NO
60,37,7.77617070249926E-6,NO
61,74,0.42857246010542277,NO
62,79,1.4441267365624006E-5,NO
63,321,2.021018593371059E-4,NO
64,631,6.73854447439353E-5,NO
65,140,2.888170055452865E-5,NO
66,318,0.9999893589852727,NO
67,356,1.0107135637760258E-4,NO
