ID,Size,Predicted,Actual
0,137,7.654623392529088E-5,NO
1,269,7.654623392529088E-5,YES
2,343,7.654623392529088E-5,YES
3,154,7.654623392529088E-5,NO
4,37,7.654623392529088E-5,NO
5,130,7.654623392529088E-5,NO
6,701,7.654623392529088E-5,NO
7,250,7.654623392529088E-5,YES
8,112,7.654623392529088E-5,YES
9,29,7.654623392529088E-5,NO
10,63,7.654623392529088E-5,NO
11,349,7.654623392529088E-5,YES
12,213,7.654623392529088E-5,YES
13,65,7.654623392529088E-5,NO
14,104,7.654623392529088E-5,NO
15,265,7.654623392529088E-5,NO
16,496,7.654623392529088E-5,NO
17,38,7.654623392529088E-5,NO
18,342,7.654623392529088E-5,YES
19,70,7.654623392529088E-5,NO
20,179,7.654623392529088E-5,NO
21,532,7.654623392529088E-5,YES
22,35,7.654623392529088E-5,NO
23,133,7.654623392529088E-5,NO
24,32,7.654623392529088E-5,NO
25,343,7.654623392529088E-5,NO
26,164,7.654623392529088E-5,YES
27,55,7.654623392529088E-5,NO
28,126,7.654623392529088E-5,NO
29,132,1.1242523721725054E-5,NO
30,149,1.1242523721725054E-5,NO
31,210,1.1242523721725054E-5,NO
32,151,1.1242523721725054E-5,NO
33,39,1.1242523721725054E-5,NO
34,45,1.1242523721725054E-5,NO
35,48,1.1242523721725054E-5,NO
36,33,1.1242523721725054E-5,NO
37,98,1.1242523721725054E-5,NO
38,117,1.1242523721725054E-5,NO
39,283,7.654623392529088E-5,NO
40,251,1.1242523721725054E-5,NO
41,252,1.1242523721725054E-5,NO
42,88,1.1242523721725054E-5,NO
43,83,1.1242523721725054E-5,NO
44,43,1.1242523721725054E-5,NO
45,107,1.1242523721725054E-5,NO
46,35,1.1242523721725054E-5,NO
47,55,1.1242523721725054E-5,NO
48,41,1.1242523721725054E-5,NO
49,99,1.1242523721725054E-5,NO
50,75,1.1242523721725054E-5,NO
51,40,1.1242523721725054E-5,NO
52,35,1.1242523721725054E-5,NO
53,39,1.1242523721725054E-5,NO
54,101,1.1242523721725054E-5,NO
55,508,1.1242523721725054E-5,NO
56,47,1.1242523721725054E-5,NO
57,142,1.1242523721725054E-5,NO
58,106,1.1242523721725054E-5,NO
59,62,1.1242523721725054E-5,NO
60,210,1.1242523721725054E-5,NO
61,525,1.1242523721725054E-5,NO
62,88,1.1242523721725054E-5,NO
63,833,1.1242523721725054E-5,NO
64,457,1.1242523721725054E-5,NO
65,99,1.1242523721725054E-5,NO
66,151,1.1242523721725054E-5,NO
67,52,1.1242523721725054E-5,NO
68,1069,4.0160642570281126E-4,YES
69,39,1.1242523721725054E-5,NO
70,89,1.1242523721725054E-5,NO
