ID,Size,Predicted,Actual
0,126,0.04000332848532211,NO
1,22,5.3204507485874205E-6,NO
2,75,2.4445454856578517E-6,NO
3,131,0.6376807984626396,NO
4,223,5.652975160827143E-6,NO
5,40,1.2739210525645304E-6,NO
6,391,4.522022248349462E-5,NO
7,46,0.02083513915845409,NO
8,26,4.111267339270004E-6,NO
9,66,1.6749689293263608E-6,NO
10,95,6.029835626680816E-6,NO
11,33,7.121928846233282E-7,NO
12,103,0.11111306523825555,NO
13,219,6.4605326063080635E-6,NO
14,329,2.2611133722244833E-5,NO
15,59,0.03030560504316843,NO
16,376,0.07692896402977806,NO
17,33,7.121928846233282E-7,NO
18,36,1.1449166844128752E-6,NO
19,44,1.8458834952173158E-6,NO
20,70,2.2060542954083184E-6,NO
21,69,0.6321836331993588,NO
22,31,2.2060542954083184E-6,NO
23,27,1.3301233024301352E-6,NO
24,33,7.121928846233282E-7,NO
25,27,1.3301233024301352E-6,NO
26,27,1.3301233024301352E-6,NO
27,40,1.2739210525645304E-6,NO
28,60,0.3250007914218912,NO
29,69,0.6321836331993588,NO
30,85,0.06666840863318607,NO
31,85,0.06666840863318607,NO
32,87,2.82650355856798E-6,NO
33,53,0.16071538170811675,NO
34,125,0.02778015064645318,NO
35,151,3.1188986545071206E-6,NO
36,242,0.07692896402977806,NO
37,47,1.370429958695241E-6,NO
38,72,0.03797574150529066,NO
39,51,2.0556421209293148E-6,NO
40,51,2.0556421209293148E-6,NO
41,110,0.10345074947134668,NO
42,87,2.82650355856798E-6,NO
43,80,0.022729234931115436,NO
44,76,2.82650355856798E-6,NO
45,41,0.03703858793419382,NO
46,63,1.5594541910331383E-6,NO
47,55,2.261205403376432E-6,NO
48,106,0.041667818208769976,NO
49,72,0.03797574150529066,NO
50,86,0.25000102782106043,NO
51,55,2.261205403376432E-6,NO
52,135,5.024873121953671E-6,NO
53,63,1.5594541910331383E-6,NO
54,412,6.4605326063080635E-6,NO
55,533,7.537271809095979E-6,NO
56,71,0.9538448907801103,NO
57,50,0.08000101302215866,NO
58,39,1.3301233024301352E-6,NO
59,106,0.041667818208769976,NO
60,37,0.16666729478093573,NO
61,92,0.05556002210944175,NO
62,79,0.5254236898383425,NO
63,321,5.652975160827143E-6,NO
64,631,9.044698901973554E-6,NO
65,140,0.4262297269645828,NO
66,258,9.043226623259178E-5,NO
67,384,0.9999095677337674,NO
68,74,0.03571728526666021,NO
69,79,0.5254236898383425,NO
70,187,0.18182079807921592,NO
71,143,6.957489737702637E-6,NO
72,186,4.522390354645852E-6,NO
73,138,3.478769072351439E-6,NO
74,36,1.1449166844128752E-6,NO
75,37,0.16666729478093573,NO
76,86,0.25000102782106043,NO
77,120,0.2978731183871725,NO
78,139,2.9176805606614966E-6,NO
79,875,0.9999095677337674,NO
80,33,7.121928846233282E-7,NO
81,43,1.8089659588785857E-6,NO
82,99,3.1188986545071206E-6,NO
83,288,5.652975160827143E-6,NO
84,130,0.04545828297030843,NO
85,146,0.39024438669484535,NO
86,204,2.9176805606614966E-6,NO
87,150,4.522390354645852E-6,NO
88,38,6.800639260090449E-7,NO
89,43,1.8089659588785857E-6,NO
90,47,1.370429958695241E-6,NO
91,32,0.03704013882095983,NO
92,93,1.8458834952173158E-6,NO
93,93,1.8458834952173158E-6,NO
94,282,0.1666700165820813,NO
95,251,2.319184760173104E-6,NO
96,251,2.319184760173104E-6,NO
97,130,0.04545828297030843,YES
98,53,0.16071538170811675,NO
99,125,0.02778015064645318,YES
100,50,0.08000101302215866,NO
101,106,0.041667818208769976,NO
102,34,9.044846156211729E-7,NO
103,66,1.6749689293263608E-6,NO
104,40,1.2739210525645304E-6,NO
105,140,0.4262297269645828,NO
106,84,1.8458834952173158E-6,NO
107,39,1.3301233024301352E-6,NO
108,34,9.044846156211729E-7,NO
109,38,6.800639260090449E-7,NO
110,149,0.06451867023790767,NO
111,761,0.25000376863590457,YES
112,46,0.02083513915845409,NO
113,204,2.9176805606614966E-6,NO
114,153,4.307040288054855E-6,NO
115,57,1.413255773856464E-6,NO
116,320,3.014772384684956E-5,NO
117,1595,0.9999095677337674,YES
118,241,9.043226623259178E-5,YES
119,432,9.043226623259178E-5,NO
120,443,0.9999095677337674,YES
121,40,1.2739210525645304E-6,NO
122,135,5.024873121953671E-6,NO
123,112,0.23077110395257744,NO
124,86,0.25000102782106043,NO
125,798,0.25001130556686113,YES
126,422,0.9999095677337674,NO
127,177,4.111267339270004E-6,NO
128,157,6.029835626680816E-6,NO
129,355,0.25001130556686113,NO
130,205,2.2611133722244833E-5,NO
131,68,0.012821642682375315,NO
132,277,7.537271809095979E-6,NO
133,479,9.043226623259178E-5,NO
134,101,2.9176805606614966E-6,NO
135,29,2.660239527967098E-6,NO
136,68,0.012821642682375315,NO
137,79,0.5254236898383425,NO
138,70,2.2060542954083184E-6,NO
139,79,0.5254236898383425,NO
140,186,4.522390354645852E-6,NO
141,123,0.19230983308865993,NO
142,134,0.06250494635326573,NO
143,2942,4.522022248349462E-5,YES
144,696,9.043226623259178E-5,YES
145,47,1.370429958695241E-6,NO
146,81,0.01785870032206067,NO
147,64,2.82650355856798E-6,YES
148,124,0.8333326633448638,YES
149,46,0.02083513915845409,YES
150,100,5.024873121953671E-6,YES
151,152,6.029835626680816E-6,YES
152,72,0.03797574150529066,YES
153,88,0.3600005065104685,YES
154,94,0.05556002210944175,YES
155,83,3.93251799126981E-6,YES
156,75,2.4445454856578517E-6,YES
157,74,0.03571728526666021,YES
158,60,0.3250007914218912,YES
159,122,1.0049645247522762E-5,YES
160,157,6.029835626680816E-6,YES
161,84,1.8458834952173158E-6,YES
162,82,0.04347945772914247,YES
163,75,2.4445454856578517E-6,YES
164,200,0.10000723575912158,YES
165,81,0.01785870032206067,YES
166,49,6.029835626680816E-6,NO
167,64,2.82650355856798E-6,YES
168,90,0.8775496265777689,NO
169,144,0.0666718925242098,NO
170,72,0.03797574150529066,YES
171,346,4.522022248349462E-5,YES
172,101,2.9176805606614966E-6,NO
173,629,0.9999095677337674,NO
174,115,0.3478272838098234,NO
175,89,4.522390354645852E-6,NO
176,123,0.19230983308865993,NO
177,293,5.652975160827143E-6,NO
178,120,0.2978731183871725,NO
179,63,1.5594541910331383E-6,NO
