ID,Size,Predicted,Actual
0,126,0.25007198387561186,NO
1,22,1.9193857965451057E-4,NO
2,75,1.9193857965451057E-4,NO
3,131,0.636349355953503,NO
4,223,5.753739930955121E-4,NO
5,40,4.1142104830083104E-5,NO
6,391,5.753739930955121E-4,NO
7,46,0.09095193213949104,NO
8,26,1.4396775122372588E-4,NO
9,66,4.4306601683650866E-5,NO
10,95,1.4396775122372588E-4,NO
11,33,3.0315891590371672E-5,NO
12,103,0.2857495474740826,NO
13,219,0.9998080614203455,NO
14,329,0.6666026871401152,NO
15,59,0.1818515027751597,NO
16,376,0.5,NO
17,33,3.0315891590371672E-5,NO
18,36,4.4306601683650866E-5,NO
19,44,4.799846404915043E-5,NO
20,70,8.227743952608195E-5,NO
21,69,0.5999923200983027,NO
22,31,9.59877135726627E-5,NO
23,27,4.799846404915043E-5,NO
24,33,3.0315891590371672E-5,NO
25,27,4.799846404915043E-5,NO
26,27,4.799846404915043E-5,NO
27,40,4.1142104830083104E-5,NO
28,60,0.5555484448995265,NO
29,69,0.5999923200983027,NO
30,85,0.2500359971202304,NO
31,85,0.2500359971202304,NO
32,87,1.9193857965451057E-4,NO
33,53,0.2727510734108284,NO
34,125,0.22225777550236786,NO
35,151,1.4396775122372588E-4,NO
36,242,0.25007198387561186,NO
37,47,5.7597051030987213E-5,NO
38,72,0.13336149297288993,NO
39,51,1.4396775122372588E-4,NO
40,51,1.4396775122372588E-4,NO
41,110,0.20003455823061858,NO
42,87,1.9193857965451057E-4,NO
43,80,0.2857495474740826,NO
44,76,9.59877135726627E-5,NO
45,41,0.20003455823061858,NO
46,63,0.09095193213949104,NO
47,55,1.151808339092375E-4,NO
48,106,0.14288653007487864,NO
49,72,0.13336149297288993,NO
50,86,0.38462560921577316,NO
51,55,1.151808339092375E-4,NO
52,135,1.4396775122372588E-4,NO
53,63,0.09095193213949104,NO
54,412,1.9193857965451057E-4,NO
55,533,5.753739930955121E-4,NO
56,71,0.9999476384961776,NO
57,50,0.22225777550236786,NO
58,39,5.236150382238978E-5,NO
59,106,0.14288653007487864,NO
60,37,0.3125134998920009,NO
61,92,0.25007198387561186,NO
62,79,0.5999923200983027,NO
63,321,1.9193857965451057E-4,NO
64,631,1.4396775122372588E-4,NO
65,140,0.636349355953503,NO
66,318,0.5,NO
67,356,2.878526194588371E-4,NO
68,187,0.7999308914996545,NO
69,143,5.753739930955121E-4,NO
70,186,1.9193857965451057E-4,NO
71,138,5.753739930955121E-4,NO
72,36,4.4306601683650866E-5,NO
73,37,0.3125134998920009,NO
74,120,0.5,NO
75,139,7.199424046076313E-5,NO
76,885,5.753739930955121E-4,NO
77,33,3.0315891590371672E-5,NO
78,43,7.199424046076313E-5,NO
79,99,6.399590426212723E-5,NO
80,288,2.878526194588371E-4,NO
81,130,0.2857495474740826,NO
82,146,0.44445155510047357,NO
83,204,1.151808339092375E-4,NO
84,150,1.4396775122372588E-4,NO
85,38,2.057189878625797E-5,NO
86,43,7.199424046076313E-5,NO
87,47,5.7597051030987213E-5,NO
88,32,0.12505399568034556,NO
89,93,0.11116088570331499,NO
90,93,0.11116088570331499,NO
91,282,0.9997121473805411,NO
92,251,8.227743952608195E-5,NO
93,251,8.227743952608195E-5,NO
94,130,0.2857495474740826,NO
95,53,0.2727510734108284,NO
96,125,0.22225777550236786,NO
97,50,0.22225777550236786,NO
98,106,0.14288653007487864,NO
99,34,3.5999712002303984E-5,NO
100,66,4.4306601683650866E-5,NO
101,40,4.1142104830083104E-5,NO
102,140,0.636349355953503,NO
103,84,5.236150382238978E-5,NO
104,39,5.236150382238978E-5,NO
105,34,3.5999712002303984E-5,NO
106,38,2.057189878625797E-5,NO
107,149,0.40002303616678186,NO
108,761,0.6666026871401152,NO
109,46,0.09095193213949104,NO
110,204,1.151808339092375E-4,NO
111,153,1.9193857965451057E-4,NO
112,57,5.7597051030987213E-5,NO
113,320,0.25007198387561186,NO
114,1622,0.9994246260069045,YES
115,226,5.753739930955121E-4,NO
116,430,5.753739930955121E-4,NO
117,436,0.9994246260069045,NO
118,40,4.1142104830083104E-5,NO
119,135,1.4396775122372588E-4,NO
120,112,0.5,NO
121,86,0.38462560921577316,NO
122,798,0.9998080614203455,YES
123,406,0.9994246260069045,YES
124,177,1.9193857965451057E-4,NO
125,157,1.9193857965451057E-4,NO
126,355,0.5,NO
127,205,2.878526194588371E-4,NO
128,68,0.06669994624068812,NO
129,277,2.878526194588371E-4,NO
130,479,0.9994246260069045,NO
131,101,5.7597051030987213E-5,NO
132,29,8.227743952608195E-5,NO
133,68,0.06669994624068812,NO
134,79,0.5999923200983027,NO
135,70,8.227743952608195E-5,NO
136,79,0.5999923200983027,NO
137,186,1.9193857965451057E-4,NO
138,123,0.3333546653014207,NO
139,134,0.25007198387561186,NO
140,2738,0.9994246260069045,YES
141,694,0.9997121473805411,YES
142,47,5.7597051030987213E-5,NO
143,81,0.11116088570331499,NO
144,64,9.59877135726627E-5,YES
145,124,0.8124775001799985,YES
146,46,0.09095193213949104,YES
147,100,1.9193857965451057E-4,YES
148,152,0.25007198387561186,YES
149,72,0.13336149297288993,YES
150,88,0.5,YES
151,94,0.40002303616678186,YES
152,83,1.151808339092375E-4,YES
153,75,1.9193857965451057E-4,YES
154,74,0.12505399568034556,YES
155,60,0.5555484448995265,YES
156,122,2.878526194588371E-4,YES
157,157,1.9193857965451057E-4,YES
158,84,5.236150382238978E-5,YES
159,82,0.15387682764731944,YES
160,75,1.9193857965451057E-4,YES
161,200,0.5,YES
162,81,0.11116088570331499,YES
163,49,2.878526194588371E-4,NO
164,64,9.59877135726627E-5,YES
165,90,0.888839114296685,NO
166,144,0.25007198387561186,NO
167,72,0.13336149297288993,YES
168,346,0.9994246260069045,YES
169,591,0.9994246260069045,YES
170,115,0.3750179985601152,NO
171,89,1.151808339092375E-4,NO
172,123,0.3333546653014207,NO
173,293,5.753739930955121E-4,NO
174,120,0.5,NO
175,63,0.09095193213949104,NO
176,52,2.878526194588371E-4,NO
177,67,1.4396775122372588E-4,NO
178,167,0.909048067860509,NO
179,29,8.227743952608195E-5,NO
180,223,5.753739930955121E-4,NO
181,120,0.5,NO
182,36,4.4306601683650866E-5,NO
183,82,0.15387682764731944,NO
184,51,1.4396775122372588E-4,NO
185,173,0.9166266679466257,NO
186,98,8.227743952608195E-5,NO
187,157,1.9193857965451057E-4,YES
188,184,0.9997121473805411,NO
189,1499,0.9994246260069045,YES
190,61,0.2500359971202304,NO
191,47,5.7597051030987213E-5,NO
192,192,0.3750179985601152,NO
193,27,4.799846404915043E-5,NO
194,189,0.9998560322487763,NO
195,495,0.9994246260069045,YES
196,104,1.9193857965451057E-4,NO
197,799,0.9998080614203455,YES
198,965,0.9998080614203455,YES
199,475,0.9999476384961776,YES
200,553,5.753739930955121E-4,YES
201,49,2.878526194588371E-4,NO
202,972,0.9999360040957379,YES
203,192,0.3750179985601152,YES
204,62,0.6666026871401152,NO
205,296,0.9997121473805411,NO
206,44,4.799846404915043E-5,NO
207,372,5.753739930955121E-4,NO
208,244,0.5,NO
209,117,0.2857495474740826,YES
210,156,1.9193857965451057E-4,NO
211,135,1.4396775122372588E-4,NO
212,326,0.7499280161243881,NO
213,128,0.7499280161243881,NO
214,68,0.06669994624068812,NO
215,217,0.9998080614203455,NO
216,131,0.636349355953503,NO
217,122,2.878526194588371E-4,NO
218,48,0.20006910850034554,NO
219,266,0.5,NO
220,83,1.151808339092375E-4,NO
221,83,1.151808339092375E-4,NO
222,98,8.227743952608195E-5,NO
223,250,0.6666026871401152,NO
224,623,0.9998080614203455,YES
225,51,1.4396775122372588E-4,NO
226,169,0.6666026871401152,NO
227,1145,0.9994246260069045,YES
228,165,0.9997121473805411,NO
229,189,0.9998560322487763,NO
230,35,1.9193857965451057E-4,NO
231,128,0.7499280161243881,NO
232,188,0.9994246260069045,YES
233,57,5.7597051030987213E-5,NO
234,93,0.11116088570331499,NO
235,42,9.59877135726627E-5,NO
236,63,0.09095193213949104,NO
237,68,0.06669994624068812,NO
238,66,4.4306601683650866E-5,NO
239,35,1.9193857965451057E-4,NO
240,112,0.5,NO
241,512,0.9994246260069045,YES
242,39,5.236150382238978E-5,NO
243,191,0.5833253335893251,NO
244,68,0.06669994624068812,NO
245,82,0.15387682764731944,NO
246,139,7.199424046076313E-5,NO
247,59,0.1818515027751597,NO
248,132,0.5999884805897938,NO
249,418,0.7499280161243881,NO
250,79,0.9994246260069045,YES
251,79,0.5999923200983027,YES
252,152,0.25007198387561186,NO
253,226,5.753739930955121E-4,YES
254,72,0.13336149297288993,YES
255,39,5.236150382238978E-5,YES
256,81,0.11116088570331499,NO
257,38,2.057189878625797E-5,YES
258,42,9.59877135726627E-5,YES
259,41,0.20003455823061858,YES
260,47,5.7597051030987213E-5,YES
261,43,7.199424046076313E-5,NO
262,178,5.753739930955121E-4,YES
263,42,9.59877135726627E-5,YES
264,91,2.878526194588371E-4,YES
265,34,3.5999712002303984E-5,NO
266,36,4.4306601683650866E-5,NO
267,62,0.6666026871401152,YES
268,39,5.236150382238978E-5,YES
269,36,4.4306601683650866E-5,NO
270,49,2.878526194588371E-4,YES
271,250,0.6666026871401152,YES
272,730,0.9994246260069045,YES
273,409,0.9997121473805411,YES
274,66,4.4306601683650866E-5,NO
275,127,0.6999769611795876,NO
276,326,0.7499280161243881,NO
277,54,2.878526194588371E-4,NO
278,983,0.9994246260069045,NO
279,371,5.753739930955121E-4,NO
280,27,4.799846404915043E-5,NO
281,1075,0.9994246260069045,YES
282,201,0.5,YES
283,50,0.22225777550236786,NO
284,41,0.20003455823061858,NO
285,145,0.25007198387561186,NO
286,139,7.199424046076313E-5,NO
287,1379,0.9994246260069045,YES
288,53,0.2727510734108284,NO
289,293,5.753739930955121E-4,NO
290,42,9.59877135726627E-5,NO
291,31,9.59877135726627E-5,NO
292,36,4.4306601683650866E-5,NO
293,81,0.11116088570331499,NO
294,221,0.9994246260069045,NO
295,238,0.9997121473805411,NO
296,625,0.9997121473805411,YES
297,975,0.9994246260069045,NO
298,225,2.878526194588371E-4,NO
299,44,4.799846404915043E-5,NO
300,136,0.33339731285988483,NO
301,34,3.5999712002303984E-5,NO
302,180,5.753739930955121E-4,YES
303,112,0.9994246260069045,NO
304,107,0.5714168175086392,NO
305,46,0.09095193213949104,NO
306,170,0.888839114296685,YES
307,37,0.3125134998920009,NO
308,157,1.9193857965451057E-4,NO
309,144,0.25007198387561186,YES
310,93,0.11116088570331499,NO
311,44,4.799846404915043E-5,NO
312,1040,0.9994246260069045,YES
313,34,3.5999712002303984E-5,NO
314,1877,0.9994246260069045,YES
315,713,0.9997121473805411,YES
316,190,0.9998560322487763,YES
317,68,0.06669994624068812,NO
318,159,0.2857495474740826,YES
319,38,2.057189878625797E-5,NO
320,134,0.25007198387561186,NO
321,175,0.5714168175086392,YES
322,64,9.59877135726627E-5,NO
323,48,0.20006910850034554,NO
324,80,0.2857495474740826,NO
325,38,2.057189878625797E-5,NO
326,33,3.0315891590371672E-5,NO
327,39,5.236150382238978E-5,NO
328,57,5.7597051030987213E-5,NO
329,82,0.15387682764731944,NO
330,90,0.888839114296685,NO
331,143,5.753739930955121E-4,NO
332,379,5.753739930955121E-4,NO
333,156,1.9193857965451057E-4,NO
334,43,7.199424046076313E-5,NO
335,60,0.5555484448995265,YES
336,45,0.42857730601497573,NO
337,182,0.9997121473805411,NO
338,147,2.878526194588371E-4,NO
339,82,0.15387682764731944,NO
340,34,3.5999712002303984E-5,NO
341,177,1.9193857965451057E-4,NO
342,37,0.3125134998920009,NO
343,461,0.33339731285988483,NO
344,84,5.236150382238978E-5,NO
345,38,2.057189878625797E-5,NO
346,193,0.5,NO
347,295,5.753739930955121E-4,NO
348,110,0.20003455823061858,NO
349,38,2.057189878625797E-5,NO
350,313,1.9193857965451057E-4,NO
