ID,Size,Predicted,Actual
0,137,0.015151515151515152,NO
1,252,0.015151515151515152,NO
2,343,0.9848484848484849,YES
3,154,0.015151515151515152,YES
4,37,0.015151515151515152,NO
5,130,0.015151515151515152,NO
6,701,0.9848484848484849,NO
7,250,0.9848484848484849,YES
8,112,0.015151515151515152,YES
9,29,0.015151515151515152,NO
10,63,0.015151515151515152,NO
11,349,0.9848484848484849,YES
12,213,0.015151515151515152,YES
13,65,0.015151515151515152,NO
14,104,0.015151515151515152,NO
15,265,0.9848484848484849,NO
16,496,0.9848484848484849,NO
17,38,0.015151515151515152,NO
18,342,0.9848484848484849,YES
19,70,0.015151515151515152,NO
20,179,0.9848484848484849,NO
21,532,0.9848484848484849,YES
22,35,0.015151515151515152,NO
23,133,0.015151515151515152,NO
24,32,0.015151515151515152,NO
25,343,0.9848484848484849,NO
26,164,0.9848484848484849,YES
27,55,0.015151515151515152,NO
28,126,0.015151515151515152,NO
29,132,0.015151515151515152,NO
30,149,0.015151515151515152,NO
31,210,0.015151515151515152,NO
32,151,0.015151515151515152,NO
33,39,0.015151515151515152,NO
34,45,0.015151515151515152,NO
35,48,0.015151515151515152,NO
36,33,0.015151515151515152,NO
37,98,0.015151515151515152,NO
38,117,0.015151515151515152,NO
39,283,0.9848484848484849,NO
40,251,0.9848484848484849,NO
41,252,0.9848484848484849,NO
42,88,0.015151515151515152,NO
43,83,0.015151515151515152,NO
44,43,0.015151515151515152,NO
45,107,0.007692307692307693,NO
46,35,0.015151515151515152,NO
47,55,0.015151515151515152,NO
48,41,0.015151515151515152,NO
49,99,0.015151515151515152,NO
50,75,0.007692307692307693,NO
51,40,0.015151515151515152,NO
52,35,0.015151515151515152,NO
53,39,0.015151515151515152,NO
54,101,0.015151515151515152,NO
55,508,0.9848484848484849,NO
56,47,0.015151515151515152,NO
57,142,0.015151515151515152,NO
58,106,0.015151515151515152,NO
59,62,0.015151515151515152,NO
60,210,0.015151515151515152,NO
61,525,0.9848484848484849,NO
62,88,0.015151515151515152,NO
63,833,0.9848484848484849,NO
64,457,0.9848484848484849,NO
65,99,0.015151515151515152,NO
66,151,0.015151515151515152,NO
67,52,0.015151515151515152,NO
68,1069,0.9848484848484849,YES
69,39,0.015151515151515152,NO
70,89,0.015151515151515152,NO
71,100,0.015151515151515152,NO
72,622,0.9848484848484849,YES
73,68,0.015151515151515152,NO
74,312,0.9848484848484849,NO
75,101,0.015151515151515152,NO
76,78,0.015151515151515152,NO
77,81,0.015151515151515152,NO
78,125,0.9848484848484849,NO
79,112,0.015151515151515152,YES
80,1179,0.9848484848484849,YES
81,505,0.9848484848484849,YES
82,280,0.9848484848484849,YES
83,29,0.015151515151515152,NO
84,194,0.9848484848484849,YES
85,72,0.015151515151515152,NO
86,36,0.015151515151515152,NO
87,72,0.015151515151515152,NO
88,121,0.9848484848484849,NO
89,68,0.015151515151515152,NO
90,131,0.015151515151515152,NO
91,1069,0.9848484848484849,YES
92,70,0.015151515151515152,NO
93,47,0.015151515151515152,NO
94,271,0.9848484848484849,YES
95,72,0.015151515151515152,NO
96,973,0.9848484848484849,YES
97,482,0.9848484848484849,YES
98,132,0.015151515151515152,NO
99,197,0.9848484848484849,YES
100,37,0.015151515151515152,NO
101,86,0.015151515151515152,YES
102,81,0.015151515151515152,NO
103,132,0.015151515151515152,NO
104,58,0.015151515151515152,YES
105,218,0.015151515151515152,YES
106,147,0.015151515151515152,NO
107,119,0.9848484848484849,NO
108,111,0.015151515151515152,NO
109,668,0.9848484848484849,YES
110,114,0.015151515151515152,NO
111,82,0.015151515151515152,NO
112,99,0.015151515151515152,NO
113,92,0.9848484848484849,NO
114,82,0.015151515151515152,NO
115,128,0.015151515151515152,YES
116,69,0.015151515151515152,NO
117,117,0.015151515151515152,NO
118,78,0.015151515151515152,YES
119,186,0.9848484848484849,NO
120,498,0.9848484848484849,YES
121,277,0.9848484848484849,NO
122,60,0.015151515151515152,NO
123,115,0.015151515151515152,NO
124,310,0.9848484848484849,NO
125,45,0.015151515151515152,NO
126,892,0.9848484848484849,NO
127,188,0.9848484848484849,YES
128,26,0.015151515151515152,NO
129,654,0.9848484848484849,YES
130,408,0.015151515151515152,YES
131,50,0.015151515151515152,NO
132,410,0.015151515151515152,YES
133,41,0.015151515151515152,NO
134,106,0.015151515151515152,NO
135,85,0.015151515151515152,YES
136,34,0.015151515151515152,NO
137,245,0.9848484848484849,NO
138,648,0.9848484848484849,YES
139,53,0.015151515151515152,NO
140,193,0.9848484848484849,YES
141,42,0.015151515151515152,NO
142,31,0.015151515151515152,NO
143,36,0.015151515151515152,NO
144,154,0.015151515151515152,YES
145,68,0.015151515151515152,NO
146,64,0.015151515151515152,NO
147,75,0.007692307692307693,NO
148,44,0.015151515151515152,NO
149,584,0.9848484848484849,YES
150,34,0.015151515151515152,NO
151,650,0.9848484848484849,YES
152,220,0.015151515151515152,NO
153,123,0.9848484848484849,NO
154,67,0.015151515151515152,NO
155,45,0.015151515151515152,NO
156,33,0.015151515151515152,NO
157,59,0.015151515151515152,YES
158,38,0.015151515151515152,NO
159,33,0.015151515151515152,NO
160,69,0.015151515151515152,YES
161,129,0.015151515151515152,NO
162,583,0.9848484848484849,NO
163,180,0.9848484848484849,NO
164,33,0.015151515151515152,NO
165,327,0.9848484848484849,NO
166,40,0.015151515151515152,NO
167,113,0.015151515151515152,NO
168,128,0.015151515151515152,NO
