ID,Size,Predicted,Actual
0,126,3.3741424719311445E-5,NO
1,22,3.451098176405866E-5,NO
2,75,3.2607945323707423E-5,NO
3,131,3.400930736492861E-5,NO
4,223,4.615583175125951E-5,NO
5,40,3.3649888348339764E-5,NO
6,391,0.012116258521808245,NO
7,46,3.322315705648507E-5,NO
8,26,3.451098176405866E-5,NO
9,66,3.2704747571077013E-5,NO
10,95,3.273437586571584E-5,NO
11,33,3.3906808295007834E-5,NO
12,103,3.283301437055805E-5,NO
13,219,4.508734651347185E-5,NO
14,329,0.006420150919949,NO
15,59,3.2909146835110503E-5,NO
16,376,1.502932028820471E-4,NO
17,33,3.3906808295007834E-5,NO
18,36,3.3906808295007834E-5,NO
19,44,3.3422194091674915E-5,NO
20,70,3.2704747571077013E-5,NO
21,69,3.2704747571077013E-5,NO
22,31,3.4193598387677024E-5,NO
23,27,3.4193598387677024E-5,NO
24,33,3.3906808295007834E-5,NO
25,27,3.4193598387677024E-5,NO
26,27,3.4193598387677024E-5,NO
27,40,3.3649888348339764E-5,NO
28,60,3.2909146835110503E-5,NO
29,69,3.2704747571077013E-5,NO
30,85,3.261778921883973E-5,NO
31,85,3.261778921883973E-5,NO
32,87,0.002213552342676079,NO
33,53,0.002330299473436577,NO
34,125,3.3741424719311445E-5,NO
35,151,3.539006732442033E-5,NO
36,242,5.1104619696511754E-5,NO
37,47,3.322315705648507E-5,NO
38,72,3.264298089868827E-5,NO
39,51,3.305228239612544E-5,NO
40,51,3.305228239612544E-5,NO
41,110,0.0022431045778168036,NO
42,87,3.261778921883973E-5,NO
43,80,3.259955495083033E-5,NO
44,76,3.2607945323707423E-5,NO
45,41,3.3649888348339764E-5,NO
46,63,3.279339692131856E-5,NO
47,55,3.305228239612544E-5,NO
48,106,3.295885093882526E-5,NO
49,72,3.264298089868827E-5,NO
50,86,3.261778921883973E-5,NO
51,55,3.305228239612544E-5,NO
52,135,3.430731815327833E-5,NO
53,63,3.279339692131856E-5,NO
54,412,2.175115451584228E-4,NO
55,533,0.0011282587281128693,NO
56,71,3.264298089868827E-5,NO
57,50,3.322315705648507E-5,NO
58,39,3.3649888348339764E-5,NO
59,106,3.295885093882526E-5,NO
60,37,3.3649888348339764E-5,NO
61,92,3.266269281661852E-5,NO
62,79,3.2607945323707423E-5,NO
63,321,8.752403161668709E-5,NO
64,631,0.006639882346273633,NO
65,140,3.463621005820654E-5,NO
66,318,8.752403161668709E-5,NO
67,356,1.238788155323547E-4,NO
68,187,3.985381220182307E-5,NO
69,143,3.499681898784954E-5,NO
70,186,3.985381220182307E-5,NO
71,138,3.463621005820654E-5,NO
72,36,3.3906808295007834E-5,NO
73,37,3.3649888348339764E-5,NO
74,120,3.350299700652071E-5,NO
75,139,3.463621005820654E-5,NO
76,885,0.7199815485812099,NO
77,33,3.3906808295007834E-5,NO
78,43,3.3422194091674915E-5,NO
79,99,3.273437586571584E-5,NO
80,288,6.980156126328333E-5,NO
81,130,0.0026155131357401226,NO
82,146,3.499681898784954E-5,NO
83,204,4.22344226704386E-5,NO
84,150,3.539006732442033E-5,NO
85,38,3.3649888348339764E-5,NO
86,43,3.3422194091674915E-5,NO
87,47,3.322315705648507E-5,NO
88,32,3.3906808295007834E-5,NO
89,93,3.266269281661852E-5,NO
90,93,3.266269281661852E-5,NO
91,282,0.005313326993776623,NO
92,251,5.403865149060881E-5,NO
93,251,5.403865149060881E-5,NO
94,130,3.400930736492861E-5,NO
95,53,3.305228239612544E-5,NO
96,125,3.3741424719311445E-5,NO
97,50,3.322315705648507E-5,NO
98,106,3.295885093882526E-5,NO
99,34,3.3906808295007834E-5,NO
100,66,3.2704747571077013E-5,NO
101,40,3.3649888348339764E-5,NO
102,140,3.463621005820654E-5,NO
103,84,3.259955495083033E-5,NO
104,39,3.3649888348339764E-5,NO
105,34,3.3906808295007834E-5,NO
106,38,3.3649888348339764E-5,NO
107,149,3.539006732442033E-5,NO
108,761,0.10038688947609127,NO
109,46,3.322315705648507E-5,NO
110,204,4.22344226704386E-5,NO
111,153,3.5816967854429696E-5,NO
112,57,3.2909146835110503E-5,NO
113,320,8.752403161668709E-5,NO
114,1611,1.0,YES
115,226,0.2259457131505466,NO
116,430,0.37769062419082616,NO
117,436,1.0,NO
118,40,3.3649888348339764E-5,NO
119,135,2.136766696145508E-4,NO
120,112,3.311219577617628E-5,NO
121,86,3.261778921883973E-5,NO
122,798,0.20327801174972243,YES
123,399,0.014214938792942751,YES
124,177,3.849861460702511E-5,NO
125,157,0.10003755701095221,NO
126,355,3.526740958114297E-4,NO
127,205,4.22344226704386E-5,NO
128,68,3.2704747571077013E-5,NO
129,277,6.30261217726425E-5,NO
130,477,0.03646695557360896,YES
131,101,3.283301437055805E-5,NO
132,29,3.4193598387677024E-5,NO
133,68,3.2704747571077013E-5,NO
134,79,3.2607945323707423E-5,NO
135,70,3.2704747571077013E-5,NO
136,79,3.2607945323707423E-5,NO
137,186,1.0878029442225521E-4,NO
138,123,0.002265055478734848,NO
139,134,9.369072148993712E-5,NO
140,2738,1.0,YES
141,686,0.9999999990666554,YES
142,47,9.068307529205841E-5,NO
143,81,3.259955495083033E-5,NO
144,64,3.279339692131856E-5,YES
145,124,3.3741424719311445E-5,YES
146,46,3.322315705648507E-5,YES
147,100,1.0297928928455937E-4,YES
148,152,3.539006732442033E-5,YES
149,72,3.264298089868827E-5,YES
150,88,3.261778921883973E-5,YES
151,94,3.266269281661852E-5,YES
152,83,3.259955495083033E-5,YES
153,75,3.2607945323707423E-5,YES
154,74,3.264298089868827E-5,YES
155,60,3.2909146835110503E-5,YES
156,122,3.350299700652071E-5,YES
157,157,3.62786281127321E-5,YES
158,84,3.259955495083033E-5,YES
159,82,3.259955495083033E-5,YES
160,75,3.2607945323707423E-5,YES
161,200,4.1391680645496003E-5,YES
162,81,3.259955495083033E-5,YES
163,49,3.322315705648507E-5,NO
164,64,3.279339692131856E-5,YES
165,90,3.266269281661852E-5,NO
166,143,0.02522346274803993,YES
167,72,3.264298089868827E-5,YES
168,346,0.008442137233844136,YES
169,584,0.007425572426403282,YES
170,115,3.3293427961000196E-5,NO
171,89,3.261778921883973E-5,NO
172,123,3.350299700652071E-5,NO
173,293,7.23362157327697E-5,NO
174,120,3.350299700652071E-5,NO
175,63,3.279339692131856E-5,NO
176,52,0.0059401459923882185,NO
177,67,4.128751301317538E-4,NO
178,167,0.528688184770947,NO
179,29,3.4193598387677024E-5,NO
180,214,4.40795722259302E-5,NO
181,71,3.264298089868827E-5,YES
182,36,3.3906808295007834E-5,NO
183,82,3.259955495083033E-5,NO
184,51,3.305228239612544E-5,NO
