ID,Size,Predicted,Actual
0,137,1.4769820361122107E-4,NO
1,252,2.105566019126307E-4,NO
2,532,0.9999999456070194,NO
3,81,7.716341629411351E-5,NO
4,157,0.32677622937049017,NO
5,264,0.9999993633769318,NO
6,113,0.007587598702758198,NO
7,454,1.0,NO
8,133,1.0,NO
9,151,0.19791905062410073,NO
10,147,0.14380038645029863,NO
11,101,0.999999999329523,NO
12,227,0.9742779417337812,NO
13,352,1.0,NO
14,204,0.9930886085730967,NO
15,50,2.751162436240209E-4,NO
16,162,0.4080984092362993,NO
17,61,4.1875654513611745E-4,NO
18,163,0.484064939839431,NO
19,78,0.006464133678406246,NO
20,448,1.0,NO
21,179,0.8288710862760891,NO
22,136,0.06174126604762894,NO
23,167,0.5682716218033053,NO
24,67,5.395223823649683E-4,NO
25,137,0.062430267879453924,NO
26,145,0.11416507369344032,NO
27,87,0.0013630144539090794,NO
28,85,0.0012935464674336604,NO
29,178,0.9999999999999997,NO
30,75,0.0011666916958908372,NO
31,208,0.0991391947130454,NO
32,57,3.396495146559138E-4,NO
33,517,0.7346348408281723,NO
34,570,1.0,NO
35,148,0.18045850267071895,NO
36,173,0.0048959158394575285,NO
37,147,0.06529504205251192,NO
38,208,0.965377956668938,NO
39,54,1.7673611395230737E-4,NO
40,38,1.932672173286676E-4,NO
41,98,0.0029544909809917598,NO
42,38,1.932672173286676E-4,NO
43,94,0.002138403311638906,NO
44,126,8.308316527416698E-5,NO
45,78,7.66160363464049E-5,NO
46,110,8.05267292023398E-5,NO
47,80,7.66160363464049E-5,NO
48,76,7.66160363464049E-5,NO
49,41,7.38597117366363E-5,NO
50,63,7.520943020842837E-5,NO
51,106,7.976732616447151E-5,NO
52,72,7.610839553713345E-5,NO
53,86,7.716341629411351E-5,NO
54,48,7.44613052983989E-5,YES
55,63,7.520943020842837E-5,NO
56,375,2.208554544335196E-4,YES
57,66,5.161106288378769E-4,NO
58,50,2.751162436240209E-4,NO
59,39,2.0253669880570863E-4,NO
60,37,1.9058537264526011E-4,NO
61,80,0.001002796226067643,NO
62,321,0.9999999999944506,NO
63,118,0.012686863392929579,NO
64,605,1.0,NO
65,140,0.07467287904071937,NO
66,361,0.9999999999999992,NO
67,362,0.9999999999999993,NO
68,187,0.9354929367277648,NO
69,146,0.12408802915612012,NO
70,186,0.918931207146072,NO
71,138,0.062430267879453924,NO
72,38,1.932672173286676E-4,NO
73,37,1.9058537264526011E-4,NO
74,120,0.013705891350821548,NO
75,139,0.06792574180601262,NO
76,852,1.0,NO
77,33,1.77569061132413E-4,NO
78,43,2.3206537747273622E-4,NO
79,99,0.0031743402113375337,NO
80,288,0.9999999948447932,NO
81,131,8.403237855475135E-5,NO
82,146,8.608507163045055E-5,NO
83,208,1.7660027884861023E-4,NO
84,150,8.719175308337939E-5,NO
85,38,7.38597117366363E-5,NO
86,43,7.414242721841773E-5,NO
87,47,7.414242721841773E-5,NO
88,32,7.361275498473963E-5,NO
89,93,7.838066386171635E-5,NO
90,113,8.05267292023398E-5,NO
91,282,2.8003145929807627E-4,NO
92,251,1.1893920053549443E-4,NO
93,251,2.0658769407791907E-4,NO
94,130,3.3279263374615277E-4,NO
95,125,3.3279263374615277E-4,NO
96,42,7.414242721841773E-5,NO
97,106,1.412153766196038E-4,NO
98,34,7.361275498473963E-5,NO
99,53,7.481680272328415E-5,NO
100,40,7.38597117366363E-5,NO
101,98,7.905232735953365E-5,NO
102,80,7.66160363464049E-5,NO
103,39,7.38597117366363E-5,NO
104,34,7.361275498473963E-5,NO
105,38,7.38597117366363E-5,NO
106,103,1.412153766196038E-4,NO
107,536,1.0,YES
108,46,7.414242721841773E-5,NO
109,141,8.503249597778655E-5,NO
110,106,1.412153766196038E-4,NO
111,57,7.481680272328415E-5,NO
112,210,1.0351541823211589E-4,NO
113,525,6.275721831077313E-4,NO
114,88,7.775133708158532E-5,NO
115,833,0.015036845556719844,NO
116,457,3.6365511497037664E-4,NO
117,99,7.905232735953365E-5,NO
118,151,8.719175308337939E-5,NO
119,57,7.481680272328415E-5,NO
120,1320,0.9999999988133211,YES
121,39,7.38597117366363E-5,NO
122,89,7.775133708158532E-5,NO
123,100,7.905232735953365E-5,NO
124,84,7.716341629411351E-5,NO
125,662,0.002116371331598753,NO
126,68,7.563975366058252E-5,NO
127,312,1.5501393461797415E-4,NO
128,101,7.905232735953365E-5,NO
129,78,7.66160363464049E-5,NO
130,79,7.232570386993897E-4,NO
