ID,Size,Predicted,Actual
0,126,7.365056469439639E-5,NO
1,22,7.18154029360092E-5,NO
2,75,7.03638370898535E-5,NO
3,131,7.426755258027803E-5,NO
4,223,9.593533344466281E-5,NO
5,40,7.07734755135784E-5,NO
6,381,2.4244652349886787E-4,NO
7,46,7.054154979273525E-5,NO
8,26,7.151830513527408E-5,NO
9,66,7.026430840820036E-5,NO
10,95,7.108991191800527E-5,NO
11,33,7.110407081226953E-5,NO
12,103,7.157166551765827E-5,NO
13,219,9.457928028428137E-5,NO
14,328,1.658483517421998E-4,NO
15,59,7.028602803988552E-5,NO
16,376,2.3372237020351217E-4,NO
17,33,7.110407081226953E-5,NO
18,36,7.09411715676621E-5,NO
19,44,7.061109526679866E-5,NO
20,70,7.028855259175368E-5,NO
21,69,7.028365563872924E-5,NO
22,31,7.122255814636587E-5,NO
23,27,7.148344054223909E-5,NO
24,33,7.110407081226953E-5,NO
25,27,7.148344054223909E-5,NO
26,27,7.148344054223909E-5,NO
27,40,7.07734755135784E-5,NO
28,60,7.027719323142013E-5,NO
29,69,7.028365563872924E-5,NO
30,85,7.063923638665439E-5,NO
31,85,7.063923638665439E-5,NO
32,86,7.067837482299873E-5,NO
33,50,7.043843786641872E-5,NO
34,125,7.353378020670599E-5,NO
35,151,7.71362253266522E-5,NO
36,242,1.0376693901514499E-4,NO
37,47,7.050967784443065E-5,NO
38,72,7.03129222141699E-5,NO
39,51,7.041331172005837E-5,NO
40,51,7.041331172005837E-5,NO
41,106,7.179601307255038E-5,NO
42,87,7.071945739174533E-5,NO
43,80,7.048708991064957E-5,NO
44,76,7.038464354990809E-5,NO
45,41,7.072996128049777E-5,NO
46,63,7.026215479938075E-5,NO
47,55,7.03320135581337E-5,NO
48,106,7.179601307255038E-5,NO
49,72,7.03129222141699E-5,NO
50,86,7.067837482299873E-5,NO
51,55,7.03320135581337E-5,NO
52,135,7.473273008089853E-5,NO
53,63,7.026215479938075E-5,NO
54,412,3.125126913158545E-4,NO
55,533,0.0010597264232465326,NO
56,67,7.026884664106854E-5,NO
57,50,7.043843786641872E-5,NO
58,39,7.08189416685086E-5,NO
59,88,7.076248745702224E-5,NO
60,37,7.08908089503606E-5,NO
61,74,7.034494904887859E-5,NO
62,79,7.045859121603144E-5,NO
63,321,1.5873468312947156E-4,NO
64,631,0.0037066235800214927,NO
65,140,7.54458979374065E-5,NO
66,318,1.5561541798744742E-4,NO
67,356,2.0143487707425443E-4,NO
68,187,8.45958080611261E-5,NO
69,142,7.574747958029127E-5,NO
70,186,8.446181410263782E-5,NO
71,138,7.51536885133025E-5,NO
72,36,7.09411715676621E-5,NO
73,37,7.08908089503606E-5,NO
74,120,7.30351026555338E-5,NO
75,139,7.529862801084816E-5,NO
76,852,0.13020281907926748,YES
77,33,7.110407081226953E-5,NO
78,43,7.064877448087203E-5,NO
79,99,7.133286693301572E-5,NO
80,288,1.3045720159802118E-4,NO
81,131,7.426755258027803E-5,YES
82,146,7.629811167294099E-5,NO
83,204,8.947939090097001E-5,NO
84,150,7.696368482301661E-5,NO
85,38,7.086636347180019E-5,NO
86,43,7.064877448087203E-5,NO
87,47,7.050967784443065E-5,NO
88,32,7.116232255761584E-5,NO
89,93,7.098032132476182E-5,NO
90,93,7.098032132476182E-5,NO
91,282,1.264131275007862E-4,NO
92,251,1.0827632266168366E-4,NO
93,251,1.0827632266168366E-4,NO
94,130,7.41397119190472E-5,NO
95,53,7.036882490814681E-5,NO
96,125,7.353378020670599E-5,NO
97,50,7.043843786641872E-5,NO
98,106,7.179601307255038E-5,NO
99,34,7.104779812087477E-5,NO
100,66,7.026430840820036E-5,NO
101,40,7.07734755135784E-5,NO
102,140,7.54458979374065E-5,NO
103,84,7.060203887902732E-5,NO
104,39,7.08189416685086E-5,NO
105,34,7.104779812087477E-5,NO
106,38,7.086636347180019E-5,NO
107,149,7.679361779036881E-5,NO
108,761,0.0275654572892673,NO
109,46,7.054154979273525E-5,NO
110,204,8.947939090097001E-5,NO
111,153,7.748878672487817E-5,NO
112,57,7.030286565172308E-5,NO
113,57,7.030286565172308E-5,NO
114,1379,0.9999924192169313,YES
115,174,8.159074835051324E-5,YES
116,416,0.9821309440398162,YES
117,40,7.07734755135784E-5,NO
118,90,7.08544043383377E-5,YES
119,102,7.150092621203646E-5,NO
120,84,7.060203887902732E-5,NO
121,702,0.010557026359669909,NO
122,396,0.28442420898106935,YES
123,165,7.971554813808564E-5,NO
124,159,7.851066776805149E-5,NO
125,332,1.7048081206220546E-4,YES
126,185,8.419617909198597E-5,NO
127,68,7.0275295542609E-5,NO
128,277,1.2293326101013886E-4,NO
