ID,Size,Predicted,Actual
0,137,6.7486353700608265E-9,NO
1,252,1.0,NO
2,343,4.545317497230501E-7,YES
3,154,8.371823226367843E-9,YES
4,37,6.923312235759415E-9,NO
5,130,6.7486353700608265E-9,NO
6,701,0.9998178493081226,NO
7,250,4.8168522345310086E-8,YES
8,112,5.945155392553391E-9,YES
9,29,6.923312235759415E-9,NO
10,63,6.0215977938112755E-9,NO
11,349,1.1471553861983232E-6,YES
12,213,1.681451153123101E-8,YES
13,65,5.723500348635534E-9,NO
14,104,5.945155392553391E-9,NO
15,265,4.8168522345310086E-8,NO
16,496,4.4493503204677456E-4,NO
17,38,6.923312235759415E-9,NO
18,342,4.545317497230501E-7,YES
19,70,5.723500348635534E-9,NO
20,179,1.134947808997283E-8,NO
21,532,0.008917029298771658,YES
22,35,6.923312235759415E-9,NO
23,133,6.7486353700608265E-9,NO
24,32,6.923312235759415E-9,NO
25,343,4.545317497230501E-7,NO
26,164,8.371823226367843E-9,YES
27,55,6.0215977938112755E-9,NO
28,126,6.7486353700608265E-9,NO
29,132,6.7486353700608265E-9,NO
30,149,8.371823226367843E-9,NO
31,210,1.681451153123101E-8,NO
32,151,8.371823226367843E-9,NO
33,39,6.0215977938112755E-9,NO
34,45,6.0215977938112755E-9,NO
35,48,6.0215977938112755E-9,NO
36,33,6.923312235759415E-9,NO
37,98,5.945155392553391E-9,NO
38,117,6.7486353700608265E-9,NO
39,283,9.314021600654898E-8,NO
40,251,4.8168522345310086E-8,NO
41,252,4.8168522345310086E-8,NO
42,88,5.723500348635534E-9,NO
43,83,5.723500348635534E-9,NO
44,43,6.0215977938112755E-9,NO
45,107,5.945155392553391E-9,NO
46,35,6.923312235759415E-9,NO
47,55,6.0215977938112755E-9,NO
48,41,6.0215977938112755E-9,NO
49,99,5.945155392553391E-9,NO
50,75,5.723500348635534E-9,NO
51,40,6.0215977938112755E-9,NO
52,35,6.923312235759415E-9,NO
53,39,6.0215977938112755E-9,NO
54,101,5.945155392553391E-9,NO
55,508,0.00191061979696511,NO
56,47,6.0215977938112755E-9,NO
57,142,8.371823226367843E-9,NO
58,106,5.945155392553391E-9,NO
59,62,6.0215977938112755E-9,NO
60,210,1.681451153123101E-8,NO
61,525,0.008917029298771658,NO
62,88,5.723500348635534E-9,NO
63,833,1.0,NO
64,457,1.1311279358925339E-4,NO
65,99,5.945155392553391E-9,NO
66,151,8.371823226367843E-9,NO
67,52,6.0215977938112755E-9,NO
68,1069,1.0,YES
69,39,6.0215977938112755E-9,NO
70,89,5.723500348635534E-9,NO
71,100,5.945155392553391E-9,NO
72,622,1.0,YES
73,68,5.723500348635534E-9,NO
74,312,1.9682038868018362E-7,NO
75,101,5.945155392553391E-9,NO
76,78,5.723500348635534E-9,NO
77,81,5.723500348635534E-9,NO
78,125,6.7486353700608265E-9,NO
79,112,5.945155392553391E-9,YES
80,1179,1.0,YES
81,505,0.00191061979696511,YES
82,280,9.314021600654898E-8,YES
83,29,6.923312235759415E-9,NO
84,194,1.681451153123101E-8,YES
85,72,5.723500348635534E-9,NO
86,36,6.923312235759415E-9,NO
87,72,5.723500348635534E-9,NO
88,121,6.7486353700608265E-9,NO
89,68,5.723500348635534E-9,NO
90,131,6.7486353700608265E-9,NO
91,1069,1.0,YES
92,70,5.723500348635534E-9,NO
93,47,6.0215977938112755E-9,NO
94,271,9.696162606636453E-8,YES
95,72,5.723500348635534E-9,NO
96,973,1.0,YES
97,482,4.631816274165291E-4,YES
98,132,6.7486353700608265E-9,NO
99,197,1.681451153123101E-8,YES
100,37,6.923312235759415E-9,NO
101,86,5.723500348635534E-9,YES
102,81,5.123795697682434E-9,NO
103,132,6.7486353700608265E-9,NO
104,58,6.0215977938112755E-9,YES
105,218,2.7223643684597116E-8,YES
106,147,1.0670232571774646E-8,NO
107,119,6.7486353700608265E-9,NO
108,111,5.945155392553391E-9,NO
109,668,0.9878777808676049,YES
110,114,5.945155392553391E-9,NO
111,82,5.723500348635534E-9,NO
112,99,7.577344748076988E-9,NO
113,92,5.945155392553391E-9,NO
114,82,5.723500348635534E-9,NO
115,128,6.7486353700608265E-9,YES
116,69,5.723500348635534E-9,NO
117,117,6.7486353700608265E-9,NO
118,78,5.723500348635534E-9,YES
119,186,1.134947808997283E-8,NO
120,498,0.5991743318939984,YES
121,277,9.696162606636453E-8,NO
122,60,6.0215977938112755E-9,NO
123,115,7.025522267239097E-9,NO
124,310,1.9682038868018362E-7,NO
125,45,6.0215977938112755E-9,NO
126,892,1.0,NO
127,188,1.1815131008756258E-8,YES
128,26,6.923312235759415E-9,NO
129,654,0.9873866967982838,YES
130,408,0.8544915116842733,YES
131,50,6.0215977938112755E-9,NO
132,410,0.8544915116842733,YES
133,41,6.0215977938112755E-9,NO
134,106,5.945155392553391E-9,NO
135,85,5.723500348635534E-9,YES
136,34,6.923312235759415E-9,NO
137,245,4.8168522345310086E-8,NO
138,648,1.0,YES
139,53,6.0215977938112755E-9,NO
140,193,1.681451153123101E-8,YES
141,42,6.0215977938112755E-9,NO
142,31,6.923312235759415E-9,NO
143,36,6.923312235759415E-9,NO
144,154,8.371823226367843E-9,YES
145,68,5.723500348635534E-9,NO
146,64,5.723500348635534E-9,NO
147,75,5.723500348635534E-9,NO
148,44,6.0215977938112755E-9,NO
149,584,0.2060240799228068,YES
150,34,6.923312235759415E-9,NO
151,650,0.9873866967982838,YES
152,220,1.8087502130851148E-7,NO
153,123,6.7486353700608265E-9,NO
154,67,5.723500348635534E-9,NO
155,45,6.0215977938112755E-9,NO
156,33,6.923312235759415E-9,NO
157,59,7.674773728229434E-9,YES
158,38,6.923312235759415E-9,NO
159,33,6.923312235759415E-9,NO
160,69,5.723500348635534E-9,YES
161,129,6.7486353700608265E-9,NO
162,583,0.2060240799228068,NO
163,180,1.1815131008756258E-8,NO
164,33,6.923312235759415E-9,NO
165,327,4.545317497230501E-7,NO
166,40,6.0215977938112755E-9,NO
167,113,4.642522672228122E-6,NO
168,128,6.7486353700608265E-9,NO
