ID,Size,Predicted,Actual
0,126,0.008510668505004704,NO
1,22,0.008297307214903633,NO
2,75,0.00812369560962586,NO
3,131,0.008561135968353473,NO
4,223,0.01109966884004312,NO
5,40,0.008171146396866153,NO
6,381,0.02767413362431093,NO
7,46,0.008154587854327764,NO
8,26,0.00826621056971218,NO
9,66,0.008114575262629644,NO
10,95,0.008195924834082855,NO
11,33,0.008212867823820146,NO
12,103,0.008244900873738175,NO
13,219,0.010785948946728687,NO
14,328,0.019122140625467927,NO
15,59,0.008116670408697587,NO
16,376,0.026149454825812123,NO
17,33,0.008212867823820146,NO
18,36,0.008190566365634505,NO
19,44,0.008154587854327764,NO
20,70,0.008117732237080422,NO
21,69,0.008114575262629644,NO
22,31,0.008238073848490849,NO
23,27,0.00826621056971218,NO
24,33,0.008212867823820146,NO
25,27,0.00826621056971218,NO
26,27,0.00826621056971218,NO
27,40,0.008171146396866153,NO
28,60,0.008116670408697587,NO
29,69,0.008114575262629644,NO
30,85,0.008158499940265636,NO
31,85,0.008158499940265636,NO
32,86,0.008158499940265636,NO
33,50,0.008140873654756721,NO
34,125,0.008463417494153917,NO
35,151,0.008863724579156181,NO
36,242,0.0119959898603241,NO
37,47,0.008140873654756721,NO
38,72,0.008117732237080422,NO
39,51,0.008129989665936815,NO
40,51,0.008129989665936815,NO
41,106,0.008273782113409806,NO
42,87,0.008158499940265636,NO
43,80,0.00813247151250685,NO
44,76,0.00812369560962586,NO
45,41,0.008171146396866153,NO
46,63,0.008114221441055567,NO
47,55,0.008121924682835943,NO
48,106,0.008273782113409806,NO
49,72,0.008117732237080422,NO
50,86,0.008158499940265636,NO
51,55,0.008121924682835943,NO
52,135,0.008614873414745853,NO
53,63,0.008114221441055567,NO
54,412,0.035151009024038546,NO
55,533,0.10890505321915016,NO
56,67,0.008114575262629644,NO
57,50,0.008140873654756721,NO
58,39,0.008190566365634505,NO
59,88,0.008158499940265636,NO
60,37,0.008190566365634505,NO
61,74,0.00812369560962586,NO
62,79,0.00813247151250685,NO
63,321,0.01823358355049826,NO
64,631,0.2981693778682616,NO
65,140,0.008671938054755982,NO
66,318,0.01781376319423875,NO
67,356,0.022822358596760156,NO
68,187,0.00974998761194827,NO
69,142,0.008732390878403514,NO
70,186,0.00974998761194827,NO
71,138,0.008671938054755982,NO
72,36,0.008190566365634505,NO
73,37,0.008190566365634505,NO
74,120,0.008419332992552174,NO
75,139,0.008671938054755982,NO
76,852,0.9450288138390267,YES
77,33,0.008212867823820146,NO
78,43,0.008171146396866153,NO
79,99,0.008218957416552692,NO
80,288,0.014963793343993524,NO
81,131,0.008561135968353473,YES
82,146,0.008796296761497754,NO
83,204,0.010226795706798728,NO
84,150,0.008863724579156181,NO
85,38,0.008190566365634505,NO
86,43,0.008171146396866153,NO
87,47,0.008140873654756721,NO
88,32,0.008212867823820146,NO
89,93,0.008195924834082855,NO
90,93,0.008195924834082855,NO
91,282,0.014373776036118002,NO
92,251,0.012404040570190398,NO
93,251,0.012404040570190398,NO
94,130,0.008561135968353473,NO
95,53,0.008129989665936815,NO
96,125,0.008463417494153917,NO
97,50,0.008140873654756721,NO
98,106,0.008273782113409806,NO
99,34,0.008212867823820146,NO
100,66,0.008114575262629644,NO
101,40,0.008171146396866153,NO
102,140,0.008671938054755982,NO
103,84,0.008144068975324829,NO
104,39,0.008190566365634505,NO
105,34,0.008212867823820146,NO
106,38,0.008190566365634505,NO
107,149,0.008863724579156181,NO
108,761,0.7672595962456291,NO
109,46,0.008154587854327764,NO
110,204,0.010226795706798728,NO
111,153,0.00893474732675307,NO
112,57,0.008121924682835943,NO
113,57,0.008121924682835943,NO
114,1379,0.9999999380796696,YES
115,174,0.009346645168288148,YES
116,416,0.9185603892032953,YES
117,40,0.008171146396866153,NO
