ID,Size,Predicted,Actual
0,137,0.1945772600907617,NO
1,252,0.016954399000335855,NO
2,343,0.34789359670549924,YES
3,154,0.20221280291641053,YES
4,37,0.1570764662403721,NO
5,130,0.19096707441077015,NO
6,701,0.8491020721498093,NO
7,250,0.2613067684357515,YES
8,112,0.1809225700918954,YES
9,29,0.1549433996209254,NO
10,63,0.16406174054153533,NO
11,349,0.35650381681717547,YES
12,213,0.2388645388033783,YES
13,65,0.16406174054153533,NO
14,104,0.17782459553465785,NO
15,265,0.2736676766421331,NO
16,496,0.5569519933693652,NO
17,38,0.1570764662403721,NO
18,342,0.34789359670549924,YES
19,70,0.16659447872269284,NO
20,179,0.21476181496101013,NO
21,532,0.616976528663954,YES
22,35,0.1570764662403721,NO
23,133,0.19096707441077015,NO
24,32,0.1549433996209254,NO
25,343,0.34789359670549924,NO
26,164,0.20624580048323984,YES
27,55,0.16163299982743015,NO
28,126,0.18749030513872944,NO
29,132,0.19096707441077015,NO
30,149,0.19832457418776775,NO
31,210,0.23370630691263294,NO
32,151,0.20221280291641053,NO
33,39,0.1570764662403721,NO
34,45,0.15930547056819264,NO
35,48,0.15930547056819264,NO
36,33,0.1549433996209254,NO
37,98,0.17782459553465785,NO
38,117,0.1841433198173425,NO
39,283,0.2937142187563883,NO
40,251,0.2613067684357515,NO
41,252,0.2673891364041892,NO
42,88,0.1719835882303447,NO
43,83,0.1719835882303447,NO
44,43,0.15930547056819264,NO
45,107,0.1809225700918954,NO
46,35,0.1570764662403721,NO
47,55,0.16163299982743015,NO
48,41,0.1570764662403721,NO
49,99,0.17782459553465785,NO
50,75,0.16923409979725554,NO
51,40,0.1570764662403721,NO
52,35,0.1570764662403721,NO
53,39,0.1570764662403721,NO
54,101,0.17782459553465785,NO
55,508,0.5808731920812741,NO
56,47,0.15930547056819264,NO
57,142,0.1945772600907617,NO
58,106,0.1809225700918954,NO
59,62,0.16406174054153533,NO
60,210,0.23370630691263294,NO
61,525,0.604935062491161,NO
62,88,0.1719835882303447,NO
63,833,0.9464775037036953,NO
64,457,0.4985823642625548,NO
65,99,0.17782459553465785,NO
66,151,0.20221280291641053,NO
67,52,0.16163299982743015,NO
68,1069,0.9948979273599872,YES
69,39,0.1570764662403721,NO
70,89,0.17484602680828715,NO
71,100,0.17782459553465785,NO
72,622,0.7450092801593106,YES
73,68,0.16659447872269284,NO
74,312,0.3156391272994881,NO
75,101,0.17782459553465785,NO
76,78,0.16923409979725554,NO
77,81,0.16923409979725554,NO
78,125,0.18749030513872944,NO
79,112,0.1809225700918954,YES
80,1179,0.9985847199701726,YES
81,505,0.5688867809418393,YES
82,280,0.2868270225097015,YES
83,29,0.1549433996209254,NO
84,194,0.22390451304488235,YES
85,72,0.16659447872269284,NO
86,36,0.1570764662403721,NO
87,72,0.16659447872269284,NO
88,121,0.18749030513872944,NO
89,68,0.16659447872269284,NO
90,131,0.19096707441077015,NO
91,1069,0.9948979273599872,YES
92,70,0.16659447872269284,NO
93,47,0.15930547056819264,NO
94,271,0.2801458716714862,YES
95,72,0.16659447872269284,NO
96,973,0.98603709620578,YES
97,482,0.5332998466808285,YES
98,132,0.19096707441077015,NO
99,197,0.22390451304488235,YES
100,37,0.1570764662403721,NO
101,86,0.1719835882303447,YES
102,81,0.1695989861507854,NO
103,132,0.19096707441077015,NO
104,58,0.16163299982743015,YES
105,218,0.2388645388033783,YES
106,147,0.19832457418776775,NO
107,119,0.1841433198173425,NO
108,111,0.1809225700918954,NO
109,668,0.8054023336089957,YES
110,114,0.1841433198173425,NO
111,82,0.1719835882303447,NO
112,99,0.010061207587258019,NO
113,92,0.17484602680828715,NO
114,82,0.1719835882303447,NO
115,128,0.19096707441077015,YES
116,69,0.16659447872269284,NO
117,117,0.1841433198173425,NO
118,78,0.16923409979725554,YES
119,186,0.21925281066080757,NO
120,498,0.5575917618546427,YES
121,277,0.2868270225097015,NO
122,60,0.16406174054153533,NO
123,115,0.1841433198173425,NO
124,310,0.3156391272994881,NO
125,45,0.15930547056819264,NO
126,892,0.967370907856048,NO
127,188,0.21925281066080757,YES
128,26,0.15290378237104513,NO
129,654,0.7958555138878135,YES
130,408,0.4337240575951586,YES
131,50,0.15930547056819264,NO
132,410,0.4337240575951586,YES
133,41,0.1570764662403721,NO
134,106,0.1809225700918954,NO
135,85,0.1719835882303447,YES
136,34,0.1549433996209254,NO
137,245,0.2613067684357515,NO
138,648,0.7907763529939599,YES
139,53,0.16163299982743015,NO
140,193,0.22390451304488235,YES
141,42,0.1570764662403721,NO
142,31,0.1549433996209254,NO
143,36,0.1570764662403721,NO
144,154,0.20221280291641053,YES
145,68,0.16659447872269284,NO
146,64,0.16406174054153533,NO
147,75,0.16923409979725554,NO
148,44,0.15930547056819264,NO
149,584,0.6882660851649588,YES
150,34,0.1549433996209254,NO
151,650,0.7860553740868171,YES
152,220,0.014532701692020698,NO
153,123,0.18749030513872944,NO
154,67,0.16659447872269284,NO
155,45,0.15930547056819264,NO
156,33,0.1549433996209254,NO
157,59,0.16406174054153533,YES
158,38,0.1570764662403721,NO
159,33,0.1549433996209254,NO
160,69,0.16659447872269284,YES
161,129,0.19096707441077015,NO
162,583,0.6882660851649588,NO
163,180,0.21476181496101013,NO
164,33,0.1549433996209254,NO
165,327,0.3313300847179102,NO
166,40,0.1570764662403721,NO
167,113,0.1845332116355675,NO
168,128,0.19096707441077015,NO
