ID,Size,Predicted,Actual
0,137,1.0,NO
1,252,1.0,NO
2,532,1.0,NO
3,81,1.0,NO
4,157,1.0,NO
5,264,1.0,NO
6,113,1.0,NO
7,454,1.0,NO
8,133,1.0,NO
9,151,1.0,NO
10,147,1.0,NO
11,101,1.0,NO
12,227,1.0,NO
13,352,1.0,NO
14,204,1.0,NO
15,50,1.0,NO
16,162,1.0,NO
17,61,1.0,NO
18,163,1.0,NO
19,78,1.0,NO
20,448,1.0,NO
21,179,1.0,NO
22,136,1.0,NO
23,167,1.0,NO
24,67,1.0,NO
25,137,1.0,NO
26,145,1.0,NO
27,87,1.0,NO
28,85,1.0,NO
29,178,1.0,NO
30,75,1.0,NO
31,208,1.0,NO
32,57,1.0,NO
33,517,1.0,NO
34,570,1.0,NO
35,148,1.0,NO
36,173,1.0,NO
37,147,1.0,NO
38,208,1.0,NO
39,54,1.0,NO
40,38,1.0,NO
41,98,1.0,NO
42,38,1.0,NO
43,94,1.0,NO
44,126,1.0,NO
45,78,1.0,NO
46,110,1.0,NO
47,80,1.0,NO
48,76,1.0,NO
49,41,1.0,NO
50,63,1.0,NO
51,106,1.0,NO
52,72,1.0,NO
53,86,1.0,NO
54,48,1.0,YES
55,63,1.0,NO
56,375,1.0,YES
57,66,1.0,NO
58,50,1.0,NO
59,39,1.0,NO
60,37,1.0,NO
61,80,1.0,NO
62,321,1.0,NO
63,118,1.0,NO
64,605,1.0,NO
65,140,1.0,NO
66,361,1.0,NO
67,362,1.0,NO
68,187,1.0,NO
69,146,1.0,NO
70,186,1.0,NO
71,138,1.0,NO
72,38,1.0,NO
73,37,1.0,NO
74,120,1.0,NO
75,139,1.0,NO
76,852,1.0,NO
77,33,1.0,NO
78,43,1.0,NO
79,99,1.0,NO
80,288,1.0,NO
81,131,1.0,NO
82,146,1.0,NO
83,208,1.0,NO
84,150,1.0,NO
85,38,1.0,NO
86,43,1.0,NO
87,47,1.0,NO
88,32,1.0,NO
89,93,1.0,NO
90,113,1.0,NO
91,282,1.0,NO
92,251,1.0,NO
93,251,1.0,NO
94,130,1.0,NO
95,125,1.0,NO
96,42,1.0,NO
97,106,1.0,NO
98,34,1.0,NO
99,53,1.0,NO
100,40,1.0,NO
101,98,1.0,NO
102,80,1.0,NO
103,39,1.0,NO
104,34,1.0,NO
105,38,1.0,NO
106,103,1.0,NO
107,536,1.0,YES
108,46,1.0,NO
109,141,1.0,NO
110,106,1.0,NO
111,57,1.0,NO
112,210,1.0,NO
113,525,1.0,NO
114,88,1.0,NO
115,833,1.0,NO
116,457,1.0,NO
117,99,1.0,NO
118,151,1.0,NO
119,57,1.0,NO
120,1320,1.0,YES
121,39,1.0,NO
122,89,1.0,NO
123,100,1.0,NO
124,84,1.0,NO
125,662,1.0,NO
126,68,1.0,NO
127,312,1.0,NO
128,101,1.0,NO
129,78,1.0,NO
130,79,1.0,NO
131,125,1.0,NO
132,113,1.0,NO
133,1546,1.0,YES
134,833,1.0,NO
135,283,1.0,NO
136,103,1.0,NO
137,29,1.0,NO
138,194,1.0,YES
139,72,1.0,NO
140,36,1.0,NO
141,72,1.0,NO
142,173,1.0,NO
143,98,1.0,NO
144,170,1.0,NO
145,1185,1.0,NO
146,70,1.0,NO
147,47,1.0,NO
148,381,1.0,NO
149,107,1.0,NO
150,1668,1.0,YES
151,45,1.0,NO
152,512,1.0,YES
153,132,1.0,NO
154,232,1.0,NO
155,37,1.0,NO
156,108,1.0,NO
157,111,1.0,NO
158,132,1.0,NO
159,74,1.0,NO
160,257,1.0,YES
161,183,1.0,YES
162,121,1.0,NO
163,166,1.0,NO
164,461,1.0,NO
165,702,1.0,YES
166,143,1.0,NO
167,106,1.0,NO
168,127,1.0,NO
169,92,1.0,NO
170,82,1.0,NO
171,138,1.0,NO
172,117,1.0,NO
173,76,1.0,NO
174,249,1.0,NO
175,604,1.0,NO
176,296,1.0,NO
177,66,1.0,NO
178,120,1.0,NO
179,325,1.0,NO
180,53,1.0,NO
181,968,1.0,YES
182,189,1.0,YES
183,27,1.0,NO
184,837,1.0,YES
185,169,1.0,YES
186,50,1.0,NO
187,41,1.0,NO
188,109,1.0,YES
189,162,1.0,NO
190,718,1.0,YES
191,53,1.0,NO
192,274,1.0,YES
193,42,1.0,NO
194,31,1.0,NO
195,36,1.0,NO
196,176,1.0,NO
197,375,1.0,YES
198,506,1.0,YES
199,92,1.0,NO
200,34,1.0,NO
201,142,1.0,NO
202,85,1.0,NO
203,77,1.0,NO
204,146,1.0,NO
205,37,1.0,NO
206,123,1.0,YES
207,116,1.0,NO
208,82,1.0,NO
209,44,1.0,NO
210,668,1.0,YES
211,34,1.0,NO
212,947,1.0,YES
213,344,1.0,YES
214,150,1.0,YES
215,68,1.0,NO
216,62,1.0,YES
217,45,1.0,NO
218,33,1.0,NO
219,79,1.0,NO
220,38,1.0,NO
221,33,1.0,NO
222,69,1.0,YES
223,272,1.0,NO
224,57,1.0,NO
225,33,1.0,NO
226,129,1.0,NO
227,583,1.0,NO
228,180,1.0,NO
229,33,1.0,NO
230,333,1.0,NO
231,40,1.0,NO
232,107,1.0,NO
233,146,1.0,NO
234,38,1.0,NO
235,192,1.0,NO
236,294,1.0,NO
237,109,1.0,NO
238,38,1.0,NO
239,312,1.0,NO
