ID,Size,Predicted,Actual
0,137,1.60953549757055E-89,NO
1,269,1.60953549757055E-89,YES
2,343,1.60953549757055E-89,YES
3,154,1.60953549757055E-89,NO
4,37,1.60953549757055E-89,NO
5,130,1.60953549757055E-89,NO
6,701,1.60953549757055E-89,NO
7,250,1.60953549757055E-89,YES
8,112,1.60953549757055E-89,YES
9,29,1.60953549757055E-89,NO
10,63,1.60953549757055E-89,NO
11,349,1.60953549757055E-89,YES
12,213,1.60953549757055E-89,YES
13,65,1.60953549757055E-89,NO
14,104,1.60953549757055E-89,NO
15,265,1.60953549757055E-89,NO
16,496,1.60953549757055E-89,NO
17,38,1.60953549757055E-89,NO
18,342,1.60953549757055E-89,YES
19,70,1.60953549757055E-89,NO
20,179,1.60953549757055E-89,NO
21,532,1.60953549757055E-89,YES
22,35,1.60953549757055E-89,NO
23,133,1.60953549757055E-89,NO
24,32,1.60953549757055E-89,NO
25,343,1.60953549757055E-89,NO
26,164,1.60953549757055E-89,YES
27,55,1.60953549757055E-89,NO
28,126,1.60953549757055E-89,NO
29,132,6.038277686799889E-104,NO
30,149,6.038277686799889E-104,NO
31,210,6.038277686799889E-104,NO
32,151,6.038277686799889E-104,NO
33,39,6.038277686799889E-104,NO
34,45,6.038277686799889E-104,NO
35,48,6.038277686799889E-104,NO
36,33,6.038277686799889E-104,NO
37,98,6.038277686799889E-104,NO
38,117,6.038277686799889E-104,NO
39,283,1.60953549757055E-89,NO
40,251,6.038277686799889E-104,NO
41,252,6.038277686799889E-104,NO
42,88,6.038277686799889E-104,NO
43,83,6.038277686799889E-104,NO
44,43,6.038277686799889E-104,NO
45,107,6.038277686799889E-104,NO
46,35,6.038277686799889E-104,NO
47,55,6.038277686799889E-104,NO
48,41,6.038277686799889E-104,NO
49,99,6.038277686799889E-104,NO
50,75,6.038277686799889E-104,NO
51,40,6.038277686799889E-104,NO
52,35,6.038277686799889E-104,NO
53,39,6.038277686799889E-104,NO
54,101,6.038277686799889E-104,NO
55,508,6.038277686799889E-104,NO
56,47,6.038277686799889E-104,NO
57,142,6.038277686799889E-104,NO
58,106,6.038277686799889E-104,NO
59,62,6.038277686799889E-104,NO
60,210,6.038277686799889E-104,NO
61,525,6.038277686799889E-104,NO
62,88,6.038277686799889E-104,NO
63,833,6.038277686799889E-104,NO
64,457,6.038277686799889E-104,NO
65,99,6.038277686799889E-104,NO
66,151,6.038277686799889E-104,NO
67,52,6.038277686799889E-104,NO
68,1069,4.424603922448529E-31,YES
69,39,6.038277686799889E-104,NO
70,89,6.038277686799889E-104,NO
71,100,6.038277686799889E-104,NO
72,622,1.4822974474892339E-89,YES
73,68,1.60953549757055E-89,NO
74,312,6.038277686799889E-104,NO
75,101,1.60953549757055E-89,NO
76,78,6.038277686799889E-104,NO
77,81,6.038277686799889E-104,NO
78,125,1.60953549757055E-89,NO
79,112,6.038277686799889E-104,NO
80,1179,1.2933271343344882E-36,YES
81,505,1.60953549757055E-89,YES
82,280,1.60953549757055E-89,NO
83,29,1.60953549757055E-89,NO
84,194,1.4939172436680483E-79,NO
85,72,1.60953549757055E-89,NO
86,36,1.60953549757055E-89,NO
87,72,6.038277686799889E-104,NO
88,121,1.4939172436680483E-79,NO
89,68,1.60953549757055E-89,NO
90,131,1.4939172436680483E-79,NO
91,1069,4.424603922448529E-31,NO
92,70,1.60953549757055E-89,NO
93,47,1.60953549757055E-89,NO
94,268,5.3080411818743755E-74,YES
95,72,1.60953549757055E-89,NO
96,959,0.9928723063164671,YES
97,478,4.424603922448529E-31,YES
98,132,1.60953549757055E-89,NO
99,197,6.038277686799889E-104,YES
100,37,6.038277686799889E-104,NO
101,86,1.4939172436680483E-79,YES
102,67,6.038277686799889E-104,NO
103,132,1.5515589216591393E-79,NO
104,58,6.038277686799889E-104,YES
105,218,1.60953549757055E-89,YES
106,142,1.4939172436680483E-79,NO
107,119,6.038277686799889E-104,NO
108,111,1.60953549757055E-89,NO
109,664,1.3784680625023976E-52,YES
110,114,1.4939172436680483E-79,NO
111,82,1.60953549757055E-89,NO
112,93,1.4939172436680483E-79,YES
113,92,6.038277686799889E-104,NO
114,82,1.60953549757055E-89,NO
115,128,1.60953549757055E-89,YES
116,69,1.60953549757055E-89,NO
117,117,1.60953549757055E-89,NO
118,78,6.038277686799889E-104,YES
119,186,1.4822974474892339E-89,NO
120,487,1.60953549757055E-89,NO
121,276,1.5394907843473067E-89,NO
122,60,6.038277686799889E-104,NO
123,114,6.038277686799889E-104,NO
124,310,1.60953549757055E-89,NO
125,45,6.038277686799889E-104,NO
126,892,1.60953549757055E-89,NO
127,186,1.4822974474892339E-89,NO
128,26,6.038277686799889E-104,NO
129,654,1.3784680625023976E-52,YES
130,403,1.4939172436680483E-79,YES
131,50,1.60953549757055E-89,NO
132,407,1.4939172436680483E-79,YES
133,41,1.60953549757055E-89,NO
134,106,1.4939172436680483E-79,NO
135,85,6.038277686799889E-104,YES
136,34,6.038277686799889E-104,NO
137,245,1.3784680625023976E-52,NO
138,638,1.4939172436680483E-79,YES
139,53,1.60953549757055E-89,NO
140,193,1.60953549757055E-89,NO
141,42,1.60953549757055E-89,NO
142,31,1.60953549757055E-89,NO
143,36,1.60953549757055E-89,NO
144,154,1.5515589216591393E-79,YES
145,68,1.60953549757055E-89,NO
146,64,1.60953549757055E-89,NO
147,75,1.60953549757055E-89,NO
148,44,1.60953549757055E-89,NO
149,584,1.5515589216591393E-79,YES
150,34,1.60953549757055E-89,NO
151,650,1.2933271343344882E-36,YES
152,221,1.60953549757055E-89,YES
153,123,1.60953549757055E-89,NO
154,67,1.60953549757055E-89,NO
155,45,1.60953549757055E-89,NO
156,33,1.60953549757055E-89,NO
157,54,1.60953549757055E-89,NO
158,38,1.60953549757055E-89,NO
159,33,1.60953549757055E-89,NO
160,69,6.038277686799889E-104,YES
161,129,6.038277686799889E-104,NO
162,583,1.4939172436680483E-79,NO
163,181,6.038277686799889E-104,NO
164,33,6.038277686799889E-104,NO
165,327,1.4939172436680483E-79,NO
166,40,1.60953549757055E-89,NO
167,105,6.038277686799889E-104,NO
168,128,1.60953549757055E-89,NO
