ID,Size,Predicted,Actual
0,137,0.07267266588300919,NO
1,252,0.08955239398101598,NO
2,362,0.9822188722275177,NO
3,81,0.06388915409942074,NO
4,165,0.07847129825755991,NO
5,81,0.06388915409942074,NO
6,107,0.06974597746331782,NO
7,163,0.07847129825755991,NO
8,616,1.0,NO
9,371,1.0,YES
10,138,0.9739893720706516,NO
11,58,0.060978675954391014,NO
12,844,1.0,NO
13,1272,0.04053221268527618,NO
14,245,0.08955239398101598,NO
15,65,0.060978675954391014,NO
16,299,1.0,NO
17,472,1.0,NO
18,441,1.0,NO
19,76,0.06388915409942074,NO
20,199,0.08132213002936482,NO
21,527,0.11462761391593454,NO
22,35,0.0580926382304774,NO
23,133,0.07267266588300919,NO
24,32,0.0580926382304774,NO
25,164,0.07847129825755991,NO
26,148,0.07558460069902209,NO
27,343,0.10156781534583419,NO
28,164,0.07847129825755991,YES
29,55,0.060978675954391014,NO
30,126,0.07267266588300919,NO
31,78,0.06388915409942074,NO
32,110,0.06974597746331782,NO
33,80,0.06388915409942074,NO
34,76,0.06388915409942074,NO
35,41,0.0580926382304774,NO
36,63,0.060978675954391014,NO
37,106,0.06974597746331782,NO
38,72,0.06388915409942074,NO
39,86,0.06388915409942074,NO
40,48,0.060978675954391014,NO
41,63,0.060978675954391014,NO
42,375,0.10555042649276258,NO
43,131,0.07267266588300919,NO
44,146,0.07558460069902209,NO
45,208,0.08412639018208548,NO
46,150,0.07558460069902209,NO
47,38,0.0580926382304774,NO
48,43,0.0580926382304774,NO
49,47,0.0580926382304774,NO
50,32,0.0580926382304774,NO
51,93,0.06681480789148002,NO
52,113,0.06974597746331782,NO
53,282,0.09466469270978024,NO
54,251,0.08955239398101598,NO
55,251,0.08955239398101598,NO
56,91,0.06681480789148002,NO
57,86,0.06388915409942074,NO
58,42,0.0580926382304774,NO
59,106,0.06974597746331782,NO
60,34,0.0580926382304774,NO
61,53,0.060978675954391014,NO
62,40,0.0580926382304774,NO
63,98,0.06681480789148002,NO
64,80,0.06388915409942074,NO
65,39,0.0580926382304774,NO
66,34,0.0580926382304774,NO
67,38,0.0580926382304774,NO
68,103,0.06681480789148002,NO
69,518,0.9840923068031965,NO
70,46,0.0580926382304774,NO
71,141,0.07267266588300919,NO
72,106,0.06974597746331782,NO
73,57,0.060978675954391014,NO
74,210,0.08412639018208548,NO
75,525,0.11462761391593454,NO
76,88,0.06681480789148002,NO
77,833,0.10265078959946498,NO
78,457,0.11173876641582976,NO
79,99,0.06681480789148002,NO
80,151,0.07558460069902209,NO
81,52,0.060978675954391014,NO
82,1141,0.9663614951464458,YES
83,39,0.0580926382304774,NO
84,89,0.06681480789148002,NO
85,100,0.06681480789148002,NO
86,84,0.06388915409942074,NO
87,641,0.11547347783621732,NO
88,68,0.06388915409942074,NO
89,312,0.09707753573024847,NO
90,101,0.06681480789148002,NO
91,78,0.06388915409942074,NO
92,81,0.06388915409942074,NO
93,125,0.07267266588300919,NO
94,112,0.06974597746331782,NO
95,1270,1.0,YES
96,829,1.0,YES
97,280,0.09466469270978024,YES
98,103,0.06681480789148002,NO
99,29,0.0580926382304774,NO
100,194,0.08132213002936482,YES
101,72,0.06388915409942074,NO
102,36,0.0580926382304774,NO
103,72,0.06388915409942074,NO
104,121,0.06974597746331782,NO
105,68,0.06388915409942074,NO
106,133,0.07267266588300919,NO
107,1112,1.0,NO
108,70,0.06388915409942074,NO
109,47,0.0580926382304774,NO
110,286,0.09466469270978024,NO
111,72,0.06388915409942074,NO
112,1049,0.9734493175324392,YES
113,506,0.9839702139429997,YES
114,132,0.07267266588300919,NO
115,218,0.08412639018208548,NO
116,37,0.0580926382304774,NO
117,84,0.06388915409942074,YES
118,94,0.9716000679779462,NO
119,132,0.07267266588300919,NO
120,62,0.060978675954391014,NO
121,242,0.9791661844878332,NO
122,161,0.07558460069902209,NO
123,119,0.06974597746331782,NO
124,113,0.06974597746331782,NO
125,677,0.11427112052355758,YES
126,114,0.06974597746331782,NO
127,82,0.06388915409942074,NO
128,124,0.9728443378796606,NO
129,92,0.06681480789148002,NO
130,82,0.06388915409942074,NO
131,138,0.07267266588300919,NO
132,117,0.06974597746331782,NO
133,76,0.06388915409942074,NO
134,236,0.9784756984630095,NO
135,504,1.0,YES
136,287,0.9803777181393947,NO
137,60,0.060978675954391014,NO
138,115,0.06974597746331782,NO
139,325,0.9813872996867056,NO
140,53,0.060978675954391014,NO
141,957,1.0,NO
142,187,0.08132213002936482,YES
143,26,0.055239856804852605,NO
144,692,1.0,YES
145,429,0.10895963229109092,YES
146,50,0.060978675954391014,NO
147,448,0.9834208521302344,YES
148,41,0.0580926382304774,NO
149,109,0.06974597746331782,NO
150,89,0.06681480789148002,NO
151,34,0.0580926382304774,NO
152,248,0.08955239398101598,NO
153,672,0.9840371489027876,YES
154,53,0.060978675954391014,NO
155,230,1.0,YES
156,42,0.0580926382304774,NO
157,31,0.0580926382304774,NO
158,36,0.0580926382304774,NO
159,171,0.07847129825755991,YES
160,68,0.06388915409942074,NO
161,64,0.060978675954391014,NO
162,82,0.06388915409942074,NO
163,44,0.0580926382304774,NO
164,576,1.0,YES
165,34,0.0580926382304774,NO
166,711,0.1123498739869869,YES
167,279,1.0,YES
168,148,1.0,NO
169,67,0.060978675954391014,NO
170,45,0.0580926382304774,NO
171,33,0.0580926382304774,NO
172,59,0.060978675954391014,YES
173,38,0.0580926382304774,NO
174,33,0.0580926382304774,NO
175,69,0.06388915409942074,YES
176,249,0.08955239398101598,YES
177,46,0.0580926382304774,YES
178,32,0.0580926382304774,YES
179,129,0.07267266588300919,NO
180,583,0.11588835500467196,NO
181,180,0.07847129825755991,NO
182,33,0.0580926382304774,NO
183,333,0.09938170903914925,NO
184,40,0.0580926382304774,NO
185,107,0.9728443378796606,NO
186,128,0.07267266588300919,NO
187,38,0.0580926382304774,NO
188,192,0.08132213002936482,NO
189,294,0.09466469270978024,NO
190,109,0.06974597746331782,NO
191,38,0.0580926382304774,NO
